pid,birth_date,age_at_draft_wiki,rev_ts
Pc72bfd628e,1993-09-25,22.74,2016-05-17
P6f92e02de4,1996-01-05,20.47,2016-06-21
Pd5729dac8f,1991-04-17,23.19,2014-06-21
P54240b8a24,2000-06-18,21.11,2021-07-28
Pcad0645e5a,1992-04-04,21.23,2013-06-24
P24e5e8b7dc,1995-03-28,22.24,2017-06-18
Pfc8df2f375,2004-02-07,22.38,2026-06-22
Pfe4fcea486,1999-08-10,19.86,2019-06-19
P97df826a61,2001-11-03,20.64,2022-06-13
P919e355315,2002-02-27,20.32,2022-05-24
Pa98bcc077b,1988-07-25,22.91,2011-06-22
Pd50459cb6d,1996-09-13,19.78,2016-06-18
Pab169ed872,1999-07-09,19.95,2019-06-17
P04526b8576,1999-04-09,21.61,2020-11-15
P96ac6f0cd3,1987-09-29,22.74,2010-06-09
Pb58f931dd3,1989-02-07,20.38,2009-06-24
Pdec9ef7c46,2005-01-07,20.46,2025-06-04
P16938f3fa9,1996-07-26,20.91,2017-05-13
Pddcf4609af,1994-07-04,21.97,2016-06-18
Pbc5d4fc393,1990-01-17,22.44,2012-06-26
Ped6b9a1a7c,2000-05-23,19.07,2019-06-17
P46cfb45fde,1998-07-28,18.9,2017-06-15
Pb69fbd28c6,1997-08-11,21.86,2019-06-03
P50ca99530f,1989-02-12,22.36,2011-05-17
Pb9c495a67d,1995-12-15,19.53,2015-06-24
Pa33d5803eb,1994-08-17,18.86,2013-06-17
P70fa3dc827,2003-01-09,19.45,2022-06-09
P1ea9c7c88d,1995-03-06,22.3,2017-05-26
P1738f63a26,1989-02-06,20.38,2009-06-23
P7222e0f90b,1995-09-28,20.74,2016-06-18
P0bcbee5c83,2000-03-21,24.27,2024-06-04
P6a5f6ac2d8,2000-02-11,19.35,2019-06-19
P9540818d9f,2000-12-23,18.49,2019-06-10
P8482acfde2,1986-07-06,21.97,2008-06-10
Pa5d4a8fef6,2004-10-13,19.7,2024-06-22
P7572949d92,2000-07-29,23.91,2024-06-25
P84e9dcbb3e,2003-03-28,21.25,2024-06-09
P0edb7d3b99,1996-01-05,20.47,2016-06-18
P35f0fb7731,2001-08-05,19.29,2020-11-17
Peef8948765,1996-04-05,22.21,2018-05-29
Pd8f68848a0,2006-05-28,19.08,2025-05-14
P338a42b9d0,1998-01-31,21.38,2019-06-17
P14882ceff6,2001-05-10,21.12,2022-03-30
P5705590403,2001-11-28,19.67,2021-07-24
Pae46fa4aa5,2003-05-12,19.12,2022-04-29
P1044a073cf,1994-03-06,20.31,2014-06-25
P1402e898dc,1990-03-23,20.25,2010-06-19
Pc9a1f10582,1995-07-13,18.95,2014-06-25
P49b077589e,1985-01-25,22.42,2007-06-23
P866e6f90bf,1999-07-02,21.38,2020-10-23
Pdee21247bb,1997-10-27,21.65,2019-05-16
Pd9273beb4e,1990-04-12,22.21,2012-06-20
P76650bc6e2,2000-08-18,18.84,2019-06-02
Pec2bc35d4f,1989-10-22,20.67,2010-03-30
P7235c3ea4e,2006-05-01,20.15,2026-06-20
P0f6f43de8d,2003-08-26,20.84,2024-06-01
P8d0ea24592,2003-06-21,23.01,2026-06-23
Pf21d262b1c,1995-09-22,19.76,2015-06-24
P2e890c30d2,1990-05-08,21.13,2011-06-22
Pba03162225,2000-05-04,19.13,2019-06-19
P922c03ccad,1988-05-22,21.09,2009-05-10
P0db0d3c576,2003-02-25,20.32,2023-06-06
P56746fa0a3,2003-10-01,22.73,2026-05-28
P9d848af991,2000-04-20,22.17,2022-04-25
P5cba6e4b4b,2003-03-16,19.27,2022-06-13
Ped95bfcd7e,1988-10-27,21.66,2010-06-23
P4832cf3ea3,1997-03-04,22.29,2019-06-18
P74d19df6a2,1997-07-31,19.89,2017-06-18
P76f8234113,2002-11-25,19.58,2022-06-19
P5e50445e82,1990-10-24,22.67,2013-06-26
P824176de50,1993-10-26,19.67,2013-06-16
Pf9ebd1b271,1997-02-23,19.33,2016-06-19
Pd50729b5d0,1999-01-08,20.45,2019-06-17
P8e2f7481af,1991-10-05,20.73,2012-06-15
P2f4b26e6e1,1998-10-01,20.72,2019-06-19
P4f181909b7,1993-09-20,20.76,2014-06-14
P5f9ce00466,2006-10-14,18.7,2025-06-24
P023bbe5ec1,1998-11-30,20.55,2019-06-07
P9180c4596b,2003-01-30,20.39,2023-06-20
P152905cef4,2001-02-26,20.42,2021-06-24
P8d6369038a,1992-10-09,22.71,2015-04-25
