pid,bio_combine_height_in,bio_combine_weight_lb,bio_combine_wingspan_in,bio_combine_reach_in
Pd1e82d8666,,271.0,86.5,109.0
P91ba0ccfb7,,243.0,86.0,110.0
P1f7c85948b,,222.5,85.25,109.5
P8b55924f31,,166.0,72.0,94.5
P4d044e6517,,175.0,82.0,102.5
P07fb065f28,,200.0,73.5,93.0
P4f8c953cc8,,219.0,80.5,106.0
P9a587a1a63,,176.0,76.0,93.0
P189ad0416e,,175.0,75.75,97.5
P7903308993,,181.0,78.0,97.5
P8df0a8788c,,220.0,84.5,105.5
P1d1b852c8c,,176.5,75.5,95.0
P39bae689b5,,210.0,81.0,104.0
Pd5c75d3b01,,197.5,80.0,104.0
Pc3df7f8dbd,,236.5,84.5,104.5
P0e7eb7e056,,250.0,85.5,107.0
P98015d62ae,,234.5,83.5,104.5
P497243f189,,214.0,81.5,103.5
P620c88aaa1,,205.0,80.5,101.5
Paff659398c,,184.0,77.25,100.0
P65db320efe,,214.0,81.0,102.0
P2899765f70,,209.0,80.0,103.5
P9aa2c80a45,,194.0,75.5,96.0
P6c17983aad,,198.0,80.5,103.0
Pd764197a9d,,240.5,86.5,109.5
P07655923d4,,199.0,81.5,99.5
Pcba63fe240,,188.0,81.5,99.5
P1d7e465328,,229.0,82.5,105.0
Pbd83a701c7,,200.0,79.5,97.5
Pc5a3285209,,245.0,88.0,111.0
P3a25271b04,,227.0,85.5,107.0
P002581103b,,178.0,80.75,102.5
P3f83cdea39,,243.0,85.0,108.0
Pf532d918b8,,202.0,83.75,104.5
Pc7c312fdc1,,224.0,87.0,110.0
P75d87cd190,,251.0,88.5,110.0
Pc0e2cf5bcc,,252.0,87.0,104.0
Pc0571f7238,,189.0,77.5,92.0
Pe88af25410,,301.0,90.5,111.0
P0fd2ff4395,,314.0,90.5,113.0
Pf7459f37f3,,221.0,80.0,101.0
P0a2d28a2d0,,271.0,82.5,102.5
P1bd862cc0f,,193.0,78.5,100.5
Peca9b04dbf,,222.0,87.0,110.0
P2a8e69fc8a,,205.0,80.0,99.5
P563df84956,,242.0,84.25,106.0
P2ee25c689c,,266.0,90.5,113.5
P675a30c147,,224.0,88.0,108.0
Pdcd864f0fb,,223.0,84.0,103.0
P704a5fd478,,226.0,81.0,105.0
Pe0f44d3916,,227.0,88.0,109.5
P5303425662,,213.0,81.25,101.0
P842a2f3c2e,,230.0,83.0,105.5
P854c694553,,213.0,83.5,102.5
P9650bb1a40,,194.0,82.5,103.5
Pf65d71b77e,,176.0,76.5,98.0
P989fbfa539,,241.0,81.75,105.5
P6d3c0c239e,,235.0,84.25,105.0
Pd3b6bf6d79,,172.0,81.5,99.5
P3ebb78aaf3,,199.0,79.5,97.5
P3d1a59b5a2,,184.0,78.75,97.0
Pac419c235c,,243.0,83.5,104.5
P0fee52cfc4,,246.0,89.5,113.0
P634aaac9d4,,253.0,88.5,109.0
Pfdab72198e,,250.0,83.75,109.5
P3514cc9b35,,226.0,81.0,96.5
P47eee57e35,,264.0,85.5,107.5
P2abf5d1b69,,258.0,86.25,108.5
P792efcc523,,238.0,86.5,112.0
P3c40dc7411,,188.0,74.25,96.0
P01fc763e95,,222.0,83.5,103.5
Pdacee2a50f,,198.0,84.0,105.5
P1199724869,,230.0,81.0,106.0
Pebd90a92ff,,285.0,82.75,106.5
P7662bd9a71,,240.0,88.0,111.0
Pd72acae20f,,250.0,86.5,107.5
P979bc77e15,,227.0,84.5,106.5
Pb3ff680bd6,,193.0,84.0,107.0
Pb7f87f6748,,221.0,84.0,107.0
Pd073d30524,,250.0,83.0,107.0
P648b9117f8,,225.0,85.0,105.0
P59cd2b2d22,,223.0,84.0,104.5
P91e42fff83,,230.0,84.5,109.0
P540f972282,,218.0,84.0,100.0
P5635d18ecc,,260.0,83.5,109.0
P39c99a28df,,200.0,77.0,99.0
Pe961cc9c52,,197.0,79.5,100.5
P021e6add75,,237.0,83.5,104.0
P396b44b337,,168.0,74.5,96.0
Pcf7f47cd26,,179.0,82.0,107.5
P71d533551f,,199.0,81.75,103.5
P33c766f164,,207.0,82.25,104.0
Pe932df1062,,212.0,79.0,102.0
P3769bd015c,,203.0,83.5,104.0
P830efff813,,240.0,85.0,108.5
P6031807405,,233.0,85.75,108.5
Pd51bbef7c1,,181.0,76.5,98.5
Pa08cb88c9e,,193.0,74.0,99.0
P3d9db1cda1,,218.0,85.0,107.5
Pe929ebb536,,197.0,75.5,97.0
Pb74259d44e,,212.0,80.0,100.5
P4c416f9cab,,213.0,82.0,105.0
P70ecb2ee9d,,202.0,84.5,104.5
Pae0e6be256,,233.0,84.0,105.5
Pa3bf9b334b,,237.0,84.5,107.0
P539180f113,,178.0,77.0,97.5
P3a913af04c,,213.0,81.25,101.0
P624e80554f,,242.0,80.75,105.5
Peab571b95d,,225.0,87.5,109.0
P78dd3f3917,,207.0,78.5,98.5
Pced63c164c,,255.0,85.5,108.0
Pc441e97a64,,234.0,86.0,109.0
P85bb3eb8b9,,198.0,82.0,103.5
Pae24459193,,209.0,80.25,101.0
P26a739545e,,201.0,77.25,98.5
P0efa2b4f7d,,162.0,71.5,93.5
Pe4a1b20238,,201.0,79.25,100.0
P4649b7d232,,200.0,78.5,100.5
P7feaaeffcb,,186.0,78.0,98.5
P82d1799627,,202.0,86.0,105.5
P1f926eb06b,,266.0,86.75,105.5
Pbc5a0470c9,,245.0,84.25,106.25
P7d6aa2dfe0,,212.0,82.75,107.5
Pb7edd3ead7,,214.0,81.0,102.5
Pce38c03d45,,218.0,86.5,107.5
P01056a0f18,,252.0,83.75,110.5
P47846f7398,,215.0,78.5,102.0
P6ce52469e7,,190.0,78.0,95.5
P3e7075c22e,,211.0,81.5,102.5
P9f79255649,,316.0,90.25,110.0
P014b6ed928,,250.0,89.0,111.5
Ped90afeb58,,218.0,77.25,97.0
P0685226773,,303.0,89.75,116.0
P3c6c730bf2,,167.0,75.0,95.5
Pf436b2be04,,234.0,82.25,104.5
P1b3889c122,,193.0,77.5,101.0
P39c1b5b439,,212.0,82.75,102.0
P08c56d3590,,235.0,80.5,104.0
P37455198a4,,226.0,88.25,108.25
P554dd6632a,,189.0,77.5,98.5
Pc1693478f0,,220.0,91.5,100.5
Pa2e0858910,,190.0,81.0,96.25
Pe6c8b117c8,76.25,214.0,81.0,102.0
P20571734e6,80.25,201.0,86.0,107.5
P23c2e6b3e7,69.75,171.0,73.0,92.0
P690d8b352a,79.25,246.0,86.5,106.5
P27d4bedf9b,76.0,185.0,79.0,100.0
Pcc92138fb2,72.75,191.0,78.5,96.5
P630cc033c0,81.5,263.0,85.5,109.0
P6292223fd6,79.25,196.0,83.0,105.0
P2b413e3467,79.5,223.0,83.0,106.0
P8abebd0da5,80.0,220.0,84.5,108.5
Pb3e080e381,73.25,193.0,78.5,98.0
P391abc2490,85.0,264.0,88.5,113.0
P8eebd87e26,76.5,216.0,81.0,100.0
Pf2b6b60b16,73.75,202.0,79.5,98.5
Pe4ea2d8948,81.5,234.0,85.0,108.5
P74b71b0d31,79.75,248.0,86.0,106.5
Pec20f0f060,74.25,192.0,80.5,99.0
P5246294b22,75.0,170.0,79.5,98.5
P269736d407,82.25,240.0,88.5,111.5
Pcca6045f01,81.5,238.0,84.5,106.5
Pff029e3151,78.75,217.0,83.0,105.5
P977a8945dd,79.0,212.0,80.5,103.0
P67b7122a99,81.75,263.0,86.5,110.0
Pd353deb783,79.5,186.0,83.0,105.5
P0b1f22f2d4,72.5,199.0,74.5,95.0
Pfb5ad97400,82.0,257.0,88.0,110.5
Pddd42c77c5,83.75,246.0,84.5,109.0
Pbb4d6101de,81.0,233.0,81.5,106.5
P46af6c0052,78.5,208.0,82.0,102.0
P9cbbbfe0cc,69.0,181.0,73.0,91.5
P25c05d7b38,80.25,221.0,84.0,106.5
P0d50e77b95,78.75,227.0,82.0,104.0
P44f5111142,78.75,228.0,81.0,104.0
Pd2c0348ebe,82.0,233.0,86.0,108.5
P7aeaf13cc2,75.75,199.0,76.5,98.0
Pc02213b2fe,82.75,226.0,84.0,105.5
P0ad01302af,74.75,183.0,78.0,99.5
P868c4004ba,78.0,222.0,84.0,106.0
Pb5af3844f5,76.75,183.0,84.0,102.5
P3914f363fb,83.0,236.4,87.0,108.5
Pd650e439a2,78.0,223.2,81.5,104.0
P11475d8eed,87.0,227.8,83.25,112.5
P485a20a47a,79.0,206.4,85.0,108.0
P5104e01e75,77.5,210.0,82.25,101.0
P099a8d0c1c,84.25,250.6,87.0,110.5
P156589bd1a,72.0,179.0,74.0,94.0
P3928bad8a7,71.5,188.8,75.5,93.0
Pb8998ddf4a,74.0,188.6,75.0,96.5
Peb2d46202e,73.0,165.2,71.75,93.5
Pcb4360a784,80.0,255.4,87.5,109.0
P74b9613d69,75.25,176.6,74.75,98.0
Pc047806c80,72.25,199.4,76.25,98.0
Pc1044ed1f5,80.25,212.8,85.5,106.0
P42d0d6de9a,82.5,243.6,86.5,110.5
P21b2b49a34,81.25,214.0,88.5,110.5
P311b5f6b41,79.0,189.6,82.75,103.0
P8b388e1924,74.5,195.2,81.25,96.5
P38dadf836a,84.0,225.2,87.5,110.0
Pc295aab61a,78.5,216.6,80.0,104.0
P471bec0288,80.5,225.4,85.5,103.0
P81f3558def,79.25,192.0,81.75,104.0
P6f59c256f3,75.0,178.8,77.25,98.5
P959d20dcac,79.0,202.2,84.5,107.5
Pc6a39f466a,81.0,208.8,85.25,109.5
Pa4dad52ff4,75.5,197.6,79.5,100.0
Pb945050559,82.0,242.2,86.75,108.5
Pe68742d859,81.0,229.5,84.0,106.5
P55b27de869,70.5,154.4,72.0,92.0
Pb87f242f46,77.75,186.6,85.0,104.0
P17786d3599,78.25,257.6,87.25,107.0
P8a3b7b6860,80.5,258.8,85.25,105.0
P9f246cdbe1,76.0,201.0,82.75,103.5
P2611750e05,78.75,228.6,81.0,105.5
P403a83bdf0,73.5,174.6,75.5,94.0
P5e4491e5c3,73.0,178.0,76.25,93.0
P7363f8a8b4,78.0,218.6,83.5,104.0
P0ad0c7ed95,74.25,184.8,77.5,96.5
Pa68189cdce,74.5,178.8,74.75,95.0
Pef98a54ad0,85.5,241.6,89.0,111.5
P8c537f5a4d,81.0,255.8,84.0,107.0
P01bc9a886e,81.5,261.0,85.75,109.0
P2b78092e41,80.0,195.8,81.75,105.5
Pd382320a3c,81.25,237.8,85.5,106.5
P572a4194e6,81.5,236.6,84.25,109.0
Pdd972253d5,80.5,215.0,86.0,108.0
Pf804162018,79.5,229.6,83.0,106.0
P83f12f36b1,81.0,269.4,86.0,108.0
P3470a61a00,80.25,228.2,87.5,108.0
P5afd5b991d,74.75,202.4,78.25,98.0
Pf4d4553b6f,78.25,202.6,80.75,104.5
P43e7adb565,74.5,186.8,82.0,100.5
Pdb7c6b10a9,76.5,203.0,79.75,101.5
P27f732ca1a,83.25,234.0,88.75,110.0
Pd9ad951135,78.0,214.0,82.0,102.5
P4dc7399d2c,82.25,240.0,88.0,109.0
P2650c293bf,81.75,227.0,84.25,104.0
P74ff916074,78.5,206.0,85.0,104.5
P552922b6fa,72.5,194.0,78.0,96.5
P058ee51b71,78.75,223.0,83.25,103.5
P78afb3722d,77.75,204.0,82.0,103.5
P1bf2734620,77.5,224.0,82.0,103.0
P6f3dd59527,74.0,171.0,75.0,94.5
Pf919ba1bb3,75.25,212.0,78.25,97.0
P4634e39421,80.0,222.0,87.0,107.5
Pad940d555c,81.75,224.0,88.75,109.0
Pe4baee43bf,78.75,211.0,81.5,101.5
Pcbdc976fea,77.5,179.0,78.75,100.5
P3765a7e186,76.0,187.0,77.75,96.5
P4c433fbf72,81.0,232.0,84.0,105.5
P117ae491b1,79.25,258.0,85.5,105.5
P49164b4255,79.75,198.0,82.0,105.0
P6565076e45,78.0,223.0,81.5,100.0
P7781579610,81.25,216.0,81.5,103.0
P4b8155700b,84.0,249.0,89.75,113.0
P633e796e6a,73.5,175.0,77.0,94.0
Pf037b649bc,74.25,204.0,80.5,99.5
P14d000eef5,76.75,190.0,75.25,97.5
Pa1953f4a95,78.25,207.0,80.0,101.0
P05061c84a0,84.0,237.0,92.5,113.0
P54e5c21a96,81.5,223.0,88.25,108.5
P87e51fede0,80.0,220.0,83.5,104.5
P82e987418b,78.5,259.0,81.5,103.5
Pe047befac5,81.25,238.0,84.5,104.0
Pbdc6b072d0,74.75,208.0,77.0,97.5
Pd31d743729,80.25,217.0,87.0,108.0
P49a2cdbcb5,73.0,195.0,76.0,96.0
P801bf131e6,73.75,171.0,78.0,96.0
P91b09695de,80.5,258.0,88.25,104.0
Pd47bfc21b1,80.75,227.0,87.0,104.0
P924fa678bb,75.25,215.0,79.0,97.5
Pd1e1adb03d,80.75,211.0,85.5,109.0
P4a79922b86,79.75,185.0,80.25,103.0
P168e9ad8d4,71.75,161.0,76.0,94.0
P2528efc939,73.75,170.0,76.0,95.5
Pbcd324b348,72.75,175.0,77.75,94.5
Pb70d7d0b57,77.75,203.0,80.25,101.5
P2f5200d27c,76.75,194.0,77.5,98.0
Pf6d18cb839,83.0,230.0,88.0,109.5
P41fad117db,79.25,219.0,79.0,102.0
P5713a8b541,82.25,215.0,88.75,110.0
Pd1415c96b7,85.75,271.0,87.25,108.5
Pea4d2012e7,81.5,228.0,85.25,103.0
Pf5e2b9f7f1,72.75,173.0,74.25,96.0
P12dc2a4dac,84.75,244.0,84.5,110.0
Pcb5c1e8ac6,81.75,232.0,86.25,108.5
Pba0c961d37,81.75,246.0,84.75,107.0
Pc9bef9c2e0,77.75,216.0,77.0,98.0
P02f9f17423,76.75,204.0,83.0,99.5
P56d107e80a,80.5,248.0,83.0,102.5
Pcfbeb8a341,79.0,213.0,86.0,107.0
P49b077589e,75.5,186.0,78.5,98.0
P6e6a2db0d6,78.5,218.0,82.0,103.5
P0f110bb83f,80.25,220.0,82.5,104.0
P67d2056db6,82.0,240.0,85.0,106.5
Pac5bd0e496,79.5,211.0,84.25,105.0
Pad16010a79,84.0,223.0,85.25,106.5
P2224af8be2,84.0,257.0,88.25,112.0
Pb380360b47,80.75,252.0,88.5,110.5
P544e2d56ac,75.75,185.0,76.25,97.5
Pd6f3aa739f,83.5,233.0,82.75,106.0
Pa610141ccc,77.0,199.0,78.5,101.0
P243742fc34,76.5,207.0,79.25,100.5
P1a6f58deb5,80.75,212.0,81.0,105.0
Pd84423f7e2,79.0,221.0,85.0,104.0
P3b02df9dfc,80.5,242.0,86.5,107.5
P9bd8ef5672,82.25,241.0,87.0,110.0
Pd35ff5934d,82.0,200.0,87.75,108.5
P25a045baff,80.5,211.0,86.25,108.0
P8bc7e2260e,79.5,210.0,83.5,106.0
Pdd125f24cc,78.75,206.0,84.0,100.5
P2e38e474e2,80.25,220.0,83.5,106.0
P4b0ccf34e0,80.5,216.0,82.75,107.0
P376f10f64c,71.5,171.5,75.5,94.5
P5f07dfebd6,75.0,204.0,75.5,97.0
P722aa856f7,80.25,239.0,84.25,107.0
P2bc925c307,76.0,213.0,77.75,99.5
Pad8df3794d,79.25,265.0,85.75,107.0
Pc9371b494a,79.25,224.0,84.25,97.5
P41bc73e83b,76.75,208.0,83.25,103.0
Pd43d378f42,75.25,222.0,81.0,99.0
Pab534e249b,81.0,221.0,82.0,108.0
P79f9e777a1,77.25,204.0,81.0,103.5
Pd2241d6e4b,80.75,250.0,87.0,108.0
P0e7908a570,74.5,181.0,81.0,97.5
P4b1ba6339f,73.0,196.0,80.75,98.5
Pc06b79b843,79.5,220.0,87.0,109.5
P951f092ec6,79.75,240.5,83.25,106.5
Pb36450dd54,81.0,217.0,89.0,111.0
P4b40cf78ae,78.5,213.0,81.5,105.0
P7c1c1e7eac,83.0,250.0,90.0,113.5
P28594efa12,82.75,247.0,88.0,110.0
Pab86c7dfaf,84.5,258.0,89.5,113.0
Pdfe2a49906,81.5,255.0,83.25,106.0
P552ea773e2,76.25,200.0,78.0,99.5
P486b5c76fa,79.5,221.0,86.5,103.5
Pfcb4575061,84.0,241.0,90.0,114.5
Pb00deeb55d,74.25,198.0,82.0,98.5
Pb48635a7c4,82.25,240.0,82.5,105.5
P7c81e9aca5,82.25,197.0,87.0,109.0
P2d45174d7f,74.5,196.0,80.0,98.5
P1ca581fef0,72.0,183.8,76.5,95.0
Pb047bb4747,74.0,166.2,79.25,98.0
P597d181897,76.5,199.0,80.0,101.0
P8482acfde2,77.5,193.0,82.0,104.0
P67ee7c4408,75.5,192.0,79.75,100.0
P6d59a1d0fb,76.0,199.0,81.25,103.0
Pebc69ca1f1,78.5,236.2,86.0,107.5
P4f7ec9f72f,82.0,239.6,85.0,107.0
P57a6e7dc53,74.25,182.4,81.75,100.0
P5e4e4a8cf1,78.5,276.6,86.0,106.5
Pe7ad570728,80.5,224.6,86.5,107.5
P922c03ccad,79.0,206.4,79.0,101.0
P117b8ca478,79.75,207.2,82.0,105.0
P7d7c4d5568,81.25,211.2,81.25,106.5
Pc430805a15,82.25,228.4,86.5,109.5
P8afd917a6c,73.5,166.2,75.0,96.5
P3326a2a68b,80.25,227.4,83.0,106.5
P7b8c6b66e0,75.25,181.0,75.5,97.0
P7ef2b1cf05,82.75,191.8,86.75,110.0
Pad8e6fd6b0,78.5,211.2,81.0,102.5
Pc99e2f6730,74.0,183.4,78.0,97.5
P6fd4123c4d,77.25,202.4,78.5,100.0
Pe2d0a4cddd,77.25,220.6,83.25,104.0
P1738f63a26,72.75,195.6,76.0,95.5
P38fd19ed26,81.75,214.4,88.0,109.0
P456fdc6328,78.5,208.0,82.0,103.0
P146ec7320a,82.0,248.4,83.25,105.0
P4c4f563b8c,81.5,234.2,83.5,106.0
P2acc089d0e,77.25,222.0,82.75,103.5
Pef77516e2b,77.0,214.6,82.25,102.5
P3391f209f3,82.25,232.4,85.5,108.0
Pab257f8a15,76.25,199.0,79.0,100.5
P60425a0c89,79.75,257.2,84.75,105.5
