pid,cmb_bench,cmb_bmi,cmb_body_fat,cmb_hand_len,cmb_hand_width,cmb_lane_agility,cmb_max_vert,cmb_mod_lane_agility,cmb_offdrib_att,cmb_offdrib_pct,cmb_onmove_att,cmb_onmove_pct,cmb_reach_minus_height,cmb_spot15_att,cmb_spot15_pct,cmb_spotcol_att,cmb_spotcol_pct,cmb_spotnba_att,cmb_spotnba_pct,cmb_sprint,cmb_stand_vert,cmb_wing_minus_height
Pd1e82d8666,13.0,29.58,,,,11.83,29.0,,,,,,28.75,,,,,,,3.38,25.5,6.25
P91ba0ccfb7,,23.78,,,,11.53,29.5,,,,,,25.25,,,,,,,3.55,26.0,1.25
P1f7c85948b,2.0,23.26,,,,,,,,,,,27.5,,,,,,,,,3.25
P8b55924f31,6.0,23.48,,,,10.48,42.5,,,,,,24.0,,,,,,,3.06,36.0,1.5
P4d044e6517,0.0,21.02,,,,,,,,,,,26.0,,,,,,,,,5.5
P07fb065f28,6.0,29.53,,,,10.59,32.0,,,,,,24.0,,,,,,,3.32,27.5,4.5
P4f8c953cc8,2.0,23.32,,,,11.6,30.0,,,,,,24.75,,,,,,,3.44,27.0,-0.75
P9a587a1a63,13.0,24.03,,,,11.12,38.5,,,,,,21.25,,,,,,,3.18,35.0,4.25
P189ad0416e,9.0,23.24,,,,10.55,37.5,,,,,,24.75,,,,,,,3.22,33.0,3.0
P7903308993,9.0,23.39,,,,11.7,33.5,,,,,,23.75,,,,,,,3.34,29.5,4.25
P8df0a8788c,15.0,24.63,,,,11.23,32.5,,,,,,26.25,,,,,,,,33.0,5.25
P1d1b852c8c,5.0,24.1,,,,11.12,38.5,,,,,,23.25,,,,,,,3.27,29.5,3.75
P39bae689b5,,23.96,,,,11.32,33.0,,,,,,25.5,,,,,,,3.28,27.5,2.5
Pd5c75d3b01,12.0,21.16,,,,10.85,34.5,,,,,,23.0,,,,,,,3.24,31.0,-1.0
Pc3df7f8dbd,13.0,25.98,,,,12.12,33.5,,,,,,24.5,,,,,,,3.46,30.5,4.5
P0e7eb7e056,20.0,25.51,,,,11.52,35.0,,,,,,24.0,,,,,,,3.33,33.0,2.5
P98015d62ae,15.0,26.75,,,,11.38,35.0,,,,,,26.0,,,,,,,3.45,28.0,5.0
P497243f189,6.0,25.05,,,,10.93,35.0,,,,,,26.0,,,,,,,3.2,28.5,4.0
P620c88aaa1,17.0,24.63,,,,11.79,36.5,,,,,,25.0,,,,,,,3.3,33.5,4.0
Paff659398c,9.0,23.31,,,,10.4,34.0,,,,,,25.5,,,,,,,3.1,27.5,2.75
P65db320efe,12.0,25.54,,,,12.06,31.0,,,,,,25.25,,,,,,,3.34,27.0,4.25
P2899765f70,11.0,24.46,,,,11.66,32.5,,,,,,26.0,,,,,,,,29.0,2.5
P9aa2c80a45,8.0,24.25,,,,11.62,31.0,,,,,,21.0,,,,,,,3.44,26.0,0.5
P6c17983aad,12.0,22.59,,,,11.32,21.0,,,,,,24.5,,,,,,,3.22,33.0,2.0
Pd764197a9d,15.0,25.3,,,,12.45,30.0,,,,,,27.75,,,,,,,3.43,24.5,4.75
P07655923d4,12.0,25.38,5.3,,,,36.0,,,,,,25.25,,,,,,,3.25,31.5,7.25
Pcba63fe240,6.0,23.19,9.3,,,10.91,37.0,,,,,,24.0,,,,,,,3.2,30.0,6.0
P1d7e465328,12.0,25.0,9.3,,,10.95,33.0,,,,,,24.75,,,,,,,3.3,29.5,2.25
Pbd83a701c7,15.0,25.33,6.7,,,10.59,38.0,,,,,,23.0,,,,,,,3.12,31.5,5.0
Pc5a3285209,6.0,24.7,6.0,,,11.84,31.0,,,,,,27.5,,,,,,,3.33,26.5,4.5
P3a25271b04,13.0,24.03,9.3,,,11.11,30.0,,,,,,25.5,,,,,,,3.35,27.0,4.0
P002581103b,12.0,22.55,6.7,,,9.65,32.5,,,,,,28.0,,,,,,,3.15,26.0,6.25
P3f83cdea39,17.0,25.41,8.9,,,11.59,33.0,,,,,,26.0,,,,,,,3.45,30.0,3.0
Pf532d918b8,6.0,22.05,6.7,,,11.81,37.0,,,,,,24.25,,,,,,,3.27,32.0,3.5
Pc7c312fdc1,2.0,22.59,6.7,,,12.13,33.5,,,,,,26.5,,,,,,,3.36,31.0,3.5
P75d87cd190,8.0,26.08,12.9,,,12.1,28.5,,,,,,27.75,,,,,,,3.54,25.5,6.25
Pc0e2cf5bcc,10.0,26.84,15.2,,,11.65,29.0,,,,,,22.75,,,,,,,3.6,23.0,5.75
Pc0571f7238,9.0,25.99,5.5,,,10.77,35.5,,,,,,20.5,,,,,,,3.2,31.0,6.0
Pe88af25410,16.0,31.09,16.5,,,12.25,31.0,,,,,,28.5,,,,,,,3.53,28.0,8.0
P0fd2ff4395,15.0,32.83,21.0,,,12.37,25.5,,,,,,31.0,,,,,,,3.56,21.5,8.5
Pf7459f37f3,22.0,26.72,4.0,,,10.08,37.5,,,,,,24.75,,,,,,,3.12,34.5,3.75
P0a2d28a2d0,21.0,29.58,8.0,,,11.7,36.5,,,,,,22.25,,,,,,,3.16,34.5,2.25
