pid,y_gl_s1_gp,y_gl_s1_min,y_gl_s1_net,y_gl_s1_pie,y_gl_s1_prod36,y_gl_s1_pts36,y_gl_s1_ts,y_gl_s1_usg,y_gl_s2_gp,y_gl_s2_min,y_gl_s2_net,y_gl_s2_pie,y_gl_s2_prod36,y_gl_s2_pts36,y_gl_s2_ts,y_gl_s2_usg,y_gl_s3_gp,y_gl_s3_min,y_gl_s3_net,y_gl_s3_pie,y_gl_s3_prod36,y_gl_s3_pts36,y_gl_s3_ts,y_gl_s3_usg,y_gl_s4_gp,y_gl_s4_min,y_gl_s4_net,y_gl_s4_pie,y_gl_s4_prod36,y_gl_s4_pts36,y_gl_s4_ts,y_gl_s4_usg,y_gl_s5_gp,y_gl_s5_min,y_gl_s5_net,y_gl_s5_pie,y_gl_s5_prod36,y_gl_s5_pts36,y_gl_s5_ts,y_gl_s5_usg
P6ce52469e7,1,40.2,8.6,0.183,27.78,16.13,0.615,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P26a739545e,,,,,,,,,48,1353.0,-4.8,0.005,1.04,0.82,0.647,0.009,,,,,,,,,,,,,,,,,,,,,,,,
Pf532d918b8,,,,,,,,,,,,,,,,,,,,,,,,,1,43.8,-4.5,0.107,27.12,18.9,0.494,0.304,,,,,,,,
P1f7c85948b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,369.9,-10.2,0.076,22.09,14.11,0.484,0.236
P06d8dc5829,,,,,,,,,41,1295.3,-6.1,0.001,0.39,0.22,0.463,0.004,24,710.6,4.4,0.097,25.13,14.49,0.497,0.214,,,,,,,,,,,,,,,,
P1bd862cc0f,,,,,,,,,,,,,,,,,,,,,,,,,1,12.8,-16.4,-0.068,14.04,14.04,0.512,0.188,,,,,,,,
P563df84956,,,,,,,,,,,,,,,,,,,,,,,,,46,1511.0,-7.6,0.0,0.0,0.0,0.0,0.0,,,,,,,,
P73f5726100,,,,,,,,,,,,,,,,,,,,,,,,,24,678.9,3.9,0.002,0.8,0.64,0.542,0.01,,,,,,,,
P42e64d32a8,,,,,,,,,12,254.1,9.4,0.001,1.13,0.85,0.436,0.012,26,617.0,-4.5,0.094,25.03,13.77,0.492,0.179,50,1147.9,5.1,0.102,27.0,16.87,0.573,0.189,,,,,,,,
Pc5a3285209,,,,,,,,,,,,,,,,,,,,,,,,,38,956.8,1.0,0.01,2.18,1.17,0.633,0.015,,,,,,,,
Pcf7f47cd26,,,,,,,,,,,,,,,,,23,723.9,-0.3,0.009,2.44,1.99,0.524,0.026,,,,,,,,,,,,,,,,
Pa33e366fdf,,,,,,,,,,,,,,,,,,,,,,,,,42,1553.1,-2.1,0.006,0.83,0.49,0.702,0.005,5,130.5,-7.5,0.109,25.1,15.45,0.515,0.199
P403a83bdf0,27,757.3,7.4,0.124,23.86,12.98,0.517,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb5af3844f5,17,600.8,7.0,0.122,27.39,18.22,0.532,0.229,,,,,,,,,,,,,,,,,4,146.6,-4.1,0.093,24.31,17.68,0.527,0.235,,,,,,,,
P0a4d4ad000,23,582.6,3.6,0.074,19.03,13.78,0.542,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1dfb3826fd,18,512.3,6.7,0.161,32.04,21.64,0.701,0.214,22,773.7,11.8,0.16,32.52,19.31,0.667,0.202,,,,,,,,,,,,,,,,,,,,,,,,
P63a21fbef6,6,147.5,7.8,0.14,27.82,16.35,0.584,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23c2e6b3e7,,,,,,,,,33,1175.1,0.5,0.129,25.64,17.19,0.537,0.222,,,,,,,,,43,1626.3,-5.2,0.142,27.45,17.49,0.58,0.213,,,,,,,,
P8eebd87e26,,,,,,,,,47,1258.4,-2.4,0.117,24.06,16.62,0.569,0.204,29,844.2,0.6,0.121,26.82,19.23,0.545,0.245,,,,,,,,,,,,,,,,
P5895ae6315,,,,,,,,,,,,,,,,,39,900.9,3.6,0.095,23.9,16.34,0.609,0.195,24,701.9,6.8,0.088,25.13,18.0,0.58,0.228,,,,,,,,
Pbd8640195d,44,1763.4,2.3,0.134,28.72,20.58,0.552,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa68189cdce,10,272.0,3.9,0.124,29.91,23.69,0.572,0.267,18,473.3,-10.8,0.093,28.22,22.82,0.576,0.231,,,,,,,,,,,,,,,,,,,,,,,,
P43e7adb565,30,1121.7,4.5,0.135,27.28,20.99,0.578,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P690d8b352a,1,24.7,-21.2,0.105,32.04,23.3,0.542,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P19de9513b3,11,310.0,9.3,0.074,21.83,16.26,0.528,0.224,8,251.6,2.0,0.142,27.76,19.74,0.629,0.201,,,,,,,,,,,,,,,,,,,,,,,,
Pfe4a1d82f4,,,,,,,,,,,,,,,,,,,,,,,,,45,731.0,-0.9,0.068,18.67,7.68,0.595,0.108,47,1084.6,-1.8,0.073,18.92,7.7,0.617,0.093
Pf1999192da,14,482.0,12.1,0.169,27.04,12.1,0.576,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3914f363fb,43,866.3,-0.9,0.082,22.73,14.5,0.584,0.184,48,992.2,1.5,0.098,26.89,13.9,0.558,0.172,11,251.7,-0.4,0.113,25.46,14.45,0.656,0.17,,,,,,,,,,,,,,,,
Pa2e0858910,,,,,,,,,,,,,,,,,45,1649.6,1.8,0.087,18.92,8.34,0.494,0.136,,,,,,,,,,,,,,,,
P2b78092e41,3,124.9,4.9,0.125,22.48,15.27,0.481,0.206,31,1239.2,6.1,0.149,29.52,18.68,0.599,0.226,,,,,,,,,,,,,,,,,,,,,,,,
Pbc201d669f,,,,,,,,,29,964.0,-3.2,0.116,22.78,15.01,0.621,0.176,,,,,,,,,,,,,,,,,,,,,,,,
Pc9a523c1e4,,,,,,,,,6,123.9,-12.1,0.146,28.76,21.21,0.548,0.267,,,,,,,,,,,,,,,,,,,,,,,,
Pb945050559,26,810.0,7.7,0.112,25.64,10.31,0.533,0.142,2,81.0,14.7,0.111,26.21,10.22,0.52,0.137,,,,,,,,,34,1109.0,-3.5,0.136,30.45,16.78,0.632,0.193,48,1921.0,3.7,0.155,31.6,15.87,0.644,0.18
P4abddfb1a4,6,175.3,15.8,0.138,32.46,20.95,0.547,0.257,,,,,,,,,,,,,,,,,13,367.8,8.5,0.066,23.39,12.63,0.446,0.214,47,1491.2,6.3,0.132,30.95,18.42,0.543,0.226
P5104e01e75,14,358.3,-0.3,0.115,25.52,14.77,0.513,0.204,,,,,,,,,,,,,,,,,,,,,,,,,38,1282.8,6.5,0.084,20.46,13.41,0.568,0.164
P2b413e3467,,,,,,,,,46,1587.7,0.5,0.126,28.23,18.39,0.539,0.223,,,,,,,,,,,,,,,,,50,2022.9,1.2,0.138,30.88,18.81,0.521,0.261
Pc6a39f466a,46,1275.5,2.3,0.096,25.88,16.09,0.494,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P063b0ea350,3,68.3,-8.7,0.073,26.87,18.44,0.399,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P81f3558def,9,225.3,-18.6,0.077,24.29,17.1,0.492,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3b6ec2df2f,,,,,,,,,,,,,,,,,45,1549.8,7.8,0.128,27.2,17.89,0.515,0.247,,,,,,,,,,,,,,,,
P9f79255649,,,,,,,,,,,,,,,,,32,525.5,0.2,0.091,28.22,18.22,0.598,0.229,5,93.1,1.8,0.095,28.61,17.01,0.565,0.206,48,1075.3,-1.5,0.142,31.94,19.95,0.595,0.241
P55b27de869,35,1226.7,2.8,0.139,24.68,17.28,0.603,0.19,,,,,,,,,,,,,,,,,21,626.6,0.2,0.099,25.45,18.21,0.58,0.185,,,,,,,,
P023105521e,3,88.7,3.2,0.187,29.63,21.51,0.739,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P959d20dcac,11,331.1,-5.2,0.112,28.38,21.2,0.579,0.259,22,659.0,2.2,0.147,31.63,18.74,0.546,0.245,16,609.5,7.8,0.146,34.25,22.38,0.63,0.237,,,,,,,,,,,,,,,,
Pe0f44d3916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,800.0,0.5,0.102,21.01,12.33,0.578,0.162
Pbb4d6101de,10,370.3,0.6,0.136,30.43,19.25,0.551,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pef98a54ad0,36,885.6,9.1,0.098,23.7,11.99,0.553,0.162,34,806.4,4.5,0.091,25.27,14.24,0.545,0.178,,,,,,,,,,,,,,,,,,,,,,,,
Pd51bbef7c1,,,,,,,,,,,,,,,,,,,,,,,,,14,194.1,-0.5,0.092,19.28,15.02,0.543,0.194,22,331.0,-7.6,0.057,15.99,13.05,0.508,0.181
Pf804162018,8,201.4,-4.3,0.054,18.95,15.37,0.461,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11475d8eed,15,280.8,1.1,0.075,22.7,13.46,0.56,0.182,3,55.6,-15.4,0.039,14.9,9.72,0.43,0.16,,,,,,,,,,,,,,,,,,,,,,,,
Pbe0a02c2fd,11,232.4,-4.4,0.084,21.37,14.25,0.533,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf7c6d819f2,19,608.4,-3.6,0.079,22.96,16.21,0.514,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3dd5c6b05b,,,,,,,,,,,,,,,,,16,400.6,8.3,0.13,29.39,16.18,0.552,0.198,20,476.2,-4.5,0.091,30.17,19.43,0.476,0.266,,,,,,,,
P4caf77098c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,502.5,-3.8,0.102,23.57,17.98,0.518,0.22
Pf747d30e9b,47,777.9,1.8,0.098,21.94,14.86,0.569,0.181,45,1138.6,-2.1,0.116,26.62,16.44,0.546,0.195,,,,,,,,,,,,,,,,,,,,,,,,
Pd2c0348ebe,,,,,,,,,18,606.8,2.3,0.166,33.04,21.0,0.609,0.245,,,,,,,,,,,,,,,,,,,,,,,,
P0685226773,,,,,,,,,11,206.0,0.1,0.07,24.12,12.76,0.549,0.183,,,,,,,,,,,,,,,,,,,,,,,,
Pffd0721d82,,,,,,,,,43,1309.4,-3.0,0.105,26.59,17.62,0.602,0.214,33,897.1,5.9,0.1,25.56,17.42,0.572,0.237,,,,,,,,,,,,,,,,
Pb87f242f46,21,635.2,9.6,0.143,27.94,20.69,0.563,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2cb7a6fa13,,,,,,,,,,,,,,,,,3,25.2,-30.4,-0.048,11.44,7.15,0.25,0.179,,,,,,,,,,,,,,,,
P485a20a47a,12,259.1,-3.8,0.108,22.79,19.73,0.555,0.26,38,1073.0,2.0,0.115,27.85,21.84,0.559,0.28,49,1707.8,4.0,0.122,29.51,22.41,0.562,0.277,,,,,,,,,,,,,,,,
Pbc9cc4070d,,,,,,,,,8,178.6,-3.2,0.056,21.56,13.5,0.5,0.199,,,,,,,,,,,,,,,,,,,,,,,,
Pc1044ed1f5,15,412.4,-8.8,0.113,28.29,17.02,0.567,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf436b2be04,,,,,,,,,,,,,,,,,33,1109.7,2.1,0.117,24.33,15.83,0.533,0.202,,,,,,,,,,,,,,,,
P6d016b475a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1143.7,-2.2,0.134,26.5,17.34,0.496,0.263
P83f985b4bd,8,140.9,-1.0,0.07,19.42,15.08,0.436,0.23,42,1359.5,4.6,0.12,29.15,23.41,0.612,0.244,,,,,,,,,,,,,,,,,,,,,,,,
P3928bad8a7,29,1098.0,-1.1,0.13,28.13,22.85,0.607,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd53814d6fa,,,,,,,,,34,757.2,1.7,0.1,20.54,10.46,0.464,0.16,44,823.5,-6.8,0.09,20.59,11.76,0.47,0.174,39,507.5,6.4,0.08,20.85,12.48,0.464,0.179,,,,,,,,
Pd650e439a2,,,,,,,,,26,746.9,-6.0,0.108,25.35,19.76,0.635,0.237,,,,,,,,,,,,,,,,,,,,,,,,
Pa24efaf8fd,5,130.9,-5.8,0.097,28.88,18.15,0.557,0.235,,,,,,,,,,,,,,,,,22,712.9,8.1,0.182,37.17,25.55,0.659,0.289,,,,,,,,
Pf037b649bc,2,34.2,-14.9,0.135,37.89,30.53,0.688,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15657a7054,16,636.7,2.2,0.159,29.97,20.58,0.64,0.227,,,,,,,,,18,620.6,2.9,0.082,24.83,15.43,0.492,0.219,,,,,,,,,,,,,,,,
Pa09c3091c5,,,,,,,,,50,1913.5,-6.8,0.105,22.75,15.48,0.548,0.197,,,,,,,,,,,,,,,,,,,,,,,,
P16796cf3ab,,,,,,,,,,,,,,,,,3,73.0,-13.4,0.132,24.64,13.8,0.521,0.173,,,,,,,,,,,,,,,,
Pe4baee43bf,3,73.4,5.4,0.118,32.85,20.1,0.516,0.235,5,139.9,2.5,0.075,24.7,15.95,0.52,0.204,49,1684.9,2.9,0.114,26.52,16.9,0.586,0.203,,,,,,,,,,,,,,,,
P2815fbec81,14,567.9,3.2,0.146,27.51,13.57,0.522,0.194,,,,,,,,,48,2036.7,-3.6,0.129,24.8,16.47,0.6,0.199,,,,,,,,,,,,,,,,
P3765a7e186,23,598.7,10.0,0.102,24.35,16.36,0.557,0.185,,,,,,,,,,,,,,,,,38,1066.7,2.1,0.083,20.55,10.93,0.518,0.151,38,1112.9,-4.6,0.098,21.71,11.87,0.552,0.156
Pebd90a92ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,892.0,-7.3,0.113,26.8,17.48,0.52,0.237
Pbdc6b072d0,28,800.9,1.9,0.117,25.58,15.01,0.494,0.208,22,612.1,-1.1,0.079,20.41,12.59,0.471,0.184,50,2230.9,0.2,0.107,24.48,12.96,0.492,0.189,50,2118.0,7.3,0.13,25.46,12.93,0.516,0.191,48,2058.9,5.5,0.124,26.8,16.23,0.548,0.208
Pc858ff68e6,10,280.3,3.2,0.085,20.29,13.36,0.56,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9ba3c3f8a6,32,1048.9,-5.0,0.119,28.32,21.86,0.571,0.254,33,1263.5,-2.6,0.136,29.17,23.19,0.619,0.251,,,,,,,,,49,1865.5,4.0,0.129,28.72,22.42,0.595,0.253,,,,,,,,
P7f2c8eb929,,,,,,,,,14,535.5,1.9,0.129,24.81,18.15,0.561,0.234,24,838.3,6.9,0.125,26.67,16.92,0.562,0.213,,,,,,,,,,,,,,,,
Pb74259d44e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1527.2,4.8,0.126,25.06,16.36,0.555,0.201
P8be75213cc,8,292.7,4.0,0.191,37.51,26.81,0.63,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2650c293bf,8,215.9,9.7,0.142,26.18,12.84,0.702,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P51a666d7f5,15,518.4,3.7,0.118,23.61,17.01,0.574,0.215,,,,,,,,,34,1397.0,-0.4,0.15,28.22,22.68,0.669,0.239,,,,,,,,,,,,,,,,
Pddd42c77c5,,,,,,,,,,,,,,,,,28,892.3,1.5,0.107,26.87,15.65,0.517,0.205,,,,,,,,,,,,,,,,
Pe929ebb536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,84.5,-20.2,0.011,12.35,7.67,0.363,0.197
P05a3993fb1,33,1026.5,0.8,0.092,25.01,20.27,0.535,0.239,12,469.1,-5.4,0.126,28.86,23.33,0.533,0.276,,,,,,,,,,,,,,,,,,,,,,,,
Pa3bf9b334b,,,,,,,,,,,,,,,,,,,,,,,,,18,383.9,10.8,0.066,22.04,15.19,0.477,0.23,,,,,,,,
