pid,gt_ratio,gt_peak_ratio,gt_last30_ratio,gt_trend,gt_zero_share,gt_days_above10,gt_topic,gt_class_pct
P90d6ceb081,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pd7c45f2e6c,0.0034,0.02,0.0,1.0,0.981,0,0,0.815
Pc064a30c43,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P9fd480084b,0.0204,0.03,0.0,0.756,0.9,0,0,0.926
Pf120e8dc11,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pe356195976,0.0061,0.05,0.0,0.928,0.983,0,0,0.85
Pc25f9380ba,0.0166,0.17,0.0,0.756,0.954,1,0,0.917
Pb7270acc46,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P2bc6f2a3aa,0.0234,0.09,0.0,0.703,0.881,0,0,0.92
Pac178f1473,0.0034,0.01,0.0,0.947,0.976,0,0,0.815
Peb9997d32a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pb74dcb5e35,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pc451072a63,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P8cc9424d6a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P64fe10bf34,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P9b886526e3,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P7c5fe0ebd3,0.0009,0.01,0.0,0.989,0.994,0,0,0.4
Pe05466ea0a,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pec8256037d,0.0,0.0,0.0,1.0,1.0,0,1,0.0
P6521ad0003,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P6a7cb1d3a8,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P7bf5b1ca03,0.0009,0.01,0.0,1.0,0.994,0,0,0.58
Pe46a376580,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pbe0b54a1e9,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pe28113186c,0.0007,0.01,0.0,0.989,0.995,0,0,0.593
P606c98790a,0.0007,0.01,0.0,0.989,0.995,0,0,0.593
P44ea7b86af,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P16dc90cb0b,0.006,0.02,0.0,0.918,0.966,0,0,0.838
P61afdc25a4,0.07,0.15,0.0606,1.034,0.684,1,0,0.981
Pdde13713ff,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P48e5247a2d,0.0,0.0,0.0,1.0,1.0,0,0,0.0
Pa93866e530,0.001,0.01,0.0,0.978,0.989,0,0,0.646
P0c63cafc6d,0.0,0.0,0.0,1.0,1.0,0,0,0.0
P60da7b4537,0.0455,0.12,0.0,0.596,0.809,1,0,0.963
Pafb050f1ad,0.0,0.0,0.0,1.0,1.0,0,0,0.0
