pid,draft_year,actual_pick,player_name,nba_id
Pfb151947b8,2000,1.0,Kenyon Martin,2030.0
Pb9c8134dba,2000,2.0,Stromile Swift,2031.0
P70be92ee2a,2000,3.0,Darius Miles,2032.0
P7aebb4f3da,2000,4.0,Marcus Fizer,2033.0
Pe4182c4c9a,2000,5.0,Mike Miller,2034.0
Pdaa5dc2ffe,2000,6.0,DerMarr Johnson,2035.0
P0a16bf5dcd,2000,7.0,Chris Mihm,2036.0
P4d044e6517,2000,8.0,Jamal Crawford,2037.0
P332366fd23,2000,9.0,Joel Przybilla,2038.0
Pf596e595fa,2000,10.0,Keyon Dooling,2039.0
P2225ba1e79,2000,11.0,Jerome Moiso,2040.0
Pa1cb69e2d5,2000,12.0,Etan Thomas,2041.0
Pbd1bd31363,2000,13.0,Courtney Alexander,2042.0
P049a006ba4,2000,14.0,Mateen Cleaves,2043.0
Pf2b2bf7c90,2000,15.0,Jason Collier,2044.0
P382ba08b06,2000,16.0,Hedo Turkoglu,2045.0
Pdfcccbc0ee,2000,17.0,Desmond Mason,2046.0
P180bfe573f,2000,18.0,Quentin Richardson,2047.0
P5ea8063b82,2000,19.0,Jamaal Magloire,2048.0
P8b55924f31,2000,20.0,Speedy Claxton,2049.0
P360a02c8f3,2000,21.0,Morris Peterson,2050.0
P8df0a8788c,2000,22.0,Donnell Harvey,2051.0
P22993a7ac8,2000,23.0,DeShawn Stevenson,2052.0
P52ae6ebde1,2000,24.0,Dalibor Bagaric,2053.0
P3ef49a42d2,2000,25.0,Jake Tsakalidis,2054.0
Pa5a2a6e8b9,2000,26.0,Mamadou N'Diaye,2055.0
P91ba0ccfb7,2000,27.0,Primoz Brezec,2056.0
P8b719e2981,2000,28.0,Erick Barkley,2057.0
Pc3df7f8dbd,2000,29.0,Mark Madsen,2058.0
P39bae689b5,2000,30.0,Marko Jaric,2060.0
Pd5c75d3b01,2000,31.0,Dan Langhi,2061.0
P189ad0416e,2000,32.0,A.J. Guyton,2062.0
Pefcb67dee7,2000,33.0,Jake Voskuhl,2063.0
P07fb065f28,2000,34.0,Khalid El-Amin,2064.0
P6c17983aad,2000,35.0,Mike Smith,2065.0
P0b8d4db24c,2000,36.0,Soumaila Samake,2066.0
P1d1b852c8c,2000,37.0,Eddie House,2067.0
P98015d62ae,2000,38.0,Eduardo Najera,2059.0
P620c88aaa1,2000,39.0,Lavor Postell,2068.0
P69d740b582,2000,40.0,Hanno Mottola,2069.0
P9c1ee88716,2000,42.0,Olumide Oyedeji,2071.0
P65db320efe,2000,43.0,Michael Redd,2072.0
Pfdb326aa01,2000,44.0,Brian Cardinal,2073.0
Pd764197a9d,2000,45.0,Jabari Smith,2074.0
P7903308993,2000,49.0,Jason Hart,2078.0
P1c5dc0dbc6,2000,50.0,Kaniel Dickens,2079.0
Paff659398c,2000,51.0,Igor Rakocevic,2080.0
P1f7c85948b,2000,52.0,Ernest Brown,2081.0
P0e7eb7e056,2000,53.0,Dan McClintock,2082.0
P497243f189,2000,55.0,Chris Porter,2084.0
P8955b1a9c4,2000,,Wang Zhizhi,
P9e0485e8f6,2000,,Jamal Robinson,1554.0
Pd72f71c2bb,2000,,Art Long,1609.0
P2864fd765b,2000,,Steve Goodrich,1864.0
P530a84e49c,2000,,Andy Panko,1950.0
P3cfed129a3,2000,,Ira Newble,1956.0
