pid,colw_ast36,colw_blk36,colw_fg3_pct,colw_fg_pct,colw_ft_pct,colw_gp,colw_mpg,colw_n_seasons,colw_pts36,colw_reb36,colw_season_end,colw_stl36,intl2_adj_pts36,intl2_age,intl2_ast36,intl2_best_strength,intl2_blk36,intl2_career_best_level,intl2_career_best_strength,intl2_el_ast_ratio,intl2_el_drb_pct,intl2_el_efg,intl2_el_ftr,intl2_el_gp,intl2_el_league,intl2_el_mpg,intl2_el_orb_pct,intl2_el_p3ar,intl2_el_pir36,intl2_el_pts36,intl2_el_tov_ratio,intl2_el_ts,intl2_fg3_pct,intl2_fg_pct,intl2_ft_pct,intl2_gp,intl2_has_college_rows,intl2_has_pro,intl2_known_league,intl2_level,intl2_minutes,intl2_mpg,intl2_n_seasons,intl2_pir36,intl2_prev_minutes,intl2_prev_mpg,intl2_prev_pts36,intl2_pts36,intl2_reb36,intl2_season_end,intl2_season_gap,intl2_seasons_gp,intl2_stl36,intl2_strength,intl2_tov36,intl2_two_ast36,intl2_two_fg_pct,intl2_two_minutes,intl2_two_pts36,intl2_two_reb36,intl2_two_strength,intl2_youth_minutes,intl2_youth_n,intl2_youth_pts36
P58604dcdcf,3.0,0.444,0.314,0.45699999999999996,0.587,37.0,32.4,4,15.556,7.333,2017,0.889,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P16f60c6002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P3e493925a2,,,,,,,,,,,,,11.278,18.95,6.7215,0.55,0.1139,3,0.55,,,,,,,,,,,,,,0.342,0.478,0.574,12.0,0,1,1,3,379.2,31.6,1,,,,,20.5063,7.1772,2015,0,2015:12:12,1.8228,0.55,,6.722,0.478,379.2,20.506,7.177,0.55,,,
Pa779a7b0cf,,,,,,,,,,,,,16.324,20.73,1.0328,0.9,0.6739,4,1.0,6.9,19.0,52.4,0.368,16.0,EuroCup,16.62,13.7,0.025,22.304,19.272,15.7,57.6,0.1894,0.5321,0.7198,50.0,0,1,1,3,983.0,19.66,3,22.3373,506.9,13.7,16.029,18.4138,10.4155,2015,0,2015:50:16/34|2014:37:37|2013:9:3/6,1.648,0.8865,,0.86,0.5474,1489.9,17.603,9.822,0.891,,,
P6c859977a5,3.728,0.0,0.357,0.448,0.925,36.0,36.7,4,20.305,4.316,2015,1.079,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P49f423e70e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P5849f19551,,,,,,,,,,,,,12.497,19.86,2.0518,1.0,0.5596,4,1.0,12.6,16.7,46.4,0.397,27.0,EuroLeague,19.31,4.8,0.28800000000000003,12.488,12.488,10.0,50.7,0.303,0.397,0.667,27.0,0,1,1,4,521.1,19.3,2,12.4974,150.8,11.6,11.793,12.4974,6.9016,2015,0,2015:27:27|2014:13:13,1.3057,1.0,,2.218,0.4058,671.9,12.339,6.537,1.0,,,
P4ba2b4830d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
P04e5776a76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfc32d168da,,,,,,,,,,,,,21.89,26.26,1.3187,1.0,1.1868,4,1.0,6.8,28.6,62.1,0.5329999999999999,24.0,EuroLeague,27.29,13.7,0.0,33.903,21.898,9.3,67.2,,0.621,0.781,24.0,0,1,1,4,655.2,27.3,3,33.8901,199.0,19.9,19.538,21.8901,14.1099,2015,0,2015:24:24|2014:10:10|2011:14:8/6,0.5275,1.0,,1.433,0.6198,854.2,21.342,14.068,1.0,,,
P1ef5f1c321,,,,,,,,,,,,,5.96,21.33,2.1457,1.0,0.2384,4,1.0,,,,,,,,,,,,,,0.143,0.355,0.5,10.0,0,1,1,4,151.0,15.1,1,5.7219,,,,5.9603,6.4371,2014,1,2014:10:10,0.4768,1.0,,2.146,0.355,151.0,5.96,6.437,1.0,,,
P35fcccf6c9,,,,,,,,,,,,,16.5,,0.375,1.0,3.0,4,1.0,,,,,,,,,,,,,,0.0,0.6,0.476,9.0,0,1,1,4,86.4,9.6,2,18.0,262.6,10.1,12.475,16.5,8.625,2015,0,2015:9:9|2014:26:26,1.5,1.0,,0.361,0.6023,349.0,13.472,9.913,1.0,,,
