pid,draft_year,site,rank,ts
P144ed94c77,2023,cbs,1,20230619135814
P664a2ede66,2023,cbs,2,20230619135814
P51e5ade0ce,2023,cbs,3,20230619135814
P1999b4880f,2023,cbs,4,20230619135814
P1e59a7a7a1,2023,cbs,5,20230619135814
P7bf5b1ca03,2023,cbs,6,20230619135814
Pa813594724,2023,cbs,7,20230619135814
P9180c4596b,2023,cbs,8,20230619135814
Pe60cc64195,2023,cbs,9,20230619135814
Pf0ef0714b6,2023,cbs,10,20230619135814
P0035c2f0b3,2023,cbs,11,20230619135814
P2db6f2cc8f,2023,cbs,12,20230619135814
Pa4e79c2199,2023,cbs,13,20230619135814
P6b4a74f110,2023,cbs,14,20230619135814
Pdcc28d7d6b,2023,cbs,15,20230619135814
Pf07b0c62fd,2023,cbs,16,20230619135814
Pd742da0a27,2023,cbs,17,20230619135814
P3dd06c5ebd,2023,cbs,18,20230619135814
Pfdcf13c664,2023,cbs,19,20230619135814
P523c5eb5e6,2023,cbs,20,20230619135814
P47a1cc70a3,2023,cbs,21,20230619135814
P9b886526e3,2023,cbs,22,20230619135814
P6187cee451,2023,cbs,23,20230619135814
P0b253c1504,2023,cbs,24,20230619135814
P0db0d3c576,2023,cbs,25,20230619135814
Pbcdd20a9f9,2023,cbs,26,20230619135814
Pb4a7c38947,2023,cbs,27,20230619135814
P71f8c1b48d,2023,cbs,28,20230619135814
P396ba96b58,2023,cbs,29,20230619135814
P9a144a10c5,2023,cbs,30,20230619135814
P18c14dbf8f,2023,cbs,31,20230619135814
P26ad072598,2023,cbs,32,20230619135814
P655613d84a,2023,cbs,33,20230619135814
P5698276a02,2023,cbs,34,20230619135814
Pf85863f4bd,2023,cbs,35,20230619135814
P737b0588be,2023,cbs,36,20230619135814
Pe1411c667e,2023,cbs,37,20230619135814
Pbf5a7a4d5b,2023,cbs,38,20230619135814
P144ed94c77,2023,espn_ba,1,20230621183935
P664a2ede66,2023,espn_ba,2,20230621183935
P51e5ade0ce,2023,espn_ba,3,20230621183935
P1999b4880f,2023,espn_ba,4,20230621183935
P9180c4596b,2023,espn_ba,5,20230621183935
P1e59a7a7a1,2023,espn_ba,6,20230621183935
P7bf5b1ca03,2023,espn_ba,7,20230621183935
Pa813594724,2023,espn_ba,8,20230621183935
Pe60cc64195,2023,espn_ba,9,20230621183935
Pfdcf13c664,2023,espn_ba,10,20230621183935
Pa4e79c2199,2023,espn_ba,11,20230621183935
Pf07b0c62fd,2023,espn_ba,12,20230621183935
Pdcc28d7d6b,2023,espn_ba,13,20230621183935
Pb4a7c38947,2023,espn_ba,14,20230621183935
Pf0ef0714b6,2023,espn_ba,15,20230621183935
P0b253c1504,2023,espn_ba,16,20230621183935
P523c5eb5e6,2023,espn_ba,17,20230621183935
P6b4a74f110,2023,espn_ba,18,20230621183935
P0035c2f0b3,2023,espn_ba,19,20230621183935
P71f8c1b48d,2023,espn_ba,20,20230621183935
P9a144a10c5,2023,espn_ba,21,20230621183935
P6187cee451,2023,espn_ba,22,20230621183935
P2db6f2cc8f,2023,espn_ba,23,20230621183935
P47a1cc70a3,2023,espn_ba,24,20230621183935
Pbcdd20a9f9,2023,espn_ba,25,20230621183935
P3dd06c5ebd,2023,espn_ba,26,20230621183935
P0db0d3c576,2023,espn_ba,27,20230621183935
P655613d84a,2023,espn_ba,28,20230621183935
P2a6c79e3dc,2023,espn_ba,29,20230621183935
Pd742da0a27,2023,espn_ba,30,20230621183935
P26ad072598,2023,espn_ba,31,20230621183935
P737b0588be,2023,espn_ba,32,20230621183935
P396ba96b58,2023,espn_ba,33,20230621183935
P89e5a35bc7,2023,espn_ba,34,20230621183935
P9b886526e3,2023,espn_ba,35,20230621183935
P7075ac01b8,2023,espn_ba,36,20230621183935
P18c14dbf8f,2023,espn_ba,37,20230621183935
Pe356195976,2023,espn_ba,38,20230621183935
Pbf5a7a4d5b,2023,espn_ba,39,20230621183935
Pc4ba85a58f,2023,espn_ba,40,20230621183935
Pc074e62881,2023,espn_ba,41,20230621183935
P9aef7770b8,2023,espn_ba,42,20230621183935
Pf9f33f79e7,2023,espn_ba,43,20230621183935
Pf85863f4bd,2023,espn_ba,44,20230621183935
P5698276a02,2023,espn_ba,45,20230621183935
P07bb9cb58f,2023,espn_ba,46,20230621183935
P0fe65d2eb8,2023,espn_ba,47,20230621183935
Pe46a376580,2023,espn_ba,48,20230621183935
P5d94de4385,2023,espn_ba,49,20230621183935
P659b205e3c,2023,espn_ba,50,20230621183935
Paf99c23c4d,2023,espn_ba,51,20230621183935
P96b57657ed,2023,espn_ba,52,20230621183935
Pdd1f325a63,2023,espn_ba,53,20230621183935
P7c2cc1d590,2023,espn_ba,54,20230621183935
Pe1411c667e,2023,espn_ba,55,20230621183935
P7589e6b4d5,2023,espn_ba,56,20230621183935
P0e1f032d1f,2023,espn_ba,57,20230621183935
Pa6029bb5a6,2023,espn_ba,58,20230621183935
P4d55024373,2023,espn_ba,59,20230621183935
Pd742da0a27,2023,espn_ba2,1,20230617151255
P0db0d3c576,2023,espn_ba2,2,20230617151255
P9b886526e3,2023,espn_ba2,3,20230617151255
Pbcdd20a9f9,2023,espn_ba2,4,20230617151255
P3dd06c5ebd,2023,espn_ba2,5,20230617151255
P655613d84a,2023,espn_ba2,6,20230617151255
P737b0588be,2023,espn_ba2,7,20230617151255
P89e5a35bc7,2023,espn_ba2,8,20230617151255
Pf9f33f79e7,2023,espn_ba2,9,20230617151255
P2a6c79e3dc,2023,espn_ba2,10,20230617151255
P26ad072598,2023,espn_ba2,11,20230617151255
P396ba96b58,2023,espn_ba2,12,20230617151255
Pe356195976,2023,espn_ba2,13,20230617151255
Pbf5a7a4d5b,2023,espn_ba2,14,20230617151255
P9aef7770b8,2023,espn_ba2,15,20230617151255
P18c14dbf8f,2023,espn_ba2,16,20230617151255
Pf85863f4bd,2023,espn_ba2,17,20230617151255
P7075ac01b8,2023,espn_ba2,18,20230617151255
