pid,draft_year,site,rank,ts
P5a591d3e24,2015,tankathon,1,20150623224153
Pb9c495a67d,2015,tankathon,2,20150623224153
P67cf99c3eb,2015,tankathon,3,20150623224153
P3e493925a2,2015,tankathon,4,20150623224153
Pc3390f55d0,2015,tankathon,5,20150623224153
P9b0b27ae5d,2015,tankathon,6,20150623224153
P11ed05516e,2015,tankathon,7,20150623224153
Pff77feae98,2015,tankathon,8,20150623224153
Peaf1686cc0,2015,tankathon,9,20150623224153
Pf1eb0b11c1,2015,tankathon,10,20150623224153
Pec96a14b85,2015,tankathon,11,20150623224153
Ped4ca8f8d6,2015,tankathon,12,20150623224153
P7d77f683c0,2015,tankathon,13,20150623224153
P2297a93a7f,2015,tankathon,14,20150623224153
P1c43036b93,2015,tankathon,15,20150623224153
P5492e07ad3,2015,tankathon,16,20150623224153
P1b292d5147,2015,tankathon,17,20150623224153
Pce2a43b358,2015,tankathon,18,20150623224153
P8d6369038a,2015,tankathon,19,20150623224153
P9a02cf437c,2015,tankathon,20,20150623224153
P94d904f95a,2015,tankathon,21,20150623224153
P16f77dc0c6,2015,tankathon,22,20150623224153
Pa24dadc449,2015,tankathon,23,20150623224153
Pb4e1522182,2015,tankathon,24,20150623224153
Pb067831a66,2015,tankathon,25,20150623224153
Pd0eaa15469,2015,tankathon,26,20150623224153
Pe71646e585,2015,tankathon,27,20150623224153
P128f74a48f,2015,tankathon,28,20150623224153
P3cfad83e39,2015,tankathon,29,20150623224153
P84b2e1b413,2015,tankathon,30,20150623224153
P0fde3dedb2,2016,tankathon,1,20160620154309
P117a6c6fb1,2016,tankathon,2,20160620154309
P47380ec945,2016,tankathon,3,20160620154309
P53f786523f,2016,tankathon,4,20160620154309
P4ec4ee54f1,2016,tankathon,5,20160620154309
Pf9ebd1b271,2016,tankathon,6,20160620154309
P8a2a3c7c07,2016,tankathon,7,20160620154309
P9155961dd2,2016,tankathon,8,20160620154309
P9264b6e63a,2016,tankathon,9,20160620154309
P88f4dbf943,2016,tankathon,10,20160620154309
Pd856e50561,2016,tankathon,11,20160620154309
P9668122fb9,2016,tankathon,12,20160620154309
P07954fea73,2016,tankathon,13,20160620154309
Pf93789f1b5,2016,tankathon,14,20160620154309
P620501ed0d,2016,tankathon,15,20160620154309
P6f92e02de4,2016,tankathon,16,20160620154309
P88064c1c05,2016,tankathon,17,20160620154309
Pa466887b08,2016,tankathon,18,20160620154309
P1a32cd4176,2016,tankathon,19,20160620154309
P4b59f5fe56,2016,tankathon,20,20160620154309
Pd50459cb6d,2016,tankathon,21,20160620154309
Pc1c99fe2be,2016,tankathon,22,20160620154309
Pc5a8d9d1d6,2016,tankathon,23,20160620154309
P4a1b07df85,2016,tankathon,24,20160620154309
P0edb7d3b99,2016,tankathon,25,20160620154309
Pfa4c05beee,2016,tankathon,26,20160620154309
P64adb31e4d,2016,tankathon,27,20160620154309
Pbfe4edf289,2016,tankathon,28,20160620154309
P25bfc6427b,2016,tankathon,29,20160620154309
Pd7c989b67a,2016,tankathon,30,20160620154309
P85fbcb1dce,2016,tankathon,31,20160620154309
Pddcf4609af,2016,tankathon,32,20160620154309
P9260f65add,2016,tankathon,33,20160620154309
P83cf60968a,2016,tankathon,34,20160620154309
Pf5fb4e36b6,2016,tankathon,35,20160620154309
Pe2eac4ddf4,2016,tankathon,36,20160620154309
Pcf60b82b9d,2016,tankathon,37,20160620154309
P9c2d575f48,2016,tankathon,38,20160620154309
Pb3a7a6f86b,2016,tankathon,39,20160620154309
P55f0d03e7b,2016,tankathon,40,20160620154309
Pf20205fffb,2016,tankathon,41,20160620154309
Pf8b83ac1f0,2016,tankathon,42,20160620154309
Pd5a40a7ee0,2016,tankathon,43,20160620154309
Pa7cb2c7354,2016,tankathon,44,20160620154309
P8935abbbb4,2016,tankathon,45,20160620154309
P55d1c5e102,2016,tankathon,46,20160620154309
P8e900c2247,2016,tankathon,47,20160620154309
Pfd95ad31d4,2016,tankathon,48,20160620154309
Pa307fde308,2016,tankathon,49,20160620154309
Pd46f6361f5,2016,tankathon,50,20160620154309
Paca468f5b5,2016,tankathon,51,20160620154309
Pa8fc4b7ad7,2016,tankathon,52,20160620154309
Pc00908f11e,2016,tankathon,53,20160620154309
P0fde3dedb2,2016,cbs,1,20160621004631
P117a6c6fb1,2016,cbs,2,20160621004631
Pf9ebd1b271,2016,cbs,3,20160621004631
P53f786523f,2016,cbs,4,20160621004631
P47380ec945,2016,cbs,5,20160621004631
P4ec4ee54f1,2016,cbs,6,20160621004631
P9155961dd2,2016,cbs,7,20160621004631
P8a2a3c7c07,2016,cbs,8,20160621004631
P88f4dbf943,2016,cbs,9,20160621004631
P9264b6e63a,2016,cbs,10,20160621004631
P9668122fb9,2016,cbs,11,20160621004631
Pd856e50561,2016,cbs,12,20160621004631
P1a32cd4176,2016,cbs,13,20160621004631
P07954fea73,2016,cbs,14,20160621004631
P620501ed0d,2016,cbs,15,20160621004631
Pf93789f1b5,2016,cbs,16,20160621004631
P88064c1c05,2016,cbs,17,20160621004631
P6f92e02de4,2016,cbs,18,20160621004631
P64adb31e4d,2016,cbs,19,20160621004631
Pa466887b08,2016,cbs,20,20160621004631
Pbfe4edf289,2016,cbs,21,20160621004631
P25bfc6427b,2016,cbs,22,20160621004631
Pc5a8d9d1d6,2016,cbs,23,20160621004631
P4b59f5fe56,2016,cbs,24,20160621004631
Pc1c99fe2be,2016,cbs,25,20160621004631
Pddcf4609af,2016,cbs,26,20160621004631
Pd50459cb6d,2016,cbs,27,20160621004631
P0edb7d3b99,2016,cbs,28,20160621004631
Pfa4c05beee,2016,cbs,29,20160621004631
Pd5a40a7ee0,2016,cbs,30,20160621004631
P25e61f80f8,2017,tankathon,1,20170620185707
P6e7d02b021,2017,tankathon,2,20170620185707
Pe56ae9c7aa,2017,tankathon,3,20170620185707
P8a2034c01d,2017,tankathon,4,20170620185707
P6f43cf2ee3,2017,tankathon,5,20170620185707
P4a000d48b0,2017,tankathon,6,20170620185707
Pe3864f9800,2017,tankathon,7,20170620185707
P46cfb45fde,2017,tankathon,8,20170620185707
Pbe6ed6fd51,2017,tankathon,9,20170620185707
Pf62abcdcde,2017,tankathon,10,20170620185707
P1e22570fac,2017,tankathon,11,20170620185707
Pe6fe5c747b,2017,tankathon,12,20170620185707
P49d50fc2b5,2017,tankathon,13,20170620185707
P3e0fd9667f,2017,tankathon,14,20170620185707
P71b16faf7a,2017,tankathon,15,20170620185707
P2c3a1eb46b,2017,tankathon,16,20170620185707
Pdb3bcb3fc8,2017,tankathon,17,20170620185707
P0af0ac79ae,2017,tankathon,18,20170620185707
Pd808e1b5f8,2017,tankathon,19,20170620185707
Pcc7ddb9ab9,2017,tankathon,20,20170620185707
P54d4de841c,2017,tankathon,21,20170620185707
P2ad4235514,2017,tankathon,22,20170620185707
Pf781dda14b,2017,tankathon,23,20170620185707
P16938f3fa9,2017,tankathon,24,20170620185707
P24e5e8b7dc,2017,tankathon,25,20170620185707
P2e6be7d23b,2017,tankathon,26,20170620185707
P1ea9c7c88d,2017,tankathon,27,20170620185707
Pf18fe42b62,2017,tankathon,28,20170620185707
P204a101867,2017,tankathon,29,20170620185707
Pe5fb05fea3,2017,tankathon,30,20170620185707
P10187f6389,2017,tankathon,31,20170620185707
Pa76a1ce248,2017,tankathon,32,20170620185707
P551a484de7,2017,tankathon,33,20170620185707
Pc4f84bc197,2017,tankathon,34,20170620185707
Pc32fe4a167,2017,tankathon,35,20170620185707
Pa79b34cca8,2017,tankathon,36,20170620185707
P459acdec33,2017,tankathon,37,20170620185707
P63f00af37c,2017,tankathon,38,20170620185707
P964dd1e5f4,2017,tankathon,39,20170620185707
P032d23c9d9,2017,tankathon,40,20170620185707
P38e6db5ca1,2017,tankathon,41,20170620185707
P74d19df6a2,2017,tankathon,42,20170620185707
Pdb78b3595b,2017,tankathon,43,20170620185707
P2acab9acdb,2017,tankathon,44,20170620185707
P5351e63d76,2017,tankathon,45,20170620185707
P0d567b6867,2017,tankathon,46,20170620185707
Pea59b43adb,2017,tankathon,47,20170620185707
Pba3a4faeb9,2017,tankathon,48,20170620185707
P9d178fdf5d,2017,tankathon,49,20170620185707
P5f230da818,2017,tankathon,50,20170620185707
P58604dcdcf,2017,tankathon,51,20170620185707
P86ef73625c,2017,tankathon,52,20170620185707
P1804943702,2017,tankathon,53,20170620185707
Pfaef4e4fa0,2017,tankathon,54,20170620185707
P6f43cf2ee3,2017,cbs,1,20170621190055
P4a000d48b0,2017,cbs,2,20170621190055
P25e61f80f8,2017,cbs,3,20170621190055
Pe56ae9c7aa,2017,cbs,4,20170621190055
P6e7d02b021,2017,cbs,5,20170621190055
P8a2034c01d,2017,cbs,6,20170621190055
Pf62abcdcde,2017,cbs,7,20170621190055
Pe3864f9800,2017,cbs,8,20170621190055
P46cfb45fde,2017,cbs,9,20170621190055
Pbe6ed6fd51,2017,cbs,10,20170621190055
P71b16faf7a,2017,cbs,11,20170621190055
Pdb3bcb3fc8,2017,cbs,12,20170621190055
P24e5e8b7dc,2017,cbs,13,20170621190055
Pe6fe5c747b,2017,cbs,14,20170621190055
P3e0fd9667f,2017,cbs,15,20170621190055
P1e22570fac,2017,cbs,16,20170621190055
P0af0ac79ae,2017,cbs,17,20170621190055
P49d50fc2b5,2017,cbs,18,20170621190055
Pd808e1b5f8,2017,cbs,19,20170621190055
Pcc7ddb9ab9,2017,cbs,20,20170621190055
P54d4de841c,2017,cbs,21,20170621190055
P2c3a1eb46b,2017,cbs,22,20170621190055
P9d178fdf5d,2017,cbs,23,20170621190055
