pid,mock_snaps,mock_listed,mock_first,mock_first_days,mock_last,mock_last_days,mock_best,mock_worst,mock_mean,mock_std,mock_delta,mock_delta_late,mock_share
P35f0fb7731,7,7,1,232,1,46,1,1,1.0,0.0,0,0,1.0
P41612ab4e2,7,7,2,232,6,46,2,6,3.71,1.98,4,4,1.0
Pba698d642d,7,7,3,232,3,46,3,4,3.43,0.49,0,-1,1.0
P3ff36ffdc1,7,4,4,232,3,127,3,4,3.25,0.43,-1,,0.57
P6232d5a44f,7,7,5,232,7,46,5,8,6.57,1.05,2,0,1.0
Pa430d00e1f,7,6,7,232,5,46,5,9,6.67,1.8,-2,-4,0.86
P48772fff87,7,7,8,232,30,46,8,30,18.43,8.52,22,16,1.0
Pde7308c87b,7,7,9,232,16,46,9,16,14.43,2.38,7,0,1.0
Pc2d24d5902,7,7,10,232,24,46,10,24,19.71,5.6,14,2,1.0
P1388f2fd26,7,2,12,232,7,87,7,12,9.5,2.5,-5,,0.29
Pfe5913c014,7,7,14,232,4,46,4,14,6.43,3.5,-10,-1,1.0
Pa7dbf13041,7,7,15,232,22,46,15,23,20.29,3.37,7,-1,1.0
P0cd98a270c,7,7,16,232,21,46,16,21,19.14,2.23,5,0,1.0
P3c885ec031,7,7,17,232,25,46,17,25,20.43,3.96,8,8,1.0
Pb7d583a85a,7,7,18,232,17,46,12,18,15.14,2.75,-1,5,1.0
Pa3fa433740,7,7,19,232,20,46,17,20,18.71,1.03,1,2,1.0
P9d5ce33ec0,7,7,20,232,35,46,20,35,28.14,6.36,15,9,1.0
Pe0b660d280,7,7,21,232,31,46,21,31,27.0,4.14,10,4,1.0
P9cddcdc1ad,7,7,22,232,49,46,22,49,40.57,10.46,27,5,1.0
Pe237a28a37,7,7,23,232,27,46,22,36,28.71,4.98,4,-6,1.0
P63236d3a70,7,7,24,232,33,46,24,38,32.14,5.0,9,-5,1.0
Pe6c9de6d86,7,2,25,232,25,211,25,25,25.0,0.0,0,,0.29
