pid,draft_year,asap_id,n_asap_ids_same_name,n_identity_same_name
Pfb151947b8,2000,19852,1,2
Pe4182c4c9a,2000,14030,1,1
P4d044e6517,2000,28024,1,1
Pa1cb69e2d5,2000,16191,1,1
P049a006ba4,2000,13982,1,1
P382ba08b06,2000,19881,1,1
Pdfcccbc0ee,2000,14086,1,1
P180bfe573f,2000,13881,1,1
P8b55924f31,2000,50084,1,1
P360a02c8f3,2000,14025,1,1
P22993a7ac8,2000,22334,1,1
P8b719e2981,2000,15009,1,1
Pc3df7f8dbd,2000,16170,1,1
Pefcb67dee7,2000,14043,1,1
P07fb065f28,2000,13981,1,1
P6c17983aad,2000,19586,1,2
P620c88aaa1,2000,15008,1,1
P69d740b582,2000,16173,1,1
P65db320efe,2000,13979,1,1
Pd764197a9d,2000,41462,2,2
Pd764197a9d,2000,42435,2,2
P7903308993,2000,16190,1,1
P1de330dcda,2000,15629,1,1
Pc7c312fdc1,2001,22270,1,1
Pff73e1eace,2001,18560,1,1
P854c694553,2001,20936,1,1
P1d7e465328,2001,16206,1,1
P0fd2ff4395,2001,15596,1,1
P704a5fd478,2001,14489,1,1
P98f905fdef,2001,18625,1,1
Pdcd864f0fb,2001,14251,1,1
P842a2f3c2e,2001,14053,1,1
P675a30c147,2001,15067,1,1
P3a25271b04,2001,14345,1,1
Paf6a9c1c9e,2001,20459,1,1
P2ee25c689c,2001,14028,1,1
Pfcc31e3705,2001,14352,1,1
P6dc3d3ca5e,2001,13882,1,1
P07655923d4,2001,16811,1,1
Pc0571f7238,2001,14355,1,1
Paeace7e70c,2001,16243,1,1
P989fbfa539,2001,18643,1,1
Pf532d918b8,2001,14076,1,1
Paa277db6ca,2001,16813,1,1
P0fee52cfc4,2001,14248,1,1
Pc5a3285209,2001,16193,1,1
Pd1e82d8666,2001,14058,1,1
P820aca19f1,2001,23481,1,2
Pbd83a701c7,2001,14033,1,1
P0e7fc05f4f,2001,19856,1,1
Pd06a43915a,2002,16817,1,1
P1199724869,2002,16245,3,1
P1199724869,2002,44736,3,1
P1199724869,2002,32895,3,1
P979bc77e15,2002,14338,1,1
P3d9db1cda1,2002,14381,1,1
P6031807405,2002,14486,1,1
P01fc763e95,2002,14452,1,1
P91e42fff83,2002,14328,1,1
P7662bd9a71,2002,14230,1,1
P5656ae84e7,2002,14265,1,1
P59cd2b2d22,2002,14445,1,1
Pd2dc1d3e0e,2002,14156,1,1
P33c766f164,2002,14365,1,1
P4cd866005e,2002,19210,1,1
P2abf5d1b69,2002,16806,1,1
P47eee57e35,2002,14342,1,1
P3514cc9b35,2002,20932,1,1
Pdacee2a50f,2002,15068,1,1
Pbc5a0470c9,2003,13888,1,1
Pae0e6be256,2003,14440,1,1
Peab571b95d,2003,14442,1,1
P39c1b5b439,2003,13885,1,1
P7feaaeffcb,2003,16271,1,1
P0efa2b4f7d,2003,16273,1,1
P3d283763c2,2003,16254,1,1
Pc5cf3e8f14,2003,19882,1,1
Pced63c164c,2003,14229,1,1
P539180f113,2003,14335,1,1
P37455198a4,2003,17988,1,1
Pa526a12aa4,2003,17290,1,1
Pb7edd3ead7,2003,16201,1,1
P38d9dee28f,2003,15628,1,1
Pd0fb9bca1b,2003,18589,1,1
Pd8afdd28b5,2003,19205,1,1
P82d1799627,2003,15619,1,1
P47846f7398,2003,16809,1,1
P08c56d3590,2003,14154,1,1
P62fd3b7dd9,2003,14065,1,1
Pe4a1b20238,2003,42065,1,1
Pa59b169e09,2003,31860,1,1
P624e80554f,2003,14231,1,1
P554dd6632a,2003,19208,1,1
Pce38c03d45,2003,16256,1,1
P3e7075c22e,2003,22272,1,1
P3b6ec2df2f,2003,42134,1,1
Pd073d30524,2003,14483,1,1
P78dd3f3917,2003,14289,1,1
P85bb3eb8b9,2003,23831,1,1
P8bc3dd7f6c,2003,26676,1,1
P269736d407,2004,16366,1,1
Pfb5ad97400,2004,14297,1,1
Pec20f0f060,2004,13875,1,1
Pd353deb783,2004,28955,1,1
P5246294b22,2004,15597,1,1
P8abebd0da5,2004,14449,1,1
Pff029e3151,2004,13873,1,1
P25c05d7b38,2004,13878,1,1
P0d50e77b95,2004,33675,1,1
Pc9a523c1e4,2004,21733,1,1
P0b1f22f2d4,2004,14401,2,1
P0b1f22f2d4,2004,41633,2,1
P0ad01302af,2004,14404,1,1
Pe6c8b117c8,2004,14399,1,1
P1b3889c122,2004,18624,1,1
P079efef655,2004,17291,1,1
Paf7b3d5c90,2004,16274,1,1
Pb3e080e381,2004,14336,1,1
P20571734e6,2004,19857,1,1
P6ce52469e7,2004,14074,1,1
P23c2e6b3e7,2004,14368,1,1
P099a8d0c1c,2005,14508,1,1
P5afd5b991d,2005,16341,1,1
P5e4491e5c3,2005,13870,1,1
Pc047806c80,2005,14497,1,1
P572a4194e6,2005,14385,1,1
P42d0d6de9a,2005,16365,1,1
Pff47b96114,2005,19853,1,1
P8a3b7b6860,2005,16346,1,1
P9f246cdbe1,2005,16350,1,1
Pf4d4553b6f,2005,15057,1,1
Pc295aab61a,2005,14320,1,1
P471bec0288,2005,14512,1,1
P81f3558def,2005,16827,1,1
Pdd972253d5,2005,13877,1,1
P9cbbbfe0cc,2005,13884,1,1
Pa4dad52ff4,2005,14309,1,1
P6f59c256f3,2005,15065,1,1
P17786d3599,2005,18594,1,1
