pid,li_has_transcript,li_n_transcripts,li_n_listed,li_silent_share,li_n_answers,li_total_words,li_words_per_answer,li_words_per_sentence,li_long_word_pct,li_ttr500,li_qmark_rate,li_solo_share,li_days_to_draft_last,li_days_to_draft_first,li_span_days,li_authenticity,li_i_we_ratio,li_r_achieve,li_r_article,li_r_auxverb,li_r_certain,li_r_conj,li_r_exclusive,li_r_filler,li_r_function,li_r_future,li_r_i,li_r_motion,li_r_negate,li_r_negemo,li_r_past,li_r_posemo,li_r_prep,li_r_present,li_r_quant,li_r_social,li_r_tentat,li_r_they,li_r_verb,li_r_we,li_r_you
Pfb151947b8,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb9c8134dba,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P70be92ee2a,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7aebb4f3da,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pe4182c4c9a,1,4,4,0.0,24,2816,117.333,14.743,11.1861,0.3948,0.7102,0.0,86,89,3,6.7472,0.38356,11.3636,66.4062,111.5057,12.0739,35.5114,9.9432,27.6989,555.0426,15.625,29.8295,26.2784,18.4659,6.7472,50.7812,28.054,127.8409,161.2216,24.1477,76.3494,6.7472,36.9318,245.0284,47.9403,28.054
Pdaa5dc2ffe,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0a16bf5dcd,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4d044e6517,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P332366fd23,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pf596e595fa,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2225ba1e79,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa1cb69e2d5,1,1,1,0.0,2,97,48.5,19.4,6.1856,,0.0,0.0,483,483,0,20.6186,0.8,10.3093,92.7835,103.0928,0.0,72.1649,20.6186,51.5464,577.3196,0.0,41.2371,30.9278,20.6186,10.3093,51.5464,30.9278,123.7113,195.8763,41.2371,20.6186,30.9278,41.2371,268.0412,10.3093,0.0
Pbd1bd31363,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P049a006ba4,1,6,6,0.0,48,5390,112.292,14.184,8.7199,0.376,0.0,0.0,86,460,374,23.0056,0.62069,12.8015,60.6679,100.3711,12.0594,42.115,7.7922,43.5993,556.5863,7.7922,50.0928,23.9332,18.7384,10.9462,60.2968,23.1911,125.7885,157.5139,18.9239,55.4731,9.0909,44.3414,246.5677,30.6122,43.7848
Pf2b2bf7c90,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P382ba08b06,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
