pid,url,date,event_kind
Pe4182c4c9a,http://www.asapsports.com/show_interview.php?id=29152,2000-04-03,NCAA MEN'S FINAL FOUR
Pe4182c4c9a,http://www.asapsports.com/show_interview.php?id=29151,2000-04-02,NCAA MEN'S FINAL FOUR
Pe4182c4c9a,http://www.asapsports.com/show_interview.php?id=29148,2000-04-01,NCAA MEN'S FINAL FOUR
Pe4182c4c9a,http://www.asapsports.com/show_interview.php?id=31714,2000-03-31,NCAA MEN'S FINAL FOUR
Pa1cb69e2d5,http://www.asapsports.com/show_interview.php?id=28916,1999-03-03,BIG EAST CONFERENCE MEN'S TOURNAMENT
P049a006ba4,http://www.asapsports.com/show_interview.php?id=29153,2000-04-03,NCAA MEN'S FINAL FOUR
P049a006ba4,http://www.asapsports.com/show_interview.php?id=29150,2000-04-02,NCAA MEN'S FINAL FOUR
P049a006ba4,http://www.asapsports.com/show_interview.php?id=31716,2000-04-01,NCAA MEN'S FINAL FOUR
P049a006ba4,http://www.asapsports.com/show_interview.php?id=29141,2000-03-31,NCAA MEN'S FINAL FOUR
P049a006ba4,http://www.asapsports.com/show_interview.php?id=28894,1999-03-27,NCAA MEN'S FINAL FOUR
P049a006ba4,http://www.asapsports.com/show_interview.php?id=28889,1999-03-26,NCAA MEN'S FINAL FOUR
P360a02c8f3,http://www.asapsports.com/show_interview.php?id=29153,2000-04-03,NCAA MEN'S FINAL FOUR
P360a02c8f3,http://www.asapsports.com/show_interview.php?id=29150,2000-04-02,NCAA MEN'S FINAL FOUR
P360a02c8f3,http://www.asapsports.com/show_interview.php?id=31716,2000-04-01,NCAA MEN'S FINAL FOUR
P360a02c8f3,http://www.asapsports.com/show_interview.php?id=29141,2000-03-31,NCAA MEN'S FINAL FOUR
P360a02c8f3,http://www.asapsports.com/show_interview.php?id=28894,1999-03-27,NCAA MEN'S FINAL FOUR
P8b719e2981,http://www.asapsports.com/show_interview.php?id=29218,2000-03-11,BIG EAST CONFERENCE MEN'S TOURNAMENT
P8b719e2981,http://www.asapsports.com/show_interview.php?id=29192,2000-03-09,BIG EAST CONFERENCE MEN'S TOURNAMENT
P8b719e2981,http://www.asapsports.com/show_interview.php?id=31809,1999-03-05,BIG EAST CONFERENCE MEN'S TOURNAMENT
P8b719e2981,http://www.asapsports.com/show_interview.php?id=31804,1999-03-04,BIG EAST CONFERENCE MEN'S TOURNAMENT
Pefcb67dee7,http://www.asapsports.com/show_interview.php?id=29175,2000-03-08,BIG EAST CONFERENCE MEN'S TOURNAMENT
Pefcb67dee7,http://www.asapsports.com/show_interview.php?id=28896,1999-03-28,NCAA MEN'S FINAL FOUR
P07fb065f28,http://www.asapsports.com/show_interview.php?id=29214,2000-03-10,BIG EAST CONFERENCE MEN'S TOURNAMENT
