pid,asap_id,reason
P06e60a886f,20853,multiple_drafted_players_same_name
P0736b54145,19364,multiple_drafted_players_same_name
P0843caad4a,36708,multiple_asap_persons_same_name
P0843caad4a,38882,multiple_asap_persons_same_name
P086a09588e,39644,multiple_asap_persons_same_name
P086a09588e,41812,multiple_asap_persons_same_name
P086a09588e,43801,multiple_asap_persons_same_name
P0eb002afb8,45934,multiple_asap_persons_same_name
P0eb002afb8,48074,multiple_asap_persons_same_name
P12c0373e62,41462,multiple_drafted_players_same_name
P130d4826ef,34825,multiple_asap_persons_same_name
P130d4826ef,36724,multiple_asap_persons_same_name
P15b4774186,27859,multiple_asap_persons_same_name
P15b4774186,29906,multiple_asap_persons_same_name
P36ce80df8e,49949,multiple_asap_persons_same_name
P36ce80df8e,50062,multiple_asap_persons_same_name
P3da5d3f3f2,34942,multiple_asap_persons_same_name
P3da5d3f3f2,39655,multiple_asap_persons_same_name
P3dd06c5ebd,38289,multiple_asap_persons_same_name
P3dd06c5ebd,39746,multiple_asap_persons_same_name
P3dd06c5ebd,43006,multiple_asap_persons_same_name
P3dd06c5ebd,43789,multiple_asap_persons_same_name
P40c501f5d6,13754,multiple_drafted_players_same_name
P42b9d239c3,34893,multiple_asap_persons_same_name
P42b9d239c3,34989,multiple_asap_persons_same_name
P42b9d239c3,35177,multiple_asap_persons_same_name
P4d3e8e1430,33247,multiple_drafted_players_same_name
P4d55024373,41382,multiple_asap_persons_same_name
P4d55024373,41486,multiple_asap_persons_same_name
P4d55024373,41922,multiple_asap_persons_same_name
P5351e63d76,27860,multiple_asap_persons_same_name
P5351e63d76,29917,multiple_asap_persons_same_name
P5351e63d76,30678,multiple_asap_persons_same_name
P55f0d03e7b,28510,multiple_asap_persons_same_name
P55f0d03e7b,30522,multiple_asap_persons_same_name
P737b0588be,41586,multiple_asap_persons_same_name
P737b0588be,43779,multiple_asap_persons_same_name
P8048267828,44099,multiple_asap_persons_same_name
P8048267828,45957,multiple_asap_persons_same_name
P80ec619552,28710,multiple_asap_persons_same_name
P80ec619552,30580,multiple_asap_persons_same_name
P88b17e8559,43804,multiple_asap_persons_same_name
P88b17e8559,43899,multiple_asap_persons_same_name
P8935abbbb4,26634,multiple_asap_persons_same_name
P8935abbbb4,30802,multiple_asap_persons_same_name
P8943f8c99a,23460,multiple_drafted_players_same_name
P8d17fbd48e,23460,multiple_drafted_players_same_name
P8eb153b63d,26756,multiple_drafted_players_same_name
P9106a597f3,34933,multiple_asap_persons_same_name
P9106a597f3,35093,multiple_asap_persons_same_name
P9106a597f3,35199,multiple_asap_persons_same_name
P924fa678bb,13754,multiple_drafted_players_same_name
P9305edebac,33247,multiple_drafted_players_same_name
P9436ca936e,38986,multiple_drafted_players_same_name
P96b57657ed,41400,multiple_asap_persons_same_name
P96b57657ed,44168,multiple_asap_persons_same_name
P96b57657ed,44304,multiple_asap_persons_same_name
P9bb134b52c,26644,multiple_asap_persons_same_name
P9bb134b52c,32842,multiple_asap_persons_same_name
P9e418f4c91,26756,multiple_drafted_players_same_name
Pa6b76d042d,40547,multiple_asap_persons_same_name
Pa6b76d042d,41670,multiple_asap_persons_same_name
Pa6b76d042d,41901,multiple_asap_persons_same_name
Pa7cb2c7354,26682,multiple_asap_persons_same_name
Pa7cb2c7354,30848,multiple_asap_persons_same_name
Pa99e47f62c,38986,multiple_drafted_players_same_name
Pab4be0edd9,44138,multiple_asap_persons_same_name
Pab4be0edd9,46255,multiple_asap_persons_same_name
Pb4d81376d2,48151,multiple_asap_persons_same_name
Pb4d81376d2,49902,multiple_asap_persons_same_name
Pb4d81376d2,50141,multiple_asap_persons_same_name
Pbe6b6d05a9,30829,multiple_asap_persons_same_name
Pbe6b6d05a9,35141,multiple_asap_persons_same_name
Pc1416b3728,35061,multiple_asap_persons_same_name
Pc1416b3728,36260,multiple_asap_persons_same_name
Pc1416b3728,37031,multiple_asap_persons_same_name
Pc19f23edb3,41526,multiple_asap_persons_same_name
Pc19f23edb3,41737,multiple_asap_persons_same_name
Pc19f23edb3,45891,multiple_asap_persons_same_name
Pc9371b494a,17044,multiple_asap_persons_same_name
Pc9371b494a,18407,multiple_asap_persons_same_name
Pcac223d7f8,26883,multiple_asap_persons_same_name
Pcac223d7f8,30644,multiple_asap_persons_same_name
Pcac223d7f8,33274,multiple_asap_persons_same_name
Pd2430f6dfc,23348,multiple_asap_persons_same_name
Pd2430f6dfc,23635,multiple_asap_persons_same_name
Pd62847824a,41669,multiple_asap_persons_same_name
Pd62847824a,44192,multiple_asap_persons_same_name
Pd62847824a,45366,multiple_asap_persons_same_name
Pdcc28d7d6b,44032,multiple_asap_persons_same_name
Pdcc28d7d6b,44170,multiple_asap_persons_same_name
Pdda77ad869,26668,multiple_asap_persons_same_name
Pdda77ad869,33110,multiple_asap_persons_same_name
Pdf653f9244,49948,multiple_asap_persons_same_name
Pdf653f9244,50173,multiple_asap_persons_same_name
Pe10b161d55,27872,multiple_asap_persons_same_name
Pe10b161d55,32075,multiple_asap_persons_same_name
Pe10b161d55,32903,multiple_asap_persons_same_name
Pe581c6d22f,32853,multiple_asap_persons_same_name
Pe581c6d22f,34254,multiple_asap_persons_same_name
Pee7c22ed91,20853,multiple_drafted_players_same_name
Pf069f7ce7d,50008,multiple_asap_persons_same_name
Pf069f7ce7d,50069,multiple_asap_persons_same_name
Pf37ef86b30,19364,multiple_drafted_players_same_name
Pf93789f1b5,28558,multiple_asap_persons_same_name
Pf93789f1b5,30637,multiple_asap_persons_same_name
