pid,bb_nd_board_rank_final,bb_nd_board_rank_30d,bb_nd_board_rank_60d,bb_nd_board_change_60d,bb_nd_board_first_seen_days,bb_nd_mock_rank_final,bb_nd_crowd_mock_rank_final,bb_nd_fit_gap,bb_nd_unranked_board,bb_dx_board_rank_final,bb_dx_board_rank_30d,bb_dx_mock_pick_final,bb_dx_fit_gap,bb_dx_mock_volatility,bb_dx_board_momentum_30d,bb_dx_first_mock_lead_days,bb_dx_age_listed,bb_stepien_consensus_rank,bb_stepien_dispersion,bb_stepien_tier,bb_stepien_preseason_to_final_delta,bb_fit_gap_mean,bb_n_board_sources
P3f83cdea39,,,,,,1,,,,,,,,,,,,,,,,,0
Pc7c312fdc1,,,,,,4,,,,,,,,,,,,,,,,,0
Pff73e1eace,,,,,,5,,,,,,,,,,,,,,,,,0
Pe88af25410,,,,,,2,,,,,,,,,,,,,,,,,0
P854c694553,,,,,,6,,,,,,,,,,,,,,,,,0
P1d7e465328,,,,,,10,,,,,,,,,,,,,,,,,0
Peca9b04dbf,,,,,,3,,,,,,,,,,,,,,,,,0
Pac419c235c,,,,,,7,,,,,,,,,,,,,,,,,0
P704a5fd478,,,,,,8,,,,,,,,,,,,,,,,,0
P0d7e76d154,,,,,,11,,,,,,,,,,,,,,,,,0
Pdcd864f0fb,,,,,,17,,,,,,,,,,,,,,,,,0
P842a2f3c2e,,,,,,12,,,,,,,,,,,,,,,,,0
P675a30c147,,,,,,15,,,,,,,,,,,,,,,,,0
P563df84956,,,,,,32,,,,,,,,,,,,,,,,,0
P3a25271b04,,,,,,14,,,,,,,,,,,,,,,,,0
P75d87cd190,,,,,,23,,,,,,,,,,,,,,,,,0
Paf6a9c1c9e,,,,,,18,,,,,,,,,,,,,,,,,0
P2ee25c689c,,,,,,24,,,,,,,,,,,,,,,,,0
P1bd862cc0f,,,,,,16,,,,,,,,,,,,,,,,,0
P9650bb1a40,,,,,,35,,,,,,,,,,,,,,,,,0
Pcba63fe240,,,,,,46,,,,,,,,,,,,,,,,,0
