source,draft_year,listed_name,reason,n_occurrences
nd_board,2009,Al-Farouq Aminu,no_candidate,1
nd_board,2009,Damion James,no_candidate,1
nd_board,2009,Gani Lawal,no_candidate,1
nd_board,2009,Cole Aldrich,no_candidate,1
nd_board,2009,Patrick Patterson,no_candidate,1
nd_board,2009,Donatas Motiejunas,no_candidate,1
nd_board,2009,Tyler Smith,no_candidate,1
nd_board,2009,Kyle Singler,no_candidate,1
nd_board,2009,Devin Ebanks,no_candidate,1
nd_board,2009,Kemba Walker,no_candidate,1
nd_board,2009,Connor Atchley,no_candidate,1
nd_board,2009,Tomislav Zubcic,no_candidate,1
nd_board,2009,Jarvis Varnado,no_candidate,1
nd_board,2009,AJ Ogilvy,no_candidate,1
nd_board,2009,Tony Woods,no_candidate,1
nd_board,2009,Michael Dunigan,no_candidate,1
nd_board,2009,Howard Thompkins,no_candidate,1
nd_board,2009,Greg Monroe,no_candidate,1
nd_board,2009,Alexey Shved,no_candidate,1
nd_board,2009,James Anderson,ambiguous_last,1
nd_board,2009,Scotty Hopson,no_candidate,1
nd_board,2009,Austin Freeman,no_candidate,1
nd_board,2009,Jeremy Pargo,no_candidate,1
nd_board,2009,Vyacheslav Kravtsov,no_candidate,1
nd_board,2009,Nolan Smith,no_candidate,1
nd_board,2009,Raymar Morgan,no_candidate,1
nd_board,2009,Malcolm Lee,no_candidate,1
nd_board,2009,Willie Warren,no_candidate,1
nd_board,2009,Manny Harris,ambiguous_last,1
nd_board,2009,Dwayne Collins,no_candidate,1
nd_board,2009,Deon Thompson,no_candidate,1
nd_board,2009,Craig Brackens,no_candidate,1
nd_board,2009,Jerome Jordan,no_candidate,1
nd_board,2009,Evan Turner,no_candidate,1
nd_board,2009,Chris Wright,no_candidate,1
nd_board,2009,LaceDarius Dunn,no_candidate,1
nd_board,2009,Ed Davis,no_candidate,1
nd_board,2009,Chris Singleton,no_candidate,1
nd_board,2009,Wesley Witherspoon,no_candidate,1
nd_board,2009,Luke Babbitt,no_candidate,1
nd_board,2009,Iman Shumpert,no_candidate,1
nd_board,2009,Paul George,no_candidate,1
nd_board,2009,Andrija Milutinovic,no_candidate,1
nd_board,2009,AJ Abrams,no_candidate,1
nd_board,2009,Lorrenzo Wade,no_candidate,1
nd_board,2009,Vitor Faverani,no_candidate,1
nd_board,2009,Greivis Vasquez,no_candidate,1
nd_board,2009,Boban Marjanovic,no_candidate,1
nd_board,2009,Bryan Davis,no_candidate,1
nd_board,2009,Trevor Booker,no_candidate,1
nd_board,2009,Sherron Collins,no_candidate,1
nd_board,2009,Patrick Christopher,no_candidate,1
nd_board,2009,Ibrahima Thomas,no_candidate,1
nd_board,2009,William Buford,no_candidate,1
nd_board,2009,Stanley Robinson,no_candidate,1
nd_board,2009,Luigi Datome,no_candidate,1
nd_board,2009,Vladimir Dasic,no_candidate,1
nd_board,2009,Nemanja Gordic,no_candidate,1
nd_board,2009,Dexter Pittman,no_candidate,1
nd_board,2009,Gary Johnson,ambiguous_last,1
nd_board,2009,Craig Brackins,no_candidate,1
nd_board,2009,Mario Delas,no_candidate,1
nd_board,2009,Jan Vesely,no_candidate,1
nd_board,2009,Paulao Prestes,no_candidate,1
nd_board,2009,Stefon Jackson,ambiguous_last,1
nd_board,2009,Milenko Tepic,no_candidate,1
nd_board,2009,Josh Akognon,no_candidate,1
nd_board,2009,Ater Majok,no_candidate,1
nd_board,2009,Garret Siler,no_candidate,1
nd_board,2009,Alade Aminu,no_candidate,1
nd_board,2009,Lee Cummard,no_candidate,1
nd_board,2009,Alex Ruoff,no_candidate,1
nd_board,2009,Luke Harangody,no_candidate,1
nd_board,2009,Tim Ohlbrecht,no_candidate,1
nd_board,2009,Joe Ingles,no_candidate,1
nd_board,2009,Micah Downs,no_candidate,1
nd_board,2009,Luke Nevill,no_candidate,1
nd_board,2009,Mac Koshwal,no_candidate,1
nd_board,2009,Josh Shipp,no_candidate,1
nd_board,2009,Tasmin Mitchell,no_candidate,1
nd_board,2009,Milan Macvan,no_candidate,1
nd_board,2009,Scottie Reynolds,no_candidate,1
nd_board,2009,Russell Hicks,no_candidate,1
nd_board,2009,Dominic James,no_candidate,1
nd_board,2009,Josh Carter,no_candidate,1
nd_board,2009,Kevin Rogers,no_candidate,1
nd_board,2009,Charlie Coley,no_candidate,1
nd_board,2009,Lewis Clinch,no_candidate,1
nd_board,2010,Donatas Motiejunas,no_candidate,1
nd_board,2010,William Buford,no_candidate,1
nd_board,2010,John Henson,no_candidate,1
nd_board,2010,Michael Washington,no_candidate,1
nd_board,2010,Jan Vesely,no_candidate,1
nd_board,2010,Kemba Walker,no_candidate,1
nd_board,2010,Malcolm Lee,no_candidate,1
nd_board,2010,Chris Singleton,no_candidate,1
nd_board,2010,Iman Shumpert,no_candidate,1
nd_board,2010,Tyler Smith,ambiguous_last,1
nd_board,2010,Kyle Singler,no_candidate,1
nd_board,2010,Mario Delas,no_candidate,1
nd_board,2010,Tomislav Zubcic,no_candidate,1
nd_board,2010,Jordan Hamilton,no_candidate,1
nd_board,2010,Tyshawn Taylor,no_candidate,1
nd_board,2010,Tony Woods,no_candidate,1
nd_board,2010,Dominic Cheek,no_candidate,1
nd_board,2010,Michael Snaer,no_candidate,1
nd_board,2010,Kenny Boynton,no_candidate,1
nd_board,2010,Ater Majok,no_candidate,1
nd_board,2010,Chris Wright,no_candidate,1
nd_board,2010,Rodrick Flemings,no_candidate,1
nd_board,2010,AJ Ogilvy,no_candidate,1
nd_board,2010,Jeffery Taylor,no_candidate,1
nd_board,2010,Keith Gallon,ambiguous_last,1
nd_board,2010,Durrell Summers,no_candidate,1
nd_board,2010,Anatoly Bose,no_candidate,1
nd_board,2010,Rakim Sanders,ambiguous_last,1
nd_board,2010,JaMychal Green,no_candidate,1
nd_board,2010,Michael Dunigan,no_candidate,1
nd_board,2010,Arinze Onuaku,no_candidate,1
nd_board,2010,JaJuan Johnson,ambiguous_last,1
nd_board,2010,Yancy Gates,no_candidate,1
nd_board,2010,Raymar Morgan,no_candidate,1
nd_board,2010,Patrick Christopher,no_candidate,1
nd_board,2010,Thomas Robinson,no_candidate,1
nd_board,2010,Chris Wrightt,no_candidate,1
nd_board,2010,Deon Thompson,no_candidate,1
nd_board,2010,Howard Thompkins,no_candidate,1
nd_board,2010,Renardo Sidney,no_candidate,1
nd_board,2010,Paulao Prestes,no_candidate,1
nd_board,2010,Tasmin Mitchell,no_candidate,1
nd_board,2010,Scotty Hopson,no_candidate,1
nd_board,2010,JP Prince,no_candidate,1
nd_board,2010,Jerome Dyson,no_candidate,1
nd_board,2010,Marcus Ginyard,no_candidate,1
nd_board,2010,Tim Ohlbrecht,no_candidate,1
nd_board,2010,Sylvester Seay,no_candidate,1
nd_board,2010,Elijah Johnson,ambiguous_last,1
nd_board,2010,Gilbert Brown,no_candidate,1
nd_board,2010,Kalin Lucas,no_candidate,1
nd_board,2010,Lavoy Allen,no_candidate,1
nd_board,2010,Vernon Macklin,no_candidate,1
nd_board,2010,E'twaun Moore,no_candidate,1
nd_board,2010,Cory Higgins,no_candidate,1
nd_board,2010,Rick Jackson,no_candidate,1
nd_board,2010,Roderick Flemings,no_candidate,1
nd_board,2010,Arnett Moultrie,no_candidate,1
nd_board,2010,Rodney Williams,ambiguous_last,1
nd_board,2010,Xavier Gibson,no_candidate,1
nd_board,2010,Keith Benson,no_candidate,1
nd_board,2010,Corey Fisher,no_candidate,1
nd_board,2010,Mfon Udofia,no_candidate,1
nd_board,2010,Rodney Green,no_candidate,1
nd_board,2010,Afam Muojeke,no_candidate,1
nd_board,2010,Wally Judge,no_candidate,1
nd_board,2010,Abdul Gaddy,no_candidate,1
nd_board,2010,Mouphtaou Yarou,no_candidate,1
nd_board,2010,Gary Johnson,ambiguous_last,1
nd_board,2010,Tyler Zeller,no_candidate,1
nd_board,2010,Terrence Jennings,no_candidate,1
nd_board,2010,Giorgi Shermadini,no_candidate,1
nd_board,2010,Mark Payne,no_candidate,1
nd_board,2010,Artem Zabelin,no_candidate,1
nd_board,2010,Ashton Gibbs,no_candidate,1
nd_board,2010,Alec Burks,no_candidate,1
nd_board,2010,Elias Harris,ambiguous_last,1
nd_board,2010,Alex Oriakhi,no_candidate,1
nd_board,2010,Greg Smith,ambiguous_last,1
nd_board,2010,Willie Reed,no_candidate,1
nd_board,2010,Aubrey Coleman,no_candidate,1
nd_board,2010,Aaric Murray,no_candidate,1
nd_board,2010,Marquis Gilstrap,no_candidate,1
nd_board,2010,Derrick Williams,ambiguous_last,1
nd_board,2010,Bryan Davis,ambiguous_last,1
nd_board,2010,Jimmer Fredette,no_candidate,1
nd_board,2010,Kevin Jones,ambiguous_last,1
nd_board,2010,Kris Joseph,no_candidate,1
nd_board,2010,Herb Pope,no_candidate,1
nd_board,2010,DJ Wright,no_candidate,1
nd_board,2010,Theo Robertson,no_candidate,1
nd_board,2010,Trey Thompkins,no_candidate,1
nd_board,2010,Matt Bouldin,no_candidate,1
nd_board,2010,Miroslav Raduljica,no_candidate,1
nd_board,2010,Ryan Thompson,no_candidate,1
nd_board,2010,Robin Benzing,no_candidate,1
nd_board,2010,DeShawn Sims,no_candidate,1
nd_board,2010,Paulo Prestes,no_candidate,1
nd_board,2010,Kevin Palmer,no_candidate,1
nd_board,2010,Jon Scheyer,no_candidate,1
nd_board,2010,Tyren Johnson,ambiguous_last,1
nd_board,2010,Wayne Chism,no_candidate,1
nd_board,2010,Jerome Randle,no_candidate,1
nd_board,2010,Scottie Reynolds,no_candidate,1
nd_board,2010,Omar Samhan,no_candidate,1
nd_board,2010,Dominique Archie,no_candidate,1
nd_board,2010,Boban Marjanovic,no_candidate,1
nd_board,2010,Edwin Ubiles,no_candidate,1
nd_board,2010,Marqus Blakely,no_candidate,1
nd_board,2010,Pablo Aguilar,no_candidate,1
nd_board,2010,Marcus Johnson,ambiguous_last,1
nd_board,2011,Harrison Barnes,no_candidate,1
nd_board,2011,Perry Jones,no_candidate,1
nd_board,2011,Jared Sullinger,no_candidate,1
nd_board,2011,William Buford,no_candidate,1
nd_board,2011,Rodney Williams,ambiguous_last,1
nd_board,2011,Aaric Murray,no_candidate,1
nd_board,2011,Terrence Jones,no_candidate,1
nd_board,2011,CJ Leslie,ambiguous_last,1
nd_board,2011,Tony Mitchell,no_candidate,1
nd_board,2011,Maalik Wayns,no_candidate,1
nd_board,2011,John Henson,no_candidate,1
nd_board,2011,Kris Joseph,ambiguous_last,1
nd_board,2011,Wesley Witherspoon,no_candidate,1
nd_board,2011,Fab Melo,no_candidate,1
nd_board,2011,Jeffery Taylor,no_candidate,1
nd_board,2011,Renardo Sidney,no_candidate,1
nd_board,2011,Wally Judge,no_candidate,1
nd_board,2011,Durand Scott,ambiguous_last,1
nd_board,2011,Elias Harris,ambiguous_last,1
nd_board,2011,Reggie Bullock,no_candidate,1
nd_board,2011,John Jenkins,ambiguous_last,1
nd_board,2011,LaceDarius Dunn,no_candidate,1
nd_board,2011,DeQuan Jones,no_candidate,1
nd_board,2011,Arnett Moultrie,no_candidate,1
nd_board,2011,Rudy Gobert,no_candidate,1
nd_board,2011,Lucas Riva,no_candidate,1
nd_board,2011,Evan Fournier,no_candidate,1
nd_board,2011,Adreian Payne,no_candidate,1
nd_board,2011,Corey Fisher,no_candidate,1
nd_board,2011,Alex Oriakhi,no_candidate,1
nd_board,2011,Joan Tomas,no_candidate,1
nd_board,2011,Dejan Musli,no_candidate,1
nd_board,2011,Durrell Summers,no_candidate,1
nd_board,2011,Gary Flowers,no_candidate,1
