pid,cp_n_comps,cp_resolved,cp_n_resolved,cp_seasons_to_date,cp_min_to_date,cp_pts36_to_date,cp_reb36,cp_ast36,cp_stk36,cp_fg3_pct_to_date,cp_ft_pct_to_date,cp_peak_mpg_to_date,cp_peak_pts_pg_to_date,cp_active_at_draft,cp_years_since_comp_debut,cp_comp_is_hall_tier,cp_max_pts36_to_date,cp_max_peak_pts_pg_to_date
Pfb151947b8,1,1,1,5.0,10841.0,15.5078,6.6647,1.8463,2.1983,0.2766,0.6777,37.6104,16.358,1,5.0,0,15.5078,16.358
Pb9c8134dba,1,1,1,11.0,25348.0,19.7625,11.1289,2.1758,3.1543,0.2816,0.7394,35.119,20.5238,1,11.0,0,19.7625,20.5238
P70be92ee2a,1,1,1,3.0,4747.0,16.0927,7.9478,3.5947,3.5568,0.2837,0.7121,31.1646,15.3544,1,3.0,0,16.0927,15.3544
P7aebb4f3da,,,,,,,,,,,,,,,,,,
Pe4182c4c9a,1,1,1,1.0,2767.0,16.3802,7.7412,4.1243,2.4199,0.3598,0.719,36.4079,16.5658,1,1.0,0,16.3802,16.5658
Pdaa5dc2ffe,1,1,1,13.0,34616.0,17.4041,6.7536,5.3486,2.9421,0.3291,0.6958,40.22,22.0417,1,13.0,0,17.4041,22.0417
P0a16bf5dcd,1,1,1,8.0,20029.0,18.6731,9.395,3.6451,1.4721,0.1429,0.7469,38.7632,21.6447,0,14.0,0,18.6731,21.6447
P4d044e6517,,,,,,,,,,,,,,,,,,
P332366fd23,,,,,,,,,,,,,,,,,,
Pf596e595fa,1,1,1,1.0,2776.0,18.0,5.304,6.5749,1.9063,0.3452,0.7863,36.0519,18.026,1,1.0,0,18.0,18.026
P2225ba1e79,1,1,1,5.0,13529.0,17.2855,8.9142,3.5444,3.1426,0.3187,0.7403,40.037,22.9259,1,5.0,0,17.2855,22.9259
Pa1cb69e2d5,1,1,1,7.0,13128.0,12.8775,9.5539,1.0612,1.9771,0.1,0.6968,31.3797,11.519,1,7.0,0,12.8775,11.519
