pid,draft_year,capture_ts,raw_comp,parsed_name,comp_person_id,comp_display_name,comp_from_year,comp_to_year,match_rule,pick_rule,seasons_to_date,gp_to_date,min_to_date,pts_to_date
Pfb151947b8,2000,20000620001309,Rasheed Wallace,Rasheed Wallace,739,Rasheed Wallace,1995,2012,exact,unique,5,334,10841.0,4670.0
Pb9c8134dba,2000,20000605005406,Shawn Kemp,Shawn Kemp,431,Shawn Kemp,1989,2002,exact,unique,11,829,25348.0,13915.0
P70be92ee2a,2000,20000619111237,Tracy McGrady,Tracy McGrady,1503,Tracy McGrady,1997,2012,exact,unique,3,192,4747.0,2122.0
Pe4182c4c9a,2000,20000620093319,Lamar Odom,Lamar Odom,1885,Lamar Odom,1999,2013,exact,unique,1,76,2767.0,1259.0
Pdaa5dc2ffe,2000,20000616232524,Scottie Pippen,Scottie Pippen,937,Scottie Pippen,1987,2003,exact,unique,13,965,34616.0,16735.0
P0a16bf5dcd,2000,20000619022444,Brad Daugherty,Brad Daugherty,921,Brad Daugherty,1986,1993,exact,unique,8,548,20029.0,10389.0
Pf596e595fa,2000,20000617094719,Steve Francis,Steve Francis,1883,Steve Francis,1999,2007,exact,unique,1,77,2776.0,1388.0
P2225ba1e79,2000,20000619184708,Kevin Garnett (gulp!),Kevin Garnett,708,Kevin Garnett,1995,2015,exact,unique,5,367,13529.0,6496.0
Pa1cb69e2d5,2000,20000604125718,Antonio Davis,Antonio Davis,213,Antonio Davis,1993,2005,exact,unique,7,499,13128.0,4696.0
Pbd1bd31363,2000,20000619101258,Allan Houston,Allan Houston,275,Allan Houston,1993,2004,exact,unique,7,532,17100.0,8519.0
P180bfe573f,2000,20000510084257,Paul Pierce,Paul Pierce,1718,Paul Pierce,1998,2016,exact,unique,2,121,4215.0,2218.0
P8df0a8788c,2000,20000619151105,Dennis Rodman,Dennis Rodman,23,Dennis Rodman,1986,1999,exact,unique,14,911,28842.0,6683.0
P497243f189,2000,20000619044234,Darvin Ham,Darvin Ham,1032,Darvin Ham,1996,2004,exact,unique,5,178,2057.0,488.0
P3f83cdea39,2001,20010625105832,Kevin Garnett,Kevin Garnett,708,Kevin Garnett,1995,2015,exact,unique,6,448,16731.0,8280.0
Pc7c312fdc1,2001,20010624001520,Rasheed Wallace,Rasheed Wallace,739,Rasheed Wallace,1995,2012,exact,unique,6,411,13781.0,6147.0
Pff73e1eace,2001,20010604074652,Toni Kukoc,Toni Kukoc,389,Toni Kukoc,1993,2005,exact,unique,12,654,18757.0,8818.0
Pe88af25410,2001,20010625105604,Shaquille O'Neal,Shaquille O'Neal,406,Shaquille O'Neal,1992,2010,exact,unique,9,608,23074.0,16812.0
P1d7e465328,2001,20010602125206,Bobby Jones,Bobby Jones,77193,Bobby Jones,1976,1985,exact,homonym_longest_career,10,774,20177.0,8911.0
Peca9b04dbf,2001,20010614032132,Tim Duncan,Tim Duncan,1495,Tim Duncan,1997,2015,exact,unique,4,288,11216.0,6351.0
Pac419c235c,2001,20010614031749,Jamal Mashburn,Jamal Mashburn,469,Jamal Mashburn,1993,2003,exact,unique,10,539,19292.0,9440.0
P704a5fd478,2001,20010614031636,Penny Hardaway,Penny Hardaway,358,Anfernee Hardaway,1993,2007,alias,unique,8,433,16087.0,8072.0
P0d7e76d154,2001,20010617105511,Jerome Kersey,Jerome Kersey,760,Jerome Kersey,1984,2000,exact,unique,17,1153,28114.0,11825.0
Pdcd864f0fb,2001,20010614031449,Tim Thomas,Tim Thomas,1501,Tim Thomas,1997,2009,exact,unique,6,333,7582.0,3460.0
P842a2f3c2e,2001,20010602134756,Dan Issel,Dan Issel,77097,Dan Issel,1976,1984,exact,unique,9,718,22342.0,14659.0
P3a25271b04,2001,20010602140025,Tom Gugliotta,Tom Gugliotta,339,Tom Gugliotta,1992,2004,exact,unique,12,667,22764.0,10057.0
P75d87cd190,2001,20010602140227,Marc Jackson,Marc Jackson,1531,Marc Jackson,2000,2006,exact,unique,1,48,1410.0,633.0
Paf6a9c1c9e,2001,20010602135926,Elton Brand,Elton Brand,1882,Elton Brand,1999,2015,exact,unique,2,155,5905.0,3117.0
P2ee25c689c,2001,20010410002951,Michael Olowokandi,Michael Olowokandi,1709,Michael Olowokandi,1998,2006,exact,unique,3,207,5899.0,1885.0
P1bd862cc0f,2001,20010614033002,Hersey Hawkins,Hersey Hawkins,765,Hersey Hawkins,1988,2000,exact,unique,13,983,32037.0,14470.0
Pd4900db84d,2001,20010617154243,Jason Williams,Jason Williams,1715,Jason Williams,1998,2010,exact,unique,3,208,6855.0,2360.0
P4da2c7e178,2001,20001213131400,Vince Carter,Vince Carter,1713,Vince Carter,1998,2019,exact,unique,3,207,7865.0,5090.0
Pfcc31e3705,2001,20010602121027,Kelvin Cato,Kelvin Cato,1509,Kelvin Cato,1997,2006,exact,unique,4,217,3757.0,1165.0
P3ebb78aaf3,2001,20010602135937,Mark Jackson,Mark Jackson,349,Mark Jackson,1987,2003,exact,unique,18,1255,40344.0,12761.0
P07655923d4,2001,20010602124720,Joe Dumars,Joe Dumars,247,Joe Dumars,1985,1998,exact,unique,14,1018,35141.0,16402.0
Pc0571f7238,2001,20010614024645,Jason Kidd,Jason Kidd,467,Jason Kidd,1994,2012,exact,unique,9,546,20492.0,7526.0
Paeace7e70c,2001,20010602133052,Chris Morris,Chris Morris,356,Chris Morris,1988,1998,exact,unique,11,747,18747.0,8184.0
P5303425662,2001,20010602121831,Roshown McLeod,Roshown McLeod,1728,Roshown McLeod,1998,2000,exact,unique,5,148,3052.0,1154.0
P0fee52cfc4,2001,20010602134655,Joe Barry Carroll,Joe Barry Carroll,76353,Joe Barry Carroll,1980,1990,exact,unique,14,858,26563.0,14192.0
Pe0f44d3916,2001,20010602124701,Theo Ratliff,Theo Ratliff,689,Theo Ratliff,1995,2010,exact,unique,8,472,12713.0,4255.0
P9aa7ef7a41,2001,20010602134606,Dean Garrett,Dean Garrett,1051,Dean Garrett,1996,2001,exact,unique,5,325,6785.0,1701.0
Pd06a43915a,2002,20011020025447,Arvydas Sabonis,Arvydas Sabonis,717,Arvydas Sabonis,1995,2002,exact,unique,6,392,10165.0,5153.0
Pe929ebb536,2002,20020608002753,Stephon Marbury,Stephon Marbury,950,Stephon Marbury,1996,2008,exact,unique,8,470,17850.0,9507.0
P1199724869,2002,20020207200456,Larry Bird,Larry Bird,1449,Larry Bird,1979,1991,exact,unique,13,897,34443.0,21791.0
P979bc77e15,2002,20020608001154,Jermaine O'Neal,Jermaine O'Neal,979,Jermaine O'Neal,1996,2013,exact,unique,6,364,7787.0,3229.0
Pa08cb88c9e,2002,20020607235330,Allen Iverson,Allen Iverson,947,Allen Iverson,1996,2009,exact,unique,6,405,16637.0,10908.0
P3d9db1cda1,2002,20020407143843,Antonio McDyess,Antonio McDyess,686,Antonio McDyess,1995,2010,exact,unique,7,442,14711.0,7780.0
P6031807405,2002,20011021153328,Shawn Kemp,Shawn Kemp,431,Shawn Kemp,1989,2002,exact,unique,13,972,27666.0,14810.0
