pid,dx_id,n_events,event_years,sources,age_src,capture_ts
P4d044e6517,2085,1,2000,?,3,20170703201610
P8b55924f31,2004,1,2000,NBA Pre-Draft Camp,,20170718101448
P8df0a8788c,2751,1,2000,?,3,20170718101448
P91ba0ccfb7,1795,1,2000,?,,20170718101448
Pc3df7f8dbd,3392,1,2000,?,,20170718101448
P39bae689b5,2972,1,2000,?,,20170718101448
Pd5c75d3b01,3257,1,2000,?,,20170718101448
P189ad0416e,2670,1,2000,NBA Pre-Draft Camp,,20170718101448
P07fb065f28,2340,1,2000,NBA Pre-Draft Camp,,20170718101448
P6c17983aad,4403,1,2000,?,,20170718101448
P1d1b852c8c,2877,1,2000,NBA Pre-Draft Camp,,20170718101448
P98015d62ae,3714,1,2000,?,,20170718101448
P620c88aaa1,3981,1,2000,NBA Pre-Draft Camp,,20170718101448
P65db320efe,4049,1,2000,?,,20170718101448
Pd764197a9d,4391,1,2000,?,,20170718101448
P7903308993,2749,1,2000,NBA Pre-Draft Camp,,20170718101448
Paff659398c,4021,1,2000,NBA Pre-Draft Camp,,20170718101448
P1f7c85948b,1820,1,2000,?,3,20170612113813
P0e7eb7e056,3489,1,2000,?,,20170718101448
P497243f189,3974,1,2000,?,,20170718101448
Pd72f71c2bb,3345,1,1996,?,,20170128164518
P2864fd765b,2581,1,1998,?,,20170128164518
P9a587a1a63,2552,1,2000,?,,20170718101448
P2899765f70,4111,1,2000,?,,20170718101448
P9aa2c80a45,4220,1,2000,?,,20170718101448
Pd49ad433a6,2033,1,1998,?,,20170128164518
Pe7b575da0a,5359,1,1998,?,,20170128164518
P3f83cdea39,1827,1,2001,?,3,20170703214529
Pc7c312fdc1,1974,1,2001,?,3,20170703214529
Pe88af25410,2119,1,2001,?,3,20170703214529
P854c694553,4081,1,2001,?,3,20170609020653
P1d7e465328,1619,1,2001,?,,20170609020653
Peca9b04dbf,2645,1,2001,?,3,20170703214529
P0fd2ff4395,2241,1,2001,?,3,20170703214529
Pac419c235c,4840,1,2001,?,3,20170626123447
P704a5fd478,3013,1,2001,?,3,20170609020653
Pdcd864f0fb,2978,1,2001,?,3,20170609020653
P842a2f3c2e,3696,1,2001,?,3,20170703214529
P675a30c147,2908,1,2001,?,3,20170827210624
P563df84956,2759,1,2001,?,,20170827210628
P3a25271b04,1772,1,2001,?,,20170704165251
P75d87cd190,2028,1,2001,?,,20170827210624
P2ee25c689c,2775,1,2001,?,,20170827210624
P1bd862cc0f,2449,1,2001,NBA Pre-Draft Camp,3,20170609071858
P9650bb1a40,4231,1,2001,?,,20170612113813
Pcba63fe240,1532,1,2001,NBA Pre-Draft Camp,,20170609071858
P3ebb78aaf3,4615,1,2001,NBA Pre-Draft Camp,,20170609071858
P2a8e69fc8a,2755,1,2001,NBA Pre-Draft Camp,,20170609071858
P07655923d4,1526,1,2001,NBA Pre-Draft Camp,3,20170609071858
Pc0571f7238,2055,1,2001,NBA Pre-Draft Camp,3,20170609071858
Pd3b6bf6d79,5225,1,2001,NBA Pre-Draft Camp,,20170609071858
P989fbfa539,4240,1,2001,?,,20170128164518
Pf532d918b8,1818,1,2001,?,,20170128164518
P3d1a59b5a2,4787,1,2001,NBA Pre-Draft Camp,,20170609071858
P002581103b,1792,1,2001,?,3,20170625182327
P6d3c0c239e,4340,1,2001,?,3,20170128164518
P5303425662,3251,1,2001,NBA Pre-Draft Camp,,20170609071858
P0fee52cfc4,4974,1,2001,?,,20170718100052
P4f8c953cc8,2456,1,2000,?,,20170718101448
Pe0f44d3916,3033,1,2001,?,,20170718100052
Pc5a3285209,1744,1,2001,?,,20170718100052
P0a2d28a2d0,2439,1,2001,?,3,20170628062451
Pc0e2cf5bcc,2029,1,2001,?,,20170128164518
Pf65d71b77e,4232,1,2001,NBA Pre-Draft Camp,3,20170609071858
Pd1e82d8666,1483,1,2000,?,,20170718101448
Pf7459f37f3,2381,1,2001,?,,20170625182327
Pbd83a701c7,1648,1,2001,?,,20170625182327
P4caf77098c,4083,1,2001,?,,20170612113813
Pe929ebb536,4925,1,2002,NBA Pre-Draft Camp,,20170719202744
P1199724869,2294,1,2002,?,3,20170719202744
P979bc77e15,2579,1,2002,?,3,20170719202744
Pa08cb88c9e,4731,1,2002,NBA Pre-Draft Camp,3,20170719202744
P634aaac9d4,2826,1,2002,?,,20170719202744
P3d9db1cda1,4856,1,2002,?,3,20170719202744
P6031807405,4498,1,2002,?,3,20170719202744
P01fc763e95,1894,1,2002,?,3,20170719202744
P91e42fff83,2980,1,2002,?,,20170719202744
P7662bd9a71,2358,1,2002,?,,20170719202744
Pb7f87f6748,2681,1,2002,?,,20170719202744
P540f972282,3076,1,2002,NBA Pre-Draft Camp,3,20170719202744
P792efcc523,1735,1,2002,?,3,20170719202744
P59cd2b2d22,2901,1,2002,?,,20170719202744
P71d533551f,4201,1,2002,?,3,20170719202744
P4c416f9cab,4977,1,2002,?,,20170719202744
Pb74259d44e,4924,1,2002,NBA Pre-Draft Camp,3,20170719202744
P33c766f164,4214,1,2002,?,3,20170719202744
Pfdab72198e,1524,1,2002,?,,20170719202744
P70ecb2ee9d,5000,1,2002,?,3,20170719202744
P2abf5d1b69,1734,1,2002,?,3,20170719202744
P39c99a28df,3390,1,2002,NBA Pre-Draft Camp,3,20170719202744
P5635d18ecc,3105,1,2002,?,,20170719202744
Pe961cc9c52,3700,1,2002,NBA Pre-Draft Camp,,20170719202744
P47eee57e35,1626,1,2002,?,3,20170719202744
P3514cc9b35,1592,1,2002,NBA Pre-Draft Camp,3,20170719202744
P021e6add75,3846,1,2002,?,,20170719202744
P830efff813,4435,1,2002,?,3,20170719202744
Pdacee2a50f,1895,1,2002,?,3,20170719202744
P3769bd015c,4365,1,2002,?,,20170719202744
P648b9117f8,34204,1,2002,?,,20170719202744
Pebd90a92ff,2332,1,2002,?,,20170719202744
P3c40dc7411,1788,1,2002,?,,20170719202744
Pe932df1062,4238,1,2002,?,,20170719202744
P396b44b337,3864,1,2002,?,,20170719202744
Pcf7f47cd26,3871,1,2002,?,,20170719202744
