pid,draft_year,n_candidates,n_surviving,dx_ids,surviving,reject_reasons
Pa5a2a6e8b9,2000,1,0,7107,,7107:event_years=2012..2012
P8bc3dd7f6c,2003,1,0,20861,,20861:event_years=2014..2014
P924fa678bb,2006,1,0,546,,546:dx_draft_year=2007!=2006
P969f2b1c13,2008,1,0,41091,,41091:event_years=2010..2016
P267f5baf8e,2008,1,0,1024,,1024:dx_draft_year=2007!=2008
P60425a0c89,2009,2,2,16557|5053,16557|5053,
Pfe669c03c3,2009,1,0,5110,,5110:event_years=2015..2015
P8a6c25e945,2011,1,0,98413,,98413:event_years=2016..2016
Pbfcceae701,2012,2,2,19074|5421,19074|5421,
Pee7c22ed91,2012,2,2,17641|5034,17641|5034,
Pfa73181e89,2014,1,0,1246,,1246:event_years=2015..2015
P7d77f683c0,2015,2,2,20488|7216,20488|7216,
Pa1aae2a35c,2015,1,0,65470,,65470:event_years=2016..2016
Pc2766e3f86,2015,1,0,86985,,86985:event_years=2016..2016
Pdb3bcb3fc8,2017,2,2,84680|90237,84680|90237,
Pda6183deac,2018,2,2,6487|72539,6487|72539,
P5828555cba,2021,2,0,20103|4403,,20103:event_years=2011..2011;4403:dx_draft_year=2000!=2021
P12c0373e62,2022,1,0,4391,,4391:dx_draft_year=2000!=2022
P39f2672d8d,2022,2,0,31465|4908,,31465:event_years=2004..2004;4908:dx_draft_year=1976!=2022
P68ff50da96,2024,1,0,1180,,1180:event_years=2009..2009
P1cb017a474,2025,1,0,82277,,82277:event_years=2015..2015
