year,status,green_room,gr_matched,gr_waves,gr_days_before,early,early_matched,intl,intl_matched,auto,auto_matched,projected,projected_matched,withdrawn,withdrawn_matched
2000,no_predraft_rev,,,,,,,,,,,,,,
2001,no_predraft_rev,,,,,,,,,,,,,,
2002,no_predraft_rev,,,,,,,,,,,,,,
2003,no_predraft_rev,,,,,,,,,,,,,,
2004,no_predraft_rev,,,,,,,,,,,,,,
2005,ok,0,0,0,,0,0,0,0,0,0,9,9,0,0
2006,ok,0,0,0,,0,0,0,0,0,0,18,17,0,0
2007,ok,0,0,0,,35,29,6,3,0,0,0,0,37,0
2008,ok,0,0,0,,54,36,9,4,0,0,0,0,36,0
2009,ok,0,0,0,,0,0,0,0,0,0,0,0,0,0
2010,ok,0,0,0,,57,46,5,2,12,0,0,0,0,0
2011,ok,17,17,1,,48,43,6,6,5,1,0,0,0,0
2012,ok,14,14,1,,55,42,8,4,2,1,0,0,0,0
2013,ok,13,13,1,,64,47,18,7,2,1,0,0,0,0
2014,ok,21,21,1,,56,46,14,7,8,2,0,0,0,0
2015,ok,23,23,1,,58,48,11,3,6,1,0,0,0,0
2016,ok,19,19,1,5,72,60,13,10,2,0,0,0,0,0
2017,ok,20,20,1,14,75,59,10,3,5,2,0,0,0,0
2018,ok,20,20,1,6,88,75,11,6,4,0,0,0,0,0
2019,ok,23,23,1,12,97,77,12,5,17,3,0,0,0,0
2020,ok,0,0,0,,83,74,13,8,7,2,0,0,0,0
2021,ok,0,0,0,,209,178,8,3,3,1,0,0,0,0
2022,ok,0,0,0,,148,74,14,4,1,0,0,0,0,0
2023,ok,0,0,0,,98,63,8,4,1,0,0,0,0,0
2024,ok,24,24,3,15;11;7,76,60,16,8,0,0,0,0,0,0
2025,ok,24,24,3,15;9;6,46,38,15,10,0,0,0,0,0,0
2026,ok,24,24,3,15;9;7,31,29,5,3,0,0,0,0,0,0
