year,list,pid,tier,name_on_page
2005,projected,P099a8d0c1c,exact,Andrew Bogut
2005,projected,P5e4491e5c3,exact,Chris Paul
2005,projected,P3470a61a00,exact,Marvin Williams
2005,projected,P5afd5b991d,exact,Deron Williams
2005,projected,P81f3558def,exact,Gerald Green
2005,projected,P471bec0288,exact,Danny Granger
2005,projected,P42d0d6de9a,exact,Channing Frye
2005,projected,Pf804162018,exact,Martell Webster
2005,projected,Pc047806c80,exact,Raymond Felton
2006,projected,P27f732ca1a,exact,LaMarcus Aldridge
2006,projected,P4dc7399d2c,exact,Hilton Armstrong
2006,projected,Pff1fab2e32,exact,Andrea Bargnani
2006,projected,P058ee51b71,exact,Ronnie Brewer
2006,projected,P78afb3722d,exact,Rodney Carney
2006,projected,Pf919ba1bb3,exact,Randy Foye
2006,projected,P4634e39421,exact,Rudy Gay
2006,projected,P49164b4255,exact,Adam Morrison
2006,projected,P4b8155700b,exact,Patrick O'Bryant
2006,projected,P14d000eef5,exact,J.J. Redick
2006,projected,Pa1953f4a95,exact,Brandon Roy
2006,projected,Pd31d743729,exact,Tyrus Thomas
2006,projected,P924fa678bb,exact,Marcus Williams
2006,projected,P91b09695de,exact,Shelden Williams
2006,projected,P7781579610,exact,Steve Novak
2006,projected,P117ae491b1,exact,Paul Millsap
2006,projected,Pb01091942c,exact,Joel Freeland
2007,early_entrant,P4a79922b86,exact,Corey Brewer
2007,early_entrant,Pbcd324b348,exact,"Mike Conley, Jr."
2007,early_entrant,Pb70d7d0b57,exact,Daequan Cook
2007,early_entrant,P2f5200d27c,exact,Javaris Crittenton
2007,early_entrant,P6525188e53,exact,Glen Davis
2007,early_entrant,P5713a8b541,exact,Kevin Durant
2007,early_entrant,Pba0c961d37,exact,Al Horford
2007,early_entrant,P0f110bb83f,exact,Dominic McGuire
2007,early_entrant,P67d2056db6,exact,Josh McRoberts
2007,early_entrant,Pad16010a79,exact,Joakim Noah
2007,early_entrant,P2224af8be2,exact,Greg Oden
2007,early_entrant,P971be31864,exact,Gabe Pruitt
2007,early_entrant,P544e2d56ac,exact,Ramon Sessions
2007,early_entrant,Pd6f3aa739f,exact,Jason Smith
2007,early_entrant,P243742fc34,exact,Rodney Stuckey
2007,early_entrant,P40c501f5d6,exact,Marcus Williams
2007,early_entrant,P61624e71c6,exact,Sean Williams
2007,early_entrant,Pd35ff5934d,exact,Brandan Wright
2007,early_entrant,P25a045baff,exact,Julian Wright
2007,early_entrant,Pdd125f24cc,exact,Nick Young
2007,early_entrant,P1311f2955b,exact,Arron Afflalo
2007,early_entrant,P473b24f6eb,exact,Wilson Chandler
2007,early_entrant,Peefc30f89c,exact,JamesOn Curry
2007,early_entrant,Pea4d2012e7,exact,Jeff Green
2007,early_entrant,P12dc2a4dac,exact,Spencer Hawes
2007,early_entrant,P8bc7e2260e,exact,Thaddeus Young
2007,early_entrant,Pc544b8efa0,exact,Marco Belinelli
2007,early_entrant,P8e68185705,exact,Kyrylo Fesenko
2007,early_entrant,P23d9f5804f,exact,Yi Jianlian
2007,intl_early_entrant,Pc544b8efa0,exact,Marco Belinelli
2007,intl_early_entrant,P8e68185705,exact,Kyrylo Fesenko
2007,intl_early_entrant,P23d9f5804f,exact,Yi Jianlian
2008,early_entrant,P2e38e474e2,exact,Joe Alexander
2008,early_entrant,P969f2b1c13,exact,Ryan Anderson
2008,early_entrant,P4b0ccf34e0,exact,Darrell Arthur
2008,early_entrant,P376f10f64c,exact,D. J. Augustin
2008,early_entrant,P5f07dfebd6,exact,Jerryd Bayless
2008,early_entrant,P722aa856f7,exact,Michael Beasley
2008,early_entrant,P51f87bc5f4,exact,Mario Chalmers
2008,early_entrant,P2fe87c73a6,exact,Chris Douglas-Roberts
2008,early_entrant,Pd43d378f42,exact,Eric Gordon
2008,early_entrant,P16bd14d8e6,exact,Jamont Gordon
2008,early_entrant,Pab534e249b,exact,Donte Greene
2008,early_entrant,Pd2241d6e4b,exact,Richard Hendrix
2008,early_entrant,Pffe825f9b7,exact,J.J. Hickson
2008,early_entrant,P0e7908a570,exact,George Hill
2008,early_entrant,Pb36450dd54,exact,Shawn James
2008,early_entrant,P4b40cf78ae,exact,Davon Jefferson
2008,early_entrant,P7c1c1e7eac,exact,DeAndre Jordan
2008,early_entrant,Pc3a5f10000,exact,Kosta Koufos
2008,early_entrant,Pab86c7dfaf,exact,Brook Lopez
2008,early_entrant,P7e5e28e6b3,exact,Robin Lopez
2008,early_entrant,Pdfe2a49906,exact,Kevin Love
2008,early_entrant,P552ea773e2,exact,O.J. Mayo
2008,early_entrant,Pfcb4575061,exact,JaVale McGee
2008,early_entrant,Pb48635a7c4,exact,Trent Plaisted
2008,early_entrant,P7c81e9aca5,exact,Anthony Randolph
2008,early_entrant,P2d45174d7f,exact,Derrick Rose
2008,early_entrant,Pf1e6555cfc,exact,Brandon Rush
2008,early_entrant,Pbbde966f1e,exact,Walter Sharpe
2008,early_entrant,Pdb3f441dab,exact,Marreese Speights
2008,early_entrant,Pf14243ec5e,exact,Bill Walker
2008,early_entrant,P67ee7c4408,exact,Russell Westbrook
2008,early_entrant,P5c990faeef,exact,Kojo Mensah
2008,early_entrant,P3d1eff1bca,exact,Alexis Ajinça
2008,early_entrant,Pda7ff44e77,exact,Nicolas Batum
2008,early_entrant,Peda84f3898,exact,Danilo Gallinari
2008,early_entrant,P0157d20b94,exact,Serge Ibaka
2008,intl_early_entrant,P3d1eff1bca,exact,Alexis Ajinça
2008,intl_early_entrant,Pda7ff44e77,exact,Nicolas Batum
2008,intl_early_entrant,Peda84f3898,exact,Danilo Gallinari
2008,intl_early_entrant,P0157d20b94,exact,Serge Ibaka
2010,early_entrant,P3d55371834,exact,Solomon Alabi
2010,early_entrant,P7e584efe40,exact,Cole Aldrich
2010,early_entrant,P297adbbd5f,exact,Al-Farouq Aminu
2010,early_entrant,Pb46ac34cd7,exact,James Anderson
2010,early_entrant,P6f36cd1fed,exact,Luke Babbitt
2010,early_entrant,Pc9579c50f4,exact,Armon Bassett
2010,early_entrant,P0d0da4d2bc,exact,Eric Bledsoe
2010,early_entrant,P54e531f2ec,exact,Craig Brackins
2010,early_entrant,P871b04878c,exact,Avery Bradley
2010,early_entrant,P6ff85cb7e1,exact,Derrick Caracter
2010,early_entrant,Pb3be83363c,exact,DeMarcus Cousins
2010,early_entrant,P2c1e066057,exact,Jordan Crawford
2010,early_entrant,P8fac339738,exact,Ed Davis
2010,early_entrant,P966e81614a,exact,Devin Ebanks
2010,early_entrant,Pcc98298533,exact,Derrick Favors
2010,early_entrant,Pdcb8ac9b93,exact,Tiny Gallon
2010,early_entrant,Pc781d37e72,exact,Charles Garcia
2010,early_entrant,P7f86ce09cc,exact,Paul George
2010,early_entrant,P9c4bb7f4c2,exact,Manny Harris
2010,early_entrant,P1402e898dc,exact,Gordon Hayward
2010,early_entrant,P10d0b75bed,exact,Xavier Henry
2010,early_entrant,P96ac6f0cd3,exact,Darington Hobson
2010,early_entrant,P815e63680a,exact,Armon Johnson
2010,early_entrant,Peb88f22502,exact,Wesley Johnson
2010,early_entrant,Pa56ca2c36c,exact,Dominique Jones
2010,early_entrant,P809c73ddd0,exact,Mac Koshwal
2010,early_entrant,P0b3e754c0e,exact,Sylven Landesberg
2010,early_entrant,Pe82bc0553e,exact,Gani Lawal
2010,early_entrant,Pbd387aad50,exact,Tommy Mason-Griffin
2010,early_entrant,P64a7a54879,exact,Elijah Millsap
2010,early_entrant,Pc58bcc8049,exact,Greg Monroe
2010,early_entrant,P4d2f3d5dbd,exact,Daniel Orton
2010,early_entrant,P3f25ee2633,exact,Patrick Patterson
2010,early_entrant,P11d27a665c,exact,Samardo Samuels
2010,early_entrant,P502aba077e,exact,Larry Sanders
2010,early_entrant,P0aa146e53e,exact,Lance Stephenson
2010,early_entrant,Ped95bfcd7e,exact,Evan Turner
2010,early_entrant,P97ae54051b,exact,Ekpe Udoh
2010,early_entrant,Pd01ecb3669,exact,John Wall
2010,early_entrant,Pec2bc35d4f,exact,Willie Warren
2010,early_entrant,P24b8a1c556,exact,Terrico White
2010,early_entrant,P830611c613,exact,Hassan Whiteside
2010,early_entrant,Pd646388a2b,exact,Elliot Williams
2010,early_entrant,P8030960284,exact,Jahmar Young
2010,early_entrant,Pabb4255b19,exact,Tibor Pleiss
2010,early_entrant,P440f6cc00f,exact,Kevin Seraphin
2010,intl_early_entrant,Pabb4255b19,exact,Tibor Pleiss
2010,intl_early_entrant,P440f6cc00f,exact,Kevin Seraphin
2011,green_room,P148aecdd52,exact,Bismack Biyombo
2011,green_room,P9e7b32dc92,exact,Alec Burks
2011,green_room,P3ef4d7a55a,exact,Jimmer Fredette
2011,green_room,P575f19a655,exact,Kyrie Irving
2011,green_room,P5969d3ea2a,exact,Enes Kanter
2011,green_room,P4a7a8900d7,exact,Brandon Knight
2011,green_room,P22add316a5,exact,Kawhi Leonard
2011,green_room,Pce366ff1b3,exact,Donatas Motiejūnas
2011,green_room,P268ca85d2e,exact,Marcus Morris
2011,green_room,P2d49f5a403,exact,Markieff Morris
2011,green_room,P701bdb09e4,exact,Chris Singleton
