year,status,rev_ts,revid,url,cutoff,sel_tables,sel_rows,player_cells_empty,green_room,early,intl,auto,projected
2000,no_predraft_rev,,,,2000-06-28T22:00:00Z,,,,0,0,0,0,0
2001,no_predraft_rev,,,,2001-06-27T22:00:00Z,,,,0,0,0,0,0
2002,no_predraft_rev,,,,2002-06-26T22:00:00Z,,,,0,0,0,0,0
2003,no_predraft_rev,,,,2003-06-26T22:00:00Z,,,,0,0,0,0,0
2004,no_predraft_rev,,,,2004-06-24T22:00:00Z,,,,0,0,0,0,0
2005,ok,2005-06-28T21:32:39Z,17789936,https://en.wikipedia.org/w/index.php?oldid=17789936,2005-06-28T22:00:00Z,2,60,1,0,0,0,0,9
2006,ok,2006-06-28T21:49:36Z,61090790,https://en.wikipedia.org/w/index.php?oldid=61090790,2006-06-28T22:00:00Z,2,60,1,0,0,0,0,18
2007,ok,2007-06-28T21:02:37Z,141250450,https://en.wikipedia.org/w/index.php?oldid=141250450,2007-06-28T22:00:00Z,2,60,1,0,35,6,0,0
2008,ok,2008-06-26T21:43:02Z,221960040,https://en.wikipedia.org/w/index.php?oldid=221960040,2008-06-26T22:00:00Z,2,60,1,0,54,9,0,0
2009,ok,2009-06-25T21:56:32Z,298637744,https://en.wikipedia.org/w/index.php?oldid=298637744,2009-06-25T22:00:00Z,2,60,1,0,0,0,0,0
2010,ok,2010-06-24T21:17:17Z,369981482,https://en.wikipedia.org/w/index.php?oldid=369981482,2010-06-24T22:00:00Z,1,60,1,0,57,5,12,0
2011,ok,2011-06-23T21:41:27Z,435875249,https://en.wikipedia.org/w/index.php?oldid=435875249,2011-06-23T22:00:00Z,1,60,1,17,48,6,5,0
2012,ok,2012-06-28T21:30:31Z,499814856,https://en.wikipedia.org/w/index.php?oldid=499814856,2012-06-28T22:00:00Z,1,60,1,14,55,8,2,0
2013,ok,2013-06-27T21:59:20Z,561883194,https://en.wikipedia.org/w/index.php?oldid=561883194,2013-06-27T22:00:00Z,1,60,1,13,64,18,2,0
2014,ok,2014-06-26T21:29:24Z,614556340,https://en.wikipedia.org/w/index.php?oldid=614556340,2014-06-26T22:00:00Z,1,60,1,21,56,14,8,0
2015,ok,2015-06-25T21:45:00Z,668676587,https://en.wikipedia.org/w/index.php?oldid=668676587,2015-06-25T22:00:00Z,1,60,1,23,58,11,6,0
2016,ok,2016-06-23T21:01:47Z,726703920,https://en.wikipedia.org/w/index.php?oldid=726703920,2016-06-23T22:00:00Z,1,60,1,19,72,13,2,0
2017,ok,2017-06-22T21:11:16Z,787004022,https://en.wikipedia.org/w/index.php?oldid=787004022,2017-06-22T22:00:00Z,1,60,1,20,75,10,5,0
2018,ok,2018-06-21T21:57:11Z,846948305,https://en.wikipedia.org/w/index.php?oldid=846948305,2018-06-21T22:00:00Z,1,60,1,20,88,11,4,0
2019,ok,2019-06-20T21:24:43Z,902732879,https://en.wikipedia.org/w/index.php?oldid=902732879,2019-06-20T22:00:00Z,1,60,1,23,97,12,17,0
2020,ok,2020-11-18T18:33:32Z,989391769,https://en.wikipedia.org/w/index.php?oldid=989391769,2020-11-18T22:00:00Z,1,60,1,0,83,13,7,0
2021,ok,2021-07-29T18:57:38Z,1036140759,https://en.wikipedia.org/w/index.php?oldid=1036140759,2021-07-29T22:00:00Z,1,60,1,0,209,8,3,0
2022,ok,2022-06-23T21:12:11Z,1094663260,https://en.wikipedia.org/w/index.php?oldid=1094663260,2022-06-23T22:00:00Z,1,58,1,0,148,14,1,0
2023,ok,2023-06-22T20:19:54Z,1161452801,https://en.wikipedia.org/w/index.php?oldid=1161452801,2023-06-22T22:00:00Z,1,58,1,0,98,8,1,0
2024,ok,2024-06-26T03:17:16Z,1231038808,https://en.wikipedia.org/w/index.php?oldid=1231038808,2024-06-26T22:00:00Z,1,58,1,24,76,16,0,0
2025,ok,2025-06-25T08:36:01Z,1297295407,https://en.wikipedia.org/w/index.php?oldid=1297295407,2025-06-25T22:00:00Z,1,59,1,24,46,15,0,0
2026,ok,2026-06-24T18:11:58Z,1360952849,https://en.wikipedia.org/w/index.php?oldid=1360952849,2026-06-24T22:00:00Z,1,60,1,24,31,5,0,0
