year,list,name_on_page,link_target,reason
2006,projected,Saer Sene,Saer Sene,no_match
2007,early_entrant,Saša Čuić,Saša Čuić,no_match
2007,early_entrant,Dwight Brewington,Dwight Brewington,no_match
2007,early_entrant,Reggie Williams,Reggie Williams,no_match
2007,early_entrant,Ralfi Silva Ansaloni,Ralfi Silva Ansaloni,no_match
2007,early_entrant,Stanko Barać,Stanko Barać,no_match
2007,early_entrant,Petteri Koponen,Petteri Koponen,no_match
2007,intl_early_entrant,Ralfi Silva Ansaloni,Ralfi Silva Ansaloni,no_match
2007,intl_early_entrant,Stanko Barać,Stanko Barać,no_match
2007,intl_early_entrant,Petteri Koponen,Petteri Koponen,no_match
2007,withdrawn,Roy Bright,Roy Bright,no_match
2007,withdrawn,Aaron Bruce,Aaron Bruce,no_match
2007,withdrawn,Jaycee Carroll,Jaycee Carroll,no_match
2007,withdrawn,Dan Coleman,Dan Coleman (basketball player),no_match
2007,withdrawn,Chris Daniels,,no_match
2007,withdrawn,DeVon Hardin,DeVon Hardin,no_match
2007,withdrawn,Roy Hibbert,Roy Hibbert,no_match
2007,withdrawn,Dominic James,Dominic James,no_match
2007,withdrawn,Marcel Jones,Marcel Jones,no_match
2007,withdrawn,Joseph Jones,Joseph Jones (basketball player),no_match
2007,withdrawn,Marcelus Kemp,Marcelus Kemp,no_match
2007,withdrawn,James Mays,James Mays,no_match
2007,withdrawn,Bo McCalebb,Bo McCalebb,no_match
2007,withdrawn,Shaun Pruitt,Shaun Pruitt,no_match
2007,withdrawn,Charles Rhodes,Charles Rhodes,no_match
2007,withdrawn,Maurice Rice,Maurice Rice,no_match
2007,withdrawn,Brandon Rush,Brandon Rush,no_match
2007,withdrawn,Sean Singletary,Sean Singletary,no_match
2007,withdrawn,Spencer Tollackson,,no_match
2007,withdrawn,Rodrigue Beaubois,Rodrigue Beaubois,no_match
2007,withdrawn,Hakan Demirel,Hakan Demirel,no_match
2007,withdrawn,Romain Duport,Romain Duport,no_match
2007,withdrawn,Vladimir Golubović,Vladimir Golubović,no_match
2007,withdrawn,Rafael Hettsheimeier,Rafael Hettsheimeier,no_match
2007,withdrawn,Deyan Ivanov,Deyan Ivanov,no_match
2007,withdrawn,Kaloyan Ivanov,Kaloyan Ivanov,no_match
2007,withdrawn,Maxym Ivshyn,Maxym Ivshyn,no_match
2007,withdrawn,Ivan Maraš,Ivan Maraš,no_match
2007,withdrawn,Manuchar Markoishvili,Manuchar Markoishvili,no_match
2007,withdrawn,Douglas Angelo Nunes,Douglas Angelo Nunes,no_match
2007,withdrawn,Caner Öner,Caner Öner,no_match
