comp,season,season_year,games_played,box_scores_cached,complete,first_game,last_game
E,E2000,2000,158,158,1,2000-10-15,2001-05-10
E,E2001,2001,275,31,0,2001-10-10,2002-05-05
E,E2002,2002,220,0,0,2002-10-08,2003-05-11
E,E2003,2003,220,0,0,2003-11-03,2004-05-01
E,E2004,2004,229,0,0,2004-11-01,2005-05-08
E,E2005,2005,231,0,0,2005-10-31,2006-04-30
E,E2006,2006,230,0,0,2006-10-23,2007-05-06
E,E2007,2007,231,0,0,2007-10-22,2008-05-04
E,E2008,2008,188,0,0,2008-10-20,2009-05-03
E,E2009,2009,188,0,0,2009-10-15,2010-05-09
E,E2010,2010,189,0,0,2010-10-18,2011-05-08
E,E2011,2011,188,0,0,2011-10-17,2012-05-13
E,E2012,2012,253,0,0,2012-10-11,2013-05-12
E,E2013,2013,253,0,0,2013-10-16,2014-05-18
E,E2014,2014,251,0,0,2014-10-15,2015-05-17
E,E2015,2015,250,0,0,2015-10-15,2016-05-15
E,E2016,2016,259,0,0,2016-10-12,2017-05-21
E,E2017,2017,260,0,0,2017-10-12,2018-05-20
E,E2018,2018,260,0,0,2018-10-11,2019-05-19
E,E2019,2019,252,0,0,2019-10-03,2020-03-06
E,E2020,2020,328,0,0,2020-10-01,2021-05-30
E,E2021,2021,299,0,0,2021-09-30,2022-05-21
E,E2022,2022,328,0,0,2022-10-06,2023-05-21
E,E2023,2023,331,0,0,2023-10-05,2024-05-26
E,E2024,2024,330,0,0,2024-10-03,2025-05-25
E,E2025,2025,402,0,0,2025-09-30,2026-05-24
E,E2026,,0,0,1,,
U,U2002,2002,150,0,0,2002-10-14,2003-04-23
U,U2003,2003,209,0,0,2003-11-10,2004-04-13
U,U2004,2004,239,0,0,2004-11-09,2005-04-19
U,U2005,2005,149,0,0,2005-11-08,2006-04-11
U,U2006,2006,149,0,0,2006-10-29,2007-04-10
U,U2007,2007,326,0,0,2007-11-05,2008-04-13
U,U2008,2008,151,0,0,2008-11-24,2009-04-05
U,U2009,2009,156,0,0,2009-11-24,2010-04-18
U,U2010,2010,156,0,0,2010-11-16,2011-04-17
U,U2011,2011,156,0,0,2011-11-15,2012-04-15
U,U2012,2012,157,0,0,2012-11-06,2013-04-13
U,U2013,2013,366,0,0,2013-10-15,2014-05-07
U,U2014,2014,306,0,0,2014-10-14,2015-04-29
U,U2015,2015,306,0,0,2015-10-13,2016-04-27
U,U2016,2016,146,0,0,2016-10-12,2017-04-05
U,U2017,2017,184,0,0,2017-10-10,2018-04-13
U,U2018,2018,186,0,0,2018-10-02,2019-04-15
U,U2019,2019,168,0,0,2019-10-01,2020-03-05
U,U2020,2020,185,0,0,2020-09-29,2021-04-30
U,U2021,2021,189,0,0,2021-10-19,2022-05-11
U,U2022,2022,195,0,0,2022-10-11,2023-05-03
U,U2023,2023,195,0,0,2023-10-03,2024-04-12
U,U2024,2024,196,0,0,2024-09-24,2025-04-11
U,U2025,2025,195,0,0,2025-09-30,2026-04-28
U,U2026,,0,0,1,,
J,J2003,2002,13,13,1,2003-05-09,2003-05-11
J,J2004,2003,7,7,1,2004-04-29,2004-05-01
J,J2005,2004,13,13,1,2005-05-06,2005-05-08
J,J2006,2005,13,13,1,2006-04-27,2006-04-30
J,J2007,2006,13,13,1,2007-05-03,2007-05-06
J,J2008,2007,37,37,1,2008-03-28,2008-05-03
J,JT08,2008,82,82,1,2008-12-27,2009-05-02
J,JT09,2009,87,87,1,2009-12-27,2010-05-09
J,JT10,2010,67,67,1,2010-12-27,2011-05-08
J,JT11,2011,83,83,1,2011-12-27,2012-05-13
J,JT12,2012,79,79,1,2012-12-27,2013-05-12
J,JT13,2013,79,79,1,2013-12-27,2014-05-18
J,JT14,2014,78,78,1,2014-12-27,2015-05-17
J,JTA25,2025,9,9,1,2026-02-27,2026-02-28
J,JTB15,2015,18,18,1,2016-02-26,2016-02-28
J,JTB16,2016,16,16,1,2017-02-24,2017-02-26
J,JTB17,2017,16,16,1,2018-02-23,2018-02-25
J,JTB18,2018,16,16,1,2019-02-22,2019-02-24
J,JTB19,2019,16,16,1,2020-02-21,2020-02-23
J,JTB20,2020,16,16,1,2021-03-26,2021-03-28
J,JTB21,2021,16,16,1,2022-02-25,2022-02-27
J,JTB22,2022,16,16,1,2023-03-31,2023-04-02
J,JTB23,2023,16,16,1,2024-03-01,2024-03-03
J,JTB24,2024,16,16,1,2025-03-07,2025-03-09
J,JTB25,2025,16,16,1,2026-03-20,2026-03-22
J,JTBO25,2025,16,16,1,2026-03-13,2026-03-15
J,JTC16,2016,16,16,1,2017-02-10,2017-02-12
J,JTC23,2023,16,16,1,2024-01-26,2024-01-28
J,JTD23,2023,16,16,1,2024-03-22,2024-03-24
J,JTF21,2021,13,13,1,2022-05-18,2022-05-21
J,JTF22,2022,13,13,1,2023-05-18,2023-05-21
J,JTF415,2015,13,13,1,2016-05-12,2016-05-15
J,JTF416,2016,13,13,1,2017-05-18,2017-05-21
J,JTF417,2017,13,13,1,2018-05-17,2018-05-20
J,JTF418,2018,13,13,1,2019-05-16,2019-05-19
J,JTF420,2020,13,13,1,2021-06-03,2021-06-06
J,JTF423,2023,13,13,1,2024-05-23,2024-05-26
J,JTF424,2024,13,13,1,2025-05-22,2025-05-25
J,JTF425,2025,13,13,1,2026-05-21,2026-05-24
J,JTH15,2015,17,17,1,2016-01-04,2016-01-06
J,JTH16,2016,17,17,1,2017-01-06,2017-01-08
J,JTH17,2017,16,16,1,2018-01-05,2018-01-07
J,JTI20,2020,16,16,1,2021-03-19,2021-03-21
J,JTI24,2024,16,16,1,2024-11-29,2024-12-01
J,JTK15,2015,14,14,1,2016-01-15,2016-01-17
J,JTK16,2016,16,16,1,2017-01-12,2017-01-14
J,JTK17,2017,16,16,1,2018-01-19,2018-01-21
J,JTK18,2018,16,16,1,2019-02-08,2019-02-10
J,JTK19,2019,16,16,1,2020-02-07,2020-02-09
J,JTL21,2021,16,16,1,2022-04-15,2022-04-17
J,JTM17,2017,16,16,1,2018-02-09,2018-02-11
J,JTM18,2018,16,16,1,2019-01-25,2019-01-27
J,JTM19,2019,16,16,1,2020-01-17,2020-01-19
J,JTM22,2022,16,16,1,2023-01-20,2023-01-22
J,JTM24,2024,16,16,1,2025-01-17,2025-01-19
J,JTP21,2021,16,16,1,2022-03-25,2022-03-27
J,JTP22,2022,16,16,1,2023-02-10,2023-02-12
J,JTP23,2023,16,16,1,2024-04-05,2024-04-07
J,JTR15,2015,16,16,1,2015-12-27,2015-12-29
J,JTU24,2024,16,16,1,2025-02-07,2025-02-09
J,JTU25,2025,16,16,1,2026-02-06,2026-02-08
J,JTV18,2018,16,16,1,2018-12-28,2018-12-30
J,JTV19,2019,16,16,1,2019-12-27,2019-12-29
J,JTV20,2020,16,16,1,2020-12-27,2020-12-29
J,JTV21,2021,16,16,1,2022-04-01,2022-04-03
J,JTZ22,2022,16,16,1,2023-03-03,2023-03-05
