pid,person_codes,competitions,seasons,n_games_predraft,first_game_used,last_game_used,cutoff_utc,draft_year
P027da49c30,007029,J,JTF415|JTF417|JTK16|JTK17,12,2016-05-12,2018-05-20,2019-06-20T22:00:00,2019
P05c9e8e43e,KJP,J,J2005,3,2005-05-06,2005-05-07,2013-06-27T22:00:00,2013
P07109e12fd,010315,J,JTB19,4,2020-02-21,2020-02-23,2025-06-25T22:00:00,2025
P079efef655,BBW,E,E2001,4,2002-03-20,2002-04-17,2004-06-24T22:00:00,2004
P0aa581f174,006261,J,JT14,4,2015-02-27,2015-03-01,2021-07-29T22:00:00,2021
P0fc299eb1c,012225,J,JTF22|JTP22|JTP23,11,2023-02-10,2024-04-07,2026-06-01T00:00:00,2026
P10bdb64d5d,KVZ,J,J2006,4,2006-04-27,2006-04-30,2012-06-28T22:00:00,2012
P11475d8eed,JBY,J,J2003|J2004,6,2003-05-09,2004-04-30,2005-06-28T22:00:00,2005
P1191691c20,009376,J,JTB19|JTB20|JTF420,11,2020-02-21,2021-06-05,2022-06-23T22:00:00,2022
P11ed05516e,003108,J,JT10|JT12,17,2010-12-27,2013-05-12,2015-06-25T22:00:00,2015
P144ed94c77,009553,J,JTK19,4,2020-02-07,2020-02-09,2023-06-22T22:00:00,2023
P1a135db58f,011647,J,JTC23|JTF22|JTF423|JTM22,16,2023-01-20,2024-05-26,2025-06-25T22:00:00,2025
P1a32cd4176,004554,J,JT12|JT13,9,2013-01-04,2014-02-23,2016-06-23T22:00:00,2016
P1a41a85440,006835,J,JTF415|JTK15,7,2016-01-15,2016-05-14,2019-06-20T22:00:00,2019
P1ef5f1c321,002582,J,JT09,5,2010-02-12,2010-02-14,2015-06-25T22:00:00,2015
P23152d31e2,010718,J,JTB21|JTF21|JTF420|JTV20,14,2020-12-27,2022-05-20,2024-06-26T22:00:00,2024
P24c85e006b,010762,J,JTV20,4,2020-12-27,2020-12-29,2025-06-25T22:00:00,2025
P277e56e049,010801,J,JTF21|JTF22|JTM22|JTP21,16,2022-03-25,2023-05-21,2025-06-25T22:00:00,2025
P2ad4235514,005846,J,JTK15,4,2016-01-15,2016-01-17,2017-06-22T22:00:00,2017
P2b19f4fd38,010750,J,JTB21|JTB22|JTV20,12,2020-12-27,2023-04-02,2026-06-01T00:00:00,2026
P2b2d444bdd,002534,J,JT09|JT10,17,2010-02-12,2011-05-07,2019-06-20T22:00:00,2019
P2f15d5867f,JLY,J,J2005,4,2005-05-06,2005-05-08,2005-06-28T22:00:00,2005
P31bc34ca23,000796,J,J2008|JT08,6,2008-05-01,2009-01-06,2011-06-23T22:00:00,2011
P32fecc73d2,011391,J,JTB21|JTB22|JTD23|JTF21|JTF423,18,2022-02-25,2024-05-25,2025-06-25T22:00:00,2025
P33f4d69488,AHX,E,E2000|E2001,20,2000-10-18,2002-05-03,2002-06-26T22:00:00,2002
P360c31499c,003845,J,JT11,4,2012-02-10,2012-02-12,2014-06-26T22:00:00,2014
P3651ab0a99,011345,J,JTB21|JTB22|JTF21|JTF22,15,2022-02-25,2023-05-20,2025-06-25T22:00:00,2025
P379ec45447,005713,J,JT14|JTF415|JTH15,16,2015-01-16,2016-05-15,2018-06-21T22:00:00,2018
P3997afa4f2,003112,J,JT10|JT11,15,2010-12-27,2012-05-12,2014-06-26T22:00:00,2014
P3e5c820c70,005379,J,JT13|JT14,9,2014-01-03,2015-01-06,2017-06-22T22:00:00,2017
P3e86849b89,006082,J,JT14|JTF415|JTH15,14,2015-01-04,2016-05-15,2021-07-29T22:00:00,2021
P40d4a587d5,AHV,E,E2000|E2001,20,2000-10-18,2002-05-03,2006-06-28T22:00:00,2006
P4110110f37,007630,J,JTF417|JTF418|JTM17|JTM18,15,2018-02-09,2019-05-19,2021-07-29T22:00:00,2021
P44154d877a,002821,J,JT09,4,2010-05-06,2010-05-09,2014-06-26T22:00:00,2014
P4adcc58a26,AJG,E,E2000|E2001,25,2000-10-17,2002-04-17,2002-06-26T22:00:00,2002
P4b5f95e771,009368,J,JTB19|JTK18,8,2019-02-08,2020-02-23,2022-06-23T22:00:00,2022
P4b934e1435,AJV,E,E2000,10,2000-10-17,2001-01-16,2002-06-26T22:00:00,2002
P4e9a2418a1,008260,J,JTM17,4,2018-02-09,2018-02-11,2023-06-22T22:00:00,2023
P51ef89c5e3,APR,E,E2001,3,2002-03-26,2002-04-17,2004-06-24T22:00:00,2004
P5277c76d51,006809,J,JTB16|JTF415|JTF416|JTR15,15,2015-12-27,2017-05-21,2019-06-20T22:00:00,2019
P53313a94c2,AFP,E,E2000,6,2000-12-05,2001-02-08,2003-06-26T22:00:00,2003
P53a27c701d,004004,J,JT11|JT12,16,2012-02-24,2013-05-11,2019-06-20T22:00:00,2019
P53f786523f,004549,J,JT12|JT13|JT14,13,2013-01-04,2014-12-29,2016-06-23T22:00:00,2016
P58407301c7,012211,J,JTP22,4,2023-02-10,2023-02-12,2024-06-26T22:00:00,2024
P5849f19551,004088,J,JT11,3,2012-05-10,2012-05-12,2015-06-25T22:00:00,2015
P5da3d9ffcd,005758,J,JT14,5,2015-02-27,2015-03-01,2018-06-21T22:00:00,2018
P5dad28f6cf,009947,J,JTV19,4,2019-12-27,2019-12-29,2023-06-22T22:00:00,2023
P5ff9cbca0f,006180,J,JT14|JTH15,11,2015-01-16,2016-01-06,2018-06-21T22:00:00,2018
P608846acfb,003264,J,JT10|JT11,13,2011-02-18,2012-02-26,2016-06-23T22:00:00,2016
P61add2364f,006540,J,JTB15,5,2016-02-26,2016-02-28,2018-06-21T22:00:00,2018
P620501ed0d,004485,J,JT12,4,2012-12-27,2012-12-29,2016-06-23T22:00:00,2016
P624b2b5afe,006722,J,JTR15,4,2015-12-27,2015-12-29,2021-07-29T22:00:00,2021
P6696ce1e71,010319,J,JTB19,4,2020-02-21,2020-02-23,2024-06-26T22:00:00,2024
P6c257fc7cf,006093,J,JT14,4,2015-01-04,2015-01-06,2021-07-29T22:00:00,2021
P6d9b6a98b1,AOV,E,E2001,4,2002-03-20,2002-05-03,2002-06-26T22:00:00,2002
P6ddd309f80,011649,J,JTC23|JTF22|JTF423|JTM22,16,2023-01-20,2024-05-26,2025-06-25T22:00:00,2025
P719dac14cb,004499,J,JT12,4,2012-12-27,2012-12-29,2022-06-23T22:00:00,2022
P71f8c1b48d,010317,J,JTB19|JTF21|JTV21,11,2020-02-21,2022-05-20,2023-06-22T22:00:00,2023
P7235c3ea4e,012867,J,JTC23,4,2024-01-26,2024-01-28,2026-06-01T00:00:00,2026
P797b6b2deb,ALH,E,E2000|E2001,25,2000-10-17,2002-05-05,2002-06-26T22:00:00,2002
P79aaab38df,011621,J,JTC23|JTF423|JTM22,11,2023-01-20,2024-05-25,2026-06-01T00:00:00,2026
P7aeaf13cc2,AGP,E,E2000|E2001,17,2000-10-18,2002-04-17,2004-06-24T22:00:00,2004
P7d55637f90,AKT,E,E2000|E2001,27,2000-10-17,2002-05-05,2002-06-26T22:00:00,2002
P7d7c4d5568,JFO,J,J2004|J2005,5,2004-04-29,2005-05-07,2009-06-25T22:00:00,2009
P842bafbfda,008232,J,JTB18|JTM17,8,2018-02-09,2019-02-24,2020-11-18T22:00:00,2020
P8aa2e06ade,000848,J,J2008|JT08,11,2008-03-28,2009-02-15,2013-06-27T22:00:00,2013
P8b3507dca4,007690,J,JTM19|JTV18,7,2018-12-28,2020-01-19,2024-06-26T22:00:00,2024
P8bf21cf88b,008090,J,JTH17,4,2018-01-05,2018-01-07,2023-06-22T22:00:00,2023
P927dcf71a8,AJE,E,E2000|E2001,25,2000-10-17,2002-04-17,2005-06-28T22:00:00,2005
