pid,fy_has_youth,fy_n_tournaments,fy_best_level,fy_age_rel_last,fy_age_rel_min,fy_underage_flag,fy_pts40_z_last,fy_pir40_z_last,fy_ts_z_last,fy_ast40_z_last,fy_stl_blk40_z_last,fy_usage_proxy_z_last,fy_best_pts40_z,fy_best_pir40_z,fy_z_trend,fy_minutes_share_last,fy_team_finish_last,fy_hoop_summit_world
Pfb151947b8,0,0,,,,,,,,,,,,,,,,0
Pb9c8134dba,0,0,,,,,,,,,,,,,,,,0
P70be92ee2a,0,0,,,,,,,,,,,,,,,,0
P7aebb4f3da,0,0,,,,,,,,,,,,,,,,0
Pe4182c4c9a,0,0,,,,,,,,,,,,,,,,0
Pdaa5dc2ffe,0,0,,,,,,,,,,,,,,,,0
P0a16bf5dcd,0,0,,,,,,,,,,,,,,,,0
P4d044e6517,0,0,,,,,,,,,,,,,,,,0
P332366fd23,0,0,,,,,,,,,,,,,,,,0
Pf596e595fa,0,0,,,,,,,,,,,,,,,,0
P2225ba1e79,0,0,,,,,,,,,,,,,,,,0
Pa1cb69e2d5,0,0,,,,,,,,,,,,,,,,0
Pbd1bd31363,0,0,,,,,,,,,,,,,,,,0
P049a006ba4,0,0,,,,,,,,,,,,,,,,0
Pf2b2bf7c90,0,0,,,,,,,,,,,,,,,,0
P382ba08b06,0,0,,,,,,,,,,,,,,,,0
Pdfcccbc0ee,0,0,,,,,,,,,,,,,,,,0
P180bfe573f,0,0,,,,,,,,,,,,,,,,0
P5ea8063b82,0,0,,,,,,,,,,,,,,,,0
P8b55924f31,0,0,,,,,,,,,,,,,,,,0
P360a02c8f3,0,0,,,,,,,,,,,,,,,,0
P8df0a8788c,0,0,,,,,,,,,,,,,,,,0
P22993a7ac8,0,0,,,,,,,,,,,,,,,,0
P52ae6ebde1,0,0,,,,,,,,,,,,,,,,0
P3ef49a42d2,0,0,,,,,,,,,,,,,,,,0
Pa5a2a6e8b9,0,0,,,,,,,,,,,,,,,,0
P91ba0ccfb7,0,0,,,,,,,,,,,,,,,,0
P8b719e2981,0,0,,,,,,,,,,,,,,,,0
Pc3df7f8dbd,0,0,,,,,,,,,,,,,,,,0
P39bae689b5,0,0,,,,,,,,,,,,,,,,0
Pd5c75d3b01,0,0,,,,,,,,,,,,,,,,0
P189ad0416e,0,0,,,,,,,,,,,,,,,,0
Pefcb67dee7,0,0,,,,,,,,,,,,,,,,0
P07fb065f28,0,0,,,,,,,,,,,,,,,,0
P6c17983aad,0,0,,,,,,,,,,,,,,,,0
P0b8d4db24c,0,0,,,,,,,,,,,,,,,,0
P1d1b852c8c,0,0,,,,,,,,,,,,,,,,0
P98015d62ae,0,0,,,,,,,,,,,,,,,,0
P620c88aaa1,0,0,,,,,,,,,,,,,,,,0
P69d740b582,0,0,,,,,,,,,,,,,,,,0
P9c1ee88716,0,0,,,,,,,,,,,,,,,,1
P65db320efe,0,0,,,,,,,,,,,,,,,,0
Pfdb326aa01,0,0,,,,,,,,,,,,,,,,0
Pd764197a9d,0,0,,,,,,,,,,,,,,,,0
P7903308993,0,0,,,,,,,,,,,,,,,,0
P1c5dc0dbc6,0,0,,,,,,,,,,,,,,,,0
Paff659398c,0,0,,,,,,,,,,,,,,,,1
P1f7c85948b,0,0,,,,,,,,,,,,,,,,0
P0e7eb7e056,0,0,,,,,,,,,,,,,,,,0
P497243f189,0,0,,,,,,,,,,,,,,,,0
P8955b1a9c4,0,0,,,,,,,,,,,,,,,,1
P9e0485e8f6,0,0,,,,,,,,,,,,,,,,0
Pd72f71c2bb,0,0,,,,,,,,,,,,,,,,0
P2864fd765b,0,0,,,,,,,,,,,,,,,,0
P530a84e49c,0,0,,,,,,,,,,,,,,,,0
P3cfed129a3,0,0,,,,,,,,,,,,,,,,0
P8105ba296c,0,0,,,,,,,,,,,,,,,,0
P7cf0118ef7,0,0,,,,,,,,,,,,,,,,0
P7b63dad40c,0,0,,,,,,,,,,,,,,,,0
Pbc657442d8,0,0,,,,,,,,,,,,,,,,0
Pa0da0f38dc,0,0,,,,,,,,,,,,,,,,0
P9a587a1a63,0,0,,,,,,,,,,,,,,,,0
P2899765f70,0,0,,,,,,,,,,,,,,,,0
P1f84c6033c,0,0,,,,,,,,,,,,,,,,0
Pcb83527531,0,0,,,,,,,,,,,,,,,,0
P9aa2c80a45,0,0,,,,,,,,,,,,,,,,0
Pd49ad433a6,0,0,,,,,,,,,,,,,,,,0
P1de330dcda,0,0,,,,,,,,,,,,,,,,0
Pe7b575da0a,0,0,,,,,,,,,,,,,,,,0
Pbcfa5eaec6,0,0,,,,,,,,,,,,,,,,0
P3f83cdea39,0,0,,,,,,,,,,,,,,,,0
Pc7c312fdc1,0,0,,,,,,,,,,,,,,,,0
Pff73e1eace,0,0,,,,,,,,,,,,,,,,0
Pe88af25410,0,0,,,,,,,,,,,,,,,,0
P854c694553,0,0,,,,,,,,,,,,,,,,0
P1d7e465328,0,0,,,,,,,,,,,,,,,,0
Peca9b04dbf,0,0,,,,,,,,,,,,,,,,0
P0fd2ff4395,0,0,,,,,,,,,,,,,,,,0
Pac419c235c,0,0,,,,,,,,,,,,,,,,0
P704a5fd478,0,0,,,,,,,,,,,,,,,,0
P0d7e76d154,0,0,,,,,,,,,,,,,,,,0
P98f905fdef,0,0,,,,,,,,,,,,,,,,1
Pdcd864f0fb,0,0,,,,,,,,,,,,,,,,0
P842a2f3c2e,0,0,,,,,,,,,,,,,,,,0
P675a30c147,0,0,,,,,,,,,,,,,,,,0
P563df84956,0,0,,,,,,,,,,,,,,,,0
P3a25271b04,0,0,,,,,,,,,,,,,,,,0
P75d87cd190,0,0,,,,,,,,,,,,,,,,0
Paf6a9c1c9e,0,0,,,,,,,,,,,,,,,,0
P2ee25c689c,0,0,,,,,,,,,,,,,,,,0
P1bd862cc0f,0,0,,,,,,,,,,,,,,,,0
P9650bb1a40,0,0,,,,,,,,,,,,,,,,0
Pcba63fe240,0,0,,,,,,,,,,,,,,,,0
Pd4900db84d,0,0,,,,,,,,,,,,,,,,0
P4da2c7e178,0,0,,,,,,,,,,,,,,,,0
Pfcc31e3705,0,0,,,,,,,,,,,,,,,,0
P3ebb78aaf3,0,0,,,,,,,,,,,,,,,,0
P6dc3d3ca5e,1,3,3,0.325505,0.158138,0,1.29326,1.1643,0.275428,1.53708,0.0741718,0.84268,1.85055,2.821,-1.04989,0.71875,1,1
P2a8e69fc8a,0,0,,,,,,,,,,,,,,,,0
P07655923d4,0,0,,,,,,,,,,,,,,,,0
Pc0571f7238,0,0,,,,,,,,,,,,,,,,0
Pd3b6bf6d79,0,0,,,,,,,,,,,,,,,,0
Paeace7e70c,0,0,,,,,,,,,,,,,,,,0
P989fbfa539,0,0,,,,,,,,,,,,,,,,0
Pe0dd44e42b,0,0,,,,,,,,,,,,,,,,0
Pf532d918b8,0,0,,,,,,,,,,,,,,,,0
Paa277db6ca,0,0,,,,,,,,,,,,,,,,0
P3d1a59b5a2,0,0,,,,,,,,,,,,,,,,0
P002581103b,0,0,,,,,,,,,,,,,,,,0
P6d3c0c239e,0,0,,,,,,,,,,,,,,,,0
P5303425662,0,0,,,,,,,,,,,,,,,,0
P0fee52cfc4,0,0,,,,,,,,,,,,,,,,0
P4f8c953cc8,0,0,,,,,,,,,,,,,,,,1
Pe0f44d3916,0,0,,,,,,,,,,,,,,,,0
Pc5a3285209,0,0,,,,,,,,,,,,,,,,1
P0a2d28a2d0,0,0,,,,,,,,,,,,,,,,0
Pc0e2cf5bcc,0,0,,,,,,,,,,,,,,,,0
Pf65d71b77e,0,0,,,,,,,,,,,,,,,,0
P9aa7ef7a41,0,0,,,,,,,,,,,,,,,,0
P666726f41f,0,0,,,,,,,,,,,,,,,,0
Pd1e82d8666,0,0,,,,,,,,,,,,,,,,0
P820aca19f1,0,0,,,,,,,,,,,,,,,,0
Pf7459f37f3,0,0,,,,,,,,,,,,,,,,0
Pa93cedf1ed,0,0,,,,,,,,,,,,,,,,0
Pbd83a701c7,0,0,,,,,,,,,,,,,,,,0
Pca59ea1b39,0,0,,,,,,,,,,,,,,,,0
P2c0a429f79,0,0,,,,,,,,,,,,,,,,0
Pa33e366fdf,0,0,,,,,,,,,,,,,,,,0
P759a9434cf,0,0,,,,,,,,,,,,,,,,0
P8fba680b01,0,0,,,,,,,,,,,,,,,,0
P6d016b475a,0,0,,,,,,,,,,,,,,,,0
P73f5726100,0,0,,,,,,,,,,,,,,,,0
P0e7fc05f4f,0,0,,,,,,,,,,,,,,,,0
P4caf77098c,0,0,,,,,,,,,,,,,,,,0
