tid,comp_slug,event_id,year,level,age_group,scope,division,zone,date_start,date_end,n_teams,n_roster,n_qualified,field_age_mean,field_age_sd,url
254_2,254-fiba-u18-afrobasket,2,2000,2,18,continental,A,FIBA Africa,2000-07-09,2000-07-15,4,48,0,16.1135,1.37392,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/2
258_2032,258-fiba-u18-asia-cup,2032,2000,3,18,continental,A,FIBA Asia,2000-07-18,2000-07-27,16,0,0,,,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/2032
263_1927,263-fiba-u18-eurobasket,1927,2000,3,18,continental,A,FIBA Europe,2000-07-14,2000-07-23,12,143,124,17.835,0.588259,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/1927
263_80,263-fiba-u18-eurobasket,80,2000,3,18,continental,A,FIBA Europe,2000-04-11,2000-04-15,18,215,168,17.5674,0.581802,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/80
263_81,263-fiba-u18-eurobasket,81,2000,3,18,continental,A,FIBA Europe,1999-08-01,1999-08-29,29,344,267,17.0496,0.461456,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/81
254_2927,254-fiba-u18-afrobasket,2927,2002,3,18,continental,A,FIBA Africa,2002-08-02,2002-08-10,0,0,0,,,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/2927
256_2654,256-fiba-u18-americup,2654,2002,3,18,continental,A,FIBA Americas,2002-07-24,2002-07-28,8,0,0,,,https://www.fiba.basketball/en/history/256-fiba-u18-americup/2654
258_2996,258-fiba-u18-asia-cup,2996,2002,3,18,continental,A,FIBA Asia,2002-12-16,2002-12-26,14,168,0,17.9221,0.903128,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/2996
263_272,263-fiba-u18-eurobasket,272,2002,3,18,continental,A,FIBA Europe,2001-08-01,2001-08-12,23,258,182,17.057,0.567186,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/272
263_2886,263-fiba-u18-eurobasket,2886,2002,3,18,continental,A,FIBA Europe,2002-04-16,2002-05-01,18,215,171,17.6273,0.638695,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2886
263_2888,263-fiba-u18-eurobasket,2888,2002,3,18,continental,A,FIBA Europe,2002-07-12,2002-07-21,12,144,121,17.8457,0.557956,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2888
276_2701,276-fiba-u19-basketball-world-cup,2701,2003,4,19,world,A,FIBA World,2003-07-10,2003-07-20,16,191,169,18.5308,0.778566,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/2701
258_3218,258-fiba-u18-asia-cup,3218,2004,3,18,continental,A,FIBA Asia,2004-09-15,2004-09-23,16,0,0,,,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/3218
263_2703,263-fiba-u18-eurobasket,2703,2004,3,18,continental,A,FIBA Europe,2003-07-30,2004-07-18,35,493,386,16.9505,0.574968,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/2703
263_3163,263-fiba-u18-eurobasket,3163,2005,3,18,continental,A,FIBA Europe,2005-07-13,2005-07-24,16,191,165,17.9,0.519728,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163
254_3291,254-fiba-u18-afrobasket,3291,2006,3,18,continental,A,FIBA Africa,2006-05-01,2006-08-06,10,116,82,17.1081,0.891782,https://www.fiba.basketball/en/history/254-fiba-u18-afrobasket/3291
256_3285,256-fiba-u18-americup,3285,2006,3,18,continental,A,FIBA Americas,2006-06-28,2006-07-02,7,83,62,17.8153,0.580995,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3285
258_3911,258-fiba-u18-asia-cup,3911,2006,3,18,continental,A,FIBA Asia,2006-09-01,2006-09-09,16,0,0,,,https://www.fiba.basketball/en/history/258-fiba-u18-asia-cup/3911
