pid,fiba_id,tid,comp_id,event_id,level,age_group,scope,division,year,date_start,date_end,games,minutes,age_at_tournament,team_finish,field_n_roster,field_n_qual,field_age_mean,field_age_sd,pts40,field_pts_mean,field_pts_sd,reb40,field_reb_mean,field_reb_sd,oreb40,field_oreb_mean,field_oreb_sd,dreb40,field_dreb_mean,field_dreb_sd,ast40,field_ast_mean,field_ast_sd,stl40,field_stl_mean,field_stl_sd,blk40,field_blk_mean,field_blk_sd,tov40,field_tov_mean,field_tov_sd,pir40,field_pir_mean,field_pir_sd,usage40,field_usage_mean,field_usage_sd,ts,field_ts_mean,field_ts_sd,efg,field_efg_mean,field_efg_sd,tpar,field_tpar_mean,field_tpar_sd,ftr,field_ftr_mean,field_ftr_sd,ftpct,field_ftpct_mean,field_ftpct_sd
P00193b3ed9,173518,249_3924,249,3924,3,17,world,A,2010,2010-07-02,2010-07-11,5,88,17.3008,3,144,123,17.0365,0.420802,30,14.634,6.05534,14.0909,7.23158,3.56787,3.63636,2.36571,1.70469,10.4545,4.86587,2.26597,1.36364,2.8592,2.15155,2.27273,1.87293,1.1407,3.18182,0.761711,1.11447,4.09091,3.58026,1.49053,35.9091,14.7809,8.47015,26.1818,18.1558,4.72464,0.679012,0.491637,0.10797,0.666667,0.45895,0.11802,0.5,0.327866,0.235277,0.357143,0.373086,0.229118,0.666667,0.600608,0.200517
P014b6ed928,137943,263_2886,263,2886,3,18,continental,A,2002,2002-04-16,2002-05-01,5,118,16.8217,0,215,171,17.6273,0.638695,20.339,14.6204,6.12192,13.5593,7.00378,3.82327,2.37288,2.37113,1.9328,11.1864,4.63265,2.45718,2.0339,2.22423,1.5258,1.35593,2.11906,1.25803,3.38983,0.661502,0.980784,3.72881,3.34676,1.59983,28.8136,14.1894,8.33006,19.8644,18.0781,4.77723,0.630252,0.491982,0.136556,0.658537,0.460447,0.145329,0.146341,0.28294,0.203308,0.365854,0.395805,0.29325,0.4,0.630283,0.185994
P0157d20b94,152860,254_3291,254,3291,3,18,continental,A,2006,2006-05-01,2006-08-06,6,197,16.6164,4,116,82,17.1081,0.891782,20.5076,12.0848,4.89663,16.6497,8.5675,4.28692,5.27919,3.04845,2.11795,11.3706,5.51905,2.64333,1.01523,2.15565,1.85137,1.42132,2.33276,1.44923,5.07614,0.666688,1.07261,3.04569,4.64149,1.92752,30.4569,9.78305,7.89695,22.668,20.1904,5.05414,0.522558,0.388918,0.106984,0.493976,0.357494,0.113011,0.0481928,0.252935,0.201203,0.373494,0.391759,0.254518,0.612903,0.523069,0.18353
P049f342950,161021,263_4627,263,4627,3,18,continental,A,2007,2007-08-03,2007-08-12,7,62,17.7882,4,192,160,17.9499,0.494652,17.4194,13.825,5.5091,11.6129,6.84425,3.21748,3.87097,2.17524,1.51025,7.74194,4.66901,2.22325,1.29032,1.73823,1.41414,0,1.78942,1.0756,1.29032,0.543883,0.753666,3.87097,3.22704,1.55184,21.2903,12.8963,7.3889,16.5419,17.235,4.66647,0.687373,0.491426,0.111663,0.705882,0.458165,0.120228,0.470588,0.31971,0.214534,0.352941,0.340492,0.186352,0.5,0.644047,0.191618
P04b95b58e0,143948,263_2703,263,2703,3,18,continental,A,2004,2003-07-30,2004-07-18,4,31,17.1667,5,493,386,16.9505,0.574968,16.7742,13.9298,5.58557,6.45161,6.69318,3.18094,1.29032,2.34716,1.63659,5.16129,4.34602,1.99629,1.29032,2.20858,1.78794,6.45161,2.4645,1.29161,0,0.660544,0.907576,1.29032,3.70521,1.86017,27.0968,13.3501,7.66077,12.0258,17.9913,4.82067,0.78125,0.480562,0.114943,0.714286,0.44764,0.122844,0,0.292519,0.224662,0.428571,0.361925,0.24503,1,0.622708,0.195562
P04e5776a76,177657,256_3935,256,3935,3,18,continental,A,2010,2010-06-26,2010-06-30,3,13,17.9689,2,96,77,17.8311,0.642168,6.15385,14.92,6.47935,12.3077,7.40885,3.62563,3.07692,2.61003,2.12449,9.23077,4.79882,2.16489,0,2.58206,2.14585,0,1.62998,1.0838,3.07692,0.884029,1.47478,3.07692,3.20333,1.67174,15.3846,15.0256,9.28155,8.86154,18.3041,5.14914,0.531915,0.490412,0.12998,0,0.454684,0.13257,1,0.275486,0.216548,2,0.35016,0.263199,1,0.649623,0.198629
P04e5776a76,177657,276_4346,276,4346,4,19,world,A,2011,2011-06-30,2011-07-10,8,191,18.9792,9,192,170,18.651,0.680358,15.9162,13.9628,5.5381,11.9372,6.96907,3.32639,5.02618,2.2765,1.60615,6.91099,4.69256,2.26884,1.04712,2.54793,1.8548,1.46597,1.36418,0.869805,1.88482,0.642267,0.93216,3.35079,2.87201,1.41472,24.9215,14.0555,7.05949,14.2492,17.0082,4.58642,0.730208,0.486074,0.11285,0.755556,0.453588,0.118095,0,0.291718,0.211296,0.355556,0.314934,0.203526,0.5,0.647068,0.216658
P05c9e8e43e,146399,263_4068,263,4068,3,18,continental,A,2006,2006-07-18,2006-07-27,8,260,18.3714,11,192,161,17.9132,0.463248,21.2308,14.1964,5.48784,7.07692,7.01645,3.36385,1.07692,2.36669,1.82035,6,4.64975,2.02662,3.07692,2.29341,1.38476,1.84615,1.73085,0.927802,0,0.611494,0.863663,2.92308,3.22115,1.34554,20.6154,14.0597,6.31908,21.6677,17.3038,5.04807,0.566316,0.497884,0.0869021,0.518868,0.46465,0.104206,0.311321,0.303888,0.207608,0.339623,0.383594,0.304429,0.777778,0.629446,0.183775
P07954fea73,197385,276_6290,276,6290,4,19,world,A,2015,2015-06-27,2015-07-05,7,170.3,17.9251,3,191,180,18.5789,0.756787,22.5484,13.755,5.55959,7.04639,7.3828,3.65745,1.64416,2.49694,1.90522,5.40223,4.88586,2.44791,3.05344,3.28532,2.18966,3.52319,1.90259,1.12162,0.23488,0.672111,0.938022,4.69759,3.43624,1.60082,21.374,14.5182,7.46481,23.892,17.8545,4.65107,0.587372,0.470651,0.115139,0.578947,0.436661,0.120193,0.407895,0.306253,0.220425,0.171053,0.333827,0.227034,0.615385,0.639017,0.184202
P0820723beb,131949,263_81,263,81,3,18,continental,A,2000,1999-08-01,1999-08-29,4,46,16.2166,0,344,267,17.0496,0.461456,24.3478,13.5921,6.3326,8.69565,6.13672,3.28293,0.869565,2.1635,1.59112,7.82609,3.97322,2.21008,0,1.78516,1.62866,7.82609,2.5728,1.69257,0,0,0,5.21739,3.80672,1.78269,26.087,11.5878,7.71907,22.9217,17.7162,5.89145,0.687623,0.481392,0.130991,0.625,0.4488,0.142241,0.166667,0.249945,0.220137,1.58333,0.409068,0.287457,0.684211,0.599967,0.22869
