pid,gl2_absence_blocks,gl2_absence_blocks_car,gl2_absence_max_len,gl2_ast40,gl2_avail,gl2_avail_car,gl2_away_minus_home_gmsc40,gl2_best_seed_car,gl2_blk40,gl2_blow_d_mpg,gl2_blow_mpg,gl2_box_completeness,gl2_champion,gl2_champion_car,gl2_close_d_gmsc40,gl2_close_d_mpg,gl2_close_d_ts,gl2_close_gmsc40,gl2_close_minus_blow_gmsc40,gl2_close_minus_blow_mpg,gl2_close_mpg,gl2_d100_ast40,gl2_d100_blk40,gl2_d100_efg,gl2_d100_fg,gl2_d100_fg3,gl2_d100_ft,gl2_d100_ftr,gl2_d100_gmsc40,gl2_d100_mpg,gl2_d100_pts40,gl2_d100_reb40,gl2_d100_stl40,gl2_d100_tov40,gl2_d100_ts,gl2_d50_ast40,gl2_d50_blk40,gl2_d50_efg,gl2_d50_fg,gl2_d50_fg3,gl2_d50_ft,gl2_d50_ftr,gl2_d50_gmsc40,gl2_d50_mpg,gl2_d50_pts40,gl2_d50_reb40,gl2_d50_stl40,gl2_d50_tov40,gl2_d50_ts,gl2_dnp_rows,gl2_efg,gl2_exp_wins,gl2_fg,gl2_fg3,gl2_final4,gl2_final4_car,gl2_final_is_predraft_season,gl2_final_season_end,gl2_ft,gl2_ftr,gl2_g_all,gl2_g_t100,gl2_g_t50,gl2_gmsc40,gl2_gmsc_cv,gl2_gmsc_mean,gl2_gmsc_pg,gl2_gmsc_sd,gl2_gmsc_skew,gl2_gp,gl2_gp_car,gl2_last10_d_gmsc40,gl2_last10_d_mpg,gl2_last10_d_pts40,gl2_late_d_ast40,gl2_late_d_gmsc40,gl2_late_d_mpg,gl2_late_d_pts40,gl2_late_d_reb40,gl2_late_d_ts,gl2_min_share,gl2_missed,gl2_mpg,gl2_n_blowout,gl2_n_close,gl2_n_neutral,gl2_n_seasons,gl2_ncaa_d_ast40,gl2_ncaa_d_gmsc40,gl2_ncaa_d_mpg,gl2_ncaa_d_pts40,gl2_ncaa_d_reb40,gl2_ncaa_d_stl40,gl2_ncaa_d_tov40,gl2_ncaa_d_ts,gl2_ncaa_g,gl2_ncaa_g_car,gl2_ncaa_w_car,gl2_neutral_d_gmsc40,gl2_pase,gl2_pase_neg,gl2_pase_pos,gl2_ppg,gl2_pts40,gl2_reb40,gl2_season_gaps,gl2_seasons_no_archive,gl2_seed,gl2_share_gmsc_above_1sd,gl2_share_gmsc_below_1sd,gl2_start_share,gl2_stl40,gl2_t100_apg,gl2_t100_bpg,gl2_t100_efg,gl2_t100_fg,gl2_t100_fg3,gl2_t100_ft,gl2_t100_ftr,gl2_t100_gmsc,gl2_t100_mpg,gl2_t100_ppg,gl2_t100_rpg,gl2_t100_spg,gl2_t100_topg,gl2_t100_ts,gl2_t50_apg,gl2_t50_bpg,gl2_t50_efg,gl2_t50_fg,gl2_t50_fg3,gl2_t50_ft,gl2_t50_ftr,gl2_t50_gmsc,gl2_t50_mpg,gl2_t50_ppg,gl2_t50_rpg,gl2_t50_spg,gl2_t50_topg,gl2_t50_ts,gl2_team_g,gl2_team_g_car,gl2_team_g_sched,gl2_team_ncaa_w,gl2_tier_src_torvik,gl2_tov40,gl2_ts
P00193b3ed9,0,0,0,1.4316,1.0,1.0,-11.4122,5,1.8105,-5.143,22.0,1.0,0,0,-1.7548,2.857,-0.02668,17.5758,-15.8485,8.0,30.0,-0.1945,0.2513,-0.01254,-0.01124,-0.035,0.03628,-0.05397,-1.3594,3.17,-1.8917,-0.3711,-0.0208,-0.3451,-0.00787,-0.1848,0.4752,-0.00061,-0.0052,-0.02616,0.04453,-0.11285,-1.9071,2.473,-2.4487,-1.0909,-0.0755,-0.2433,-0.00139,0,0.58047,1.2368,0.53298,0.375,0,0,1,2013,0.70056,0.46702,35,16,13,19.3305,0.5704,13.1171,13.117,7.4814,-0.1589,35,35,-3.8702,-1.943,-5.0172,-0.2015,-6.4927,-1.548,-6.1951,-0.9058,-0.05501,0.1352,0,27.143,6,11,4,1,,,,,,,,,1,1,0,-1.2998,-1.2368,-1.2368,0.0,16.114,23.7474,12.0,0,0,5,0.1429,0.1714,0.9143,1.0105,0.938,1.562,0.56793,0.52174,0.34,0.73684,0.41304,13.619,30.312,16.562,8.812,0.75,1.812,0.60936,0.923,1.692,0.57986,0.52778,0.34884,0.7451,0.35417,12.9,29.615,15.769,8.077,0.692,1.846,0.61584,35,35,35,0,1.0,2.7368,0.61723
P0029c9d3a9,0,0,0,1.5868,0.95,0.6554,-1.5357,1,0.1983,3.19,19.111,1.0,0,0,-0.9348,0.329,0.04508,6.5231,-4.8723,-2.861,16.25,0.1194,-0.0088,-0.01768,-0.01673,-0.01099,0.02979,-0.04677,-0.946,-0.85,-0.6212,-0.3182,0.0398,0.1481,-0.01725,0.1798,-0.1983,0.00106,-0.00905,0.03549,0.09079,-0.08946,-0.1771,-0.071,-0.292,-0.8011,0.102,-0.3911,0.0005,0,0.48065,3.0625,0.3871,0.31868,1,1,1,2015,0.67391,0.29677,38,28,20,7.4579,1.3491,2.9684,2.968,4.0048,1.4067,38,97,0.4611,-1.121,1.6127,-0.6142,-3.5078,-4.579,-2.7161,-0.5276,-0.06021,0.0791,2,15.921,9,4,12,4,-1.3163,-4.2534,-1.688,-2.6228,-0.5867,-0.6178,-0.3195,-0.00214,6,13,13,2.8722,1.9375,0.0,1.9375,4.737,11.9008,6.4793,1,0,1,0.1316,0.0789,0.0,0.5289,0.643,0.071,0.46296,0.37037,0.30769,0.7037,0.25,2.454,15.071,4.25,2.321,0.214,0.679,0.49633,0.7,0.0,0.48171,0.37805,0.35417,0.76471,0.20732,2.885,15.85,4.6,2.25,0.25,0.5,0.51408,40,148,40,5,1.0,1.6529,0.51358
P0035c2f0b3,0,0,0,2.568,0.8529,0.8529,-3.6719,,0.827,-4.89,26.8,1.0,0,0,-2.7446,2.219,-0.06263,8.6113,-6.7619,7.109,33.909,-0.5472,-0.2921,-0.00519,-0.00573,0.0015,0.07037,-0.00618,-0.4435,0.358,0.1953,0.3536,-0.1657,-0.1246,0.00149,-0.3418,-0.3243,-0.00366,-0.00573,0.00215,0.06364,-0.0021,-0.5838,1.075,-0.3383,0.5961,-0.0914,0.0413,0.00288,0,0.53172,,0.4139,0.36792,0,0,1,2023,0.8,0.22659,29,21,17,11.3558,0.6083,8.9966,8.997,5.473,0.1022,29,29,-3.2844,1.91,-1.8611,-1.7236,-6.3039,3.833,-4.7837,0.4737,-0.09546,0.1551,5,31.69,5,11,6,1,,,,,,,,,0,0,0,0.3033,,,,14.207,17.9325,3.5691,0,0,,0.1379,0.1724,1.0,0.5223,1.619,0.429,0.52653,0.40816,0.36943,0.87037,0.22041,8.743,32.048,14.524,3.143,0.286,1.19,0.56742,1.824,0.412,0.52806,0.40816,0.37008,0.86364,0.22449,8.824,32.765,14.412,3.412,0.353,1.353,0.56882,34,34,34,0,1.0,1.6104,0.56593
P004efe3965,0,0,0,1.5334,1.0,0.9407,-2.5132,8,0.92,-0.865,27.667,1.0,0,0,-4.5943,-1.198,-0.06917,8.4878,-0.9098,-0.333,27.333,0.1622,0.0048,-0.01107,-0.01332,0.00282,0.07133,-0.07955,-1.3442,0.302,-1.4906,-0.7462,0.0259,0.0477,-0.01381,-0.0361,-0.2783,-0.01247,-0.01231,0.01135,0.21839,-0.04885,-0.2907,2.635,0.2577,-1.371,-0.317,-0.0232,0.00486,0,0.54232,,0.44514,0.3949,0,0,1,2018,0.78161,0.27273,32,18,6,13.0821,0.7253,9.3313,9.331,6.7682,0.955,32,127,-3.1432,0.969,-4.5787,0.1384,-4.6435,1.409,-6.7643,-2.2237,-0.07478,0.141,0,28.531,3,6,6,4,,,,,,,,,0,2,0,2.394,,,,12.938,18.138,10.9967,1,1,,0.1562,0.1562,0.9688,0.7448,1.222,0.667,0.53125,0.43182,0.39773,0.85294,0.19318,8.461,28.833,12.0,7.389,0.556,2.056,0.56556,1.167,0.5,0.52985,0.43284,0.40625,1.0,0.22388,9.967,31.167,14.333,7.5,0.333,2.167,0.58424,32,135,32,0,1.0,2.8039,0.57938
P0057628fa2,0,0,0,2.279,1.0,0.9855,-8.9223,1,0.5501,-3.125,28.688,1.0,0,0,,,,,,,,-0.0568,-0.118,-0.00928,-0.02278,-0.00076,-0.02755,0.00506,-1.9295,2.293,-1.6508,-1.0006,-0.0901,-0.2305,-0.01085,0.4069,-0.0705,-0.02179,-0.03243,-0.00283,-0.11998,-0.02956,-3.3162,2.938,-2.9475,-1.7392,-0.1803,-0.4033,-0.03561,0,0.6443,3.1765,0.52911,0.43961,1,1,1,2021,0.87755,0.2481,32,19,12,18.5776,0.3582,14.775,14.775,5.293,0.4142,32,136,-3.5068,3.487,-3.4358,-0.584,-6.6298,3.365,-6.8498,-1.0561,-0.11405,0.1585,0,31.812,16,2,13,4,0.0085,-5.6713,3.923,-6.4173,-0.4319,0.0042,-0.3993,-0.09099,6,13,10,-1.5961,1.8235,0.0,1.8235,18.594,23.3792,6.2475,0,0,1,0.1875,0.25,1.0,1.1395,1.895,0.368,0.63502,0.50633,0.43885,0.85,0.25316,14.195,34.105,18.526,4.474,0.895,1.211,0.66819,2.333,0.417,0.62252,0.49669,0.43678,0.75758,0.21854,13.258,34.75,17.75,3.917,0.833,1.083,0.64343,32,138,32,5,0.9688,1.6503,0.67904
P007123cefb,0,0,0,3.6634,1.0,1.0,-6.1767,8,2.7228,-0.285,24.2,1.0,0,0,-1.2051,0.682,-0.01984,13.3642,-4.5862,0.967,25.167,-0.3466,-0.4674,-0.00647,-0.01256,0.00541,0.02027,-0.00674,-1.8396,0.64,-0.6162,-1.3379,0.0069,-0.0674,-0.00247,-0.0159,-0.6559,-0.11143,-0.08591,-0.09534,-0.02778,-0.054,-5.159,0.823,-3.6158,-1.2411,-0.1703,-0.0793,-0.10557,0,0.52101,0.75,0.43697,0.36364,0,0,0,2018,0.75,0.43697,33,24,13,14.5693,0.8876,8.9182,8.918,7.9156,0.1146,33,33,2.1742,2.415,3.787,0.8506,3.7911,3.5,5.9751,0.0465,0.03817,0.1215,0,24.485,5,12,6,1,,,,,,,,,1,1,0,2.264,-0.75,-0.75,0.0,9.879,16.1386,11.0891,0,1,8,0.1515,0.2121,0.2121,1.3861,2.083,1.417,0.51453,0.42442,0.36905,0.77027,0.43023,7.996,25.125,9.75,6.125,0.875,1.917,0.57196,2.308,1.308,0.40957,0.35106,0.26829,0.72222,0.38298,5.954,25.308,7.923,6.231,0.769,1.923,0.46886,33,33,33,0,1.0,3.1188,0.57443
P0086aec335,0,0,0,4.44,1.0,0.9836,-2.7666,4,0.8073,-4.268,27.7,1.0,0,0,-0.9448,2.632,-0.04976,16.6012,-6.7201,6.9,34.6,-0.3484,0.1079,-0.03446,-0.03442,-0.02559,-0.01053,0.07637,-1.6913,1.805,-1.3918,-0.3485,-0.403,-0.2139,-0.02146,-0.5938,-0.038,-0.04582,-0.0417,-0.00784,0.02535,0.18362,0.6592,2.699,0.7868,-0.1427,-0.418,-0.9927,-0.00854,0,0.54582,1.2174,0.48518,0.44118,0,0,1,2009,0.81735,0.5903,31,22,9,17.5459,0.4994,14.0226,14.023,7.0034,0.5107,31,60,-6.1208,0.732,-5.7128,-0.8517,-7.0,1.82,-7.0522,-2.3301,-0.075,0.1598,0,31.968,10,5,5,2,,,,,,,,,1,1,0,-4.7688,-1.2174,-1.2174,0.0,18.839,23.5721,4.1171,0,0,4,0.1935,0.1613,0.9355,2.3411,3.455,0.773,0.51136,0.45076,0.41558,0.80682,0.66667,13.386,33.773,18.727,3.182,1.636,3.364,0.60333,3.333,0.667,0.5,0.44348,0.43333,0.8427,0.77391,15.778,34.667,21.111,3.444,1.667,2.778,0.61624,31,61,31,0,1.0,4.1978,0.62479
P00e7133fc6,1,1,5,2.7475,0.8684,0.8684,-0.1205,1,2.3838,-2.714,27.286,1.0,0,0,-4.2259,5.556,-0.06681,24.8125,-9.7006,8.27,35.556,-0.4117,-0.1649,-0.01845,-0.01939,-0.00469,0.00557,0.0736,-1.7274,1.136,-0.0684,-0.8019,-0.4925,0.1186,-0.01326,-0.7617,-0.3271,-0.03521,-0.03848,0.00288,0.02627,0.07654,-2.9675,1.333,-0.7088,-0.4909,-0.7006,0.2527,-0.02221,0,0.70805,3.1562,0.68046,0.33803,0,0,1,2019,0.64039,0.46667,33,22,18,29.0384,0.3368,21.7788,21.779,7.3354,-0.9324,33,33,-2.6583,2.1,0.2636,-1.495,-4.2732,4.188,-1.9393,-2.5082,-0.00687,0.1494,5,30.0,14,9,12,1,-0.9897,-6.9076,7.681,-2.1633,-3.0377,-1.4041,-0.1859,-0.06854,4,4,3,-3.7119,-0.1562,-0.1562,0.0,22.606,30.1414,11.8384,0,0,1,0.1515,0.1515,1.0,2.8283,1.818,1.727,0.6896,0.66107,0.33333,0.64596,0.54027,21.259,31.136,23.409,8.591,1.818,2.545,0.69813,1.556,1.611,0.67284,0.64198,0.34091,0.66667,0.54321,20.422,31.333,23.056,8.889,1.667,2.667,0.68919,38,38,38,3,1.0,3.1515,0.7114
P00fdb72e43,0,0,0,2.4742,1.0,1.0,-3.1633,,0.5248,,,0.9429,0,0,-1.7049,3.303,-0.00425,14.3776,,,35.636,0.079,-0.0993,0.00403,-0.00131,0.00547,0.03313,-0.00972,0.9473,-1.0,1.582,-0.3994,0.1388,0.3231,0.00798,-0.1013,-0.1859,0.00762,-0.00345,0.03442,0.00217,-0.04935,1.2057,-2.833,1.9888,-2.1362,0.6437,-0.9636,-2e-05,0,0.52123,,0.44575,0.41558,0,0,1,2017,0.84783,0.43396,33,15,4,16.0825,0.5391,13.0,13.0,7.0078,-0.2202,33,134,3.6036,2.067,2.2332,-1.1076,8.1268,2.369,5.4126,3.4472,0.12091,0.1617,0,32.333,1,11,5,4,,,,,,,,,0,0,0,-2.0474,,,,18.121,22.418,10.2718,1,1,,0.1212,0.1818,1.0,0.7123,2.0,0.333,0.52525,0.44444,0.42105,0.88095,0.42424,13.34,31.333,18.8,7.733,0.667,2.867,0.6001,1.75,0.25,0.52885,0.44231,0.45,0.85,0.38462,12.75,29.5,18.0,6.0,1.0,1.75,0.59211,33,134,35,0,1.0,3.3365,0.59213
P011de6a94b,0,0,0,3.4783,1.0,1.0,,,2.0067,-1.0,22.0,0.4194,0,0,-3.6288,0.0,-0.0025,11.9565,-2.6495,1.0,23.0,1.0217,-0.2567,0.01,0.02474,0.00714,-0.11954,0.01319,-0.3603,-0.143,-1.2333,-1.1212,-0.0945,-0.4891,-0.00647,,,,,,,,,,,,,,,0,0.4798,,0.42424,0.39286,0,0,1,2026,0.58621,0.29293,13,7,1,15.5853,0.4257,8.9615,8.962,3.815,-0.1889,13,13,,,,,,,,,,0.115,0,23.0,3,4,5,1,,,,,,,,,0,0,0,-1.6393,,,,8.615,14.9833,11.3712,0,1,,0.1538,0.0769,0.3077,3.3445,2.571,1.0,0.4898,0.44898,0.4,0.46667,0.30612,8.7,22.857,7.857,5.857,1.857,0.714,0.4946,,,,,,,,,,,,,,,13,13,31,0,1.0,1.7391,0.50107
P01a00a5983,0,1,0,4.9428,0.9643,0.9535,-9.1016,7,0.1831,-4.745,27.625,0.8235,0,0,-4.1378,1.63,-0.10438,7.6471,-6.6335,6.375,34.0,-0.7114,-0.117,-0.07121,-0.06075,-0.08523,-0.02759,0.03155,-2.3436,1.241,-1.3559,0.072,0.0408,-0.203,-0.06154,-0.8191,-0.1831,-0.06954,-0.07848,0.11607,-0.11566,0.08875,-3.2282,-0.037,-0.3713,0.603,-0.0444,0.5992,-0.06838,0,0.48746,0.5429,0.45161,0.3125,0,0,0,2012,0.77083,0.34409,27,18,6,11.7849,0.7045,9.537,9.537,6.719,0.1315,27,123,-3.5378,1.63,-3.5999,-1.2745,-5.1419,2.333,-5.1435,-0.4997,-0.0738,0.1619,1,32.37,8,6,4,4,,,,,,,,,1,4,1,-2.2849,-0.5429,-0.5429,0.0,12.815,15.8352,6.4073,0,0,12,0.1481,0.1852,0.8889,1.2815,3.556,0.056,0.41624,0.39086,0.22727,0.74324,0.37563,7.933,33.611,12.167,5.444,1.111,2.444,0.477,3.333,0.0,0.41791,0.37313,0.42857,0.65517,0.43284,6.917,32.333,12.5,5.667,1.0,3.0,0.47016,28,129,34,0,1.0,3.1121,0.53854
P01bc9a886e,0,0,0,1.1494,0.963,0.963,-1.4925,9,2.5287,-4.769,22.0,0.931,0,0,-2.2634,2.031,-0.02369,14.8056,-11.3399,6.8,28.8,-0.0494,-0.5287,0.01633,0.01633,,-0.08035,0.00922,-1.699,-0.103,-0.7701,-0.077,-0.1172,0.2586,-0.00062,-0.0331,-0.6683,0.0949,0.0949,,-0.06311,0.15102,-3.3201,0.106,-2.6538,-0.7445,-0.1451,0.9214,0.06394,1,0.58367,0.55,0.58367,,0,0,1,2005,0.56311,0.42041,26,15,8,17.069,0.5327,11.4231,11.423,6.0851,0.571,26,26,-1.2962,-0.369,-1.5883,0.3451,-2.0884,-0.6,-2.5589,1.5993,0.00247,0.1326,1,26.769,5,10,0,1,,,,,,,,,1,1,0,,-0.55,-0.55,0.0,13.231,19.7701,10.977,0,1,9,0.1538,0.1154,1.0,0.5172,0.733,1.333,0.6,0.6,,0.48276,0.42963,10.247,26.667,12.667,7.267,0.267,1.667,0.59183,0.75,1.25,0.67857,0.67857,,0.5,0.57143,9.237,26.875,11.5,6.875,0.25,2.125,0.65639,27,27,29,0,0.0,2.2414,0.59245
