pid,draft_year,cutoff,season,team,src,norm_name,last_season
Pae0e6be256,2003,2003-06-26,2002-03,Syracuse,W,carmelo anthony,2003
Peab571b95d,2003,2003-06-26,2002-03,Georgia_Tech,W,chris bosh,2003
P39c1b5b439,2003,2003-06-26,2002-03,Marquette,W,dwyane wade,2003
P01056a0f18,2003,2003-06-26,2002-03,Cent_Michigan,W,chris kaman,2003
P7feaaeffcb,2003,2003-06-26,2002-03,Kansas,W,kirk hinrich,2003
P0efa2b4f7d,2003,2003-06-26,2002-03,Texas,W,tj ford,2003
Pced63c164c,2003,2003-06-26,2002-03,Kansas,W,nick collison,2003
P3c6c730bf2,2003,2003-06-26,2002-03,Oregon,W,luke ridnour,2003
Pace4fe8116,2003,2003-06-26,2002-03,Louisville,W,reece gaines,2003
P539180f113,2003,2003-06-26,2002-03,Boston_College,W,troy bell,2003
P37455198a4,2003,2003-06-26,2002-03,Xavier,W,david west,2003
Pc441e97a64,2003,2003-06-26,2002-03,Illinois,W,brian cook,2003
P47846f7398,2003,2003-06-26,2002-03,UCLA,W,jason kapono,2003
P08c56d3590,2003,2003-06-26,2002-03,Arizona,W,luke walton,2003
Pa2e0858910,2003,2003-06-26,2002-03,Miss_St,W,derrick zimmerman,2003
Pe4a1b20238,2003,2003-06-26,2002-03,Detroit_Mercy,W,willie green,2003
P3a913af04c,2003,2003-06-26,2002-03,Kentucky,W,keith bogans,2003
P624e80554f,2003,2003-06-26,2002-03,Florida,W,matt bonner,2003
P554dd6632a,2003,2003-06-26,2002-03,Alabama,W,mo williams,2003
P3e7075c22e,2003,2003-06-26,2002-03,Creighton,W,kyle korver,2003
Pf436b2be04,2003,2003-06-26,2002-03,Ball_State,W,theron smith,2003
Ped90afeb58,2003,2003-06-26,2002-03,Wisconsin,W,kirk penney,2003
P7d6aa2dfe0,2003,2003-06-26,2002-03,Utah,W,britton johnsen,2003
Pae24459193,2003,2003-06-26,2002-03,LSU,W,ronald dupree,2003
P78dd3f3917,2003,2003-06-26,2002-03,Notre_Dame,W,matt carroll,2003
P85bb3eb8b9,2003,2003-06-26,2002-03,Auburn,W,marquis daniels,2003
Pfb5ad97400,2004,2004-06-24,2002-03,UConn,W,emeka okafor,2004
Pfb5ad97400,2004,2004-06-24,2003-04,UConn,W,emeka okafor,2004
Pec20f0f060,2004,2004-06-24,2002-03,UConn,W,ben gordon,2004
Pec20f0f060,2004,2004-06-24,2003-04,UConn,W,ben gordon,2004
P5246294b22,2004,2004-06-24,2002-03,Wisconsin,W,devin harris,2004
P5246294b22,2004,2004-06-24,2003-04,Wisconsin,W,devin harris,2004
P6292223fd6,2004,2004-06-24,2002-03,Stanford,W,josh childress,2004
P6292223fd6,2004,2004-06-24,2003-04,Stanford,W,josh childress,2004
P8abebd0da5,2004,2004-06-24,2003-04,Duke,W,luol deng,2004
Pff029e3151,2004,2004-06-24,2002-03,Arizona,W,andre iguodala,2004
Pff029e3151,2004,2004-06-24,2003-04,Arizona,W,andre iguodala,2004
P977a8945dd,2004,2004-06-24,2002-03,Oregon,W,luke jackson,2004
P977a8945dd,2004,2004-06-24,2003-04,Oregon,W,luke jackson,2004
Pcca6045f01,2004,2004-06-24,2003-04,Minnesota,W,kris humphries,2004
P44f5111142,2004,2004-06-24,2002-03,Nevada,W,kirk snyder,2004
P44f5111142,2004,2004-06-24,2003-04,Nevada,W,kirk snyder,2004
P0b1f22f2d4,2004,2004-06-24,2002-03,Saint_Joe's,W,jameer nelson,2004
P0b1f22f2d4,2004,2004-06-24,2003-04,Saint_Joe's,W,jameer nelson,2004
P0ad01302af,2004,2004-06-24,2002-03,Saint_Joe's,W,delonte west,2004
P0ad01302af,2004,2004-06-24,2003-04,Saint_Joe's,W,delonte west,2004
P6547eb6540,2004,2004-06-24,2003-04,W_Carolina,W,kevin martin,2004
P3dd4b68d3d,2004,2004-06-24,2002-03,Colorado,W,david harrison,2004
P3dd4b68d3d,2004,2004-06-24,2003-04,Colorado,W,david harrison,2004
P984d62c606,2004,2004-06-24,2002-03,Xavier,W,lionel chalmers,2004
P984d62c606,2004,2004-06-24,2003-04,Xavier,W,lionel chalmers,2004
P8eebd87e26,2004,2004-06-24,2002-03,Texas_Tech,W,andre emmett,2004
P8eebd87e26,2004,2004-06-24,2003-04,Texas_Tech,W,andre emmett,2004
Paf7b3d5c90,2004,2004-06-24,2002-03,Texas,W,royal ivey,2004
Paf7b3d5c90,2004,2004-06-24,2003-04,Texas,W,royal ivey,2004
Pb3e080e381,2004,2004-06-24,2002-03,Duke,W,chris duhon,2004
Pb3e080e381,2004,2004-06-24,2003-04,Duke,W,chris duhon,2004
P8438cd9418,2004,2004-06-24,2002-03,Ole_Miss,W,justin reed,2004
P8438cd9418,2004,2004-06-24,2003-04,Ole_Miss,W,justin reed,2004
P20571734e6,2004,2004-06-24,2003-04,UCLA,W,trevor ariza,2004
P46af6c0052,2004,2004-06-24,2002-03,Michigan,W,bernard robinson,2004
P46af6c0052,2004,2004-06-24,2003-04,Michigan,W,bernard robinson,2004
Pe4ea2d8948,2004,2004-06-24,2002-03,Vanderbilt,W,matt freije,2004
Pe4ea2d8948,2004,2004-06-24,2003-04,Vanderbilt,W,matt freije,2004
P7d5e80b812,2004,2004-06-24,2002-03,SMU,W,quinton ross,2003
P80665441e6,2004,2004-06-24,2002-03,Texas,W,james thomas,2004
P80665441e6,2004,2004-06-24,2003-04,Texas,W,james thomas,2004
P2b413e3467,2004,2004-06-24,2002-03,Kentucky,W,erik daniels,2004
P2b413e3467,2004,2004-06-24,2003-04,Kentucky,W,erik daniels,2004
P23c2e6b3e7,2004,2004-06-24,2003-04,Seton_Hall,W,andre barrett,2004
Pddd42c77c5,2004,2004-06-24,2002-03,Iowa,W,jared reiner,2004
Pddd42c77c5,2004,2004-06-24,2003-04,Iowa,W,jared reiner,2004
P099a8d0c1c,2005,2005-06-28,2003-04,Utah,W,andrew bogut,2005
P099a8d0c1c,2005,2005-06-28,2004-05,Utah,W,andrew bogut,2005
P3470a61a00,2005,2005-06-28,2004-05,UNC,W,marvin williams,2005
P5afd5b991d,2005,2005-06-28,2002-03,Illinois,W,deron williams,2005
P5afd5b991d,2005,2005-06-28,2003-04,Illinois,W,deron williams,2005
P5afd5b991d,2005,2005-06-28,2004-05,Illinois,W,deron williams,2005
P5e4491e5c3,2005,2005-06-28,2003-04,Wake_Forest,W,chris paul,2005
P5e4491e5c3,2005,2005-06-28,2004-05,Wake_Forest,W,chris paul,2005
Pc047806c80,2005,2005-06-28,2002-03,UNC,W,raymond felton,2005
Pc047806c80,2005,2005-06-28,2003-04,UNC,W,raymond felton,2005
Pc047806c80,2005,2005-06-28,2004-05,UNC,W,raymond felton,2005
P572a4194e6,2005,2005-06-28,2003-04,UConn,W,charlie villanueva,2005
P572a4194e6,2005,2005-06-28,2004-05,UConn,W,charlie villanueva,2005
P42d0d6de9a,2005,2005-06-28,2002-03,Arizona,W,channing frye,2005
P42d0d6de9a,2005,2005-06-28,2003-04,Arizona,W,channing frye,2005
P42d0d6de9a,2005,2005-06-28,2004-05,Arizona,W,channing frye,2005
Pcb4360a784,2005,2005-06-28,2002-03,Arizona_State,W,ike diogu,2005
Pcb4360a784,2005,2005-06-28,2003-04,Arizona_State,W,ike diogu,2005
Pcb4360a784,2005,2005-06-28,2004-05,Arizona_State,W,ike diogu,2005
P8a3b7b6860,2005,2005-06-28,2002-03,UNC,W,sean may,2005
P8a3b7b6860,2005,2005-06-28,2003-04,UNC,W,sean may,2005
P8a3b7b6860,2005,2005-06-28,2004-05,UNC,W,sean may,2005
P9f246cdbe1,2005,2005-06-28,2002-03,UNC,W,rashad mccants,2005
P9f246cdbe1,2005,2005-06-28,2003-04,UNC,W,rashad mccants,2005
P9f246cdbe1,2005,2005-06-28,2004-05,UNC,W,rashad mccants,2005
Pf4d4553b6f,2005,2005-06-28,2002-03,Texas_A&M,W,antoine wright,2005
Pf4d4553b6f,2005,2005-06-28,2003-04,Texas_A&M,W,antoine wright,2005
Pf4d4553b6f,2005,2005-06-28,2004-05,Texas_A&M,W,antoine wright,2005
Pdd972253d5,2005,2005-06-28,2002-03,Syracuse,W,hakim warrick,2005
Pdd972253d5,2005,2005-06-28,2003-04,Syracuse,W,hakim warrick,2005
Pdd972253d5,2005,2005-06-28,2004-05,Syracuse,W,hakim warrick,2005
P959d20dcac,2005,2005-06-28,2002-03,NC_State,W,julius hodge,2005
P959d20dcac,2005,2005-06-28,2003-04,NC_State,W,julius hodge,2005
P959d20dcac,2005,2005-06-28,2004-05,NC_State,W,julius hodge,2005
P9cbbbfe0cc,2005,2005-06-28,2002-03,Washington,W,nate robinson,2005
P9cbbbfe0cc,2005,2005-06-28,2003-04,Washington,W,nate robinson,2005
P9cbbbfe0cc,2005,2005-06-28,2004-05,Washington,W,nate robinson,2005
Pa4dad52ff4,2005,2005-06-28,2002-03,Georgia_Tech,W,jarrett jack,2005
Pa4dad52ff4,2005,2005-06-28,2003-04,Georgia_Tech,W,jarrett jack,2005
Pa4dad52ff4,2005,2005-06-28,2004-05,Georgia_Tech,W,jarrett jack,2005
P311b5f6b41,2005,2005-06-28,2002-03,Louisville,W,francisco garcia,2005
P311b5f6b41,2005,2005-06-28,2003-04,Louisville,W,francisco garcia,2005
P311b5f6b41,2005,2005-06-28,2004-05,Louisville,W,francisco garcia,2005
P6f59c256f3,2005,2005-06-28,2002-03,Illinois,W,luther head,2005
P6f59c256f3,2005,2005-06-28,2003-04,Illinois,W,luther head,2005
P6f59c256f3,2005,2005-06-28,2004-05,Illinois,W,luther head,2005
P17786d3599,2005,2005-06-28,2002-03,Cincinnati,W,jason maxiell,2005
P17786d3599,2005,2005-06-28,2003-04,Cincinnati,W,jason maxiell,2005
P17786d3599,2005,2005-06-28,2004-05,Cincinnati,W,jason maxiell,2005
Pd11ab06c36,2005,2005-06-28,2003-04,Missouri,W,linas kleiza,2005
Pd11ab06c36,2005,2005-06-28,2004-05,Missouri,W,linas kleiza,2005
P8c537f5a4d,2005,2005-06-28,2002-03,Kansas,W,wayne simien,2005
P8c537f5a4d,2005,2005-06-28,2003-04,Kansas,W,wayne simien,2005
P8c537f5a4d,2005,2005-06-28,2004-05,Kansas,W,wayne simien,2005
Pe68742d859,2005,2005-06-28,2002-03,Florida,W,david lee,2005
Pe68742d859,2005,2005-06-28,2003-04,Florida,W,david lee,2005
Pe68742d859,2005,2005-06-28,2004-05,Florida,W,david lee,2005
P13a7a5112c,2005,2005-06-28,2002-03,Arizona,W,salim stoudamire,2005
P13a7a5112c,2005,2005-06-28,2003-04,Arizona,W,salim stoudamire,2005
P13a7a5112c,2005,2005-06-28,2004-05,Arizona,W,salim stoudamire,2005
Pdb057d444b,2005,2005-06-28,2002-03,Duke,W,daniel ewing,2005
Pdb057d444b,2005,2005-06-28,2003-04,Duke,W,daniel ewing,2005
Pdb057d444b,2005,2005-06-28,2004-05,Duke,W,daniel ewing,2005
P690d8b352a,2005,2005-06-28,2003-04,LSU,W,brandon bass,2005
P690d8b352a,2005,2005-06-28,2004-05,LSU,W,brandon bass,2005
Pd382320a3c,2005,2005-06-28,2002-03,Gonzaga,W,ronny turiaf,2005
Pd382320a3c,2005,2005-06-28,2003-04,Gonzaga,W,ronny turiaf,2005
Pd382320a3c,2005,2005-06-28,2004-05,Gonzaga,W,ronny turiaf,2005
Peb2d46202e,2005,2005-06-28,2002-03,Marquette,W,travis diener,2005
Peb2d46202e,2005,2005-06-28,2003-04,Marquette,W,travis diener,2005
Peb2d46202e,2005,2005-06-28,2004-05,Marquette,W,travis diener,2005
P83f985b4bd,2005,2005-06-28,2003-04,Florida_State,W,von wafer,2005
P83f985b4bd,2005,2005-06-28,2004-05,Florida_State,W,von wafer,2005
P01bc9a886e,2005,2005-06-28,2003-04,Pitt,W,chris taft,2005
P01bc9a886e,2005,2005-06-28,2004-05,Pitt,W,chris taft,2005
P43e7adb565,2005,2005-06-28,2002-03,Indiana,W,bracey wright,2005
P43e7adb565,2005,2005-06-28,2003-04,Indiana,W,bracey wright,2005
P43e7adb565,2005,2005-06-28,2004-05,Indiana,W,bracey wright,2005
P74b71b0d31,2005,2005-06-28,2003-04,Providence,W,ryan gomes,2005
P74b71b0d31,2005,2005-06-28,2004-05,Providence,W,ryan gomes,2005
P2b78092e41,2005,2005-06-28,2002-03,UCLA,W,dijon thompson,2005
P2b78092e41,2005,2005-06-28,2003-04,UCLA,W,dijon thompson,2005
P2b78092e41,2005,2005-06-28,2004-05,UCLA,W,dijon thompson,2005
Pb5af3844f5,2005,2005-06-28,2002-03,Pepperdine,W,alex acker,2005
Pb5af3844f5,2005,2005-06-28,2003-04,Pepperdine,W,alex acker,2005
Pb5af3844f5,2005,2005-06-28,2004-05,Pepperdine,W,alex acker,2005
Pc067530e3e,2005,2005-06-28,2002-03,Duke,W,shavlik randolph,2005
Pc067530e3e,2005,2005-06-28,2003-04,Duke,W,shavlik randolph,2005
Pc067530e3e,2005,2005-06-28,2004-05,Duke,W,shavlik randolph,2005
P21b2b49a34,2005,2005-06-28,2002-03,Fairfield,W,deng gai,2005
P21b2b49a34,2005,2005-06-28,2003-04,Fairfield,W,deng gai,2005
P21b2b49a34,2005,2005-06-28,2004-05,Fairfield,W,deng gai,2005
Pd650e439a2,2005,2005-06-28,2002-03,Michigan_State,W,alan anderson,2005
Pd650e439a2,2005,2005-06-28,2003-04,Michigan_State,W,alan anderson,2005
Pd650e439a2,2005,2005-06-28,2004-05,Michigan_State,W,alan anderson,2005
P5104e01e75,2005,2005-06-28,2002-03,Charlotte,W,eddie basden,2005
P5104e01e75,2005,2005-06-28,2003-04,Charlotte,W,eddie basden,2005
P5104e01e75,2005,2005-06-28,2004-05,Charlotte,W,eddie basden,2005
Pbe0a02c2fd,2005,2005-06-28,2002-03,Florida,W,matt walsh,2005
Pbe0a02c2fd,2005,2005-06-28,2003-04,Florida,W,matt walsh,2005
Pbe0a02c2fd,2005,2005-06-28,2004-05,Florida,W,matt walsh,2005
Pa68189cdce,2005,2005-06-28,2002-03,Florida,W,anthony roberson,2005
Pa68189cdce,2005,2005-06-28,2003-04,Florida,W,anthony roberson,2005
Pa68189cdce,2005,2005-06-28,2004-05,Florida,W,anthony roberson,2005
Pef98a54ad0,2005,2005-06-28,2002-03,Georgia_Tech,W,luke schenscher,2005
Pef98a54ad0,2005,2005-06-28,2003-04,Georgia_Tech,W,luke schenscher,2005
Pef98a54ad0,2005,2005-06-28,2004-05,Georgia_Tech,W,luke schenscher,2005
Pb945050559,2005,2005-06-28,2002-03,Saint_Joe's,W,dwayne jones,2005
Pb945050559,2005,2005-06-28,2003-04,Saint_Joe's,W,dwayne jones,2005
Pb945050559,2005,2005-06-28,2004-05,Saint_Joe's,W,dwayne jones,2005
P7f2c8eb929,2005,2005-06-28,2003-04,Hampton,W,devin green,2005
P7f2c8eb929,2005,2005-06-28,2004-05,Hampton,W,devin green,2005
Pc1044ed1f5,2005,2005-06-28,2002-03,Clemson,W,sharrod ford,2005
Pc1044ed1f5,2005,2005-06-28,2003-04,Clemson,W,sharrod ford,2005
Pc1044ed1f5,2005,2005-06-28,2004-05,Clemson,W,sharrod ford,2005
P403a83bdf0,2005,2005-06-28,2002-03,Kansas,W,aaron miles,2005
P403a83bdf0,2005,2005-06-28,2003-04,Kansas,W,aaron miles,2005
P403a83bdf0,2005,2005-06-28,2004-05,Kansas,W,aaron miles,2005
P063b0ea350,2005,2005-06-28,2002-03,Kentucky,W,gerald fitch,2004
P063b0ea350,2005,2005-06-28,2003-04,Kentucky,W,gerald fitch,2004
Pf1999192da,2005,2005-06-28,2002-03,Kentucky,W,chuck hayes,2005
Pf1999192da,2005,2005-06-28,2003-04,Kentucky,W,chuck hayes,2005
Pf1999192da,2005,2005-06-28,2004-05,Kentucky,W,chuck hayes,2005
P27f732ca1a,2006,2006-06-28,2004-05,Texas,W,lamarcus aldridge,2006
P27f732ca1a,2006,2006-06-28,2005-06,Texas,W,lamarcus aldridge,2006
P49164b4255,2006,2006-06-28,2003-04,Gonzaga,W,adam morrison,2006
P49164b4255,2006,2006-06-28,2004-05,Gonzaga,W,adam morrison,2006
P49164b4255,2006,2006-06-28,2005-06,Gonzaga,W,adam morrison,2006
Pd31d743729,2006,2006-06-28,2005-06,LSU,W,tyrus thomas,2006
P91b09695de,2006,2006-06-28,2002-03,Duke,W,shelden williams,2006
P91b09695de,2006,2006-06-28,2003-04,Duke,W,shelden williams,2006
P91b09695de,2006,2006-06-28,2004-05,Duke,W,shelden williams,2006
P91b09695de,2006,2006-06-28,2005-06,Duke,W,shelden williams,2006
Pa1953f4a95,2006,2006-06-28,2002-03,Washington,W,brandon roy,2006
Pa1953f4a95,2006,2006-06-28,2003-04,Washington,W,brandon roy,2006
Pa1953f4a95,2006,2006-06-28,2004-05,Washington,W,brandon roy,2006
Pa1953f4a95,2006,2006-06-28,2005-06,Washington,W,brandon roy,2006
Pf919ba1bb3,2006,2006-06-28,2003-04,Villanova,W,randy foye,2006
Pf919ba1bb3,2006,2006-06-28,2004-05,Villanova,W,randy foye,2006
Pf919ba1bb3,2006,2006-06-28,2005-06,Villanova,W,randy foye,2006
P4634e39421,2006,2006-06-28,2004-05,UConn,W,rudy gay,2006
P4634e39421,2006,2006-06-28,2005-06,UConn,W,rudy gay,2006
P4b8155700b,2006,2006-06-28,2004-05,Bradley,W,patrick obryant,2006
P4b8155700b,2006,2006-06-28,2005-06,Bradley,W,patrick obryant,2006
P14d000eef5,2006,2006-06-28,2002-03,Duke,W,jj redick,2006
P14d000eef5,2006,2006-06-28,2003-04,Duke,W,jj redick,2006
P14d000eef5,2006,2006-06-28,2004-05,Duke,W,jj redick,2006
P14d000eef5,2006,2006-06-28,2005-06,Duke,W,jj redick,2006
P4dc7399d2c,2006,2006-06-28,2002-03,UConn,W,hilton armstrong,2006
P4dc7399d2c,2006,2006-06-28,2003-04,UConn,W,hilton armstrong,2006
P4dc7399d2c,2006,2006-06-28,2004-05,UConn,W,hilton armstrong,2006
P4dc7399d2c,2006,2006-06-28,2005-06,UConn,W,hilton armstrong,2006
P058ee51b71,2006,2006-06-28,2003-04,Arkansas,W,ronnie brewer,2006
P058ee51b71,2006,2006-06-28,2004-05,Arkansas,W,ronnie brewer,2006
P058ee51b71,2006,2006-06-28,2005-06,Arkansas,W,ronnie brewer,2006
P54e5c21a96,2006,2006-06-28,2004-05,NC_State,W,cedric simmons,2006
P54e5c21a96,2006,2006-06-28,2005-06,NC_State,W,cedric simmons,2006
P78afb3722d,2006,2006-06-28,2002-03,Memphis,W,rodney carney,2006
P78afb3722d,2006,2006-06-28,2003-04,Memphis,W,rodney carney,2006
P78afb3722d,2006,2006-06-28,2004-05,Memphis,W,rodney carney,2006
P78afb3722d,2006,2006-06-28,2005-06,Memphis,W,rodney carney,2006
Pd47bfc21b1,2006,2006-06-28,2005-06,Memphis,W,shawne williams,2006
Pe5c2b5692d,2006,2006-06-28,2003-04,Rutgers,W,quincy douby,2006
Pe5c2b5692d,2006,2006-06-28,2004-05,Rutgers,W,quincy douby,2006
Pe5c2b5692d,2006,2006-06-28,2005-06,Rutgers,W,quincy douby,2006
P74ff916074,2006,2006-06-28,2003-04,South_Carolina,W,renaldo balkman,2006
