year,mode,timestamp,revid,n_teams
2003,current,2026-06-04T22:46:22Z,1357830302,65
2004,current,2026-03-30T00:38:49Z,1346111366,65
2005,current,2026-08-09T22:34:08Z,1368577728,65
2006,pre_draft,2006-06-17T15:24:52Z,59117185,64
2007,pre_draft,2007-06-19T18:56:15Z,139260061,65
2008,pre_draft,2008-06-18T14:19:09Z,220146002,65
2009,pre_draft,2009-06-18T04:55:46Z,297099817,65
2010,pre_draft,2010-06-16T07:44:33Z,368344215,65
2011,current,2026-08-22T02:32:25Z,1370610393,69
2012,pre_draft,2012-05-18T23:28:54Z,493268456,68
2013,pre_draft,2013-06-10T13:49:48Z,559230439,68
2014,pre_draft,2014-06-18T02:30:13Z,613369881,68
2015,pre_draft,2015-06-12T23:30:04Z,666690570,68
2016,pre_draft,2016-06-02T20:53:08Z,723400895,68
2017,pre_draft,2017-05-28T10:29:20Z,782660236,69
2018,pre_draft,2018-06-15T18:20:50Z,846015626,68
2019,pre_draft,2019-05-16T22:55:46Z,897422592,68
2020,cancelled,,,0
2021,pre_draft,2021-06-02T22:34:51Z,1026546753,68
2022,pre_draft,2022-05-30T02:39:10Z,1090549603,68
2023,pre_draft,2023-05-23T19:15:38Z,1156615631,69
2024,pre_draft,2024-06-03T07:59:33Z,1227033709,68
2025,pre_draft,2025-06-11T05:27:57Z,1295017773,68
