season,game_id,date,team,opp,won,is_final4,is_final
2002-03,230772640,2003-03-18,Texas_Southern,UNC_Asheville,0,0,0
2002-03,230772640,2003-03-18,UNC_Asheville,Texas_Southern,1,0,0
2002-03,234000001,2003-03-20,Arizona,Vermont,1,0,0
2002-03,234000001,2003-03-20,Vermont,Arizona,0,0,0
2002-03,234000002,2003-03-20,Cincinnati,Gonzaga,0,0,0
2002-03,234000002,2003-03-20,Gonzaga,Cincinnati,1,0,0
2002-03,234000004,2003-03-20,Milwaukee,Notre_Dame,0,0,0
2002-03,234000004,2003-03-20,Notre_Dame,Milwaukee,1,0,0
2002-03,234000005,2003-03-20,Illinois,W_Kentucky,1,0,0
2002-03,234000005,2003-03-20,W_Kentucky,Illinois,0,0,0
2002-03,234000008,2003-03-20,Cent_Michigan,Creighton,1,0,0
2002-03,234000008,2003-03-20,Creighton,Cent_Michigan,0,0,0
2002-03,234000009,2003-03-20,Colorado_State,Duke,0,0,0
2002-03,234000009,2003-03-20,Duke,Colorado_State,1,0,0
2002-03,234000011,2003-03-20,Arizona_State,Memphis,1,0,0
2002-03,234000011,2003-03-20,Memphis,Arizona_State,0,0,0
2002-03,234000012,2003-03-20,Kansas,Utah_State,1,0,0
2002-03,234000012,2003-03-20,Utah_State,Kansas,0,0,0
2002-03,234000019,2003-03-20,BYU,UConn,0,0,0
2002-03,234000019,2003-03-20,UConn,BYU,1,0,0
2002-03,234000020,2003-03-20,San_Diego,Stanford,0,0,0
2002-03,234000020,2003-03-20,Stanford,San_Diego,1,0,0
2002-03,234000033,2003-03-20,Cal,NC_State,1,0,0
2002-03,234000033,2003-03-20,NC_State,Cal,0,0,0
2002-03,234000050,2003-03-20,Weber_State,Wisconsin,0,0,0
2002-03,234000050,2003-03-20,Wisconsin,Weber_State,1,0,0
2002-03,234000051,2003-03-20,Dayton,Tulsa,0,0,0
2002-03,234000051,2003-03-20,Tulsa,Dayton,1,0,0
2002-03,234000054,2003-03-20,Missouri,S_Illinois,1,0,0
2002-03,234000054,2003-03-20,S_Illinois,Missouri,0,0,0
2002-03,234000055,2003-03-20,Holy_Cross,Marquette,0,0,0
2002-03,234000055,2003-03-20,Marquette,Holy_Cross,1,0,0
2002-03,234000016,2003-03-21,Texas,UNC_Asheville,1,0,0
2002-03,234000016,2003-03-21,UNC_Asheville,Texas,0,0,0
2002-03,234000017,2003-03-21,LSU,Purdue,0,0,0
2002-03,234000017,2003-03-21,Purdue,LSU,1,0,0
2002-03,234000026,2003-03-21,Colorado,Michigan_State,0,0,0
2002-03,234000026,2003-03-21,Michigan_State,Colorado,1,0,0
2002-03,234000027,2003-03-21,Florida,Sam_Houston,1,0,0
2002-03,234000027,2003-03-21,Sam_Houston,Florida,0,0,0
2002-03,234000035,2003-03-21,Butler,Miss_St,1,0,0
2002-03,234000035,2003-03-21,Miss_St,Butler,0,0,0
2002-03,234000039,2003-03-21,Oklahoma_State,Penn,1,0,0
2002-03,234000039,2003-03-21,Penn,Oklahoma_State,0,0,0
2002-03,234000040,2003-03-21,Manhattan,Syracuse,0,0,0
2002-03,234000040,2003-03-21,Syracuse,Manhattan,1,0,0
2002-03,234000042,2003-03-21,Auburn,Saint_Joe's,1,0,0
2002-03,234000042,2003-03-21,Saint_Joe's,Auburn,0,0,0
2002-03,234000047,2003-03-21,IUPUI,Kentucky,0,0,0
2002-03,234000047,2003-03-21,Kentucky,IUPUI,1,0,0
2002-03,234000048,2003-03-21,Oregon,Utah,0,0,0
2002-03,234000048,2003-03-21,Utah,Oregon,1,0,0
2002-03,234000057,2003-03-21,Alabama,Indiana,0,0,0
2002-03,234000057,2003-03-21,Indiana,Alabama,1,0,0
2002-03,234000003,2003-03-22,Arizona,Gonzaga,1,0,0
2002-03,234000003,2003-03-22,Gonzaga,Arizona,0,0,0
2002-03,234000006,2003-03-22,Illinois,Notre_Dame,0,0,0
2002-03,234000006,2003-03-22,Notre_Dame,Illinois,1,0,0
2002-03,234000010,2003-03-22,Cent_Michigan,Duke,0,0,0
2002-03,234000010,2003-03-22,Duke,Cent_Michigan,1,0,0
2002-03,234000013,2003-03-22,Arizona_State,Kansas,0,0,0
