season,year,team,seed,games,wins,final4,champion,exp_wins,pase,exp_src
2002-03,2003,Texas_Southern,16,1,0,0,0,0.0,0.0,prior_table
2002-03,2003,UNC_Asheville,16,2,1,0,0,0.0,1.0,prior_table
2002-03,2003,Arizona,1,4,3,0,0,3.3,-0.3,prior_table
2002-03,2003,Vermont,16,1,0,0,0,0.0,0.0,prior_table
2002-03,2003,Cincinnati,8,1,0,0,0,0.7,-0.7,prior_table
2002-03,2003,Gonzaga,9,2,1,0,0,0.55,0.45,prior_table
2002-03,2003,Milwaukee,12,1,0,0,0,0.5,-0.5,prior_table
2002-03,2003,Notre_Dame,5,3,2,0,0,1.15,0.85,prior_table
2002-03,2003,Illinois,4,2,1,0,0,1.55,-0.55,prior_table
2002-03,2003,W_Kentucky,13,1,0,0,0,0.25,-0.25,prior_table
2002-03,2003,Cent_Michigan,11,2,1,0,0,0.6,0.4,prior_table
2002-03,2003,Creighton,6,1,0,0,0,1.1,-1.1,prior_table
2002-03,2003,Colorado_State,14,1,0,0,0,0.15,-0.15,prior_table
2002-03,2003,Duke,3,3,2,0,0,1.8,0.2,prior_table
2002-03,2003,Arizona_State,10,2,1,0,0,0.65,0.35,prior_table
2002-03,2003,Memphis,7,1,0,0,0,0.9,-0.9,prior_table
2002-03,2003,Kansas,2,6,5,1,0,2.35,2.65,prior_table
2002-03,2003,Utah_State,15,1,0,0,0,0.05,-0.05,prior_table
2002-03,2003,BYU,12,1,0,0,0,0.5,-0.5,prior_table
2002-03,2003,UConn,5,3,2,0,0,1.15,0.85,prior_table
2002-03,2003,San_Diego,13,1,0,0,0,0.25,-0.25,prior_table
2002-03,2003,Stanford,4,2,1,0,0,1.55,-0.55,prior_table
2002-03,2003,Cal,8,2,1,0,0,0.7,0.3,prior_table
2002-03,2003,NC_State,9,1,0,0,0,0.55,-0.55,prior_table
2002-03,2003,Weber_State,12,1,0,0,0,0.5,-0.5,prior_table
2002-03,2003,Wisconsin,5,3,2,0,0,1.15,0.85,prior_table
2002-03,2003,Dayton,4,1,0,0,0,1.55,-1.55,prior_table
2002-03,2003,Tulsa,13,2,1,0,0,0.25,0.75,prior_table
