pid,tcf_season_final,tcf_conf_gp,tcf_conf_gp_share,tcf_usg,tcf_d_usg,tcf_ortg,tcf_d_ortg,tcf_adjoe,tcf_d_adjoe,tcf_drtg,tcf_d_drtg,tcf_adrtg,tcf_d_adrtg,tcf_bpm,tcf_d_bpm,tcf_obpm,tcf_d_obpm,tcf_dbpm,tcf_d_dbpm,tcf_ts,tcf_d_ts,tcf_efg,tcf_d_efg,tcf_ast_per,tcf_d_ast_per,tcf_tov_per,tcf_d_tov_per,tcf_orb_per,tcf_d_orb_per,tcf_drb_per,tcf_d_drb_per,tcf_stl_per,tcf_d_stl_per,tcf_blk_per,tcf_d_blk_per,tcf_ftr,tcf_d_ftr,tcf_tp3_pct,tcf_d_tp3_pct,tcf_tpar,tcf_d_tpar,tcf_tpa100,tcf_d_tpa100,tcf_porpag,tcf_d_porpag,tcf_minper,tcf_d_minper,tcf_pts_pg,tcf_d_pts_pg,tcf_reb_pg,tcf_d_reb_pg,tcf_ast_pg,tcf_d_ast_pg
P00193b3ed9,2013,16,0.470588,27.2,1.5,96.7,-16.1,109.46,-15.146,91.7276,2.3238,87.0369,1.1054,3.25142,-3.3051,0.593161,-2.9611,2.65826,-0.344,54.15,-6.21,52.9,-4.6,7.1,-1.1,19.8,4.5,11.1,1.2,21.2,-0.1,1.2,-0.3,4.8,0.5,33.1,-12.9,0.351,-0.032,0.24026,-0.0172745,5.70565,-0.15395,2.03749,-1.66872,60.6,-7.2,12.0625,-3.7316,7.1875,-0.7831,0.6875,-0.2243
P0029c9d3a9,2015,18,0.473684,19,0.1,100.9,-4.6,105.946,-5.071,105.305,5.5972,99.786,6.2773,1.57918,-1.83892,2.08374,-1.31925,-0.504557,-0.519664,46.21,-4.68,39.7,-8.4,10.1,2.6,15.4,0.7,5.9,-0.4,11,-3.9,0,-0.9,0.8,0.3,31.7,2,0.242,-0.077,0.52381,-0.0632873,8.7576,-1.3441,0.931565,-0.366105,36.1,-1.5,3.7222,-1.0146,1.8333,-0.7456,0.7778,0.1462
P0035c2f0b3,2023,17,0.586207,22.7,0.9,106.4,-5.1,116.555,-2.435,105.511,0.491,98.4979,-1.7611,2.2363,-2.32903,2.88687,-1.41831,-0.650574,-0.910724,53.91,-2.28,50,-3.2,11.4,-1.5,12.4,1.4,0.7,-0.3,10.4,1.6,0.3,-0.5,1.3,-0.8,22.2,-0.5,0.362,-0.006,0.641414,0.000930758,14.2313,0.5262,3.12828,-0.29043,65.2,-0.9,13.8824,-0.3245,3.1176,0.29,1.8235,-0.211
P004efe3965,2018,18,0.5625,20.7,-1.8,101.5,-5.8,105.566,-7.044,101.923,0.646,96.1028,0.0495,3.00246,-0.21743,0.871325,-0.650785,2.13114,0.43336,56.08,-1.37,53.8,-0.4,8.4,0.2,20,2.1,5.2,-2,23.7,0.5,0.9,-0.2,3.3,0.7,23.5,-3.8,0.406,0.011,0.594118,0.101955,11.0186,1.15723,1.83343,-0.59449,74.3,3.8,11.7778,-1.1597,7.7778,-0.0347,1.1667,0.0729
P0057628fa2,2021,15,0.46875,21.1,0.4,124.9,-6.3,131.843,-5.763,90.6589,-5.2512,88.9313,-3.0618,9.24933,-0.65351,7.0135,-1.09334,2.23583,0.43984,66.32,-1.06,62.3,-2.1,7.5,-1.5,12.9,2.2,2.4,-1.4,15,1.1,2,0.5,1.6,0.2,30.6,5.8,0.427,-0.013,0.486339,-0.0377118,9.69851,-1.19689,5.21618,-0.54025,80.7,1.5,18.5333,-0.0605,5,0.0312,1.5333,-0.2792
P007123cefb,2018,18,0.5625,25.1,2.1,110.3,1,124.985,5.812,97.9085,5.0309,90.9566,2.7591,9.60528,0.03189,4.08579,1.19045,5.51949,-1.15856,57.68,0.62,53.7,1.3,21.4,1.3,18.2,-2.3,7.7,0.4,22.3,-0.8,1.6,-0.4,5.8,-1.3,41.3,-1.9,0.403,0.036,0.413333,-0.0626492,8.08652,-0.18937,3.29485,0.64824,63.8,3,11.5,1.6212,6.7778,-0.0101,2.2778,0.0354
P0074b51801,2009,18,0.514286,15.7,-1.2,107.4,-0.7,109.108,-0.009,110.5,5.295,101.891,2.2548,1.91091,-0.72464,2.53144,-0.47099,-0.620523,-0.253636,53.44,1.32,52.1,0.5,6.4,-1.5,13.5,1.1,4.6,-1.8,11.6,-1.2,0.5,-0.2,1.1,-0.4,8.3,-0.1,0.333,-0.007,0.708333,0.0244624,11.9669,-0.3887,1.13482,-0.05332,34.2,-1.6,4.4444,-0.3556,2.1667,-0.4904,0.5,-0.1286
P0086aec335,2009,16,0.516129,25.4,-0.8,113.9,0.8,128.959,3.726,103.387,8.2102,94.3216,3.7062,6.15578,-0.46172,4.82377,0.01333,1.33202,-0.47504,60.14,-1.33,53,-1.6,16.7,-3.5,18.8,-2.2,1.3,-0.4,6.9,-1.7,2.7,-0.4,2,0,59,0,0.444,0.003,0.315,0.0400674,6.25605,0.84261,5.09546,0.65546,83.9,4,19.25,0.4113,2.625,-0.6653,3.0625,-0.4859
P00e7133fc6,2019,13,0.393939,28.4,0.2,130.5,1.3,156.746,3.902,90.3138,3.5162,84.4053,3.0068,18.6334,2.172,11.6699,1.5128,6.96343,0.65906,72.15,1.96,73.3,2.5,18.2,3.2,15.2,0,11.8,-1,18.3,0.3,3.9,0,5.7,-0.1,55.9,9.2,0.37,0.032,0.167702,0.00448347,3.87558,-0.0217,7.05255,0.27839,53.1,-11.8,22.6154,0.0093,8.4615,-0.4173,2.2308,0.1702
P00fdb72e43,2017,18,0.514286,28.7,0.3,115.7,2.6,131.787,4.504,106.411,2.683,104.681,1.216,2.85885,-0.80825,4.04317,-0.04168,-1.18432,-0.76657,60.31,1.37,53.7,1.3,12.4,-3,16.5,-0.9,10.3,1.4,21.8,0.4,1.2,0.2,0.7,-0.6,45.2,-0.5,0.44,0.031,0.365217,-0.00249561,8.86889,0.14167,4.84286,0.43421,79.3,-1.1,18.7222,0.4365,8.5556,0.1556,1.6111,-0.4175
