year,rows_conf,rows_full,joined,year_col_ok,gp_le,gp_lt,min_le,min_lt,gp_ratio,min_ratio,teams,match_gtype1,match_gtype12
2008,4195,4588,4194,1,1.0,0.9814020028612304,0.9976156413924654,0.9847401049117788,0.5394852725315589,0.5487564929567637,331,1.0,0.13293051359516617
2009,4316,4589,4316,1,1.0,0.976598702502317,0.9979147358665431,0.9779888785912882,0.534591254483,0.5414027220480038,343,0.9941690962099126,0.13119533527696792
2010,4387,4698,4387,1,1.0,0.9826760884431274,0.9956690221107819,0.9829040346478232,0.529954643688609,0.538240096191636,345,1.0,0.11884057971014493
2011,4298,4548,4298,1,1.0,0.9897626803164262,0.9981386691484412,0.988599348534202,0.5240373831775701,0.5322729343845143,345,1.0,0.11014492753623188
2012,4350,4586,4350,1,1.0,0.9868965517241379,0.9979310344827587,0.9859770114942529,0.5241312381023479,0.5295350333416218,345,1.0,0.11014492753623188
2013,4351,4608,4351,1,1.0,0.9802344288669271,0.9974718455527465,0.9818432544242702,0.5395320712591283,0.5458919844573954,345,1.0,0.12173913043478261
2014,4465,4722,4465,1,1.0,0.9854423292273237,0.9986562150055991,0.9845464725643897,0.5441131039997092,0.551604210254648,350,1.0,0.09428571428571429
2015,4459,4723,4459,1,1.0,0.9840771473424534,0.9979816102265082,0.9901323166629289,0.5546691008671839,0.5629445676712443,350,0.9942857142857143,0.1
2016,4434,4696,4434,1,1.0,0.9792512404149752,0.9968425800631484,0.9781235904375282,0.5556613699027717,0.5627072153209796,351,0.9943019943019943,0.09116809116809117
2017,4442,4742,4442,1,1.0,0.9824403421882035,0.9961728950923008,0.9876181900045025,0.5502625860195581,0.5609835199793066,351,1.0,0.07122507122507123
2018,4417,4703,4417,1,1.0,0.9827937514149876,0.9952456418383518,0.9850577314919629,0.5481470580119391,0.5583721597998218,351,1.0,0.05982905982905983
2019,4420,4739,4420,1,0.9997737556561086,0.9821266968325791,0.9975113122171946,0.9864253393665159,0.5502395406670567,0.5605616372003942,353,1.0,0.0821529745042493
2020,4429,4733,4429,1,1.0,0.9776473244524724,0.9950327387672161,0.9823888010837661,0.5901042672330565,0.6001763874677559,353,1.0,0.3909348441926346
2021,4733,4970,4733,1,1.0,0.9184449609127403,0.9864779209803507,0.9412634692583984,0.6832619123760794,0.6898048846415511,345,1.0,0.09565217391304348
2022,4701,5011,4701,1,1.0,0.971495426504999,0.9951074239523505,0.9804296958094022,0.575850206592256,0.5867657486726721,358,0.9832402234636871,0.07541899441340782
2023,4760,5043,4760,1,1.0,0.9737394957983193,0.9947478991596639,0.9831932773109243,0.569205298013245,0.5797241547286072,363,1.0,0.07162534435261708
2024,4644,5002,4644,1,1.0,0.9786821705426356,0.9967700258397932,0.9866494401378122,0.5658047086067155,0.5756087510192877,361,1.0,0.07479224376731301
2025,4682,5060,4682,1,1.0,0.9780008543357539,0.9965826569841948,0.9914566424604869,0.5749261778294065,0.586673298390628,364,1.0,0.09065934065934066
2026,4621,4978,4621,1,1.0,0.9816057130491236,0.9963211426098247,0.9922094784678641,0.5757616224204547,0.5906520778156583,365,0.9972602739726028,0.09315068493150686
