pid,tc_season_final,tc_match_rule,tc_match_tv_agrees,tc_age_bucket,tc_age_at_season,tc_age_imputed,tc_age_cohort_n,tc_pct_age_bpm,tc_pct_age_obpm,tc_pct_age_dbpm,tc_pct_age_usg,tc_pct_age_ts,tc_pct_age_ast,tc_pct_age_stl,tc_pct_age_blk,tc_pct_age_orb,tc_pct_age_drb,tc_pct_age_porpag,tc_resid_age_bpm,tc_z_age_bpm,tc_resid_age_obpm,tc_z_age_obpm,tc_resid_age_dbpm,tc_z_age_dbpm,tc_resid_age_usg,tc_z_age_usg,tc_resid_age_ts,tc_z_age_ts,tc_resid_age_ast,tc_z_age_ast,tc_resid_age_stl,tc_z_age_stl,tc_resid_age_blk,tc_z_age_blk,tc_resid_age_orb,tc_z_age_orb,tc_resid_age_drb,tc_z_age_drb,tc_resid_age_porpag,tc_z_age_porpag,tc_tm_bpm_mw,tc_tm_usg_mw,tc_tm_bpm_max,tc_tm_top2_bpm_mean,tc_tm_recrank_best,tc_tm_n_top100_recruits,tc_bpm_share,tc_usg_share,tc_pts_share,tc_ast_share,tc_porpag_share,tc_team_talent_hhi,tc_team_bpm_sum,tc_team_adjoe_mean,tc_team_adrtg_mean,tc_team_n_players,tc_conf_strength_prior,tc_conf_strength_same,tc_team_games,tc_team_wins,tc_team_losses,tc_team_win_pct,tc_team_barthag,tc_team_barthag_rank,tc_team_opp_barthag_mean,tc_team_neutral_share,tc_ncaa_games,tc_ncaa_wins,tc_final_four,tc_champion,tc_conf_tourn_games,tc_conf_tourn_wins,tc_ncaa_made,tc_ncaa_wins_expected,tc_ncaa_wins_resid,tc_gp_share_final,tc_gp_share_career,tc_gp_share_min,tc_n_seasons,tc_seasons_span,tc_missing_season,tc_missing_season_same_school,tc_team_games_final,tc_slope_bpm,tc_slope_usg,tc_slope_ts,tc_slope_ast,tc_slope_stl,tc_slope_blk,tc_slope_minper,tc_bpm_accel,tc_first_bpm,tc_first_age,tc_first_min_per,tc_first_usg,tc_bpm_first_to_last,tc_freshman_bpm_age_z,tc_ft_shrunk,tc_ft_shrunk_n,tc_3p_shrunk,tc_3p_shrunk_n,tc_ft_minus_3p,tc_dunks_per40,tc_dunk_att_per40,tc_dunk_pct,tc_tpa_per100,tc_rim_att_per40,tc_pts_per40,tc_pts40_resid_usg_ts,tc_ts_resid_usg
P00193b3ed9,2013,3,,19,19.8412,0,319,0.935737,0.920063,0.904389,0.89185,0.945141,0.258621,0.296238,0.89185,0.88558,0.948276,0.948276,6.43662,1.71986,3.50295,1.31869,2.93367,1.31203,5.7464,1.28237,7.99321,1.4266,-5.8058,-0.745218,-0.482405,-0.58219,2.51048,1.14377,4.46816,1.21966,9.01304,1.89679,2.38323,1.73887,3.43349,18.9047,9.16065,7.1098,14,6,0.220109,0.17587,0.223285,0.0575161,0.275578,0.164131,20.2075,103.12,88.8122,12,11.9709,15.3582,34,24,10,0.705882,0.901524,23,0.648451,0.117647,1,0,0,0,3,2,1,1.10756,-1.10756,1,1,1,1,1,0,0,34,,,,,,,,,6.55652,19.8412,67.8,25.7,0,1.71986,0.699538,168,0.345174,94,0.354364,2.28942,2.5054,0.9138,5.8596,6.04751,23.1965,3.14891,7.40624
P0029c9d3a9,2015,2,1,23,23.1157,0,180,0.772222,0.85,0.461111,0.322222,0.327778,0.216667,0.0694444,0.266667,0.586111,0.622222,0.416667,2.49589,0.669303,2.67333,1.01555,-0.177443,-0.0782491,-1.66346,-0.368364,-2.87988,-0.516357,-5.79525,-0.739946,-1.01313,-1.22179,-1.43961,-0.645606,0.498655,0.136038,1.50747,0.316842,-0.482408,-0.354661,8.7229,19.9194,13.5695,11.8091,12,1,0.030565,0.0715758,0.0620685,0.0476207,0.0429505,0.181759,42.0182,128.241,92.1667,13,19.4598,19.4519,40,36,4,0.9,0.972161,3,0.746958,0.3,6,5,1,0,3,3,1,2.89758,2.10242,0.95,0.655405,0.235294,4,5,1,1,40,1.2891,1.20536,0.371141,0.666959,-0.323183,0.0998661,11.1277,-2.20795,-12.3948,19.1157,1.1,15.4,15.8129,-3.23166,0.676608,64,0.327396,134,0.349212,0.264462,0.330578,0.8,10.1017,2.38016,11.9007,-0.463669,-1.97314
P0035c2f0b3,2023,3,1,19,19.3374,0,226,0.878319,0.962389,0.608407,0.736726,0.763274,0.599558,0.0486726,0.785398,0.0641593,0.221239,0.949115,4.70689,1.28611,4.45865,1.74992,0.248245,0.110837,2.10023,0.457779,3.82269,0.680641,-0.800366,-0.104543,-1.10083,-1.3727,0.35184,0.16178,-3.92482,-1.08976,-3.62449,-0.748686,2.19974,1.64684,3.32047,19.4988,7.28999,7.02093,33,7,0.165397,0.145564,0.165196,0.142513,0.196531,0.23382,18.2493,109.512,96.6902,16,18.2806,18.5607,34,18,16,0.529412,0.851194,47,0.709886,0.176471,0,0,0,0,1,0,0,,,0.852941,0.852941,0.852941,1,1,0,0,34,,,,,,,,,4.56533,19.3374,66.1,21.8,0,1.28611,0.766053,75,0.347565,212,0.418488,0.261153,0.261153,1,13.7051,2.0457,17.9325,1.4512,2.14321
P004efe3965,2018,3,1,24,24,0,37,0.824324,0.716216,0.689189,0.77027,0.527027,0.391892,0.283784,0.635135,0.635135,0.905405,0.824324,2.37409,0.642441,0.892263,0.342039,1.48183,0.657734,1.85555,0.409736,3.41609,0.611963,-4.47681,-0.5761,-0.735614,-0.898373,0.533953,0.242121,1.28351,0.351992,9.36753,1.95985,0.676324,0.502602,1.06294,19.195,5.18847,4.37852,71,3,0.243234,0.161388,0.179454,0.0855789,0.208045,0.296508,9.33435,102.856,99.27,14,15.3991,13.2487,32,17,15,0.53125,0.654902,116,0.658454,0.1875,0,0,0,0,2,1,0,,,1,0.93985,0.771429,4,5,1,1,32,1.30277,0.474827,1.80878,1.02942,-0.0117507,0.395531,9.56597,4.60732,-4.86156,20,10.5,20.7,8.08145,-1.37157,0.725248,305,0.379587,444,0.34566,0.219058,0.219058,1,9.86137,4.07449,18.138,0.408943,2.66067
P0057628fa2,2021,3,1,21,21.8727,0,562,0.995552,0.997331,0.821174,0.580961,0.991993,0.338078,0.38968,0.609431,0.507117,0.542705,0.997331,9.06282,2.4663,7.44605,2.89219,1.61676,0.71968,0.297484,0.0650217,13.5309,2.41526,-4.85734,-0.630521,-0.388526,-0.482625,-0.413368,-0.188852,-1.46015,-0.403112,0.575142,0.119186,4.02843,3.00515,8.11409,19.6342,10.6765,10.6002,10,9,0.184816,0.165671,0.204398,0.0965054,0.194674,0.154069,42.462,125.121,90.4745,15,12.9663,15.7077,32,31,1,0.96875,0.976841,1,0.662674,0.40625,6,5,1,0,2,2,1,3.98294,1.01706,1,0.985612,0.945946,4,4,0,0,32,1.63257,1.96872,2.67374,1.50921,0.146331,0.0159705,10.5003,3.54317,3.78038,18.872,45.3,15.8,6.12246,1.14693,0.811081,250,0.390458,662,0.420624,0.353635,0.353635,1,10.8954,5.10806,23.3792,4.67901,13.6955
P007123cefb,2018,2,,18,18.1684,0,85,0.958824,0.841176,0.982353,0.752941,0.723529,0.841176,0.629412,0.958824,0.776471,0.952941,0.817647,10.3231,2.80217,3.54709,1.3697,6.77598,3.01149,3.42699,0.751047,5.68735,1.01287,6.42131,0.830878,0.104305,0.129012,5.39874,2.45479,2.43389,0.670818,11.1852,2.32099,1.73452,1.2908,2.77429,19.2891,6.08011,5.1524,2,2,0.310461,0.141649,0.136021,0.168035,0.131812,0.22856,18.7441,112.231,96.1999,13,17.5409,18.8893,32,19,13,0.59375,0.841222,50,0.726965,0.1875,1,0,0,0,1,0,1,0.583728,-0.583728,1,1,1,1,1,0,0,32,,,,,,,,,9.57339,18.1684,60.8,23,0,2.80217,0.730891,99,0.326434,109,0.404457,0.153346,0.153346,1,8.27589,2.70911,16.1587,-1.86621,2.26178
P0074b51801,2009,2,,22,22.2533,1,622,0.636656,0.778135,0.403537,0.247588,0.364148,0.228296,0.0297428,0.606109,0.584405,0.527331,0.340836,1.64696,0.438925,2.19003,0.820794,-0.543076,-0.242931,-3.57267,-0.792936,-1.57107,-0.281511,-6.16488,-0.794777,-1.26684,-1.52145,-0.285607,-0.129872,0.744028,0.20392,-0.270307,-0.0569498,-0.600318,-0.434821,4.27425,20.0487,6.46045,6.18503,66,3,0.0453823,0.0610424,0.064,0.0383961,0.0557792,0.171015,20.791,114.611,98.2957,11,18.7654,21.2788,35,20,15,0.571429,0.860866,47,0.692258,0.2,0,0,0,0,2,1,0,,,1,1,1,2,2,0,0,35,-0.612477,1.56562,-0.918309,1.6125,-0.592551,0.0224932,7.35343,,5.27312,21.2512,29.3,15.7,-2.63757,1.20401,0.622272,26,0.34502,190,0.277252,,,,12.3556,,13.3599,2.18274,-0.338194
P0086aec335,2009,2,,20,20.2519,1,338,0.942308,0.948225,0.844675,0.89645,0.930473,0.786982,0.918639,0.730769,0.139053,0.218935,0.954142,6.33158,1.68204,4.65787,1.73637,1.67371,0.729017,6.21478,1.39831,8.72856,1.56311,6.10753,0.795066,1.09602,1.27493,0.255146,0.111337,-3.73021,-1.03635,-3.66552,-0.766286,3.04169,2.20593,4.09486,18.627,9.52538,7.40761,9,4,0.231311,0.211105,0.232669,0.271603,0.277677,0.200242,22.8638,107.762,89.9794,17,20.7368,20.7808,31,24,7,0.774194,0.888197,32,0.664136,0.16129,1,0,0,0,1,0,1,,,1,1,1,2,2,0,0,31,2.55905,1.6,7.1,2.4,-0.5,0,9.1,,4.05845,19.2498,70.8,24.6,2.55905,1.20312,0.802574,357,0.37386,179,0.428714,,,,5.41344,,23.5722,2.56336,7.92548
P00e7133fc6,2019,3,1,18,18.527,0,78,0.99359,0.99359,0.980769,0.974359,0.980769,0.660256,0.980769,0.955128,0.967949,0.878205,0.99359,17.1138,4.63671,10.7408,4.12961,6.37303,2.83118,8.56977,1.88362,18.7388,3.34744,1.2801,0.165156,1.98792,2.44558,4.06389,1.84475,7.84264,2.15853,6.04474,1.25958,5.82292,4.32815,5.61801,18.5814,10.0499,9.16776,1,7,0.302504,0.184575,0.237353,0.112212,0.286071,0.166068,35.314,118.096,87.4672,14,20.0858,20.6653,38,32,6,0.842105,0.961776,5,0.739932,0.315789,4,3,0,0,3,3,1,2.45697,0.543032,0.868421,0.868421,0.868421,1,1,0,0,38,,,,,,,,,16.4614,18.527,64.9,28.2,0,4.63671,0.645667,203,0.329789,71,0.315877,2.91203,3.19515,0.9114,3.89728,12.6593,30.1719,4.81421,15.8401
P00fdb72e43,2017,2,,22,22.9322,0,493,0.794118,0.903651,0.431034,0.945233,0.81643,0.634888,0.131846,0.598377,0.837728,0.932049,0.960446,2.69555,0.728288,3.32745,1.27113,-0.631899,-0.280112,7.77635,1.72392,5.10167,0.913818,1.9678,0.251986,-0.896947,-1.09093,-0.625945,-0.281714,3.20341,0.877274,7.90933,1.66231,2.62264,1.94408,0.198913,18.024,3.73408,3.46536,116,0,0.401395,0.231977,0.261544,0.152363,0.31264,0.336183,7.34786,106.256,104.323,13,11.1786,9.37258,35,20,15,0.571429,0.584326,129,0.555722,0.142857,0,0,0,0,2,1,0,,,1,1,1,4,5,1,0,35,1.83513,1.86026,2.80824,2.06357,0.0814616,-0.0189538,9.4943,-5.03037,-4.6761,18.9322,41.9,21,8.3432,-1.14271,0.813461,584,0.356883,417,0.456578,0,0.071048,0,8.72722,4.93784,22.7353,-0.129235,4.30059
