pid,draft_year,actual_pick,reason,n_name_candidates
P049a006ba4,2000,14.0,no_d1_season_match,0
P07fb065f28,2000,34.0,no_d1_season_match,0
P0a16bf5dcd,2000,7.0,no_d1_season_match,0
P0b8d4db24c,2000,36.0,no_d1_season_match,0
P0e7eb7e056,2000,53.0,no_d1_season_match,0
P180bfe573f,2000,18.0,no_d1_season_match,0
P189ad0416e,2000,32.0,no_d1_season_match,0
P1c5dc0dbc6,2000,50.0,no_d1_season_match,0
P1d1b852c8c,2000,37.0,no_d1_season_match,0
P1de330dcda,2000,,no_d1_season_match,0
P1f7c85948b,2000,52.0,no_d1_season_match,0
P1f84c6033c,2000,,no_d1_season_match,0
P2225ba1e79,2000,11.0,no_d1_season_match,0
P22993a7ac8,2000,23.0,no_d1_season_match,0
P2864fd765b,2000,,no_d1_season_match,0
P2899765f70,2000,,no_d1_season_match,0
P332366fd23,2000,9.0,no_d1_season_match,0
P360a02c8f3,2000,21.0,no_d1_season_match,0
P382ba08b06,2000,16.0,no_d1_season_match,0
P39bae689b5,2000,30.0,no_d1_season_match,0
P3cfed129a3,2000,,no_d1_season_match,0
P3ef49a42d2,2000,25.0,no_d1_season_match,0
P497243f189,2000,55.0,no_d1_season_match,0
P4d044e6517,2000,8.0,no_d1_season_match,0
P52ae6ebde1,2000,24.0,no_d1_season_match,0
P530a84e49c,2000,,no_d1_season_match,0
P5ea8063b82,2000,19.0,no_d1_season_match,0
P620c88aaa1,2000,39.0,no_d1_season_match,0
P65db320efe,2000,43.0,no_d1_season_match,0
P69d740b582,2000,40.0,no_d1_season_match,0
P6c17983aad,2000,35.0,no_d1_season_match,4
P70be92ee2a,2000,3.0,no_d1_season_match,1
P7903308993,2000,49.0,no_d1_season_match,1
P7aebb4f3da,2000,4.0,no_d1_season_match,0
P7b63dad40c,2000,,no_d1_season_match,0
P7cf0118ef7,2000,,no_d1_season_match,0
P8105ba296c,2000,,no_d1_season_match,0
P8955b1a9c4,2000,,no_d1_season_match,0
P8b55924f31,2000,20.0,no_d1_season_match,0
P8b719e2981,2000,28.0,no_d1_season_match,0
P8df0a8788c,2000,22.0,no_d1_season_match,0
P91ba0ccfb7,2000,27.0,no_d1_season_match,0
P98015d62ae,2000,38.0,no_d1_season_match,0
P9a587a1a63,2000,,no_d1_season_match,0
P9aa2c80a45,2000,,no_d1_season_match,0
P9c1ee88716,2000,42.0,no_d1_season_match,0
P9e0485e8f6,2000,,no_d1_season_match,0
Pa0da0f38dc,2000,,no_d1_season_match,0
Pa1cb69e2d5,2000,12.0,no_d1_season_match,0
Pa5a2a6e8b9,2000,26.0,no_d1_season_match,2
Paff659398c,2000,51.0,no_d1_season_match,0
Pb9c8134dba,2000,2.0,no_d1_season_match,0
Pbc657442d8,2000,,no_d1_season_match,0
Pbcfa5eaec6,2000,,no_d1_season_match,0
Pbd1bd31363,2000,13.0,no_d1_season_match,1
Pc3df7f8dbd,2000,29.0,no_d1_season_match,0
Pcb83527531,2000,,no_d1_season_match,0
Pd49ad433a6,2000,,no_d1_season_match,0
Pd5c75d3b01,2000,31.0,no_d1_season_match,0
Pd72f71c2bb,2000,,no_d1_season_match,0
Pd764197a9d,2000,45.0,no_d1_season_match,1
Pdaa5dc2ffe,2000,6.0,no_d1_season_match,0
Pdfcccbc0ee,2000,17.0,no_d1_season_match,0
Pe4182c4c9a,2000,5.0,no_d1_season_match,1
Pe7b575da0a,2000,,no_d1_season_match,0
Pefcb67dee7,2000,33.0,no_d1_season_match,0
Pf2b2bf7c90,2000,15.0,no_d1_season_match,0
Pf596e595fa,2000,10.0,no_d1_season_match,0
Pfb151947b8,2000,1.0,no_d1_season_match,0
Pfdb326aa01,2000,44.0,no_d1_season_match,0
P002581103b,2001,40.0,no_d1_season_match,0
P07655923d4,2001,30.0,no_d1_season_match,0
P0a2d28a2d0,2001,50.0,no_d1_season_match,0
P0d7e76d154,2001,11.0,no_d1_season_match,0
P0e7fc05f4f,2001,,no_d1_season_match,0
P0fd2ff4395,2001,8.0,no_d1_season_match,0
P0fee52cfc4,2001,45.0,no_d1_season_match,0
P1bd862cc0f,2001,21.0,no_d1_season_match,0
P1d7e465328,2001,6.0,no_d1_season_match,0
P2a8e69fc8a,2001,29.0,no_d1_season_match,0
P2c0a429f79,2001,,no_d1_season_match,0
P2ee25c689c,2001,20.0,no_d1_season_match,0
P3a25271b04,2001,17.0,no_d1_season_match,2
P3d1a59b5a2,2001,39.0,no_d1_season_match,1
P3ebb78aaf3,2001,27.0,no_d1_season_match,0
P3f83cdea39,2001,1.0,no_d1_season_match,0
P4caf77098c,2001,,no_d1_season_match,0
P4da2c7e178,2001,25.0,no_d1_season_match,0
P4f8c953cc8,2001,47.0,no_d1_season_match,0
P5303425662,2001,44.0,no_d1_season_match,0
P563df84956,2001,16.0,no_d1_season_match,0
P666726f41f,2001,,no_d1_season_match,0
P675a30c147,2001,15.0,no_d1_season_match,0
P6d016b475a,2001,,no_d1_season_match,0
P6d3c0c239e,2001,41.0,no_d1_season_match,0
P6dc3d3ca5e,2001,28.0,no_d1_season_match,1
P704a5fd478,2001,10.0,no_d1_season_match,0
P73f5726100,2001,,no_d1_season_match,0
P759a9434cf,2001,,no_d1_season_match,0
P75d87cd190,2001,18.0,no_d1_season_match,0
P820aca19f1,2001,,no_d1_season_match,3
P842a2f3c2e,2001,14.0,no_d1_season_match,0
P854c694553,2001,5.0,no_d1_season_match,1
P8fba680b01,2001,,no_d1_season_match,0
P9650bb1a40,2001,22.0,no_d1_season_match,0
P989fbfa539,2001,34.0,no_d1_season_match,0
P98f905fdef,2001,12.0,no_d1_season_match,0
P9aa7ef7a41,2001,56.0,no_d1_season_match,1
Pa33e366fdf,2001,,no_d1_season_match,0
Pa93cedf1ed,2001,,no_d1_season_match,0
Paa277db6ca,2001,37.0,no_d1_season_match,0
Pac419c235c,2001,9.0,no_d1_season_match,0
Paeace7e70c,2001,33.0,no_d1_season_match,0
Paf6a9c1c9e,2001,19.0,no_d1_season_match,0
Pbd83a701c7,2001,,no_d1_season_match,0
Pc0571f7238,2001,31.0,no_d1_season_match,0
Pc0e2cf5bcc,2001,52.0,no_d1_season_match,0
Pc5a3285209,2001,49.0,no_d1_season_match,0
Pc7c312fdc1,2001,2.0,no_d1_season_match,0
Pca59ea1b39,2001,,no_d1_season_match,0
Pcba63fe240,2001,23.0,no_d1_season_match,1
Pd1e82d8666,2001,,no_d1_season_match,0
Pd3b6bf6d79,2001,32.0,no_d1_season_match,0
Pd4900db84d,2001,24.0,no_d1_season_match,0
Pdcd864f0fb,2001,13.0,no_d1_season_match,0
Pe0dd44e42b,2001,35.0,no_d1_season_match,0
Pe0f44d3916,2001,48.0,no_d1_season_match,0
Pe88af25410,2001,4.0,no_d1_season_match,0
Peca9b04dbf,2001,7.0,no_d1_season_match,0
Pf532d918b8,2001,36.0,no_d1_season_match,0
Pf65d71b77e,2001,53.0,no_d1_season_match,0
Pf7459f37f3,2001,,no_d1_season_match,0
Pfcc31e3705,2001,26.0,no_d1_season_match,0
Pff73e1eace,2001,3.0,no_d1_season_match,0
P01fc763e95,2002,10.0,no_d1_season_match,0
P021e6add75,2002,47.0,no_d1_season_match,0
P0459b830f2,2002,22.0,no_d1_season_match,0
P06b92eaa32,2002,,no_d1_season_match,0
P1199724869,2002,3.0,no_d1_season_match,0
P187b6721ca,2002,,no_d1_season_match,0
P2abf5d1b69,2002,34.0,no_d1_season_match,0
P2ca94b8a14,2002,,no_d1_season_match,0
P33c766f164,2002,26.0,no_d1_season_match,0
P33f4d69488,2002,15.0,no_d1_season_match,0
P3514cc9b35,2002,45.0,no_d1_season_match,0
P357471422c,2002,24.0,no_d1_season_match,0
P3769bd015c,2002,53.0,no_d1_season_match,0
P396b44b337,2002,,no_d1_season_match,0
P39c99a28df,2002,37.0,no_d1_season_match,0
P3c40dc7411,2002,,no_d1_season_match,0
P3d9db1cda1,2002,8.0,no_d1_season_match,0
P42dd9e15a4,2002,28.0,no_d1_season_match,0
P47eee57e35,2002,43.0,no_d1_season_match,0
P4adcc58a26,2002,55.0,no_d1_season_match,0
P4b934e1435,2002,,no_d1_season_match,0
P4c416f9cab,2002,21.0,no_d1_season_match,0
P4cd866005e,2002,30.0,no_d1_season_match,0
P540f972282,2002,14.0,no_d1_season_match,0
P5635d18ecc,2002,40.0,no_d1_season_match,0
P5656ae84e7,2002,17.0,no_d1_season_match,0
P59cd2b2d22,2002,19.0,no_d1_season_match,0
P6031807405,2002,9.0,no_d1_season_match,0
P634aaac9d4,2002,7.0,no_d1_season_match,0
P648b9117f8,2002,56.0,no_d1_season_match,0
P6d9b6a98b1,2002,,no_d1_season_match,0
P70ecb2ee9d,2002,32.0,no_d1_season_match,0
P71645345d7,2002,46.0,no_d1_season_match,0
P71d533551f,2002,20.0,no_d1_season_match,0
P7662bd9a71,2002,12.0,no_d1_season_match,0
P780ecd00c5,2002,33.0,no_d1_season_match,0
P792efcc523,2002,18.0,no_d1_season_match,0
P797b6b2deb,2002,,no_d1_season_match,0
P7d55637f90,2002,36.0,no_d1_season_match,0
P830efff813,2002,49.0,no_d1_season_match,0
P83519063cc,2002,,no_d1_season_match,0
P85381afe4a,2002,,no_d1_season_match,0
P91e42fff83,2002,11.0,no_d1_season_match,0
P979bc77e15,2002,4.0,no_d1_season_match,0
P98207c2747,2002,,no_d1_season_match,0
Pa08cb88c9e,2002,6.0,no_d1_season_match,0
Pa3f1da9bab,2002,,no_d1_season_match,0
Pb3ff680bd6,2002,,no_d1_season_match,0
Pb74259d44e,2002,25.0,no_d1_season_match,1
Pb7f87f6748,2002,13.0,no_d1_season_match,0
Pc0e29b5887,2002,16.0,no_d1_season_match,0
Pc692096d48,2002,5.0,no_d1_season_match,0
Pca9a20b4db,2002,,no_d1_season_match,2
Pcf7f47cd26,2002,,no_d1_season_match,0
Pd06a43915a,2002,1.0,no_d1_season_match,0
Pd2dc1d3e0e,2002,23.0,no_d1_season_match,0
Pd4f1d19d77,2002,27.0,no_d1_season_match,0
Pd51bbef7c1,2002,,no_d1_season_match,0
Pd72acae20f,2002,,no_d1_season_match,0
Pdacee2a50f,2002,52.0,no_d1_season_match,0
Pe09c2486c8,2002,,no_d1_season_match,0
Pe79941522f,2002,39.0,no_d1_season_match,0
Pe929ebb536,2002,2.0,no_d1_season_match,0
Pe932df1062,2002,,no_d1_season_match,0
Pe961cc9c52,2002,41.0,no_d1_season_match,0
Pebd90a92ff,2002,57.0,no_d1_season_match,0
Pfdab72198e,2002,31.0,no_d1_season_match,0
Pfe4a1d82f4,2002,,no_d1_season_match,0
P01056a0f18,2003,6.0,no_d1_season_match,0
P014b6ed928,2003,2.0,no_d1_season_match,0
P05a2123919,2003,,no_d1_season_match,0
P06d8dc5829,2003,,no_d1_season_match,0
P08c56d3590,2003,32.0,no_d1_season_match,0
P0efa2b4f7d,2003,8.0,no_d1_season_match,1
P18458ff2ec,2003,,no_d1_season_match,0
P1f926eb06b,2003,56.0,no_d1_season_match,0
P2631037f25,2003,,no_d1_season_match,0
P26a739545e,2003,,no_d1_season_match,0
P2cb7a6fa13,2003,,no_d1_season_match,0
P3070bdd73b,2003,,no_d1_season_match,0
P33f86fa27f,2003,,no_d1_season_match,0
P37455198a4,2003,18.0,no_d1_season_match,0
P38d9dee28f,2003,21.0,no_d1_season_match,0
P39c1b5b439,2003,5.0,no_d1_season_match,0
P3a913af04c,2003,43.0,no_d1_season_match,0
P3b6ec2df2f,2003,,no_d1_season_match,0
P3c6c730bf2,2003,14.0,no_d1_season_match,0
P3d283763c2,2003,9.0,no_d1_season_match,0
P3dd5c6b05b,2003,26.0,no_d1_season_match,0
P3e7075c22e,2003,51.0,no_d1_season_match,0
P42e64d32a8,2003,,no_d1_season_match,0
P4649b7d232,2003,37.0,no_d1_season_match,0
P47846f7398,2003,31.0,no_d1_season_match,0
P4be402ea04,2003,,no_d1_season_match,0
P53313a94c2,2003,22.0,no_d1_season_match,0
P539180f113,2003,16.0,no_d1_season_match,0
P554dd6632a,2003,47.0,no_d1_season_match,1
P5895ae6315,2003,58.0,no_d1_season_match,0
P5e60e1df8d,2003,23.0,no_d1_season_match,0
P5e97ce9bc9,2003,17.0,no_d1_season_match,0
P624e80554f,2003,45.0,no_d1_season_match,0
P6294004747,2003,25.0,no_d1_season_match,0
P62fd3b7dd9,2003,38.0,no_d1_season_match,0
P64b1bc7766,2003,13.0,no_d1_season_match,1
P769efab0d3,2003,,no_d1_season_match,1
P78473875c4,2003,,no_d1_season_match,0
P78dd3f3917,2003,,no_d1_season_match,0
P7d6aa2dfe0,2003,,no_d1_season_match,0
P7feaaeffcb,2003,7.0,no_d1_season_match,0
P82d1799627,2003,29.0,no_d1_season_match,0
P85bb3eb8b9,2003,,no_d1_season_match,0
P8bc3dd7f6c,2003,,no_d1_season_match,6
P9827437e3d,2003,39.0,no_d1_season_match,0
P9dc8436179,2003,10.0,no_d1_season_match,0
P9f79255649,2003,48.0,no_d1_season_match,0
Pa2e0858910,2003,40.0,no_d1_season_match,0
Pa3bf9b334b,2003,33.0,no_d1_season_match,0
Pa526a12aa4,2003,19.0,no_d1_season_match,0
Pa59b169e09,2003,42.0,no_d1_season_match,0
Paaef13df6e,2003,,no_d1_season_match,0
Pace4fe8116,2003,15.0,no_d1_season_match,0
Pae0e6be256,2003,3.0,no_d1_season_match,0
Pae24459193,2003,,no_d1_season_match,0
Pb3905915d4,2003,,no_d1_season_match,0
Pb7edd3ead7,2003,20.0,no_d1_season_match,0
Pbc5a0470c9,2003,1.0,no_d1_season_match,0
Pbd99bc4676,2003,,no_d1_season_match,0
Pc1693478f0,2003,,no_d1_season_match,0
Pc441e97a64,2003,24.0,no_d1_season_match,0
Pc5cf3e8f14,2003,11.0,no_d1_season_match,0
Pce38c03d45,2003,49.0,no_d1_season_match,2
Pce9ab1622f,2003,,no_d1_season_match,0
Pced63c164c,2003,12.0,no_d1_season_match,0
Pd073d30524,2003,,no_d1_season_match,0
Pd0fb9bca1b,2003,27.0,no_d1_season_match,0
Pd8afdd28b5,2003,28.0,no_d1_season_match,0
Pdbacaefe1b,2003,,no_d1_season_match,0
Pe4a1b20238,2003,41.0,no_d1_season_match,1
Peab571b95d,2003,4.0,no_d1_season_match,0
Ped90afeb58,2003,,no_d1_season_match,0
Pf436b2be04,2003,,no_d1_season_match,0
Pf4d331b9a5,2003,30.0,no_d1_season_match,0
P0685226773,2004,21.0,no_d1_season_match,0
P079efef655,2004,30.0,no_d1_season_match,0
P0ad01302af,2004,24.0,no_d1_season_match,0
P0b1f22f2d4,2004,20.0,no_d1_season_match,1
P0d50e77b95,2004,18.0,no_d1_season_match,0
P16796cf3ab,2004,,no_d1_season_match,0
P1b3889c122,2004,27.0,no_d1_season_match,0
P20571734e6,2004,43.0,no_d1_season_match,0
P23c2e6b3e7,2004,,no_d1_season_match,0
P25c05d7b38,2004,17.0,no_d1_season_match,4
P269736d407,2004,1.0,no_d1_season_match,0
P27d4bedf9b,2004,,no_d1_season_match,0
P2b413e3467,2004,,no_d1_season_match,0
P34cc8e28e0,2004,,no_d1_season_match,0
P35d8517b9d,2004,,no_d1_season_match,0
P379acc01ca,2004,,no_d1_season_match,0
P391abc2490,2004,,no_d1_season_match,1
P3dd4b68d3d,2004,29.0,no_d1_season_match,0
P44f5111142,2004,16.0,no_d1_season_match,0
P46af6c0052,2004,45.0,no_d1_season_match,0
P51ef89c5e3,2004,,no_d1_season_match,0
P5246294b22,2004,5.0,no_d1_season_match,1
P5c0fad1503,2004,11.0,no_d1_season_match,0
P6292223fd6,2004,6.0,no_d1_season_match,0
P630cc033c0,2004,,no_d1_season_match,0
P6547eb6540,2004,26.0,no_d1_season_match,0
P679159f4f1,2004,12.0,no_d1_season_match,0
P67b7122a99,2004,15.0,no_d1_season_match,0
P6ce52469e7,2004,,no_d1_season_match,0
P6e6444ed0f,2004,13.0,no_d1_season_match,0
P7aeaf13cc2,2004,28.0,no_d1_season_match,0
P7d5e80b812,2004,,no_d1_season_match,0
P80665441e6,2004,,no_d1_season_match,2
P8176cc6d95,2004,,no_d1_season_match,0
P8438cd9418,2004,40.0,no_d1_season_match,0
P868c4004ba,2004,,no_d1_season_match,0
P8abebd0da5,2004,7.0,no_d1_season_match,0
P8cdc1bb5f1,2004,,no_d1_season_match,0
P8eebd87e26,2004,35.0,no_d1_season_match,0
P92a5884e77,2004,46.0,no_d1_season_match,0
P977a8945dd,2004,10.0,no_d1_season_match,0
P984d62c606,2004,33.0,no_d1_season_match,0
Paf7b3d5c90,2004,37.0,no_d1_season_match,0
Pb3e080e381,2004,38.0,no_d1_season_match,0
Pbc201d669f,2004,34.0,no_d1_season_match,0
Pbc9cc4070d,2004,23.0,no_d1_season_match,0
Pc02213b2fe,2004,31.0,no_d1_season_match,0
Pc7cce81961,2004,,no_d1_season_match,0
Pc9a523c1e4,2004,19.0,no_d1_season_match,0
Pcc92138fb2,2004,36.0,no_d1_season_match,0
Pcca6045f01,2004,14.0,no_d1_season_match,0
Pcdb1e8afaa,2004,8.0,no_d1_season_match,0
Pd2c0348ebe,2004,47.0,no_d1_season_match,0
Pd353deb783,2004,4.0,no_d1_season_match,0
Pd53814d6fa,2004,,no_d1_season_match,0
Pd6e783f74c,2004,,no_d1_season_match,0
Pddd42c77c5,2004,,no_d1_season_match,0
Pe4a9ff24c9,2004,22.0,no_d1_season_match,0
Pe4ea2d8948,2004,53.0,no_d1_season_match,0
Pe6c8b117c8,2004,25.0,no_d1_season_match,0
Pec20f0f060,2004,3.0,no_d1_season_match,0
Pf2b6b60b16,2004,55.0,no_d1_season_match,1
Pfa91aaf1ef,2004,50.0,no_d1_season_match,0
Pfb5ad97400,2004,2.0,no_d1_season_match,1
Pff029e3151,2004,9.0,no_d1_season_match,0
Pffd0721d82,2004,32.0,no_d1_season_match,0
P01bc9a886e,2005,42.0,no_d1_season_match,0
P023105521e,2005,,no_d1_season_match,0
P063b0ea350,2005,,no_d1_season_match,0
P0820723beb,2005,58.0,no_d1_season_match,0
