pid,wk_has_article,wk_article_identity_ok,wk_has_predraft_rev,wk_nba_relative,wk_nba_relative_seasons_pre_draft,wk_n_relatives_pro_any_sport,wk_relative_is_parent,wk_relative_is_sibling,wk_hs_multisport,wk_hs_football,wk_hs_track,wk_n_hs_sports,wk_prep_year,wk_reclassified,wk_reclass_direction,wk_juco,wk_n_colleges,wk_transferred,wk_hs_transferred,wk_hs_class_year,wk_hs_class_year_src,wk_cohort_offset_days,wk_reclass_up_flag,wk_reclass_down_flag,wk_years_hs_to_draft,wk_birthdate_src,wk_birth_country_id,wk_born_outside_usa,wk_birth_state_id,wk_left_handed,wk_inj_sev3,wk_inj_sev2,wk_inj_sev1,wk_n_surgeries,wk_inj_recency_seasons,wk_inj_any
P00193b3ed9,1,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,1,0,0,2012,1,-293,1,0,1,1,124,1,,,0,0,0,0,,0
P002581103b,1,1,0,0,0,0,0,0,,,,,0,0,,0,1,0,,1999,3,,,,2,,840,0,13,,,,,,,
P0029c9d3a9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,2010,3,,,,5,,191,1,,,,,,,,
P0035c2f0b3,1,1,1,1,19,1,1,0,0,0,0,0,0,0,,0,1,0,1,2022,1,-109,0,0,1,1,840,0,17,,0,0,1,0,4,1
P004efe3965,1,1,1,0,0,0,0,0,,,,,0,0,,0,1,0,,2013,3,,,,5,,840,0,37,,0,0,0,0,,0
P0057628fa2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,2017,3,,,,4,,840,0,53,,0,0,0,0,,0
P007123cefb,1,1,1,1,2,0,0,1,0,0,0,0,0,0,,0,1,0,0,2018,1,-47,0,0,2,2,840,0,29,,1,1,0,0,1,1
P0074b51801,1,1,1,1,4,1,0,0,0,0,0,0,0,0,,0,1,0,0,2005,3,,,,7,,840,0,19,,0,0,0,0,,0
P0086aec335,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,2007,3,,,,2,,840,0,18,,0,0,0,0,,0
P00e7133fc6,1,1,1,0,0,0,0,0,1,1,0,2,0,0,,0,1,0,1,2018,3,,,,1,,840,0,37,1,0,0,1,0,0,1
