pid,draft_year,has_current_article,predraft_status,predraft_rev_ts,predraft_revid,current_fetch_date,draft_cutoff
P00193b3ed9,2013,1,ok,2013-06-27T15:50:02Z,561837776,2026-09-08,2013-06-27T22:00:00Z
P002581103b,2001,1,no_predraft_rev,,,2026-09-08,2001-06-27T22:00:00Z
P0029c9d3a9,2015,1,no_predraft_rev,,,2026-09-08,2015-06-25T22:00:00Z
P0035c2f0b3,2023,1,ok,2023-04-04T18:31:20Z,1148206499,2026-09-08,2023-06-22T22:00:00Z
P004efe3965,2018,1,ok,2018-06-16T22:53:02Z,846182026,2026-09-08,2018-06-21T22:00:00Z
P0057628fa2,2021,1,ok,2021-07-21T22:31:00Z,1034802771,2026-09-08,2021-07-29T22:00:00Z
P007123cefb,2020,1,ok,2020-07-18T19:22:16Z,968339073,2026-09-08,2020-11-18T22:00:00Z
P0074b51801,2012,1,ok,2012-06-26T15:29:01Z,499459381,2026-09-08,2012-06-28T22:00:00Z
P0086aec335,2009,1,ok,2009-05-21T16:38:14Z,291427360,2026-09-08,2009-06-25T22:00:00Z
P00e7133fc6,2019,1,ok,2019-06-20T21:57:56Z,902736525,2026-09-08,2019-06-20T22:00:00Z
P00fdb72e43,2017,1,no_predraft_rev,,,2026-09-08,2017-06-22T22:00:00Z
P01056a0f18,2003,1,no_predraft_rev,,,2026-09-08,2003-06-26T22:00:00Z
P011de6a94b,2026,1,ok,2026-06-24T20:36:51Z,1360971263,2026-09-08,2026-06-24T22:00:00Z
P014b6ed928,2003,1,no_predraft_rev,,,2026-09-08,2003-06-26T22:00:00Z
P0157d20b94,2008,1,ok,2008-06-17T02:59:05Z,219843077,2026-09-08,2008-06-26T22:00:00Z
P017b3a2bee,2022,1,ok,2022-05-24T07:28:58Z,1089513762,2026-09-08,2022-06-23T22:00:00Z
P01a00a5983,2013,1,ok,2013-04-27T07:38:56Z,552388416,2026-09-08,2013-06-27T22:00:00Z
P01bc9a886e,2005,1,no_predraft_rev,,,2026-09-08,2005-06-28T22:00:00Z
P01dc454b71,2026,1,ok,2026-06-20T06:16:07Z,1360253765,2026-09-08,2026-06-24T22:00:00Z
P01fc763e95,2002,1,no_predraft_rev,,,2026-09-08,2002-06-26T22:00:00Z
P021e6add75,2002,1,no_predraft_rev,,,2026-09-08,2002-06-26T22:00:00Z
P023105521e,2005,1,no_predraft_rev,,,2026-09-08,2005-06-28T22:00:00Z
P0234a21988,2022,1,ok,2022-06-19T20:28:06Z,1093942112,2026-09-08,2022-06-23T22:00:00Z
P023bbe5ec1,2019,1,ok,2019-06-07T12:33:36Z,900760040,2026-09-08,2019-06-20T22:00:00Z
P0252f7ff7f,2023,1,no_predraft_rev,,,2026-09-08,2023-06-22T22:00:00Z
