pid,draft_year,article_birth_year,reason
P04b95b58e0,2020,1986,implausible_age_at_draft
P0c0603520c,2012,1977,implausible_age_at_draft
P0d50e77b95,2004,2003,implausible_age_at_draft
P0f2f594f0f,2011,1960,implausible_age_at_draft
P13a0e44cab,2011,1947,implausible_age_at_draft
P156589bd1a,2006,1968,implausible_age_at_draft
P2dd8b69701,2020,1950,implausible_age_at_draft
P3765a7e186,2006,1961,implausible_age_at_draft
P379acc01ca,2004,1961,implausible_age_at_draft
P391abc2490,2004,2001,implausible_age_at_draft
P43bb69ceef,2025,1978,implausible_age_at_draft
P452df756e1,2021,1973,implausible_age_at_draft
P4722b5d5ff,2020,1961,implausible_age_at_draft
P488064c36d,2013,1967,implausible_age_at_draft
P55b27de869,2005,1953,implausible_age_at_draft
P6358a22feb,2017,2001,implausible_age_at_draft
P6c17983aad,2000,1997,implausible_age_at_draft
P6d59a1d0fb,2009,1964,implausible_age_at_draft
P820aca19f1,2001,1990,implausible_age_at_draft
P8943f8c99a,2020,1987,implausible_age_at_draft
P93a0142eda,2022,1976,implausible_age_at_draft
Pa5a2a6e8b9,2000,1993,implausible_age_at_draft
Pb047bb4747,2008,1972,implausible_age_at_draft
Pb172e7dcfc,2012,1960,implausible_age_at_draft
Pc4f35f8bd3,2020,1932,implausible_age_at_draft
Pc5a3285209,2001,2009,implausible_age_at_draft
Pd764197a9d,2000,2003,implausible_age_at_draft
Pe4baee43bf,2006,1951,implausible_age_at_draft
Peb1d9a0135,2009,1993,implausible_age_at_draft
Pef77516e2b,2009,1956,implausible_age_at_draft
Pf54b3f87be,2021,1973,implausible_age_at_draft
Pfc89c2e5d3,2021,1982,implausible_age_at_draft
Pfe47889811,2021,1955,implausible_age_at_draft
