,,,,,,,,,,* denotes 5th yr player,
RSCI,Chg,,AS,HS,PS,FS,Total,Ht,Pos,City,College
1,,Al Harrington,2,1,1,1,399,6-8,PF ,"Elizabeth, NJ",NBA
2,,Rashard Lewis,1,3,2,2,396,6-9,C,"Alief, TX",NBA
3,,Korleone Young,7,2,3,3,389,6-7,PF,"Chatham, VA",NBA
4,,Dan Gadzuric,6,5,6,5,382,6-11,C,"Byfield, MA",UCLA
5,,Stromile Swift,11,4,4,6,379,6-8,C,"Shreveport, LA",LSU
6,,Ronald Curry,12,7,9,4,372,6-3,PG,"Hampton, VA",North Carolina
7,,Jaron Rush,3,17,7,9,368,6-6,WF,"Kansas City, MO",UCLA
8,2,Joel Pryzbilla,4,6,20,7,367,7-0,C,"Montecello, MN",Minnesota
9,-1,Quinten Richardson,8,8,14,8,366,6-5,WF,"Chicago, IL",DePaul
10,-2,Jason Capel,5,24,5,10,360,6-7,WF,"Frederick, MD",North Carolina
11,-1,Vincent Yarbrough,10,20,11,11,352,6-6,WF,"Cleveland, TN",Tennessee
12,,Tayshaun Prince,18,9,16,15,346,6-8,WF,"Compton, CA",Kentucky
13,3,Michael Miller,9,21,21,14,339,6-8,WF,"Mitchell, SD",Florida
14,1,Dane Fife,23,15,15,18,333,6-4,G,"Clarkston, MI",Indiana
14,4,Kevin Lyde,15,16,23,17,333,6-10,PF-C,"Mouth of Wilson, VA",Temple
16,-3,Ray Young,13,11,27,22,331,6-5,2G,"Alameda, CA",UCLA
16,-2,Corey Maggette,19,18,12,24,331,6-5,WF,"Oak Park, IL",Duke
18,-1,Corey Hightower,26,10,19,21,328,6-6,WF,"Durham, NC",Indian Hills CC
19,1,Keyon Dooling,14,36,18,19,317,6-2,PG,"Ft. Lauderdale, FL",Missouri
20,,Ted Dupay,35,12,22,20,315,5-10,PG,"Cape Coral, FL",Florida
21,-2,Frank Williams,30,22,28,12,312,6-3,PG,"Peoria, IL",Illinois
22,,Kris Lang,28,26,26,23,301,6-9,PF,"Gastonia, NC",North Carolina
23,1,Anthony Glover,25,13,25,41,300,6-5,PF,"New York, NY",St. John's
24,2,Lance Williams,50,25,17,28,284,6-9,PF-C,"Chicago, IL",DePaul
25,-2,Adam Harrington,22,31,40,30,281,6-4,2G,"Northfield, MA",NC State
26,6,Bobby Simmons,46,19,37,34,268,6-6,WF,"Chicago, IL",DePaul
27,1,Danny Miller,24,27,52,35,266,6-6,WF,"Mt. Holly, NJ",Maryland
28,5,Lloyd Price,20,23,24,76,261,6-5,WF,"Newark, DE",Xavier
29,1,Eric Barkley*,17,,10,16,260,5-11,PG,"Pittsfield, ME",St. John's
29,10,Michael Wright,16,52,30,46,260,6-8,PF,"Chicago, IL",Arizona
31,-5,Jules Camara,44,35,42,26,257,6-11,PF-C,"Mouth of Wilson, VA",Kentucky
32,-7,Antonio Latimer,58,28,38,25,255,6-8,PF,"Miami, FL",DePaul
33,-4,Robert Jackson,49,30,43,32,250,6-8,PF,"Milwaukee, WS",Mississippi St.
33,2,Richard Jefferson,21,46,58,29,250,6-7,WF,"Phoenix, AZ",Arizona
35,-4,B.B. Waldon,32,29,49,45,249,6-7,PF,"Lakeland, FL",South Florida
36,8,Douglas Wrenn,76,14,44,27,243,6-7,WF,"Seattle, WA",prep school
37,-3,Ronald Blackshear,29,45,48,40,242,6-3,2G,"Camilla, GA",prep school
37,-1,Rasual Butler,47,37,36,42,242,6-7,WF,"Philadelphia, PA",LaSalle
39,,Tony Bland,59,41,32,36,236,6-5,2G,"Los Angeles, CA",Syracuse
40,-3,Jeff Boschee,34,43,47,47,233,6-1,PG,"Valley City, ND",Kansas
41,1,Travis Robinson,67,38,35,33,231,6-7,WF,"Durham, NC",Missouri
42,-1,Tony Kitchings,41,40,50,43,230,6-9,C,"Aiken, SC",South Carolina
43,-6,Paris London,70,32,41,44,217,6-7,F,"Memphis, TN",Memphis
43,,Ruben Douglas,45,58,46,38,217,6-5,2G,"Burbank, CA",Arizona
45,-1,Joey Range,33,,33,31,206,6-5,WF,"Galesburg, IL",Iowa
46,12,Troy Murphy,27,66,39,69,203,6-9,PF,"Morristown, NJ",Notre Dame
46,,Fred Primus,73,48,31,49,203,6-4,2G,"Washington, DC",Pittsburgh
48,-1,Jose Winston,54,42,55,55,198,5-11,PG,"Milwaukee, WI",Colorado
49,1,Sam Clancy,38,69,51,54,192,6-7,PF,"Cleveland, OH",Southern Cal
50,1,Brandon Dean,37,50,70,58,189,6-0,PG,"Monroe, LA",Arkansas
51,-3,Eugene Land,42,70,66,39,187,6-7,PF,"Cincinnati, OH",Cincinnati
52,-3,Chris Richardson,69,34,73,48,180,6-7,WF,"Carroll, TX",UNLV
53,-1,Ladarius Halton,39,54,57,79,175,6-4,2G,"New Smyrna, FL",Florida
54,,Fred Jones,66,33,90,53,162,6-4,2G,"Gresham, OR",Oregon
54,-1,Matt Barnes,71,53,54,64,162,6-7,WF,"Fair Oaks, CA",UCLA
56,1,Tony Akins,43,55,77,70,159,6-0,PG,"Lilburn, GA",Georgia Tech
57,-2,Broderick Hicks,56,78,63,50,157,6-0,PG,"Houston, TX",Wake Forest
58,17,Darius Songaila,,,34,13,155,6-9,PF,"New Hampton, NH",Wake Forest
59,5,Kevin Braswell,40,72,83,61,148,6-1,PG,"Pittsfield, ME",Georgetown
60,-4,DeAngelo McDaniel,82,49,71,60,142,6-9,PF,"Oklahoma City, OK",Tulsa
61,4,Desmond Allison,48,,64,56,135,6-5,WF,"Tampa, FL",Kentucky
62,-3,Clarence Gilbert,84,39,72,80,129,6-1,2G,"Ft. Lauderdale, FL",Missouri
63,-2,D. A. Layne,64,,61,52,126,6-2,2G,"Marietta, GA",Georgia
64,-3,Keith Bean,65,71,92,51,125,6-8,PF,"Pittsfield, ME",NC State
64,2,Bobby Smith,55,,56,67,125,6-2,PG,"East Chicago, IN",Villanova
66,-6,Ernest Brown,,82,65,37,119,6-11,C,"Cheshire, CT",St. John's
67,5,Cedric Taylor,31,73,81,,118,6-8,PF,"Houston, TX",Houston
67,1,Ricky Anderson,,44,84,57,118,6-8,PF,"Long Beach, CA",Arizona
69,-6,Louis Truscott,63,63,97,68,113,6-6,PF,"Columbia, TX",Nebraska
70,-3,Craig Dawson,94,,45,62,102,6-5,2G,"Kinston, NC",Wake Forest
71,,Luke Walton,36,96,74,100,98,6-8,PF,"San Diego, CA",Arizona
72,3,Desmond Herod,74,94,62,77,97,6-5,WF,"Brooklyn, NY",UNLV
72,1,Udonis Haslem,78,65,,63,97,6-9,C,"Miami, FL",Florida
74,-6,Scott Clark,,67,60,81,95,6-4,2G,"Charlestown, MA",Massachusetts
75,new,Jerome Moiso*,,,8,,93,6-11,PF,"Milford, CT",UCLA
76,-6,Antwan Scott,88,80,79,65,92,6-8,PF,"Mouth of Wilson, VA",Wake Forest
77,3,J.R. Van Hoose,86,95,59,75,89,6-8,PF,"Paintsville, KY",Marshall
78,-4,Shea Cotton*,,,13,,88,6-5,WF,"Oakdale, CT",NC State
79,-4,David Hamilton,,47,,71,84,6-9,PF,"Compton, CA",Auburn
80,-2,Lonnie Baxter,80,,76,66,81,6-8,PF-C,"Washington, DC",Maryland
81,-2,Kueth Duany,87,64,,72,80,6-5,WF,"Bloomington, IN",Syracuse
82,-1,Traves Wilson,68,68,,91,76,6-2,G,"Moline, IL",Arizona
82,new,John Salmons,,76,67,84,76,6-6,WF,"Plymouth Meeting, PA",Miami (FL)
82,-1,Steve Bynes,53,92,,82,76,6-8,PF,"Ft. Lauderdale, FL",Tallahassee JC
85,-2,Ajou Ajou Deng,89,,80,59,75,6-11,C,"Oakdale, CT",Connecticut
86,3,Tyrus Boswell,,,29,,72,6-8,PF,"Winchendon, MA",Mississippi St.
87,-2,Chris Jefferies,57,90,,87,69,6-7,WF,"Fresno, CA",Arkansas
88,-1,Marqus Ledoux,,51,95,89,68,6-7,PF,"Baton Rouge, LA",LSU
88,-2,David Graves,51,,,83,68,6-6,WF,"Lexington, KY",Notre Dame
90,-6,Damon Hancock,90,98,69,86,61,6-4,PG,"Lancaster, TX",SMU
91,-4,Dahntey Jones,83,61,,99,60,6-6,WF,"Hamilton, NJ",Rutgers
92,-1,Dennis Gates,,59,,85,58,6-4,SG,"Chicago, IL",California
93,-1,Mack McGradney,,56,,92,54,6-7,WF,"Mobile, AL",Auburn
94,-1,Jermaine Williams,62,91,,97,53,6-6,2G,"Baton Rouge, LA",LSU
95,,Kyle Hornsby,93,57,,,52,6-5,WF,"Anacoca, LA",Indiana
96,1,Donte Smith,52,,,,49,6-2,G,"Washington, DC",California
97,new,Dennis Nathan,,,53,,48,6-5,G,"Renton, WA",Oregon
98,new,Sam Haginas,60,,99,,43,6-8,C-F,"Mobile, AL",Alabama
98,new,Aaron Matthews,96,,86,78,43,6-5,,"Fitchburg, MA",Villanova
100,new,Brian Brown,,60,,,41,6-3,WF,"Brooklyn, NY",Ohio State
