,,13-Jun-99,,,,,,,,,,,* denotes 5th yr or prep school player,
RSCI,Chg,,HS,PS,AS,RU,IR,FC,RB,Total,Ht,Pos,City,College
1,1,Donnell Harvey,1,1,10,3,3,3,3,683,6-7,PF,"Cuthbert, GA",Florida
2,-1,Keith Bogans,2,18,5,2,6,1,2,671,6-4,2G,"Hyattsville, MD",Kentucky
3,1,Jason Williams,5,2,15,4,14,2,4,661,6-2,PG,"Metchum, NJ",Duke
4,1,Joe Forte,12,13,3,6,5,11,9,648,6-4,2G,"Hyattsville, MD",North Carolina
5,-2,Marvin Stone,4,20,9,5,11,5,8,645,6-10,PF-C,"Huntsville, AL",Kentucky
6,,LaVell Blanchard,8,17,1,25,1,16,13,626,6-6,WF,"Ann Arbor, MI",Michigan
7,,Brett Nelson,11,9,16,22,16,6,5,622,6-3,PG,"St. Albans, WV",Florida
8,,Carlos Boozer,7,10,29,13,10,9,12,617,6-9,PF,"Juneau, AK",Duke
8,3,Jonathan Bender,38,7,4,7,2,25,7,617,6-11,PF,"Picayune, MS",NBA
10,,Jason Kapono,13,5,17,16,9,17,16,614,6-8,WF,"Lakewood, CA",UCLA
11,,Damien Wilkins,33,4,8,14,8,8,22,610,6-6,WF,"Orlando, FL",NC State
12,-3,Leon Smith,14,16,21,12,17,7,18,602,6-10,C,"Chicago, Il",NBA
13,2,Kenny Satterfield,3,11,19,9,31,20,15,599,6-2,2G,"New York, NY",Cincinnati
14,2,Jason Richardson,17,6,7,35,7,27,21,587,6-5,2G-WF,"Saginaw, MI",Michigan State
15,-2,Jason Parker,20,8,27,10,28,12,17,585,6-8,C,"Charlotte, NC",North Carolina
16,-2,Casey Sanders,10,14,32,26,18,14,19,574,6-11,C,"Tampa, FL",Duke
17,1,DerMarr Johnson*,,3,13,1,13,4,1,571,6-9,WF,"Pittsfield, ME",Cincannati
18,-1,Jason Gardner,16,19,25,18,21,21,26,561,5-10,PG,"Indianapolis, IN",Arizona
18,,Casey Jacobson,15,12,42,27,24,15,11,561,6-6,WF,"Glendora, CA",Stanford
20,,Brian Cook,22,15,52,8,29,18,20,543,6-10,PF,"Lincoln, IL",Illinois
21,,Andrew Gooden,28,26,11,51,12,22,32,525,6-9,PF-C,"El Cerrito, CA",Kansas
22,,Nick Collison,27,23,2,61,4,36,34,520,6-9,PF,"Iowa Falls, IA",Kansas
23,,Majestic Mapp,19,31,14,41,20,34,33,515,6-1,PG,"Bronx, NY",Virginia
24,4,Kevin Gaines,9,25,35,44,36,19,25,514,6-3,PG,"Las Vegas, NV",Michigan
25,,Joe Johnson,26,45,22,47,25,23,6,513,6-6,WF,"Little Rock, AR",Arkansas
26,-3,Michael Dunleavy,40,30,6,19,19,31,55,507,6-6,WF,"Portland, OR",Duke
27,,Rod Grizzard,21,36,39,17,40,29,27,498,6-7,2G-WF,"Birmingham, AL",Alabama
28,2,Travis Watson,18,22,20,38,22,54,37,496,6-7,PF,"Mouth of Wilson, VA",Virginia
29,-4,Samuel Dalembert,50,29,23,23,26,32,30,494,6-11,C,"Elizabeth, NJ",Seton Hall
30,1,George Williams,25,44,24,56,27,28,36,467,6-7,WF,"Sugar Land, TX",Houston
30,-1,Donnell Knight,30,41,33,62,34,26,14,467,6-8,PF,"Phoenix, AZ",Arizona State
32,1,Tony Robertson*,,24,47,36,15,13,10,461,6-3,PG-2G,"Barrington, RI",Connecticut
33,-1,Marshall Williams,31,42,34,20,59,47,24,450,6-5,WF,"Milwaukee, WI",NC State
34,,Kareem Rush,91,21,57,40,23,10,23,442,6-6,2G-WF,"Kansas City, MO",Missouri
35,,Chuck Eidson,46,33,12,42,33,61,39,441,6-7,WF,"Summerville, SC",South Carolina
36,1,Steve Hunter,43,59,28,15,57,35,64,406,6-11,C,"Maywood, IL",DePaul
37,5,Roger Mason,32,39,59,45,50,39,40,403,6-4,2G,"Wheaton, MD",Virginia
38,,Matt Bonner,51,34,49,52,32,37,54,398,6-9,PF,"Concord, NH",Florida
39,,Reese Gaines,45,62,58,21,39,48,46,388,6-5,2G,"Madison, WI",Louisville
40,,Matt Carroll,37,50,30,70,42,62,47,369,6-6,WF,"Horsham,PA ",Notre Dame
