,,29-Jul-00,,,,,,,,* denotes 5th yr or prep school player,
RSCI,Chg,,HS,PS,AS,DT,Total,Ht,Pos,City,College
1,8,Zach Randolph,1,3,1,2,397,6-8,C-PF,"Marion, IN",Michigan State
2,-1,Eddie Griffin,5,2,2,1,394,6-8,PF,"Philadelphia, PA",Seton Hall
3,3,Darius Miles,2,5,3,4,390,6-9,PF-WF,"East St. Louis, IL",NBA
4,-2,Gerald Wallace,7,1,4,3,389,6-7,WF,"Childersburg, AL",Alabama
5,-2,Marcus Taylor,4,7,5,8,380,6-3,PG,"Lansing, MI",Michigan State
6,-2,DeShawn Stevenson,9,4,7,6,378,6-5,2G,"Fresno, CA",NBA
6,1,Chris Duhon,3,10,6,7,378,6-1,PG,"Slidell, LA",Duke
8,3,Mario Austin,8,12,8,12,364,6-9,C,"York, AL",Mississippi St.
9,-4,Jared Jefferies,14,9,10,10,361,6-9,PF,"Bloomington, IN",Indiana
10,6,Taliek Brown,10,15,11,13,355,6-1,PG,"Astoria, NY",Connecticut
11,4,Andre Brown,16,11,9,15,353,6-8,PF-C,"Chicago, IL",DePaul
11,-1,Omar Cook,11,14,15,11,353,6-1,PG,"Middle Village, NY",St. John's
13,-6,Jerome Harper,13,13,13,14,351,6-5,2G,"Limestone, TN",Juco
14, ,Alton Ford,17,16,12,16,343,6-9,C,"Houston, TX",Houston
15,-3,Andre Barrett,6,19,20,18,341,5-9,PG,"New York, NY",Seton Hall
16,4,Darius Rice,12,17,16,19,340,6-9,WF,"Jackson, MS",Miami (FL)
17, ,Abdou Diame,22,22,14,21,325,6-9,PF-C,"Mouth of Wilson, VA",Auburn
18,1,Imari Sawyer,19,28,19,22,316,6-1,PG,"Chicago, IL",DePaul
19,-6,Rolando Howell,32,18,28,17,309,6-9,PF-C,"Hopkins, SC",South Carolina
19,31,Cedric Banks,15,24,29,27,309,6-3,2G,"Chicago, IL",Loyola-Chicago
21,-3,Travon Bryant,20,21,32,23,308,6-8,PF,"Long Beach, CA",Missouri
22,1,Justin Reed,24,25,26,24,305,6-7,WF-PF,"Jackson, MS",Mississippi
23,-2,Chris Wilcox,28,31,27,20,298,6-9,C,"Raleigh, NC",Maryland
24,8,Brian Morrison,26,32,18,31,297,6-2,2G-PG,"Kirkland, WA",North Carolina
25,6,Orien Greene,33,23,34,25,289,6-5,PG-2G,"Gainesville, FL",Florida
26,-4,Marcus Toney-El,21,43,25,32,283,6-7,WF,"West Orange, NJ",Seton Hall
27,-1,Glenn Worley,37,27,40,33,267,6-7,PF,"Iowa City, IA",Iowa
28,-4,T.J. Cummings,42,41,36,35,250,6-8,PF,"Flossmoor, IL",UCLA
29,-1,Desmon Farmer,62,30,30,36,246,6-4,2G,"Flint, MI",Southern Cal
30,-3,Nick Anderson,45,36,49,29,245,6-7,PF,"Baton Rouge, LA",Texas A&M
31,-1,Garner Meads,29,45,60,34,236,6-8,PF,"Salt Lake City, UT",BYU
32,1,Ricky Paulding,34,56,42,39,233,6-5,2G-WF,"Detroit, MI",Missouri
33,7,Adam Boone,54,55,21,48,226,6-2,PG,"Minnetonka, MN",North Carolina
34,8,Mike Sweetney,40,46,51,43,224,6-8,PF,"Oxon Hill, MD",Georgetown
35,-10,Scott Hazelton,43,50,45,56,210,6-7,PF,"Lawrence, MA",Connecticut
36,-2,Cliff Hawkins,84,49,22,40,209,6-1,PG,"Mouth of Wilson, VA",Kentucky
36,37,Ivan McFarlin,30,77,23,65,209,6-8,PF,"Sugarland, TX",Oklahoma State
38,-9,Scooter Sherrill,,26,44,26,207,6-3,2G,"Mt. Ulla, NC",NC State
39,30,Herve Lamizana,69,73,31,30,201,6-9,WF,"Elizabeth, NJ",Rutgers
40,15,Brian Boddicker,,37,17,51,198,6-9,C,"Duncanville, TX",Texas
41,-2,Jared Reiner,48,69,50,46,191,6-11,C,"Tripp, ND",Iowa
41,30,Jason Parker*,,6,,5,191,6-9,C-PF,"Fork Union, VA",Kentucky
43,-5,Arthur Johnson,27,42,,45,189,6-8,PF,"Detroit, MI",Missouri
44,16,Michael Joiner,61,60,33,63,187,6-7,WF-PF,"Fayetteville, NC",Florida State
44,2,Luke Whitehead,38,72,43,64,187,6-6,WF,"Oak Hill, VA",Louisville
44,4,Terrance Crawford,63,61,46,47,187,6-6,WF,"Oklahoma City, OK",Oklahoma State
47,30,Caron Butler*,,8,,9,185,6-6,WF,"Pittsfield, ME",Connecticut
48,37,Eddie Starks*,,34,59,28,182,6-3,2G,"Miami, FL",Rutgers
49,50,Brandon Brooks,25,76,56,66,181,6-0,PG,"Portland, OR",Arizona State
50,-6,Brandon Mouton,70,67,41,55,171,6-5,2G,"Lafayette, LA",Texas
51,3,Brett Buscher,44,80,24,86,170,6-8,PF,"Chesterton, IN",Purdue
52,4,Mohammed Diakite,64,54,68,52,166,6-11,C,"Rockville, MD",St. John's
53,11,Romain Guessagba-Sato,18,,48,75,162,6-4,2G,"Dayton, OH",Xavier
54,-14,Neil Fingleton,,38,62,42,161,7-6,C,"Worcester, MA",North Carolina
55,27,Kendall Dartez,80,29,,38,156,6-10,C,"Cecelia, LA",Juco
56,-20,A.J. Moye,94,63,35,57,155,6-4,WF,"Atlanta, GA",Indiana
57,4,Maurice Young,56,75,53,67,153,6-5,WF,"Fortsville, MD",Virginia
58,8,Jake Sullivan,31,,47,76,149,6-1,2G,"Oakdale, MN",Iowa State
59,-24,Demetrius Smith,77,66,39,74,148,6-3,PG-2G,"Hogansville, Ga",Alabama
60,-3,Matt Lottich,47,68,61,83,145,6-6,WF,"Winnetka, IL",Stanford
61,-9,Marvin Lewis,52,99,52,59,142,6-4,PG,"Rockville, MD",Georgia Tech
61,-14,Modibo Diarra,51,57,,53,142,6-10,PF,"Fitchburg, MA",Memphis
63,-26,Kyle Cuffe,,64,37,62,140,6-8,C-PF,"New York, NY",St. John's
64,8,Omar Weaver*,,35,,37,130,6-8,WF,"Compton, CA",Juco
64,-14,Avery Queen,65,47,,61,130,5-7,PG,"Pittsfield, ME",Michigan
66,21,James Thomas*,,20,,54,128,6-8,PF,"Chatham, VA",Texas
67,-5,Bernard Robinson*,,33,,44,125,6-6,WF,"Washington, DC",Michigan
68,-25,Luke Ridnour,53,100,57,78,116,6-2,PG,"Blaine, WA",Oregon
68,-11,Scooter McFadgon,93,53,,41,116,6-4,2G,"Memphis, TN",Memphis
70,-21,JueMichael Young,68,89,64,68,115,6-2,2G,"Hammond, LA",LSU
71,-1,Dwon Clifton,97,65,63,69,110,6-5,2G,"High Point, NC",Clemson
72,-20,Andrew Zahn,,62,54,80,107,6-9,C,"Redondo Beach, CA",Arizona
72,2,Wesley Stokes,50,81,87,79,107,5-10,PG,"Long Beach, CA",Missouri
74,new,Jeff McMillan*,,51,,50,101,6-8,C-PF,"Oakdale, CT",Fordham
75,25,Billy Richmond,92,58,,60,93,6-5,2G,"Memphis, TN",Vanderbilt
76,new,Tony Stockman,90,52,86,85,91,6-2,PG,"Medina, OH",Clemson
77,new,Liberto Tetimandingar,,40,,72,90,6-3,WF-PF,"Worcester, MA",Fordham
77,15,Nick Smith,,59,84,70,90,7-0,C,"Varrico, FL",Illinois
79,new,Johnny Gilbert,49,,65,,88,6-7,PF,"Minneapolis, MN",Oklahoma
80,18,Keith Triplett,,39,,81,82,6-3,2G,"Toledo, OH",Toledo
81,new,Julian Sensley,23,,,,78,6-8,PF,"Oakdale, CT",California
82,15,Derrick Snowden,66,90,81,90,77,6-0,PG,"Severn, MD",Villanova
82,-16,Lou Wright,,48,,77,77,6-5,WF-2G,"Memphis, TN",Memphis
84,9,Antonio Hargrove,36,,,93,73,6-4,2G-WF,"Durham, NC",VCU
85,-22,Scott Merritt,96,84,66,88,70,6-9,PF-C,"Wauwatosa,WI",Marquette
86,-4,Brandon Crump,57,,80,97,69,6-11,C,"Houston, TX",Tennessee
87,-10,Chris Daniels,55,,79,,68,6-6,WF,"Albany, GA",Georgia
88,-43,Taurence Johnson,35,,,,66,6-8,WF,"Philadelphia, PA",prep school
89,new,Kim Bowers,,,38,,63,6-3,2G,"Gulfport, MS",Mississippi St.
90,-15,David Holmes,39,,,,62,6-6,PF,"Mouth of Wilson, VA",Manhattan
90,4,Tory Reed*,,44,,96,62,6-8,PF,"Kensington, MD",UNC-Charlotte
92,new,Maurice Seawright,71,,,71,60,6-2,PG,"Orchard Lake, MI",Michigan
92,new,Yamar Diene,41,,,,60,6-8,PF,"Poughkeepsie, NY",Rice
94,-10,Patrick Dennehy,59,94,,91,59,6-8,PF,"Mountain View, CA",New Mexico
95,-30,Michael Bell,,70,88,89,56,6-10,PF-WF,"Raleigh, NC",NC State
96,new,Barry Thompson*,46,,,,55,6-7,WF,"Winchendon, MA",
97,-8,Omari Westley,78,,72,,52,6-8,PF,"Kensington, MD",prep school
98,-41,Marcus Melvin,87,91,75,,50,6-9,PF,"Fayetteville, NC",NC State
98,-20,Gerald Riley,,79,,73,50,6-6,WF,"Milledgeville, GA",Georgetown
100,new,Jimmy Baxter,,83,76,95,49,6-5,2G,"Bayonne, NJ",South Florida
