3-Jun-01,,,,,,,,,,,,,,* = 5th year or prep school player,
,,,,,,,,,,,,,,- = preseason rankings only,
RSCI,Chg,,,HS,PS,DT,SN-,FS-,AS,Total,,Ht,Pos,City,College
1, ,,Eddy Curry,6,1,1,1,1,1,595,,6-10,C,"South Holland, IL",NBA
2, ,,Kelvin Torbert,2,4,5,2,1,2,590,,6-4,WG,"Flint, MI",Michigan State
3,-1,,Dejaun Wagner,1,2,3,3,3,5,589,,6-3,PG-WG,"Camden, NJ",Memphis
4,1,,Tyson Chandler,4,6,6,4,4,4,578,,7-0,C,"Compton, CA",NBA
5,-1,,Ousmane Cisse,5,5,8,5,5,3,575,,6-9,PF-C,"Montgomery, AL",NBA
6,5,,Kwame Brown,14,3,2,6,12,7,562,,6-10,C-PF,"Brunswick, GA",NBA
7,-1,,Julius Hodge,3,9,14,7,7,8,558,,6-5,WG-WF,"Bronx, NY",NC State
8,-1,,Desanga Diop,20,7,4,8,10,6,551,,6-11,C,"Mouth of Wilson, VA",NBA
9,1,,Rick Rickert,9,19,9,11,6,10,542,,6-10,PF,"Duluth, MN",Minnesota
10,-1,,David Lee,8,8,11,10,11,20,538,,6-8,PF,"St. Louis, MO",Florida
11,5,,Jawad Williams,17,11,13,13,15,12,525,,6-8,WF,"Lakewood, OH",North Carolina
12, ,,Carlos Hurt,11,15,18,12,13,13,524,,6-2,PG,"Louisville, KY",Louisville
13,2,,David Harrison,19,12,15,16,19,11,514,,6-11,C,"Brentwood, TN",Colorado
13,-5,,Jonathan Hargett,7,17,7,9,9,43,514,,6-1,PG,"Durham, NC",West Virginia
15,-2,,Aaron Miles,16,28,20,15,8,9,510,,6-0,PG,"Portland, OR",Kansas
16,-2,,Maurice Williams,21,22,16,14,16,14,503,,6-0,PG,"Jackson, MS",Alabama
17,2,,T.J. Ford,15,14,10,23,24,26,494,,5-10,PG,"Sugarland, TX",Texas
18,-1,,Josh Childress,12,24,26,18,18,16,492,,6-5,WF-WG,"Lakewood, CA",Stanford
19,1,,Cedric Bozeman,13,20,22,22,17,24,488,,6-4,WG-PG,"Santa Ana, CA",UCLA
20,1,,Wayne Simien,30,16,19,21,21,15,484,,6-9,PF,"Leavenworth, KS",Kansas
21,-3,,Rashaad Carruth,18,32,24,19,22,31,460,,6-3,WG,"Mouth of Wilson, VA",Kentucky
22,7,,James White*,,10,12,17,14,17,435,,6-7,WF,"Chatham, VA",Florida
23,-1,,Jamal Sampson,33,35,23,26,28,28,433,,6-10,C,"Santa Ana, CA",California
24,18,,John Allen ,10,13,21,52,54,29,427,,6-5,WF-WG,"Coatesville, PA",Seton Hall
25, ,,Jackie Manuel,47,30,27,24,23,36,419,,6-5,WG-WF,"West Palm Beach, FL",North Carolina
26,-2,,Anthony Richardson,48,27,32,28,38,18,415,,6-6,WF,"Raleigh, NC",Florida State
26,13,,JaQuan Hart,31,43,29,37,26,25,415,,6-5,WG-PG,"Flint, MI",Michigan
28,-2,,Dijon Thompson,25,33,36,27,40,35,410,,6-6,WG,"Redondo Beach, CA",UCLA
29,-6,,Daniel Ewing,32,31,33,29,33,47,401,,6-3,WG,"Sugarland, TX",Duke
30,5,,Alan Anderson,35,48,30,44,29,22,398,,6-6,WF-WG,"Minneapolis, MN",Michigan State
31,2,,Dennis Latimore,42,41,28,32,39,34,390,,6-9,PF,"Halstead, KS",Arizona
32,9,,Jason Maxiell,24,42,61,51,30,19,379,,6-8,PF,"Carrolton, TX",Cincinnati
32,6,,Pierre Pierce,44,36,38,36,34,39,379,,6-3,PG-WG,"Westmont, IL",Iowa
34,9,,Chris Thomas,46,26,35,40,47,37,375,,6-0,PG,"Indianapolis, IN",Notre Dame
34,-7,,Robert Whaley,52,34,48,25,27,45,375,,6-10,C-PF,"Benton Harbor, MI",Missouri
36,10,,Billy Edelin,40,38,39,42,53,23,371,,6-3,PG-WG,"Mouth of Wilson, VA",Syracuse
37,-1,,Melvin Scott,61,25,41,31,51,27,370,,6-2,PG-WG,"Baltimore, MD",North Carolina
38,-6,,Elton Brown,37,50,44,34,35,46,360,,6-8,PF,"Newport News, VA",Virginia
39,-11,,Andre Patterson,28,29,52,38,25,76,358,,6-7,WF,"Los Angeles, CA",UCLA
40,7,,Travis Diener,41,71,37,45,32,33,347,,6-1,PG,"Fon du Lac, WI",Marquette
41,-1,,Ben Gordon,55,61,34,33,46,42,335,,6-1,WG-PG,"Mount Vernon, NY",Connecticut
42,-11,,Julian Sensley*,,18,17,20,20,,329,,6-8,PF-WF,"Oakdale, CT",California
42,-12,,Dommanic Ingerson,23,23,58,41,31,,329,,6-4,WG,"Santa Barbara, CA",Michigan
44, ,,Brandon Bender,22,40,31,35,55,100,323,,6-9,PF-C,"Louisville, KY",Louisville
45,8,,Brandon Fuss-Cheatam,36,58,50,56,59,32,315,,5-11,PG,"Beaver Falls, PA",Ohio State
46,12,,Chuck Hayes,80,44,25,50,49,48,310,,6-6,PF-WF,"Modesto, CA",Kentucky
47,9,,Earnest Shelton,54,52,42,48,58,50,302,,6-3,WG,"Memphis, TN",Alabama
48,-14,,Charles Frederick,26,54,45,47,36,,297,,6-0,PG,"Boca Raton, FL",Washington
49, ,,Ed Nelson,68,21,73,49,45,59,291,,6-7,PF,"Ft. Lauderdale, FL",Georgia Tech
50,-1,,Jamal Levy,29,47,76,67,44,53,290,,6-8,WF-PF,"Homestead, FL",Wake Forest
50,1,,Quemont Greer,57,37,63,53,48,58,290,,6-6,WF-PF,"Homestead, FL",DePaul
52,3,,Keith Jackson,,51,62,39,42,44,267,,6-5,WF,"Cincinnati, OH",Xavier
53,29,,Will Bynum,56,55,59,79,71,40,246,,5-10,PG,"Chicago, IL",Arizona
53,4,,Marco Killingsworth,49,69,71,60,50,61,246,,6-6,PF,"Durham, NC",Auburn
55,-7,,Greg Tinch,77,60,56,43,63,68,239,,6-5,WF,"Albany, GA",Louisville
55,11,,Chey Christie,38,39,65,84,64,77,239,,6-3,WG,"Biloxi, MS",Clemson
55,-3,,Tony Key,51,56,40,62,57,,239,,6-10,C,"Compton, CA",NBA
58,-22,,Najeeb Echols,58,59,84,30,37,,237,,6-6,WF,"Chicago, IL",Missouri
59,1,,Dwayne Mitchell,27,82,93,57,60,54,233,,6-4,WG-WF,"Marrero, LA",Auburn
60,8,,Levi Watkins,91,46,64,70,61,49,225,,6-7,WF,"Rockville, MD",NC State
61,9,,Matt Sylvester,60,74,47,74,93,38,220,,6-7,WF,"Cincinnati, OH",Ohio State
62,-1,,Roger Powell,79,63,83,58,56,51,216,,6-6,WF,"Joliet, IL",Illinois
63,-18,,Harvey Thomas,50,53,91,55,41,,215,,6-8,PF,"Rockville, MD",Georgetown
64,-5,,Levar Seals,67,88,54,54,66,84,193,,6-3,WG,"Chicago, IL",DePaul
65,-1,,Josh Powell,95,70,51,46,69,83,192,,6-9,PF,"Riverdale, GA",NC State
66,24,,Marcellus Sommerville,,57,66,85,85,21,191,,6-6,WF,Peoria IL,Iowa
67,-13,,Duane John,65,62,60,73,62,,183,,6-6,WF,"Homestead, FL",Missouri
68,1,,Errick Craven,64,73,,61,75,62,170,,6-2,WG-PG,"Torrance, CA",USC
69,-8,,Salim Stoudamire,62,65,69,59,81,,169,,6-0,PG-WG,"Portland, OR",Arizona
70,-7,,Robert Little,92,86,43,63,77,95,150,,6-9,C,"Fairfax, VA",Stanford
71,-4,,Larry Turner,99,72,70,65,72,79,149,,6-10,C,"Milledgeville, GA",Georgia
72,5,,Anthony Vasser,,87,67,77,76,52,146,,6-6,WF,"Birmingham, AL",Georgia Tech
72,-7,,Marcus Spears,59,89,79,64,68,,146,,6-5,WF,"Baton Rouge, LA",LSU
74, ,,Is'mail Muhammed,,45,49,68,,,141,,6-5,WF,"Atlanta, GA",Georgia Tech
75,-3,,Marcus Campbell,,,57,69,70,69,139,,7-0,C,"Albany, GA",Mississippi St.
76,9,,Anthony Rice,39,85,,,87,56,137,,6-4,WG,"Atlanta, GA",Memphis
77,-4,,Winsome Frazier,43,,,72,52,,136,,6-5,WF,"Miami, FL",Mississippi St.
78,-2,,Jamaal Williams,76,76,82,76,74,94,128,,6-6,PF,"Corona, CA",New Mexico
79,-1,,Craig Forth,96,84,53,82,65,,125,,7-0,C,"East Greenbush, NY",Syracuse
80,1,,Erroll Knight,93,81,72,71,94,73,122,,6-5,WF,"Seattle, WA",Washington
80,-5,,Ernest Turner,73,77,85,86,78,85,122,,6-2,WG,"Somerdale, NJ",UNLV
82,-11,,Taurance Johnson*,,64,,78,43,,118,,6-9,PF-WF,"Collingswood, NJ",Florida Intl.
83,15,,Mitchell Baldwin,,75,100,95,90,30,115,,6-2,WG-PG,"Winston-Salem, NC",UNC-Charlotte
84,-5,,Ed Basden,87,,68,83,73,88,106,,6-5,WG-WF,"Greenbelt, MD",UNC-Charlotte
85,10,,Vytas Danelius,72,66,,,,60,105,,6-7,WF,"Indianapolis, IN",Wake Forest
86,,,Jermaine Watson,,49,55,,,,98,,6-2,PG-WG,"Marion, MA",Boston College
87,4,,Lawrence Roberts,63,92,81,,86,87,96,,6-9,C,"Houston, TX",Baylor
87,-7,,Channing Frye,,67,,75,67,99,96,,6-10,C,"Phoenix, AZ",Arizona
89,,,Derek Stribling,,,46,,,67,89,,6-5,WF,"Tallahassee, FL",Tennessee
90,-7,,Mike Jensen,81,,,66,,71,85,,6-8,PF,"Kent, WA",Washington
91,,,Keith Langford,70,94,,,,55,84,,6-4,WG,"Fort Worth, TX",Kansas
92,,,Jason Clark,,79,,,,41,82,,6-8,PF,"Chatham, VA",Virginia
92, ,,Jason Braxton,45,,,,,75,82,,6-1,PG,"Moreno Valley, CA",Arizona State
94,,,Marcus Austin,71,,,,88,63,81,,6-9,PF,"Elizabeth, NJ",Villanova
94,2,,Chris Hernandez,53,90,87,97,,97,81,,6-2,PG,"Fresno, CA",Stanford
96,-12,,Terry Licorish,34,,,,100,,68,,6-9,PF,"Durham, NC",
97,-9,,Barry Elder,,78,97,88,84,91,67,,6-5,WG,"Madison, GA",Georgia Tech
98,-13,,Carl Krauser*,,68,,90,79,,66,,6-1,PG-WG,"Oakdale, CT",Pittsburgh
99,,,Emeka Okafor,,80,77,87,,,59,,6-9,C,"Bellaire, TX",Connecticut
100,-11,,Michael Fey,,,88,80,80,,55,,6-10,C,"Olympia, WA",UCLA
