,,,,,Rankings from: June 2007,,,,,,,,,,,,,* - denotes 5th year or prep school player,
,,,,,,,,!,,!,!,!,!,,,,,! - updated rankings,
RSCI,Chg,Avg,Dev,,,5yr,HS,RC,HM,DT,PS,RH,AS,Total,,Ht,Pos,City,College
1, ,3,1.3,,O.J. Mayo,,3,4,2,1,1,1,3,692,,6-4,WG-PG,"Cincinnati, OH",USC
2, ,3,2.4,,Kevin Love,,1,6,1,3,3,3,1,689,,6-9,PF,"Lake Oswego, OR",UCLA
3,4,3,1.0,,Eric Gordon,,2,2,3,4,4,2,2,688,,6-3,WG,"Indianapolis, IN",Indiana
4,-1,3,1.5,,Michael Beasley,*,4,1,4,2,2,4,8,682,,6-8,PF,"Mouth of Wilson, VA",Kansas State
5, ,5,2.1,,Derrick Rose,,8,3,5,5,6,5,5,670,,6-2,PG,"Chicago, IL",Memphis
6, ,6,0.5,,Kyle Singler,,6,5,6,6,5,6,4,669,,6-8,WF,"Medford, OR",Duke
7, ,9,3.4,,Jerryd Bayless,,5,13,7,9,12,7,13,641,,6-3,WG,"Phoenix, AZ",Arizona
8,10,8,1.0,,Donte Greene,,7,9,9,8,8,14,18,634,,6-8,PF,"Towson, MD",Syracuse
9,7,12,1.7,,J.J. Hickson,,14,10,12,13,7,11,15,625,,6-8,PF-C,"Marietta, Ga",NC State
10,38,14,2.8,,Patrick Patterson,,15,17,11,12,9,12,9,622,,6-8,PF,"Huntington, WV",Kentucky
11,12,11,2.6,,Nick Calathes,,12,14,8,10,16,17,10,620,,6-4,PG,"Winter Park, FL",Florida
12,5,12,3.3,,Kosta Koufos,,9,16,10,14,13,22,12,611,,7-0,PF,"Canton, OH",Ohio State
13,11,15,7.0,,DeAndre Jordan,,24,8,15,11,11,8,26,604,,6-10,PF,"Bellaire, TX",Texas A&M
14,1,16,0.6,,Austin Freeman,,16,15,16,15,19,24,7,595,,6-4,WG,"Hyattsville, MD",Georgetown
15,-6,16,5.0,,Anthony Randolph,,23,12,13,17,10,9,30,593,,6-10,PF,"Dallas, TX",LSU
16,13,19,4.2,,Blake Griffin,,21,23,14,16,21,13,19,580,,6-8,PF,"Edmond, OK",Oklahoma
17,36,19,6.3,,James Harden,,25,11,17,23,27,21,22,561,,6-5,WG,"Lakewood, CA",Arizona State
18,-5,26,10.6,,Nolan Smith,*,13,39,26,26,20,20,6,557,,6-3,WG,"Mouth of Wilson, VA",Duke
19,1,24,5.0,,Gani Lawal,,27,29,19,20,14,19,23,556,,6-8,PF,"Norcross, GA",Georgia Tech
20,21,23,4.1,,Johnny Flynn,,29,22,20,21,26,15,24,550,,6-0,PG,"Niagara Falls, NY",Syracuse
21,14,24,10.4,,Corey Fisher,,11,27,22,36,22,46,11,532,,5-11,PG,"Elizabeth, NJ",Villanova
22,-10,29,12.8,,Cole Aldrich,,10,30,36,38,24,36,14,519,,6-10,C,"Bloomington, MN",Kansas
23,16,27,5.6,,E'Twaun Moore,,22,35,25,27,33,31,21,513,,6-3,WG,"East Chicago, IN",Purdue
24,20,25,4.5,,Solomon Alabi,,19,24,30,25,25,39,34,511,,7-1,C,"Monverde, FL",Florida State
25, ,25,4.7,,Jamelle Horne,,28,21,21,30,29,27,43,508,,6-6,WF,"San Diego, CA",Arizona
