,,,,,,Rankings from: June 2009,,,,,,,,,,,,,* - denotes 5th year or prep school player,
,,,,,,,,!,!,!,!,!,!,!,,,,,! - updated or new rankings,
RSCI,Chg,Avg,Dev,,,,5yr,DT,RC,HM,RH,PS,SI,AS,Total,,Ht,Pos,City,College
1, ,2,0.8,,,Derrick Favors,,1,3,1,2,1,2,1,696,,6-9,C,"Atlanta, GA",Georgia Tech
2,11,3,1.7,,,John Wall,*,2,1,3,1,3,5,6,686,,6-3,PG,"Raleigh, NC",Kentucky
3,2,4,1.1,,,DeMarcus Cousins,,3,2,4,5,4,4,2,683,,6-10,C,"Mobile, AL",Kentucky
4,5,2,1.1,,,Avery Bradley,,5,4,2,3,2,1,9,681,,6-2,WG,"Tacoma, WA",Texas
5,-2,5,0.7,,,John Henson,,4,5,5,4,5,6,3,675,,6-10,PF,"Round Rock, TX",North Carolina
6,-4,6,2.0,,,Xavier Henry,,6,8,8,6,6,3,4,666,,6-6,WG,"Oklahoma, City",Kansas
7,3,10,3.7,,,Renardo Sidney,,7,16,9,9,7,7,5,647,,6-9,PF,"Los Angeles, CA",Mississippi State
8,-4,10,2.2,,,Lance Stephenson,,8,11,7,8,11,12,7,643,,6-5,WF,"Brooklyn, NY",
9,-3,8,2.3,,,Kenny Boynton,,15,12,6,7,8,9,8,642,,6-2,WG,"Plantation, FL",Florida
10,20,12,2.4,,,Keith Gallon,,11,9,13,15,10,11,15,623,,6-8,C,"Mouth of Wilson, VA",Oklahoma
11,-4,14,2.5,,,Abdul Gaddy,,10,13,10,16,16,14,11,617,,6-3,PG,"Tacoma, WA",Washington
12,22,17,6.6,,,Mouphtaou Yarou,,9,10,11,20,26,18,16,597,,6-9,PF,"Rockville, MD",Villanova
13,12,17,4.0,,,Dante Taylor,*,16,14,18,13,23,16,14,593,,6-8,PF,"Fort Washington, MD",Pittsburgh
14,-2,20,6.9,,,Ryan Kelly,,12,20,14,32,18,17,10,584,,6-9,PF,"Raleigh, NC",Duke
15,1,18,1.9,,,Wally Judge,,19,18,20,17,19,15,17,582,,6-8,PF,"Jacksonville, FL",Kansas State
16,6,20,1.3,,,Alex Oriakhi,*,20,21,19,19,22,20,12,574,,6-9,PF,"Tilton, NH",Connecticut
17, ,14,5.4,,,Michael Snaer,,13,7,12,14,13,22,63,563,,6-4,WG,Moreno Valley,Florida State
18,1,21,19.1,,,Mason Plumlee,,18,55,17,12,12,10,21,562,,6-11,PF,"Arden, NC",Duke
19,-5,20,6.5,,,Daniel Orton,,17,22,16,30,21,13,31,557,,6-9,C,"Oklahoma, City",Kentucky
19,-11,20,8.0,,,Dominic Cheek,,22,30,26,11,14,19,28,557,,6-6,WG,"Jersey City, NJ",Villanova
21,-6,23,3.8,,,Milton Jennings,,23,25,25,21,17,26,19,551,,6-9,PF,"Summerville, SC",Clemson
22,-4,NA,NA,,,Jordan Hamilton,*,14,6,15,10,15,8,,538,,6-7,WF,"Compton, CA",Texas
23,-3,26,2.7,,,Maalik Wayns,,26,26,24,26,30,23,20,532,,6-1,PG,"Philadelphia, PA",Villanova
24,-13,29,5.8,,,Dexter Strickland,,33,34,30,34,20,27,13,516,,6-3,WG,"Elizabeth, NJ",North Carolina
25,-4,25,4.1,,,Elijah Johnson,,29,24,27,18,27,28,55,499,,6-2,PG,"North Las Vegas, NV",Kansas
26,10,32,8.2,,,Lorenzo Brown,,28,37,43,25,24,29,27,494,,6-5,WG,"Roswell, GA",NC State
27,15,32,6.4,,,Peyton Siva,,38,39,39,29,29,25,24,484,,5-11,PG,"Seattle, WA",Louisville
28,-5,32,5.5,,,Thomas Robinson,,24,31,28,27,36,40,38,483,,6-8,PF,"Wolfeboro, NH",Kansas
29,22,34,15.7,,,John Jenkins,,40,15,44,40,52,21,18,477,,6-4,WG,"Gallatin, TN",Vanderbilt
