,,,,,Rankings from: June 2011,,,,,,,,,,! = updated rankings,
,,,,,,!,!,!,!,!,,,,,,
RSCI,Chg,Avg,Dev,,,RH/PS,VC,DT,RC,SC,Total,,Ht,Pos,City,College
1, ,1,0.4,,Anthony Davis,1,1,1,2,1,499,,6-10,PF,"Chicago, IL",Kentucky
2,1,2,0.7,,Austin Rivers,3,2,2,1,2,495,,6-3,WG,"Winter Park, FL",Duke
3,-1,3,1.1,,Michael Gilchrist,2,3,3,3,5,489,,6-6,WF,"Elizabeth, NJ",Kentucky
4,2,4,0.9,,Bradley Beal,4,4,4,4,6,483,,6-3,WG,"St. Louis, MO",Florida
5,-1,5,1.5,,Quincy Miller,5,6,6,7,3,478,,6-8,PF,"High Point, NC",Baylor
6,1,6,1.9,,James McAdoo,8,5,5,8,4,475,,6-8,PF,"Norfolk, VA",North Carolina
7,-2,6,0.9,,Marquis Teague,6,7,7,5,7,473,,6-2,PG,"Indianapolis, IN",Kentucky
8, ,8,1.2,,LeBryan Nash,9,8,9,6,8,465,,6-7,WF,"Dallas, TX",Oklahoma State
9,1,10,4.0,,Adonis Thomas,7,10,8,17,9,454,,6-6,WF,"Memphis, TN",Memphis
10,1,12,2.2,,Cody Zeller,11,9,13,15,12,445,,6-10,PF,"Washington, IN",Indiana
11,3,14,3.4,,P.J. Hairston,12,13,12,13,20,435,,6-4,WG,"Chatham, VA",North Carolina
11,39,14,6.4,,Khem Birch,25,11,11,9,14,435,,6-9,C,"Fitchburg, MA",Pittsburgh
13,-4,14,6.7,,Myck Kabongo,14,12,10,26,10,433,,6-2,PG,"Henderson, NV",Texas
14,2,15,3.4,,Josiah Turner,13,20,14,11,15,432,,6-3,WG,"Sacramento, CA",Arizona
15,-2,15,5.5,,Kentavious Caldwell-Pope,10,18,23,12,11,431,,6-6,WG,"Greenville, GA",Georgia
16,2,18,4.4,,Jabari Brown,15,14,25,19,17,415,,6-3,WG,"Oakland, CA",Oregon
17, ,18,3.5,,Branden Dawson,20,17,22,20,13,413,,6-6,WF,"Gary, IN",Michigan State
18,7,19,7.0,,Tony Wroten,31,15,16,14,18,411,,6-4,WG,"Seattle, WA",Washington
19, ,20,2.7,,Kyle Wiltjer,21,16,18,22,22,406,,6-9,PF,"Portland, OR",Kentucky
20,-5,21,3.8,,B.J. Young,23,19,15,25,21,402,,6-4,PG,"Florissant, MO",Arkansas
21,-10,23,3.8,,Rakeem Christmas,22,26,19,27,19,392,,6-8,C,"Bryn Athyn, PA",Syracuse
22,4,23,3.7,,Nick Johnson,26,22,21,18,27,391,,6-2,WG,"Henderson, NV",Arizona
22,14,23,5.7,,Dorian Finney-Smith,18,23,17,31,25,391,,6-7,WF,"Portsmouth, VA",Virginia Tech
24,-3,23,4.2,,Chane Behanan,17,27,27,21,23,390,,6-6,PF,"Bowling Green, KY",Louisville
25,-5,25,5.9,,Michael Carter-Williams,19,25,20,29,33,379,,6-4,WG,"Hamilton, RI",Syracuse
26,-4,26,7.4,,Wayne Blackshear,30,24,26,36,16,373,,6-5,WG,"Chicago, IL",Louisville
27, ,29,10.6,,Rodney Hood,45,29,30,16,24,361,,6-7,WF,"Meridian, MS",Mississippi State
28,-4,30,5.1,,Michael Gbinije,24,35,28,35,26,357,,6-6,WF,"Richmond, VA",Duke
29, ,32,4.1,,Levi Randolph,39,32,29,30,30,345,,6-6,WG,"Madison, AL",Alabama
30,2,34,8.9,,Jahii Carson,27,28,49,33,32,336,,5-10,PG,"Mesa, AZ",Arizona State
31,-8,35,2.6,,Quinn Cook,32,33,37,38,36,329,,6-1,PG,"Mouth of Wilson, VA",Duke
32,17,35,9.9,,Shannon Scott,29,31,33,53,31,328,,6-2,PG,"Alpharetta, GA",Ohio State
32,-3,NA,NA,,DeAndre Daniels,16,21,,10,29,328,,6-8,PF,"Woodland Hills, CA",Connecticut
34,33,36,5.2,,Otto Porter,33,39,41,37,28,327,,6-8,PF,"Sikeston, MO",Georgetown
35,19,38,8.2,,Dominique Pointer,36,43,24,44,41,317,,6-5,WF,"Winston-Salem, NC",St. John's
36,10,41,14.7,,Trevor Lacey,52,30,39,24,59,301,,6-3,WG,"Huntsville, AL",Alabama
37,-4,42,10.8,,Adjehi Baru,44,41,58,28,39,295,,6-9,C,"Richmond, VA",Charleston
