,,,,,Rankings from: May 2012,,,,,,,,,,,* = updated rankings,
,,,,,,*,*,*,*,*,*,,,,,,
RSCI,Chg,Avg,Dev,,,VC,DT,SC,RC,MP,PS,Total,,Ht,Pos,City,College
1, ,2,0.5,,Shabazz Muhammad,1,2,2,1,2,1,597,,6-6,WG,"Las Vegas, NV",UCLA
1,new,2,0.5,,Nerlens Noel,2,1,1,2,1,2,597,,6-10,C,"Tilton, NH",Kentucky
3,1,4,0.8,,Kyle Anderson,3,5,4,3,3,4,584,,6-5,WG,"Jersey City, NJ",UCLA
3,2,4,0.8,,Isaiah Austin,4,3,3,4,5,3,584,,7-0,C,"Arlington, TX",Baylor
5,34,5,0.8,,Steven Adams,6,6,5,5,4,6,574,,6-11,C,"Fitchburg, MA",Pittsburgh
6,2,7,2.2,,Anthony Bennett,5,7,8,7,11,5,563,,6-8,WF,"Henderson, NV",UNLV
7, ,7,2.2,,Kaleb Tarczewski,7,4,6,9,10,8,562,,7-0,C,"Southborough, MA",Arizona
8,11,10,2.8,,Alex Poythress,12,13,7,8,12,7,547,,6-8,PF-WF,"Clarksville, TN",Kentucky
9, ,10,2.8,,Marcus Smart,8,10,13,10,6,13,546,,6-4,WF,"Flower Mound, TX",Oklahoma State
10, ,13,3.3,,Archie Goodwin,16,15,14,14,7,11,529,,6-4,WG,"Sherwood, AR",Kentucky
11,17,13,4.7,,Grant Jerrett,10,9,9,15,14,21,528,,6-8,C,"LaVerne, CA",Arizona
12,5,15,3.5,,Rasheed Sulaimon,15,12,12,18,20,12,517,,6-3,WG,"Houston, TX",Duke
13,2,15,6.0,,Ricardo Ledo,19,21,17,6,18,9,516,,6-5,WF,"Fitchburt, MA",Providence
14,-3,15,9.5,,Cameron Ridley,9,8,11,29,9,26,514,,6-10,C,"Richmond, TX",Texas
15,-9,16,4.4,,Brandon Ashley,13,16,10,23,17,16,511,,6-8,PF,"Oakland, CA",Arizona
16, ,17,5.0,,Gary Harris,18,11,16,25,13,20,503,,6-4,WG,"Fishers, IN",Michigan State
17,-5,18,3.8,,Rodney Purvis,17,20,18,12,23,15,501,,6-2,PG,"Raleigh, NC",NC State
18,-5,18,6.3,,Dajuan Coleman,22,14,19,26,8,18,499,,6-8,PF,"Dewitt, NY",Syracuse
19,13,20,8.2,,Sam Dekker,14,17,15,13,30,31,486,,6-7,WF,"Sheboygan, WI",Wisconsin
20,1,20,6.3,,Kris Dunn,21,23,23,16,28,10,485,,6-3,PG,"New London, CT",Providence
21,-1,22,8.5,,Amile Jefferson,11,25,21,36,16,23,474,,6-8,WF,"Wynnewood, PA",Duke
22,-4,23,3.9,,Devonte Pollard,27,28,25,22,19,19,466,,6-7,WF,"DeKalb, MS",Alabama
23,29,24,10.2,,Glenn Robinson III,28,18,29,11,39,17,464,,6-6,WF,"St. John, IN",Michigan
24,-2,24,2.8,,Tony Parker,24,26,20,27,21,25,463,,6-8,PF,"Lithonia, GA",UCLA
25,1,24,7.0,,"Kevin ""Yogi"" Ferrell",25,24,30,19,33,14,461,,5-11,PG,"Indianapolis, IN",Indiana
26,-23,25,5.2,,Mitch McGary,23,27,26,30,15,27,458,,6-9,PF,"Wolfeboro, NH",Michigan
27,-4,25,4.5,,T.J. Warren,26,29,27,17,29,24,454,,6-6,WF,"Durham, NC",NC State
28,1,29,6.3,,Marcus Paige,20,22,35,34,32,28,435,,6-0,PG,"Marion, IA",North Carolina
29,-2,30,8.4,,Danuel House,32,19,31,20,37,39,428,,6-6,WF,"Missouri City, TX",Houston
30,-6,30,5.9,,Robert Carter,29,33,22,33,25,38,426,,6-9,C,"Thomasville, GA",Georgia Tech
31,-1,31,4.4,,Perry Ellis,30,35,33,24,36,30,418,,6-8,PF,"Wichita, KS",Kansas
32,-1,34,6.8,,Ricardo Gathers,31,36,34,37,42,22,404,,6-7,PF,"LaPlace, LA",Baylor
33,9,34,11.3,,Winston Shepard,33,53,32,21,26,40,401,,6-7,PF,"Henderson, NV",San Diego State
34,1,36,10.3,,Shaquille Cleare,37,30,37,53,22,34,393,,6-10,C,"Houston, TX",Maryland
35,-10,37,9.2,,"William ""Shaq"" Goodwin",36,31,38,44,24,50,383,,6-7,PF,"Decatur, GA",Memphis
36,14,40,6.4,,Katin Reinhardt,35,47,40,38,31,47,368,,6-5,WF,"Santa Ana, CA",UNLV
37,-3,41,9.5,,D'Vauntes Smith-Rivera,38,58,41,32,44,33,360,,6-4,WG,"Indianapolis, IN",Georgetown
38,2,42,4.7,,Willie Cauley,44,40,48,40,34,43,357,,6-11,C,"Olathe, KS",Kentucky
39,-2,42,9.4,,Omar Calhoun,47,32,58,39,40,35,355,,6-4,WG,"Middle Village, NY",Connecticut
40,-2,42,7.1,,Brice Johnson,39,34,50,49,35,46,353,,6-9,PF,"Cordova, SC",North Carolina
41,8,46,10.9,,Jerami Grant,43,37,39,64,38,54,331,,6-6,WF,"Hyattsville, MD",Syracuse
42,1,47,5.8,,Adam Woodbury,42,39,47,50,50,55,323,,6-11,C,"Sioux City, IA",Iowa
43,16,47,13.1,,Tyler Lewis,40,44,56,48,67,29,322,,6-0,PG,"Lewisville, NC",NC State
44,-3,48,9.4,,Daniel Ochefu,41,54,44,42,64,41,320,,6-9,C,"Westtown, PA",Villanova
44,10,48,16.6,,Jeremy Hollowell,49,42,28,41,48,78,320,,6-7,WF,"Indianapolis, IN",Indiana
46,5,48,13.0,,Cameron Biedscheid,60,64,45,28,49,42,318,,6-5,WF,"St. Louis, MO",Notre Dame
47,-14,48,21.1,,Gabe York,34,65,82,46,27,36,316,,6-2,PG,"Orange, CA",Arizona
48,-1,50,8.9,,Justin Anderson,53,49,62,35,46,52,309,,6-5,WF,"Rockville, MD",Virginia
49,38,NA,NA,,Semaj Christon,52,,24,31,59,32,307,,6-2,PG,"Wolfeboro, NH",Xavier
50,-15,52,10.0,,Hanner Perea,46,71,49,43,52,48,297,,6-8,PF,"Birmingham, AL",Indiana
50,19,52,11.3,,Josh Scott,58,38,46,61,41,65,297,,6-10,C,"Monument, CO",Colorado
52,3,54,14.3,,Andrew White,51,48,42,51,47,82,285,,6-6,WF,"Charlottesville, VA",Kansas
