,,,,,,,Rankings from: May 2014,,,,,,,,,,,* Updated Rankings,
,,,,,,,,*,*,*,*,*,*,,,,,,
Row,Prev,RSCI,Chg,Avg,Dev,,,VC,ESPN,Scout,Rivals,PrepStars,247Sports,Total,,Ht,Pos,City,College
1,1,1, ,2,2.0,,Jahlil Okafor,3,1,1,1,1,6,593,,6-11,C,"Chicago, IL",Duke
2,2,2, ,3,1.7,,Emmanuel Mudiay,4,5,2,2,5,1,587,,6-4,PG,"Dallas, TX",SMU
3,4,3,1,4,1.8,,Stanley Johnson,2,7,3,3,3,5,583,,6-6,WF,"Santa Ana, CA",Arizona
4,3,4,-1,5,2.7,,Cliff Alexander,1,3,6,4,9,4,579,,6-9,PF-C,"Chicago, IL",Kansas
5,8,5,3,6,4.0,,Karl Towns,12,9,4,5,2,2,572,,6-11,C,"Metuchen, NJ",Kentucky
6,6,6, ,6,2.4,,Myles Turner,5,2,5,9,7,7,571,,7-0,C,"Euless, TX",Texas
7,5,7,-2,7,1.8,,Tyus Jones,6,4,9,7,8,8,564,,6-1,PG,"Apple Valley, MN",Duke
8,10,8,2,7,2.9,,Kelly Oubre,10,11,7,6,6,3,563,,6-6,WF,"Henderson, NV",Kansas
9,7,9,-2,9,1.6,,Justin Jackson,7,8,10,11,11,9,550,,6-7,WF,"Spring, TX",North Carolina
10,9,10,-1,10,5.3,,Rashad Vaughn,8,19,8,8,4,13,546,,6-5,WG,"Henderson, NV",UNLV
11,13,11,2,12,1.7,,Kevon Looney,11,12,15,10,12,11,535,,6-8,PF,"Milwaukee, WI",UCLA
12,11,12,-1,13,3.8,,Trey Lyles,15,6,11,13,13,17,531,,6-9,PF,"Indianapolis, IN",Kentucky
13,12,13,-1,13,2.4,,Justise Winslow,9,15,12,12,15,15,528,,6-6,WF,"Houston, TX",Duke
14,14,14, ,14,2.3,,Isaiah Whitehead,16,14,14,16,16,10,520,,6-4,WG,"Brooklyn, NY",Seton Hall
15,19,15,4,16,3.7,,Theo Pinson,20,10,19,17,14,14,512,,6-6,WF,"High Point, NC",North Carolina
16,18,16,2,20,6.5,,D'Angelo Russell,23,13,13,18,20,30,489,,6-4,WG,"Montverde, FL",Ohio State
17,16,17,-1,20,5.5,,Daniel Hamilton,17,30,21,14,18,18,488,,6-7,WF,"Bellflower, CA",Connecticut
18,31,18,13,21,2.1,,Tyler Ulis,21,25,20,21,19,20,480,,5-8,PG,"Chicago Heights, IL",Kentucky
19,14,19,-5,21,6.2,,Chris McCollough,14,24,18,19,21,32,478,,6-9,PF,"Wolfeboro, NH",Syracuse
20,21,20,1,22,5.8,,Devin Robinson,32,23,16,20,17,24,474,,6-8,PF,"Christchurch, VA",Florida
21,24,20,4,22,7.1,,James Blackmon,19,20,33,22,26,12,474,,6-3,WG,"Marion, IN",Indiana
22,20,22,-2,24,8.3,,Dwayne Morgan,18,39,26,15,23,25,460,,6-7,WF,"Baltimore, MD",UNLV
23,29,23,6,26,6.0,,Devin Booker,25,18,29,29,35,22,448,,6-5,WG,"Moss Point, MS",Kentucky
24,34,24,10,27,6.6,,Grayson Allen,24,21,22,28,25,39,447,,6-3,WG,"Riverview, FL",Duke
25,17,25,-8,28,13.2,,Joel Berry,13,17,34,27,27,50,438,,6-1,PG,"Orlando, FL",North Carolina
26,26,25,1,28,5.7,,Shaqquan Aaron,35,33,27,30,22,21,438,,6-7,WF,"Seattle, WA",Louisville
27,32,27,5,29,6.7,,Kameron Chatman,37,38,23,25,24,28,431,,6-7,WF,"Long Beach, CA",Michigan
28,40,28,12,30,10.1,,Isaac Copeland,44,16,38,23,31,29,425,,6-7,PF,"Wolfeboro, NH",Georgetown
29,30,29,1,32,10.9,,Keita Bates-Diop,30,22,24,26,37,51,416,,6-7,WF,"Normal, IL",Ohio State
30,22,30,-8,32,8.5,,JaQuan Lyle,22,42,28,24,36,40,414,,6-4,PG,"Huntington, WV",Oregon
31,23,31,-8,32,8.2,,Brandone Francis,31,35,44,35,30,19,412,,6-4,WG,"Jacksonville, FL",Florida
32,25,32,-7,33,11.7,,Goodluck Okonoboh,33,26,49,31,42,16,409,,6-9,C,"Wilbraham, MA",UNLV
33,61,33,28,35,19.8,,Thomas Welsh,39,36,17,41,10,66,397,,7-0,C,"Los Angeles, CA",UCLA
34,38,34,4,37,8.7,,Romelo Trimble,36,29,30,39,53,35,384,,6-3,PG,"Arlington, VA",Maryland
35,35,35, ,37,8.7,,Reid Travis,27,27,39,44,38,48,383,,6-7,PF,"Minneapolis, MN",Stanford
36,47,36,11,38,16.9,,Jonah Bolden,45,69,25,32,28,27,380,,6-8,PF,"Henderson, NV",UCLA
37,33,37,-4,39,9.0,,Quentin Snider,29,40,35,33,44,54,371,,6-1,PG,"Louisville, KY",Louisville
38,44,38,6,40,10.6,,Trevon Bluiett,42,46,31,34,29,57,367,,6-5,WF,"Indianapolis, IN",Xavier
39,27,39,-12,42,10.0,,Craig Victor,26,37,42,40,55,49,357,,6-8,PF,"Henderson, NV",Arizona
40,42,39,3,42,10.9,,Terry Larrier,40,43,43,43,57,23,357,,6-7,WF,"Malvern, PA",VCU
41,45,41,4,44,4.8,,Jordan McLaughlin,47,41,36,49,45,47,341,,6-0,PG,"Etiwanda, CA",USC
42,43,42,1,45,6.1,,Angel Delgado,38,48,48,53,43,38,338,,6-8,PF,"Huntington, WV",Seton Hall
43,39,43,-4,46,9.9,,JaQuan Newton,53,58,52,37,33,42,331,,6-1,WG,"Philadelphia, PA",Miami
44,51,44,7,47,12.2,,Parker Jackson-Cartwright,43,57,32,51,34,62,327,,5-9,PG,"Los Angeles, CA",Arizona
45,49,45,4,47,9.2,,Abdul-Malik Abu,54,32,56,45,41,52,326,,6-8,PF,"Meriden, NH",NC State
46,40,46,-6,48,10.9,,Leron Black,46,44,50,38,69,43,316,,6-7,PF,"Memphis, TN",Illinois
47,46,46, ,48,5.0,,Robert Johnson,41,47,47,48,51,56,316,,6-3,WG,"Richmond, VA",Indiana
48,28,48,-20,NA,NA,,Malik Pope,28,55,37,,39,33,313,,6-8,WF,"Elk Grove, CA",San Diego State
49,37,49,-12,51,15.0,,Chris Chiozza,48,45,58,42,78,36,299,,5-10,PG,"Memphis, TN",Florida
50,50,50, ,55,2.6,,Jakeenan Gant,56,53,59,52,54,53,279,,6-8,PF,"Springfield, GA",Missouri
51,58,51,7,55,13.4,,Paul White,49,34,60,50,67,70,276,,6-8,PF,"Chicago, IL",Georgetown
52,54,52,2,56,14.8,,Kaleb Joseph,68,50,63,46,73,34,272,,6-2,PG,"Ashburnham, MA",Syracuse
53,48,53,-5,56,6.6,,Dion Wiley,62,52,45,55,60,61,271,,6-4,WG,"Oxon Hill, MD",Maryland
54,63,54,9,57,17.3,,Jae'Sean Tate,50,28,55,79,59,68,267,,6-5,WF,"Pickerington, OH",Ohio State
55,61,55,6,58,8.1,,T.J. Haws,59,51,54,57,74,55,256,,6-3,PG,"Highland, UT",BYU
56,53,56,-3,59,5.4,,Elbert Robinson,52,60,57,56,68,59,254,,7-1,C,"Garland, TX",LSU
57,52,57,-5,61,17.8,,Brekkott Chapman,51,49,80,59,85,41,241,,6-8,PF,"Roy, UT",Utah
58,57,58,-1,61,10.3,,Alex Robinson,60,63,46,58,61,78,240,,6-1,PG,"Arlington, TX",Texas A&M
59,67,59,8,61,12.6,,Michael Humphrey,55,65,71,47,50,79,239,,6-9,C,"Phoenix, AZ",Stanford
60,36,60,-24,63,16.2,,Josh Perkins,34,56,79,67,64,75,231,,6-2,PG,"Huntington, WV",Gonzaga
61,64,61,3,63,7.5,,Ahmed Hill,66,54,76,63,58,63,226,,6-4,WG,"Augusta, GA",Virginia Tech
62,55,62,-7,64,2.5,,Caleb Martin,63,62,65,60,65,67,224,,6-6,WF,"Mouth of Wilson, VA",NC State
63,68,62,6,64,21.5,,L.J. Peak,57,31,62,68,66,98,224,,6-4,WG,"Gaffney, SC",Georgetown
64,65,64,1,64,14.5,,Chinanu Onuaku,73,75,53,74,40,71,220,,6-9,C,"Upper Marlboro, MD",Louisville
65,,65,new,NA,NA,,Devonte Graham,,,41,36,32,92,203,,6-1,PG,"Wolfeboro, NH",Kansas
66,60,66,-6,69,9.6,,Paschal Chukwu,65,61,64,61,77,84,194,,7-1,C,"Fairfield, CT",Providence
67,56,67,-11,NA,NA,,Jaylen Johnson,58,,77,54,79,58,179,,6-8,PF,"Ypsilanti, MI",Louisville
68,65,68,-3,NA,NA,,Jared Terrell,75,79,78,66,,44,163,,6-3,WG,"Wolfeboro, NH",Rhode Island
69,70,69,1,NA,NA,,Robert Cartwright,67,,51,82,48,,156,,6-3,PG,"La Canada, CA",Stanford
70,87,70,17,76,10.2,,Cody Martin,76,91,66,81,63,76,153,,6-6,WF,"Mouth of Wilson, VA",NC State
71,,71,new,NA,NA,,Elijah Stewart,,94,40,64,56,99,152,,6-5,WG,"Los Angeles, CA",USC
72,71,72,-1,NA,NA,,Justin Coleman,74,76,,90,87,46,132,,5-10,PG,"Birmingham, AL",Alabama
73,,73,new,NA,NA,,Ronnie Harrell,,71,73,84,46,,130,,6-7,WF,"Denver, CO",Creighton
74,76,74,2,NA,NA,,Dominic Magee,72,67,,72,96,73,125,,6-3,PG,"Harvey, LA",Memphis
75,82,75,7,81,9.9,,Sandy Cohen,77,83,87,97,75,69,118,,6-5,WG,"Seymour, WI",Marquette
76,69,76,-7,82,11.6,,Jalen Lindsey,69,84,84,69,84,100,116,,6-7,WF,"Huntington, WV",Providence
77,84,76,8,NA,NA,,Trey Kell,86,81,69,,52,,116,,6-4,WG,"San Diego, CA",San Diego State
78,78,78, ,NA,NA,,Lourawls Nairn,84,73,,62,89,83,114,,5-11,PG,"Bel Aire, KS",Michigan State
79,75,79,-4,82,8.7,,Zylan Cheatham,87,88,68,78,92,80,113,,6-7,PF,"Phoenix, AZ",San Diego State
80,80,80, ,NA,NA,,Donte Grantham,81,,91,75,81,65,112,,6-7,WF,"Chatham, VA",Clemson
81,73,80,-7,NA,NA,,Shelton Mitchell,71,,75,76,70,,112,,6-3,PG,"Waxhaw, NC",Vanderbilt
82,77,82,-5,NA,NA,,Isaac Haas,79,87,85,71,72,,111,,7-1,C,"Hokes Bluff, AL",Purdue
83,59,83,-24,NA,NA,,B.J. Stith,61,,,65,95,74,109,,6-5,WF,"Lawrenceville,VA",Virginia
84,97,84,13,NA,NA,,Jordan Barnett,95,86,,70,49,,104,,6-7,PF,"St. Louis, MO",Texas
85,79,84,-5,NA,NA,,Phil Booth,64,92,70,85,,90,104,,6-4,WG,"Baltimore, MD",Villanova
86,92,86,6,NA,NA,,Jared Nickens,91,,81,,47,94,91,,6-6,WG,"Westtown, PA",Maryland
87,,87,new,NA,NA,,Justin Bibbs,,70,74,,71,,88,,6-5,WG,"Dayton, OH",Virginia Tech
88,81,88,-7,NA,NA,,Joe Burton,100,59,82,96,,81,87,,6-5,WF,"Houston, TX",Oklahoma State
89,85,89,-4,88,10.2,,Trayvon Reed,89,68,93,91,97,88,80,,7-2,C,"La Porte, IN",Maryland
90,83,90,-7,NA,NA,,Tadric Jackson,82,74,95,,94,82,78,,6-2,WG,"Tifton, GA",Georgia Tech
91,72,90,-18,NA,NA,,Vic Law,70,66,,,,89,78,,6-7,WF,"Chicago, IL",Northwestern
92,,92,new,NA,NA,,Domantas Sabonis,,,,,,26,75,,6-11,PF,"Malaga, AN",Gonzaga
93,86,93,-7,NA,NA,,Namon Wright,,,72,73,88,97,74,,6-5,WG,"Los Angeles, CA",Missouri
94,74,94,-20,NA,NA,,Makinde London,90,,,83,83,77,71,,6-9,PF,"Montverde, FL",Xavier
95,,95,new,NA,NA,,Sviatoslav Mykhailiuk,,,,,,31,70,,6-6,WG,"Cherkassy, CY",Kansas
96,94,96,-2,NA,NA,,Mikal Bridges,92,82,92,95,80,,64,,6-6,WF,"Malvern, PA",Villanova
97,,96,new,NA,NA,,Michal Cekovsky,,,,,,37,64,,7-0,PF,"Burnaby, BC",Maryland
98,89,96,-7,NA,NA,,Devin Mitchell,78,,,,,60,64,,6-3,WG,"Suwanee, GA",Alabama
99,,99,new,NA,NA,,Detrick Mostella,,,,,,45,56,,6-3,WG,"Fitchburg, MA",Tennessee
100,,100,new,NA,NA,,Malik Marquetti,,,61,,86,,55,,6-6,WF,"Long Beach, CA",USC
