,,,,,Rankings from: July 2018,,,,,,,,,,
,,,,,,,,,,,,,,,
RSCI,Chg,Avg,Dev,,,VC,ESPN,247Sports,Rivals,Total,,Ht,Pos,City,College
1,,1,0,,R.J. Barrett,1,1,1,1,400,,"6’7""",SF,"Montverde, FL",Duke
2,1,3,0,,Cameron Reddish,3,3,3,3,392,,"6’6""",SG,"Norristown, PA",Duke
3,5,4,2.1,,Nassir Little,5,6,2,2,389,,"6’6""",SF,"Orlando, FL",North Carolina
4,-2,4,2.4,,Zion Williamson,2,2,7,5,388,,"6’7""",PF,"Spartanburg, SC",Duke
5,,5,0.8,,Romeo Langford,4,5,5,6,384,,"6’4""",SG,"New Albany, IN",Indiana
6,-2,5,2.5,,Bol Bol,9,4,4,4,383,,"7’1""",PF,"Santa Ana, CA",Oregon
7,2,10,0.5,,Anfernee Simons,10,9,10,10,365,,"6’2""",PG,"Orlando, FL",NBA
8,4,10,2.4,,Quentin Grimes,11,8,13,8,364,,"6’4""",SG,"The Woodlands, TX",Kansas
9,new,11,5.2,,Charles Bassey,6,18,9,9,362,,"6'10""",C,"Louisville, KY",Western Kentucky
10,-4,12,5.5,,Simisola Shittu,13,19,8,7,357,,"6’8""",PF,"Saxon River, VT",Vanderbilt
10,17,12,4.3,,E.J. Montgomery,16,14,6,11,357,,"6’10""",PF,"Marietta,GA",Kentucky
12,1,12,5.4,,Keldon Johnson,8,7,18,15,356,,"6’5""",SF,"Mouth of Wilson, VA",Kentucky
13,-6,13,4.2,,Tre Jones,7,17,14,14,352,,"6’2""",PG,"Apple Valley, MN",Duke
14,new,14,3.9,,Ashton Hagans,12,20,12,13,347,,"6'3""",PG,"Covington, GA",Kentucky
15,-4,15,2.6,,Darius Garland,15,16,11,17,345,,"6’1""",PG,"Nashville, TN",Vanderbilt
16,6,17,5.8,,Jalen Smith,17,10,15,24,338,,"6’9""",PF,"Baltimore, MD",Maryland
17,-3,17,4.5,,Darius Bazley,14,13,23,18,336,,"6’9""",SF,"Cincinnati, OH",G-League
18,,20,5.1,,Nazreon Reid,23,12,22,21,326,,"6’9""",C,"Roselle, NJ",LSU
19,6,21,4.5,,Jaylen Hoard,18,22,17,27,320,,"6’8""",SF,"High Point, NC",Wake Forest
20,-3,21,9.3,,Jordan Brown,24,33,16,12,319,,"6’10""",PF,"Roseville, CA",Nevada
20,-1,21,1.9,,Devon Dotson,20,24,21,20,319,,"6’1""",PG,"Charlotte, NC",Kansas
20,,21,6.8,,Louis King,25,11,24,25,319,,"6’6""",SF,"Jersey City, NJ",Oregon
23,-13,22,2.5,,Immanuel Quickly,21,25,19,22,317,,"6’4""",SG,"Bel Air, MD",Kentucky
24,-8,24,7.9,,Moses Brown,19,15,32,28,310,,"7’1""",C,"Queens, NY",UCLA
25,4,25,5.9,,Andrew Nembhard,31,28,20,19,306,,"6’4""",PG,"Montverde, FL",Florida
26,-3,25,4.3,,Emmitt Williams,26,21,31,23,303,,"6’7""",PF,"Bradenton, FL",LSU
27,-1,27,4.2,,Coby White,33,23,26,26,296,,"6’3""",CG,"Wilson , NC",North Carolina
28,18,28,9.8,,Kevin Porter,27,40,27,16,294,,"6’4""",CG,"Seattle, WA",USC
29,-8,29,2.1,,Jahvon Quinerly,29,26,28,31,290,,"6’0""",SG,"Jersey City, NJ",Villanova
30,-15,31,2.9,,Reginald Perry,30,29,35,29,281,,"6’9""",PF,"Thomasville, GA",Mississippi State
30,2,31,7.7,,David McCormack,22,27,39,35,281,,"6’10""",C,"Mouth of Wilson, VA",Kansas
32,-8,32,2.8,,Ayo Dosunmu,32,36,30,30,276,,"6’3""",CG,"Chicago, IL",Illinois
33,-3,33,2.2,,Javonte Smart,34,31,36,32,271,,"6’4""",CG,"Baton Rouge, LA",LSU
34,5,34,6,,Brandon Williams,36,39,25,34,270,,"6’2""",CG,"Encino, CA",Arizona
35,-1,35,3.4,,Tyler Herro,35,30,38,36,265,,"6’5""",SG,"Greenfield, WI",Kentucky
36,-5,37,6.1,,Taeshon Cherry,37,44,29,37,257,,"6’8""",PF,"San Diego, CA",Arizona State
37,new,40,8.4,,Joey Baker,28,41,42,48,245,,"6'7""",PF,"Fayetteville, NC",Duke
38,-5,41,7.8,,Shareef O’Neal,40,32,51,40,241,,"6’10""",PF,"Santa Monica , CA",UCLA
39,1,42,9.7,,Cole Swider,38,34,56,39,237,,"6’7""",SF,"Barrington, RI",Villanova
