,,,,,Rankings from: May 2019,,,,,,,,,* = updated rankings,
,,,,,,*,*,*,*,,,,,,
RSCI,Chg,Avg,Dev,,,VC,ESPN,Rivals,247Sports,Total,,Ht,Pos,City,College
1,,2,1,,James Wiseman,3,1,1,2,397,,"6’10""",C,"Memphis, TN",Memphis
2,3,3,1.3,,Isaiah Stewart,1,3,2,4,394,,"6’9""",PF,"La Porte, IN",Washington
3,,3,1,,Cole Anthony,2,2,4,3,393,,"6’3""",CG,"Mouth of Wilson, VA",North Carolina
4,new,3,1.4,,Anthony Edwards,4,4,3,1,392,,"6'4""",SG,"Atlanta, GA",Georgia
5,-4,6,0.6,,Vernon Carey,5,6,5,6,382,,"6’11""",PF,"Fort Lauderdale, FL",Duke
6,7,9,2.2,,Nico Mannion,7,9,12,8,368,,"6’4""",CG,"Phoenix, AZ",Arizona
7,-3,9,2.9,,Jaden McDaniels,10,7,7,13,367,,"6’10""",PF,"Federal Way, WA",Washington
7,new,9,7.8,,R.J. Hampton,21,5,6,5,367,,"6'5""",PG,"Little Elm, TX",
9,2,10,2.6,,Scottie Lewis,13,10,8,7,366,,"6’4""",CG,"Tinton Falls, NJ",Florida
10,-2,11,1.7,,Tyrese Maxey,9,13,10,10,362,,"6’3""",PG,"Garland, TX",Kentucky
11,-2,11,3.4,,Khalil Whitney,6,12,14,11,361,,"6’7""",SF,"Roselle, NJ",Kentucky
12,-6,11,3.6,,Matthew Hurt,8,11,9,16,360,,"6’9""",PF,"Rochester, MN",Duke
13,-3,12,3.8,,Josh Green,11,8,13,17,355,,"6’4""",SG,"Bradenton, FL",Arizona
14,-7,14,3.8,,Precious Achiuwa,14,17,17,9,347,,"6’7""",SF,"Newark, NJ",Memphis
15,4,15,3.2,,Jeremiah Robinson-Earl,17,14,11,18,344,,"6’8""",PF,"Bradenton, FL",Villanova
16,-4,17,2.4,,Bryan Antoine,16,15,15,20,338,,"6’5""",SG,"Tinton Falls, NJ",Villanova
17,4,17,2.1,,Trendon Watford,15,19,16,19,335,,"6’8""",SF,"Birmingham, AL",
18,-1,20,3.3,,Isaiah Mobley,18,16,22,23,325,,"6’9""",PF,"Temecula, CA",USC
19,-5,22,7.5,,Onyeka Okongwu,12,20,29,26,317,,"6’9""",C,"Chino Hills, CA",USC
20,26,23,7.8,,Samuell Williamson,33,24,19,15,313,,"6’6""",SF,"Rockwall, TX",Louisville
20,-4,23,5,,Josiah James,19,26,18,28,313,,"6’5""",CG,"Charleston, SC",Tennessee
22,4,24,8.8,,Tre Mann,27,33,24,12,308,,"6’2""",PG,"Hawthorne, FL",Florida
23,-5,25,6.4,,Armando Bacot,22,18,26,33,305,,"6’9""",PF,"Bradenton, FL",North Carolina
24,-4,25,8.8,,Keion Brooks,23,35,28,14,304,,"6’8""",CF,"Fort Wayne, IN",Kentucky
25,-3,27,7,,Wendell Moore,24,22,23,37,298,,"6’4""",SF,"Concord, NC",Duke
26,-11,28,5.7,,Trace Jackson-Davis,21,27,35,27,294,,"6’10""",C,"Greenwood, IN",Indiana
27,1,29,6.1,,C.J. Walker,36,23,31,24,290,,"6’8""",SF,"Orlando, FL",Oregon
28,2,30,11,,Oscar Tshebwe,26,46,25,22,285,,"6’9""",C,"Grundy, VA",West Virginia
29,14,31,10.5,,Patrick Williams,45,28,20,29,282,,"6’6""",SF,"Charlotte, NC",Florida State
30,1,31,8.2,,Jahmius Ramsey,32,30,21,41,280,,"6’4""",SG,"Bradenton, FL",Texas Tech
