RSCI,Chg,Avg,Dev,,,VC,ESPN,Rivals,247Sports,Total,,Ht,Pos,City,College
1,1,1,0.5,,Cade Cunningham,1,2,1,1,399,,"6’6""",SG,"Montverde, FL",Oklahoma State
2,1,2,0.5,,Jalen Green,2,1,2,2,397,,"6’5""",SG,"Napa, CA",NBA G League
3,-2,3,0,,Evan Mobley,3,3,3,3,392,,"6’11""",CF,"Temecula, CA",USC
4,8,5,1,,B.J. Boston,6,6,4,5,383,,"6’7""",SF,"Chatsworth, CA",Kentucky
5,2,6,1.9,,Scottie Barnes,4,4,6,8,382,,"6’8""",SF,"Montverde, FL",Florida State
6,-1,6,1.8,,Zaire Williams,8,7,5,4,380,,"6’7""",SF,"Chatsworth, CA",Stanford
7,2,8,3.2,,Jalen Suggs,5,5,10,11,373,,"6’4""",CG,"Minneapolis, MN",Gonzaga
8,new,9,1,,Terrence Clarke,9,9,7,9,370,,"6'6""",SF,"Wolfeboro, NH",Kentucky
8,-2,9,1.3,,Greg Brown,7,8,9,10,370,,"6’8""",SF,"Austin, TX",Texas
10,,10,1.9,,Josh Christopher,11,10,11,7,365,,"6’5""",SG,"Lakewood, CA",Arizona State
11,-7,11,1.9,,Jalen Johnson,10,12,8,12,362,,"6’9""",CF,"Bradenton, FL",Duke
12,4,14,4.1,,Day’Ron Sharpe,13,11,12,20,348,,"6’9""",PF,"Montverde, FL",North Carolina
13,2,16,1.9,,Jaden Springer,18,16,14,14,342,,"6’4""",SG,"Bradenton, FL",Tennessee
13,10,16,7.4,,Caleb Love,24,17,15,6,342,,"6’3""",CG,"St. Louis, MO",North Carolina
15,-8,16,1.2,,Makur Maker,15,15,17,17,340,,"6’10""",PF,"Orange, CA",
16,2,17,4,,Daishen Nix,20,20,13,13,338,,"6’4""",CG,"Las Vegas, NV",NBA G League
17,-6,18,6.7,,Isaiah Todd,12,14,18,27,333,,"6’9""",PF,"Raleigh, NC",NBA G League
18,-4,19,5.9,,Walker Kessler,14,13,22,25,330,,"6’9""",PF,"Fairburn, GA",North Carolina
19,-6,20,3.3,,Sharife Cooper,16,19,20,24,325,,"6’1""",PG,"Powder Springs, GA",Auburn
20,-3,20,2.9,,Jeremy Roach,17,18,23,22,324,,"6’3""",PG,"Fairfax, VA",Duke
21,-2,21,3.6,,Bryce Thompson,22,26,19,18,319,,"6’4""",SG,"Washington, OK",Kansas
22,-2,22,2.5,,Cameron Thomas,19,22,25,23,315,,"6’2""",PG,"Mouth of Wilson, VA",LSU
23,1,23,8.9,,Keon Johnson,34,25,16,15,314,,"6’5""",SG,"Bell Buckle, TN",Tennessee
24,2,25,3,,D.J. Steward,27,23,27,21,306,,"6’1""",CG,"Chicago, IL",Duke
25,3,27,7.4,,Mark Williams,33,29,29,16,297,,"6’11""",C,"Bradenton, FL",Duke
26,-4,28,3.9,,Isaiah Jackson,23,31,26,31,293,,"6’8""",CF,"Watertown Township, MI",Kentucky
