RSCI,Chg,Avg,Dev,,Player,ESPN,Rivals/On3,247Sports,Total,,Ht,Pos,City,College
1,,1,0,,Tyran Stokes,1,1,1,300,,6-7,SF,"Sherman Oaks, CA",Kansas
2,1,3,0.6,,Caleb Holt,3,2,3,295,,6-5,SG,"Fort Lauderdale, FL",Arizona
3,-1,3,1.7,,Jordan Smith Jr.,2,5,2,294,,6-2,CG,"Fairfax, VA",Arkansas
4,,5,1.2,,Cam Williams,4,6,4,289,,6-11,PF,"Phoenix, AZ",Duke
5,new,5,1.2,,Bruce Branch III,6,4,6,287,,6-7,SF,"Gilbert, AZ",BYU
6,1,8,2.6,,Christian Collins,5,10,9,279,,6-8,PF,"Bellflower, CA",USC
6,3,8,3.6,,Jason Crowe Jr.,7,12,5,279,,6-3,CG,"Inglewood, CA",Missouri
8,,9,2.6,,Anthony Thompson,12,8,7,276,,6-8,SF,"Hudson, OH",Ohio State
9,-4,10,7.5,,Brandon McCoy,18,3,10,272,,6-5,CG,"Chatsworth, CA",Michigan
9,-4,10,3.5,,Dylan Mingo,10,7,14,272,,6-5,CG,"Glen Head, NY",Baylor
9,1,10,3.2,,Baba Oladotun,9,14,8,272,,6-10,SF,"Silver Spring, MD",Maryland
12,-1,13,2.9,,Deron Rippey Jr.,16,11,11,265,,6-2,PG,"Blairstown, NJ",Duke
13,15,13,3.5,,Abdou Toure,15,9,15,264,,6-5,SF,"West Haven, CT",Arkansas
14,new,13,4.6,,Obina Ekezie Jr.,8,16,16,263,,7-0,C,"Orlando, FL",Louisville
15,-1,14,3.1,,Caleb Gaskins,11,13,17,262,,6-8,PF,"Miami, FL",Miami
16,27,16,5.5,,JJ Andrews,13,22,12,256,,6-6,SF,"Little Rock, AR",Arkansas
17,82,17,5.3,,Quentin Coleman,23,15,13,252,,6-3,SG,"St. Louis, MO",Illinois
18,6,18,1.5,,Miles Sadler,17,18,20,248,,5-10,PG,"Scottsdale, AZ",West Virginia
19,40,21,1.7,,Adonis Ratliff,22,19,22,240,,6-11,PF,"White Plains, NY",USC
19,1,21,6.2,,Toni Bryant,14,26,23,240,,6-9,PF,"Zephyrhills, FL",Missouri
21,-9,22,5,,Bryson Howard,27,17,21,238,,6-5,SF,"Frisco, TX",Duke
21,-5,22,3.1,,Taylen Kinney,21,25,19,238,,6-1,PG,"Atlanta, GA",Kansas
23,2,24,8.1,,Austin Goosby,20,33,18,232,,6-5,CG,"Melissa, TX",Texas
24,-1,25,4.6,,Maximo Adams,24,21,30,228,,6-7,SF,"Chatsworth, CA",North Carolina
24,-3,25,5.3,,Jaxon Richardson,19,29,27,228,,6-6,SF,"Miami, FL",Alabama
26,1,26,6,,Colben Landrew,32,20,25,226,,6-6,SF,"Marietta, GA",Connecticut
27,-13,26,3.5,,Arafan Diane,30,24,24,225,,7-1,C,"Norwalk, IA",Houston
28,-10,28,2,,Qayden Samuels,28,30,26,219,,6-6,SF,"District Heights, MD",Alabama
29,40,28,3.1,,DaKari Spear,25,31,29,218,,6-5,SG,"Dallas, TX",Texas Tech
30,9,29,1.7,,Darius Ratliff,31,28,28,216,,6-11,C,"White Plains, NY",USC
31,2,31,4.2,,Jasiah Jervis,26,32,34,211,,6-4,SG,"White Plains, NY",Michigan State
32,6,32,11.4,,Quinn Costello,29,23,45,206,,6-10,PF,"Boston, MA",Michigan
33,-17,33,5.2,,Tajh Ariza,36,27,36,204,,6-9,SF,"Bellflower, CA",Oregon
34,-8,35,3.2,,Latrell Allmond,37,36,31,199,,6-8,PF,"Richmond, VA",Oklahoma State
35,-3,37,5.3,,Elijah Williams,33,43,35,192,,6-6,SF,"San Antonio, TX",Baylor
36,22,38,6.5,,Anthony Felesi,45,38,32,188,,6-5,SF,"Hurricane, UT",Oklahoma State
37,4,39,2.6,,Chase Foster,38,42,37,186,,6-8,PF,"Bradenton, FL",Pittsburgh
38,-16,39,3.8,,Ethan Taylor,35,41,42,185,,7-0,C,"Branson, MO",Michigan State
39,1,42,3.1,,Junior County,39,45,43,176,,6-4,SG,"Mount Pleasant, UT",Connecticut
40,13,44,6.4,,Marcis Ponder,41,51,39,172,,6-11,C,"Springfield, VA",Florida State
