pid,draft_year,source_id,source_date,draft_date,metric,value,publisher_date_verified,body_fact_verified,archive_snapshot_verified,feature_eligible,quarantine_reason,published_date,last_updated_date,capture_timestamp,source_url,archive_url,source_sha256,model_feature_eligible,fact_date_eligible,source_available_by
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_poss_pg,16.4,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_overall_ppp,1.16,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_jump_shot_pct,25.0,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_jump_fg_pct,56.0,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_jump_pps,1.6,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_pullup_fga_total,5.0,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_isolation_ppp,1.3,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_post_ppp,1.06,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_pickroll_finish_ppp,1.37,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
Pb035a35ee9,2011,dx2011fw,2011-06-19,2011-06-23,report_cut_ppp,1.26,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
P575f19a655,2011,dx2011fw,2011-06-19,2011-06-23,report_overall_ppp,1.2,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
P69e13b90fc,2011,dx2011fw,2011-06-19,2011-06-23,report_jump_shot_pct,63.0,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
P69e13b90fc,2011,dx2011fw,2011-06-19,2011-06-23,report_isolation_ppp,0.99,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
P69e13b90fc,2011,dx2011fw,2011-06-19,2011-06-23,report_catchshoot_fga_pg,4.6,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
P69e13b90fc,2011,dx2011fw,2011-06-19,2011-06-23,report_catchshoot_fg_pct,34.0,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
P701bdb09e4,2011,dx2011fw,2011-06-19,2011-06-23,report_jump_shot_pct,56.0,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
P701bdb09e4,2011,dx2011fw,2011-06-19,2011-06-23,report_overall_ppp,0.86,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
P701bdb09e4,2011,dx2011fw,2011-06-19,2011-06-23,report_turnover_pct,14.2,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
P701bdb09e4,2011,dx2011fw,2011-06-19,2011-06-23,report_transition_poss_pg,3.0,True,True,False,False,No pre-draft archived body retrieved,2011-06-19,2011-06-19,,https://www.draftexpress.com/amp/article/Situational-Statistics-the-2011-Forward-Crop-3762/,,,False,False,
