pid,draft_year,source_id,source_date,draft_date,metric,value,publisher_date_verified,body_fact_verified,archive_snapshot_verified,feature_eligible,quarantine_reason
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_overall_ppp,1.021,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_poss_pg,15.1,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_turnover_pct,13.3,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_shots_fouled_pct,6.3,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_post_ppp,0.979,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_post_poss_pg,1.4,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_cut_poss_pct,16.1,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_putback_ppp,1.379,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_jump_ppp,0.965,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_jump_fg_pct,36.5,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
Peb88f22502,2010,dx2010sf,2010-06-12,2010-06-24,report_finish_ppp,1.23,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
P297adbbd5f,2010,dx2010sf,2010-06-12,2010-06-24,report_overall_ppp,0.841,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
P297adbbd5f,2010,dx2010sf,2010-06-12,2010-06-24,report_jump_fg_pct,24,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
P297adbbd5f,2010,dx2010sf,2010-06-12,2010-06-24,report_rim_fg_pct,48.9,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
P297adbbd5f,2010,dx2010sf,2010-06-12,2010-06-24,report_halfcourt_shots_fouled_pct,9.9,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
P297adbbd5f,2010,dx2010sf,2010-06-12,2010-06-24,report_putback_poss_pg,3.1,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
P7f86ce09cc,2010,dx2010sf,2010-06-12,2010-06-24,report_turnover_pct,18.8,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
P7f86ce09cc,2010,dx2010sf,2010-06-12,2010-06-24,report_isolation_turnover_pct,30,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
P7f86ce09cc,2010,dx2010sf,2010-06-12,2010-06-24,report_transition_turnover_pct,25,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
P7f86ce09cc,2010,dx2010sf,2010-06-12,2010-06-24,report_transition_poss_pg,4.2,True,True,False,False,No pre-draft archived body captured; sparse cohort coverage requires development-only pilot registration
