pid,draft_year,control_numeric_observed_metrics,control_text_observed_metrics,control_numeric_available,control_text_available
Peb88f22502,2010,11,0,1,0
P297adbbd5f,2010,5,0,1,0
P7f86ce09cc,2010,13,19,1,1
P10d0b75bed,2010,12,19,1,1
P6f36cd1fed,2010,14,19,1,1
P38bff88a77,2010,6,19,1,1
Pb46ac34cd7,2010,3,19,1,1
P1402e898dc,2010,1,19,1,1
Pdc16ca4e2e,2010,3,19,1,1
P966e81614a,2010,3,19,1,1
Pcc98298533,2010,4,19,1,1
P3f25ee2633,2010,9,19,1,1
P502aba077e,2010,5,0,1,0
Pc781d37e72,2010,3,19,1,1
Pe82bc0553e,2010,4,19,1,1
Pe03992058c,2010,5,19,1,1
P54e531f2ec,2010,2,19,1,1
P168e9ad8d4,2007,0,0,0,0
Pb70d7d0b57,2007,0,0,0,0
Pf6d18cb839,2007,0,0,0,0
P41fad117db,2007,0,0,0,0
Pd1415c96b7,2007,0,0,0,0
Pf5e2b9f7f1,2007,0,0,0,0
Pcb5c1e8ac6,2007,0,0,0,0
P02f9f17423,2007,0,0,0,0
P56d107e80a,2007,0,0,0,0
Pcfbeb8a341,2007,0,0,0,0
P0f110bb83f,2007,0,0,0,0
Pac5bd0e496,2007,0,0,0,0
Pb380360b47,2007,0,0,0,0
P544e2d56ac,2007,0,0,0,0
Pa610141ccc,2007,0,0,0,0
P9bd8ef5672,2007,0,0,0,0
P4a79922b86,2007,0,0,0,0
P2f5200d27c,2007,0,0,0,0
P5713a8b541,2007,0,0,0,0
Pea4d2012e7,2007,0,0,0,0
P12dc2a4dac,2007,0,0,0,0
Pba0c961d37,2007,0,0,0,0
P49b077589e,2007,0,0,0,0
P67d2056db6,2007,0,0,0,0
Pad16010a79,2007,0,0,0,0
P2224af8be2,2007,0,0,0,0
Pd6f3aa739f,2007,0,0,0,0
P243742fc34,2007,0,0,0,0
Pd84423f7e2,2007,0,0,0,0
Pd35ff5934d,2007,0,0,0,0
P25a045baff,2007,0,0,0,0
P23d9f5804f,2007,0,0,0,0
Pdd125f24cc,2007,0,0,0,0
P8bc7e2260e,2007,0,0,0,0
P20418f8d52,2009,9,19,1,1
P22c8154970,2009,8,19,1,1
P52f9046b71,2009,9,19,1,1
Pe2d0a4cddd,2009,6,19,1,1
P7b8c6b66e0,2009,10,19,1,1
Pab257f8a15,2009,7,0,1,0
P1738f63a26,2009,6,19,1,1
P8afd917a6c,2009,5,19,1,1
Pe79f6d1bdb,2009,5,0,1,0
Pb58f931dd3,2009,3,19,1,1
Pc99e2f6730,2009,10,19,1,1
P4b1ba6339f,2009,1,19,1,1
P722aa856f7,2008,0,0,0,0
P2d45174d7f,2008,0,0,0,0
P5f07dfebd6,2008,0,0,0,0
Pab86c7dfaf,2008,0,0,0,0
P552ea773e2,2008,0,0,0,0
Peda84f3898,2008,0,0,0,0
Pd43d378f42,2008,0,0,0,0
Pdfe2a49906,2008,0,0,0,0
P7c81e9aca5,2008,0,0,0,0
P376f10f64c,2008,0,0,0,0
P67ee7c4408,2008,0,0,0,0
P7c1c1e7eac,2008,0,0,0,0
Pc3a5f10000,2008,0,0,0,0
Pab534e249b,2008,0,0,0,0
Pda7ff44e77,2008,0,0,0,0
P3d1eff1bca,2008,0,0,0,0
Pfcb4575061,2008,0,0,0,0
P2fe87c73a6,2008,0,0,0,0
P4afc5fb3f7,2008,0,0,0,0
Pdb3f441dab,2008,0,0,0,0
P4b0ccf34e0,2008,0,0,0,0
P2e38e474e2,2008,0,0,0,0
Pf1e6555cfc,2008,0,0,0,0
P0157d20b94,2008,0,0,0,0
P7e5e28e6b3,2008,0,0,0,0
P4e0fbd7a78,2008,0,0,0,0
Pd19bde5a19,2008,0,0,0,0
Pd2241d6e4b,2008,0,0,0,0
Pffe825f9b7,2008,0,0,0,0
P969f2b1c13,2008,0,0,0,0
Pe67238da8c,2008,0,0,0,0
P51f87bc5f4,2008,0,0,0,0
P4b40cf78ae,2008,0,0,0,0
P41bc73e83b,2008,0,0,0,0
Pf14243ec5e,2008,0,0,0,0
P9f5758481a,2008,0,0,0,0
P6dfb5df5c6,2008,0,0,0,0
P246009ab63,2008,0,0,0,0
Pb48635a7c4,2008,0,0,0,0
P82dd1ca59f,2008,0,0,0,0
Pad8df3794d,2008,0,0,0,0
P16bd14d8e6,2008,0,0,0,0
P4b06d66b80,2008,0,0,0,0
P94bbcbe8b9,2008,0,0,0,0
P8482acfde2,2008,0,0,0,0
P28594efa12,2008,0,0,0,0
P1ca581fef0,2008,0,0,0,0
Pb047bb4747,2008,0,0,0,0
Pb00deeb55d,2008,0,0,0,0
P2bc925c307,2008,0,0,0,0
P79f9e777a1,2008,0,0,0,0
P951f092ec6,2008,0,0,0,0
Pc06b79b843,2008,0,0,0,0
P8ff779ec76,2008,0,0,0,0
Pbbe7c2361f,2008,0,0,0,0
P57a6e7dc53,2009,0,19,0,1
P97ae54051b,2010,0,19,0,1
P8fac339738,2010,0,19,0,1
Pc62b6f4e46,2010,0,19,0,1
P575f19a655,2011,4,19,1,1
P2e890c30d2,2011,1,19,1,1
P4a7a8900d7,2011,3,19,1,1
P3ef4d7a55a,2011,2,19,1,1
P9cc36d2c64,2011,2,19,1,1
Pa98bcc077b,2011,1,19,1,1
Pc4acbf93e3,2011,1,19,1,1
Pde91f9542b,2011,1,19,1,1
P47e2698d94,2011,3,19,1,1
Pd9bc466fd2,2011,1,19,1,1
Pd11fd10026,2011,1,19,1,1
P163aa00374,2012,15,19,1,1
P4e4e438f6e,2012,2,19,1,1
Pf849910cdc,2012,2,19,1,1
P400aecdd2c,2012,7,19,1,1
Pbc5d4fc393,2012,4,19,1,1
P83b3d780d7,2012,3,19,1,1
P3f927eeca6,2012,2,19,1,1
P8d6fb61ea0,2012,2,19,1,1
P4bc4764e2a,2012,2,19,1,1
P9fd176d178,2012,0,19,0,1
P6258e82584,2013,1,19,1,1
P398088f587,2013,1,19,1,1
P36f801ddc1,2013,1,19,1,1
P70fe638043,2013,2,19,1,1
P622332ff90,2013,2,19,1,1
P5d0988f1e1,2013,1,19,1,1
Pf209014384,2013,1,19,1,1
Pf1615243ab,2013,1,19,1,1
Pebbd613418,2013,0,19,0,1
Pfb1f867cde,2013,1,19,1,1
Pcad0645e5a,2013,2,19,1,1
Pa33d5803eb,2013,1,19,1,1
Pf825457ab4,2013,0,19,0,1
P8d3cc27d9f,2013,1,19,1,1
Pf7f191defd,2013,2,19,1,1
P93a13b19c2,2013,3,19,1,1
P488064c36d,2013,3,19,1,1
Pccb83c9fcb,2013,2,19,1,1
Pdbcc4b2801,2013,0,19,0,1
P607c704c53,2013,2,19,1,1
P467b7b3f59,2013,0,19,0,1
P00193b3ed9,2013,1,19,1,1
P84101ffd6c,2013,0,19,0,1
P1100d011d0,2013,2,19,1,1
P58c3f134a2,2013,0,19,0,1
Pa0a2c9503f,2013,1,19,1,1
P7f1d080745,2014,1,19,1,1
P6cee28a4f3,2014,3,19,1,1
Pb8a773b356,2014,1,19,1,1
P5c19a79a93,2014,0,19,0,1
Pbed27928bf,2014,1,19,1,1
P1b1aa3dc82,2014,2,19,1,1
P2171d2817b,2014,1,19,1,1
Paf95fb158c,2014,2,19,1,1
Pbac4f67696,2014,2,19,1,1
Pccdaab2014,2014,2,19,1,1
P31e153a014,2014,3,19,1,1
P8c2c5e7b71,2014,0,19,0,1
Pcb993abaa5,2014,0,19,0,1
P12d1ca8d35,2014,1,19,1,1
P465ab55c02,2014,3,19,1,1
Pd907989bcb,2014,1,19,1,1
P96c6ba4e0f,2014,1,19,1,1
Pab87e9a8b8,2014,0,19,0,1
Pb59be03b24,2014,1,19,1,1
P59ddf4705a,2014,1,19,1,1
P44154d877a,2014,1,19,1,1
P331cffbdbb,2014,2,19,1,1
Pc7e0f691c6,2014,0,19,0,1
P49827cf895,2014,1,19,1,1
Pd8244d9a42,2014,0,19,0,1
Pd5729dac8f,2014,1,19,1,1
P4f181909b7,2014,2,19,1,1
P2f95e0c256,2014,2,19,1,1
Pd35ff11e6d,2014,2,19,1,1
Pf7c7a85a9a,2014,2,19,1,1
P0a4bbd8b0a,2014,2,19,1,1
P1dca1ecf2b,2014,2,19,1,1
P11fb43c4ea,2014,2,19,1,1
P3997afa4f2,2014,2,19,1,1
P360c31499c,2014,1,19,1,1
Pa9426d162d,2014,1,19,1,1
P8c383a7533,2014,1,19,1,1
Pa47459a77d,2014,1,19,1,1
P6e49424689,2014,1,19,1,1
Pb035a35ee9,2011,10,0,1,0
P69e13b90fc,2011,4,0,1,0
P701bdb09e4,2011,9,0,1,0
P268ca85d2e,2011,8,0,1,0
P4ec69893f6,2011,7,0,1,0
P749792a28d,2011,1,0,1,0
P74ab2a2c37,2011,1,0,1,0
Pce627023f0,2011,4,0,1,0
P85135a294f,2011,1,0,1,0
