pid,draft_year,report_catchshoot_fg_pct,report_catchshoot_fga_pg,report_catchshoot_poss_pg,report_catchshoot_ppp,report_catchshoot_pps,report_cut_fg_pct,report_cut_poss_pct,report_cut_poss_pg,report_cut_ppp,report_finish_fga_pg,report_finish_poss_pg,report_finish_ppp,report_finish_pps,report_free_throw_poss_pct,report_guarded_catchshoot_ppp,report_guarded_catchshoot_pps,report_halfcourt_poss_pg,report_halfcourt_ppp,report_halfcourt_shots_fouled_pct,report_halfcourt_turnover_pct,report_isolation_fg_pct,report_isolation_poss_pct,report_isolation_poss_pg,report_isolation_poss_total,report_isolation_ppp,report_isolation_shots_fouled_pct,report_isolation_turnover_pct,report_jump_fg_pct,report_jump_fga_pg,report_jump_fga_total,report_jump_fgm_total,report_jump_poss_pct,report_jump_ppp,report_jump_pps,report_jump_shot_pct,report_offscreen_poss_pg,report_offscreen_ppp,report_open_catchshoot_fg_pct,report_open_catchshoot_ppp,report_open_catchshoot_pps,report_overall_ppp,report_pickroll_finish_poss_pg,report_pickroll_finish_ppp,report_pickroll_poss_pct,report_pickroll_poss_pg,report_pickroll_ppp,report_poss_pg,report_post_fg_pct,report_post_poss_pct,report_post_poss_pg,report_post_ppp,report_post_turnover_pct,report_pullup_fg_pct,report_pullup_fga_pg,report_pullup_fga_total,report_pullup_fgm_total,report_pullup_ppp,report_pullup_pps,report_putback_poss_pct,report_putback_poss_pg,report_putback_ppp,report_rim_fg_pct,report_scoring_poss_pct,report_shots_fouled_pct,report_spotup_fga_pg,report_spotup_poss_pct,report_spotup_ppp,report_transition_fg_pct,report_transition_poss_pct,report_transition_poss_pg,report_transition_poss_total,report_transition_ppp,report_transition_turnover_pct,report_turnover_pct
Peb88f22502,2010,,,,,,,16.1,,,,,1.23,,,,,,,,,,,,,,,,36.5,,,,,0.965,,,,,,,,1.021,,,,,,15.1,,,1.4,0.979,,,,,,,,,,1.379,,,6.3,,,,,,,,,,13.3
P297adbbd5f,2010,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,24.0,,,,,,,,,,,,,0.841,,,,,,,,,,,,,,,,,,,3.1,,48.9,,,,,,,,,,,,
P7f86ce09cc,2010,,,,,,,,,,,,,1.19,,,0.862,,,,,,,,,,12.9,30.0,,,,,,,,,,,,,1.2,,,,,,,,,,,0.67,,,,,,,0.433,,,,,,,3.5,,1.056,,,4.2,,1.127,25.0,18.8
P10d0b75bed,2010,,,,,,,,,,2.1,,1.12,,,,1.26,,0.994,,,,,,,1.048,,,,,,,,,,,,,,,1.16,1.012,,,,,,12.1,,,,1.2,,28.6,,,,,,,,,,,,,35.9,1.1,,,,,,,
P6f36cd1fed,2010,,,,,,,,,,,,1.26,,,,,18.1,0.98,,,45.4,,5.9,,,,,,,,,,,,,,,,,,0.97,,,,,,20.6,,,3.1,1.0,,42.0,4.6,,,,,,,,,,8.4,,,,,,,,0.9,,12.2
P38bff88a77,2010,,,,,,,,2.3,,,,,,,,,,,,,,,,,0.672,,,,,,,,,,,,,42.9,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,10.2,,,,,,,,,,
Pb46ac34cd7,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,2.9,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1402e898dc,2010,,,,,,,,,,,,1.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdc16ca4e2e,2010,,,,,,,,,,,,,,,,,,,,,,,,,0.972,,,,,,,,,,,,,,,,1.066,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,
P966e81614a,2010,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,28.2,,,,,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pcc98298533,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,12.1,,,,0.844,21.5,,,,,,,,,,,,,,,,,,,,,,
P3f25ee2633,2010,,,,,,,,,,,,1.368,,,,,,,,,,,,,,,,,,,,,0.894,,,,,,,,1.139,,,,,,12.3,65.0,,,,,,,,,,,15.4,,,,,,,18.0,,,16.0,,,,,8.3
P502aba077e,2010,,,,,,,,,,,,1.421,,,,,,,,,,,,,,,,,,,,,0.421,,,,,,,,1.03,,,,,,13.0,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc781d37e72,2010,,,,,,,,,,,,,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.909,,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pe82bc0553e,2010,,,,,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913,,,,,,13.6,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,
Pe03992058c,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,1.03,,,,,,,51.6,46.3,,,,,,,,,,,,,,,13.4,,,,,,,,,,
P54e531f2ec,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,
P20418f8d52,2009,48.0,,,,,,,,,,,,,,,,,,,13.8,,,,,1.0,,,,,,,,,,,,,,,,1.13,,,,,1.19,,,,,,,47.0,,,,,,,,,,,,,,1.2,,38.6,,,1.2,,
P22c8154970,2009,41.0,,1.1,,,,,,,,,1.11,,,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,9.0,,,,,,,,25.0,5.0,,,,,,,,,,,,,,,,,,
P52f9046b71,2009,,,,,,,,,,,,,,,,,,,6.2,15.2,,,,,,,,,,,,,,,,,,,1.39,,0.77,,,,,,7.6,,,,,,21.0,2.1,,,,,,,,,29.7,,,,1.07,,,,,,,
Pe2d0a4cddd,2009,,,,,,,,,,,8.8,1.14,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,0.86,,0.88,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,
P7b8c6b66e0,2009,,5.4,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,2.6,,,1.33,,0.94,,,,,1.3,31.9,,,,,,,11.6,,,,,,,,,,,,8.9,,41.0,,,,,,
Pab257f8a15,2009,28.0,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,9.7,,,,,,,,,,0.75,,,,,,,,,27.8,,,,,,1.34,,
P1738f63a26,2009,,,,,,,,,,,8.8,,,,,,,,,,41.0,,4.3,,,,,,,,,,,,,,,,1.24,,,,,,,0.84,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,
P8afd917a6c,2009,,,,,,,,,,,,1.26,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,1.02,,,,,1.14,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,
