source_subject_id,raw_annual_column,statistic,official_all_games_total,official_player_games,annual_appended_pg,official_total_per_game,matches_four_decimal_rounding
college_de297236286bb7f124ce,54,minutes,1107,32,34.5938,34.59375,True
college_de297236286bb7f124ce,57,orb,38,32,1.1875,1.1875,True
college_de297236286bb7f124ce,58,drb,125,32,3.9062,3.90625,True
college_de297236286bb7f124ce,63,points,407,32,12.7188,12.71875,True
college_1dc208e6ff86c5f5d014,54,minutes,685,23,29.7826,29.782608695652176,True
college_1dc208e6ff86c5f5d014,63,points,284,23,12.3478,12.347826086956522,True
college_778335e230fb9702bb40,54,minutes,1011,33,30.6364,30.636363636363637,True
college_778335e230fb9702bb40,57,orb,34,33,1.0303,1.0303030303030303,True
college_778335e230fb9702bb40,58,drb,137,33,4.1515,4.151515151515151,True
college_778335e230fb9702bb40,63,points,472,33,14.303,14.303030303030303,True
