source_subject_id,source_season,player_games,two_m,two_a,three_m,three_a,ft_m,ft_a,points,orb,drb,ast,tov,stl,blk,pf
college_de297236286bb7f124ce,2018,30,89,193,37,116,102,133,391,38,115,112,60,28,12,74
college_879d8126cbdf203adfaa,2018,31,121,232,5,24,64,86,321,59,67,39,46,32,10,115
college_1dc208e6ff86c5f5d014,2018,21,44,87,42,102,46,51,260,2,37,68,42,18,3,23
college_ea125e2d96e91a43de2c,2018,31,54,118,55,148,48,59,321,12,75,37,38,35,10,95
college_b4b962484a81b38daf6d,2018,31,55,90,0,0,14,46,124,30,50,8,40,6,19,84
college_ec0e52574bf43d6ea851,2018,31,73,163,0,1,64,124,210,70,171,44,70,25,26,76
college_778335e230fb9702bb40,2018,31,83,198,57,166,105,146,442,33,130,61,97,56,18,67
college_ea32e75aa193fc09bf8d,2018,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
college_f89b66a57a96ee57d2aa,2018,10,1,3,0,0,0,0,2,1,1,0,0,1,0,6
college_fa950dadd9606ce3f5c8,2018,27,5,7,14,39,3,7,55,9,12,16,10,6,0,19
college_091ebe906de0a5d30c14,2018,17,4,15,6,26,2,2,28,2,9,4,5,5,0,16
college_ff605370a0c874099239,2018,19,11,26,5,13,2,6,39,10,18,8,7,7,1,22
