source_season,team_id,game_id,game_date,team_player_minutes,team_fgm,team_fga,team_fg3m,team_fg3a,team_ftm,team_fta,team_orb,team_drb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,team_pts,opponent_fgm,opponent_fga,opponent_fg3m,opponent_fg3a,opponent_ftm,opponent_fta,opponent_orb,opponent_drb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,opponent_pts
2008,team_c8f8eb494d5be0790fd6,game_1abd4df7f234ae28dad0,2007-11-11,200,25,62,5,18,21,31,16,15,31,14,12,1,22,23,76,31,51,9,19,29,35,10,27,37,17,11,2,26,25,100
2008,team_ffa6eb6b2189ff66ac0d,game_1abd4df7f234ae28dad0,2007-11-11,200,31,51,9,19,29,35,10,27,37,17,11,2,26,25,100,25,62,5,18,21,31,16,15,31,14,12,1,22,23,76
2008,team_c8f8eb494d5be0790fd6,game_1c4a88f88315c10c1c8c,2007-11-13,200,18,58,3,15,16,19,11,23,34,6,8,2,15,18,55,27,57,3,13,13,23,14,29,43,12,7,3,16,14,70
2008,team_21130479c71149392351,game_1c4a88f88315c10c1c8c,2007-11-13,200,27,57,3,13,13,23,14,29,43,12,7,3,16,14,70,18,58,3,15,16,19,11,23,34,6,8,2,15,18,55
2008,team_c8f8eb494d5be0790fd6,game_cfff6dad2d8baf33a7a4,2007-11-16,200,23,69,7,21,8,16,16,18,34,13,6,0,18,20,61,36,65,6,15,22,28,14,35,49,25,14,7,13,21,100
2008,team_ceecfd37686a3ed1759d,game_cfff6dad2d8baf33a7a4,2007-11-16,200,36,65,6,15,22,28,14,35,49,25,14,7,13,21,100,23,69,7,21,8,16,16,18,34,13,6,0,18,20,61
2008,team_c8f8eb494d5be0790fd6,game_091966990791d505a2cd,2007-11-18,200,20,67,5,22,8,12,15,24,39,11,5,6,17,24,53,28,65,6,23,22,31,18,35,53,17,5,7,12,14,84
2008,team_bca15879fa5c6e156f53,game_091966990791d505a2cd,2007-11-18,200,28,65,6,23,22,31,18,35,53,17,5,7,12,14,84,20,67,5,22,8,12,15,24,39,11,5,6,17,24,53
2008,team_c8f8eb494d5be0790fd6,game_96f5749f8793c16583da,2007-11-23,200,21,61,6,24,9,13,15,29,44,7,4,3,20,20,57,26,63,7,26,14,18,11,28,39,19,6,6,12,17,73
2008,team_3f3f5e940934ee9c6cde,game_96f5749f8793c16583da,2007-11-23,200,26,63,7,26,14,18,11,28,39,19,6,6,12,17,73,21,61,6,24,9,13,15,29,44,7,4,3,20,20,57
2008,team_c8f8eb494d5be0790fd6,game_d89c82f44e088ed00d07,2007-11-24,200,25,53,3,14,21,37,16,23,39,10,8,4,16,21,74,23,51,8,19,16,24,13,28,41,9,6,2,26,27,70
2008,team_12429c0e78e0ab076597,game_d89c82f44e088ed00d07,2007-11-24,200,23,51,8,19,16,24,13,28,41,9,6,2,26,27,70,25,53,3,14,21,37,16,23,39,10,8,4,16,21,74
2008,team_b3ca8a5608a378714e8f,game_e04f69d463f6d321da18,2007-11-27,200,26,55,1,12,8,13,10,31,41,7,8,2,16,15,61,17,52,3,13,12,18,7,21,28,9,7,1,16,10,49
2008,team_c8f8eb494d5be0790fd6,game_e04f69d463f6d321da18,2007-11-27,200,17,52,3,13,12,18,7,21,28,9,7,1,16,10,49,26,55,1,12,8,13,10,31,41,7,8,2,16,15,61
2008,team_21130479c71149392351,game_7947a1546ea5e20f2a1b,2007-12-01,200,29,46,9,19,15,19,9,17,26,16,2,1,13,18,82,24,49,6,13,13,19,10,10,20,13,6,1,11,21,67
2008,team_c8f8eb494d5be0790fd6,game_7947a1546ea5e20f2a1b,2007-12-01,200,24,49,6,13,13,19,10,10,20,13,6,1,11,21,67,29,46,9,19,15,19,9,17,26,16,2,1,13,18,82
2008,team_c8f8eb494d5be0790fd6,game_72e3657fb9d358859554,2007-12-05,200,27,68,12,32,8,12,15,17,32,14,3,2,24,25,74,39,67,9,23,30,36,14,29,43,28,7,3,11,18,117
2008,team_cad0535decc38b248b40,game_72e3657fb9d358859554,2007-12-05,200,39,67,9,23,30,36,14,29,43,28,7,3,11,18,117,27,68,12,32,8,12,15,17,32,14,3,2,24,25,74
2008,team_669d34907851a2801b43,game_bf532d0b6e14f3efe55f,2007-12-07,200,26,57,5,21,13,21,12,18,30,19,9,0,15,11,70,30,59,2,14,2,8,15,22,37,15,9,1,22,18,64
2008,team_c8f8eb494d5be0790fd6,game_bf532d0b6e14f3efe55f,2007-12-07,200,30,59,2,14,2,8,15,22,37,15,9,1,22,18,64,26,57,5,21,13,21,12,18,30,19,9,0,15,11,70
2008,team_c8f8eb494d5be0790fd6,game_4119dbb12b514ea2d9cf,2007-12-08,200,24,70,7,15,14,19,18,26,44,17,6,1,21,21,69,26,59,13,25,18,22,8,30,38,15,11,13,19,17,83
2008,team_66e4c3a880eeca40a763,game_4119dbb12b514ea2d9cf,2007-12-08,200,26,59,13,25,18,22,8,30,38,15,11,13,19,17,83,24,70,7,15,14,19,18,26,44,17,6,1,21,21,69
2008,team_14ceb33ea08ced4936e2,game_a34ea0d5892f256de15e,2007-12-21,200,20,47,6,23,11,13,1,19,20,11,6,0,18,18,57,30,54,3,11,18,22,7,24,31,15,12,2,15,14,81
2008,team_c8f8eb494d5be0790fd6,game_a34ea0d5892f256de15e,2007-12-21,200,30,54,3,11,18,22,7,24,31,15,12,2,15,14,81,20,47,6,23,11,13,1,19,20,11,6,0,18,18,57
2008,team_c8f8eb494d5be0790fd6,game_a7eb6a5b54d01386c106,2007-12-27,200,28,67,7,24,5,11,12,28,40,20,5,0,22,24,68,26,62,5,19,22,31,15,30,45,16,16,1,19,19,79
2008,team_6b043616dac3be618d80,game_a7eb6a5b54d01386c106,2007-12-27,200,26,62,5,19,22,31,15,30,45,16,16,1,19,19,79,28,67,7,24,5,11,12,28,40,20,5,0,22,24,68
2008,team_f2e174d9da5eb237f7e4,game_8351639fb0aff0698307,2008-01-05,200,25,59,5,17,19,27,10,18,28,6,11,5,15,27,74,28,52,3,7,28,37,12,28,40,15,8,4,21,20,87
2008,team_c8f8eb494d5be0790fd6,game_8351639fb0aff0698307,2008-01-05,200,28,52,3,7,28,37,12,28,40,15,8,4,21,20,87,25,59,5,17,19,27,10,18,28,6,11,5,15,27,74
2008,team_e3ff52d6be04420a57c7,game_1002ffecc169a8b21227,2008-01-07,200,26,57,8,22,11,21,12,16,28,13,9,6,22,21,71,26,50,7,13,22,26,9,23,32,19,7,4,20,20,81
2008,team_c8f8eb494d5be0790fd6,game_1002ffecc169a8b21227,2008-01-07,200,26,50,7,13,22,26,9,23,32,19,7,4,20,20,81,26,57,8,22,11,21,12,16,28,13,9,6,22,21,71
2008,team_c8f8eb494d5be0790fd6,game_1f18295d824ff147d694,2008-01-12,200,30,54,4,8,21,31,7,35,42,15,8,1,16,20,85,23,66,5,17,14,23,12,23,35,9,9,1,13,21,65
2008,team_a013df7ef4de9d1aafdd,game_1f18295d824ff147d694,2008-01-12,200,23,66,5,17,14,23,12,23,35,9,9,1,13,21,65,30,54,4,8,21,31,7,35,42,15,8,1,16,20,85
2008,team_c8f8eb494d5be0790fd6,game_c963aa809578c54d2ea0,2008-01-14,200,19,53,8,27,23,30,11,17,28,14,9,4,16,21,69,29,54,7,12,20,26,11,26,37,14,5,3,19,22,85
2008,team_4bd0499d7084cee6840d,game_c963aa809578c54d2ea0,2008-01-14,200,29,54,7,12,20,26,11,26,37,14,5,3,19,22,85,19,53,8,27,23,30,11,17,28,14,9,4,16,21,69
2008,team_b02c23e1a39ef3eef8f0,game_c0d9ca0d302a80f58379,2008-01-19,200,34,65,4,15,10,16,8,31,39,14,12,3,20,27,82,18,57,5,13,31,41,13,21,34,5,8,5,21,13,72
2008,team_c8f8eb494d5be0790fd6,game_c0d9ca0d302a80f58379,2008-01-19,200,18,57,5,13,31,41,13,21,34,5,8,5,21,13,72,34,65,4,15,10,16,8,31,39,14,12,3,20,27,82
2008,team_a95839e97371e0dd398c,game_84f930304bcb4ee7b0fe,2008-01-21,200,22,72,9,21,4,8,13,20,33,10,8,6,13,18,57,26,57,5,17,12,23,11,35,46,16,8,5,17,11,69
2008,team_c8f8eb494d5be0790fd6,game_84f930304bcb4ee7b0fe,2008-01-21,200,26,57,5,17,12,23,11,35,46,16,8,5,17,11,69,22,72,9,21,4,8,13,20,33,10,8,6,13,18,57
2008,team_ad102b187963632ac3e6,game_a1ff86500e25d136b00d,2008-01-26,200,27,51,6,10,18,29,9,30,39,11,3,2,16,30,78,20,53,4,13,25,41,11,20,31,11,6,4,6,27,69
