candidate_id,draft_year,publisher,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
prior_2012_9f43ed937169e1cf36fc,2012,dx,23.0,79.0,213.0,23.995164310709978,4.0,0.0,0.0,1.0,0.0,0.0
prior_2013_6bcdbd04e54854f493a7,2013,dx,22.0,78.0,211.0,24.383248077557962,4.0,0.0,0.0,1.0,0.0,0.0
prior_2013_f7b8346f1c94cb4b3e93,2013,dx,23.0,84.0,263.0,26.205683027933517,4.0,0.0,0.0,0.0,0.0,1.0
prior_2013_8d4b7eef1d8eb3408548,2013,dx,21.0,79.0,220.0,24.78373778570984,3.0,0.0,0.0,1.0,1.0,0.0
prior_2014_e3c4cbe104ccf32796a8,2014,dx,22.1,80.0,196.0,21.531505876449252,3.0,0.0,0.0,1.0,0.0,0.0
prior_2013_6bcdbd04e54854f493a7,2013,nbadraft,,78.0,211.0,24.383248077557962,3.0,0.0,1.0,0.0,0.0,0.0
prior_2013_8d4b7eef1d8eb3408548,2013,nbadraft,,78.0,220.0,25.423291834420624,3.0,0.0,0.0,1.0,1.0,0.0
prior_2013_f7b8346f1c94cb4b3e93,2013,nbadraft,,84.0,263.0,26.205683027933517,4.0,0.0,0.0,0.0,1.0,1.0
prior_2014_e3c4cbe104ccf32796a8,2014,nbadraft,,80.0,195.0,21.421651254630635,3.0,0.0,0.0,1.0,0.0,0.0
prior_2014_a8505b9bcef90a9f6893,2014,nbadraft,,85.0,231.0,22.47876441476067,4.0,0.0,0.0,0.0,1.0,1.0
