candidate_id,draft_year,publisher,mock_rank
prior_2012_9f43ed937169e1cf36fc,2012,dx,28
prior_2013_6bcdbd04e54854f493a7,2013,dx,34
prior_2013_f7b8346f1c94cb4b3e93,2013,dx,43
prior_2013_8d4b7eef1d8eb3408548,2013,dx,48
prior_2014_e3c4cbe104ccf32796a8,2014,dx,49
prior_2013_6bcdbd04e54854f493a7,2013,nbadraft,29
prior_2013_8d4b7eef1d8eb3408548,2013,nbadraft,37
prior_2013_f7b8346f1c94cb4b3e93,2013,nbadraft,51
prior_2014_e3c4cbe104ccf32796a8,2014,nbadraft,39
prior_2014_a8505b9bcef90a9f6893,2014,nbadraft,57
