pid,source_season,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_age,ctx_base_height,ctx_base_three_share,ctx_team_peer_usage,ctx_team_gap_usage,ctx_team_peer_ts,ctx_team_gap_ts,ctx_team_peer_ast_pct,ctx_team_gap_ast_pct,ctx_team_peer_orb,ctx_team_gap_orb,ctx_team_peer_drb,ctx_team_gap_drb,ctx_team_peer_stl_pct,ctx_team_gap_stl_pct,ctx_team_peer_blk_pct,ctx_team_gap_blk_pct,ctx_team_rotation_depth,ctx_team_creator_competition,ctx_team_guard_competition,ctx_growth_seasons,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume,ctx_growth_usage,ctx_growth_minutes_share,ctx_growth_ts,ctx_growth_ast_pct,ctx_growth_tov_pct,ctx_growth_stl_pct,ctx_growth_blk_pct,ctx_growth_fg3a,ctx_growth_ft_pct,ctx_growth_changed_team
P2d45174d7f,2008,40.0,72.5,26.8,51.7,55.96,5.0,11.7,30.4,19.2,146.0,205.0,0.712,173.0,332.0,0.521,35.0,104.0,0.337,1.3,2.3,47.0,2.3,1.76635514,,,,,,,29.2,1.35,3.175,4.725,1.2,0.375,14.925,19.627652292950035,75,0.23853211009174313,18.637701848818157,8.162298151181844,53.58451907325065,2.375480926749354,11.250666978703483,19.149333021296513,7.105265621343317,-2.1052656213433174,13.70435291364381,-2.0043529136438103,2.377322724081442,-0.07732272408144203,3.2960683360636556,-1.9960683360636555,8,2,1,1,1.0909090909090908,1.504950495049505,0.40528000000000014,3.7934478321781815,,,,,,,,,,
P722aa856f7,2008,32.0,78.4,33.3,56.0,60.83,13.0,30.0,8.7,15.3,211.0,272.0,0.776,260.0,466.0,0.558,35.0,92.0,0.38,5.6,2.3,48.7,3.2,0.39999306,,,,,,,31.5152,3.9697,8.3939,1.1515,1.2727,1.6364,26.2424,19.627652292950035,81,0.16487455197132617,17.270903485890443,16.029096514109554,48.38073749110742,12.44926250889258,14.602655916528338,-5.902655916528339,6.4278159829262504,6.5721840170737496,9.843704055015413,20.156295944984585,2.051244960872658,0.24875503912734187,1.0853450320132794,4.51465496798672,6,2,1,1,1.8809523809523807,0.5337423312883435,1.4403899999999996,4.352950113063529,,,,,,,,,,
P552ea773e2,2008,33.0,91.1,30.5,52.4,56.23,3.9,10.2,21.4,19.0,122.0,152.0,0.803,149.0,321.0,0.464,88.0,215.0,0.409,1.1,2.5,28.4,2.6,0.93160342,,,,,,,36.8485,1.0606,3.4848,3.303,1.5455,0.3939,20.7273,19.627652292950035,76,0.40111940298507465,17.506409001956943,12.993590998043057,55.22731164383562,1.0026883561643771,10.673948140900196,10.726051859099803,5.674535225048923,-1.7745352250489232,12.236863992172209,-2.0368639921722096,1.5176369863013697,0.9823630136986303,2.5687622309197655,-1.4687622309197654,6,1,0,1,1.0,1.0699999999999998,0.6541499999999997,4.039441650878126,,,,,,,,,,
P67ee7c4408,2008,38.0,84.6,22.5,49.3,53.28,5.9,8.4,24.0,19.9,105.0,148.0,0.709,153.0,308.0,0.497,24.0,75.0,0.32,0.6,2.9,38.6,2.9,1.73963044,,,,,,,33.7949,1.5641,2.359,4.2821,1.6154,0.1795,12.7436,20.629705681040384,75,0.195822454308094,19.273200096315914,3.2267999036840855,55.273313267517466,-1.9933132675174647,11.67832891885384,12.32167108114616,7.2074404045268485,-1.3074404045268482,14.825499638815312,-6.425499638815312,2.090488803274741,0.8095111967252588,2.5274981940765717,-1.9274981940765716,6,1,1,1,0.8974358974358975,1.1483253588516746,0.08200000000000003,3.5477979309153302,,,,,,,,,,
Pdfe2a49906,2008,38.0,74.1,27.2,59.2,64.24,15.3,28.6,13.8,14.8,193.0,251.0,0.769,191.0,314.0,0.608,29.0,82.0,0.354,5.0,1.5,63.4,2.6,0.96155,,,,,,,29.641,3.641,7.0,1.9231,0.6923,1.4359,17.4615,19.627652292950035,82,0.20707070707070707,18.534852043212776,8.665147956787223,53.31684124001879,10.923158759981206,13.757233442930954,0.042766557069047195,5.539361202442461,9.76063879755754,11.151737905119775,17.448262094880228,2.3540864255519027,-0.8540864255519027,1.7142555190230158,3.2857444809769842,6,1,2,1,1.8055555555555556,0.8734177215189873,1.0252799999999995,4.252130968296284,,,,,,,,,,
Pd43d378f42,2008,32.0,83.1,29.7,51.5,60.1,2.6,8.0,15.2,20.7,231.0,277.0,0.834,114.0,217.0,0.525,70.0,208.0,0.337,2.0,2.3,65.2,2.5,0.67825142,,,,,,,34.6875,0.7188,2.5312,2.4375,1.3125,0.625,20.9062,19.627652292950035,75,0.4894117647058824,17.845537428023032,11.854462571976967,55.64334932821498,4.45665067178502,12.485292706333974,2.7147072936660255,7.135820537428025,-4.535820537428025,14.472000959692895,-6.472000959692895,2.0647552783109404,0.2352447216890594,2.0944817658349333,-0.09448176583493328,5,2,2,1,1.2285714285714284,0.7004608294930875,0.9797000000000001,4.693436008817991,,,,,,,,,,
P2e38e474e2,2008,35.0,76.1,28.3,47.3,53.63,6.8,16.8,17.0,15.0,156.0,191.0,0.817,203.0,426.0,0.477,11.0,38.0,0.289,5.5,1.4,41.2,3.6,1.09999107,,,,,,,31.5833,1.8889,4.5,2.4444,0.7222,1.5,16.8611,21.6290212183436,80,0.08189655172413793,18.26041519226233,10.039584807737672,54.296904930408125,-0.6669049304081227,14.120641660769051,2.879358339230949,5.6568530313753245,1.1431469686246754,11.976385940080208,4.823614059919793,2.192285916489738,-0.792285916489738,2.415664071715027,3.084335928284973,6,1,1,1,1.5000000000000002,1.0625,0.3012900000000002,4.295373718946697,,,,,,,,,,
P376f10f64c,2008,37.0,94.0,28.0,50.6,55.79,1.5,6.9,30.6,16.0,173.0,221.0,0.783,167.0,354.0,0.472,72.0,189.0,0.381,0.0,1.9,40.7,1.7,2.08569764,,,,,,,37.2895,0.5263,2.4211,5.7632,1.2368,0.0,19.2368,20.629705681040384,72,0.34806629834254144,18.04129524747599,9.95870475252401,53.818852499384384,1.971147500615615,8.108175326274313,22.491824673725688,7.558754001477468,-6.058754001477468,13.471361733563157,-6.5713617335631564,1.715562669293277,0.18443733070672286,3.4997045062792416,-3.4997045062792416,4,1,0,1,0.7037037037037036,1.8,0.46319999999999995,4.230296390005995,,,,,,,,,,
Pab86c7dfaf,2008,27.0,56.8,32.0,46.8,53.69,11.1,19.3,11.3,13.5,153.0,194.0,0.789,184.0,387.0,0.475,0.0,6.0,0.0,6.8,1.2,49.4,3.2,0.63795913,,,,,,,30.7407,2.8519,5.3333,1.3704,0.5926,2.0741,19.2963,20.629705681040384,84,0.015267175572519083,18.210920577617326,13.789079422382674,53.64264666064982,0.047353339350181045,14.459702166064979,-3.159702166064978,6.512522563176894,4.5874774368231055,12.477391696750903,6.822608303249098,1.3559115523465701,-0.15591155234657017,2.0464350180505413,4.7535649819494585,6,1,1,1,1.9047619047619047,0.7793103448275862,0.44279999999999975,4.1603966517067965,,,,,,,,,,
P5f07dfebd6,2008,29.0,77.8,28.8,53.9,61.27,1.6,7.5,24.9,17.7,179.0,214.0,0.836,111.0,228.0,0.487,59.0,142.0,0.415,0.3,1.7,57.8,2.5,1.35952399,,,,,,,35.7333,0.4333,2.3,4.0333,0.9667,0.1,19.7333,19.627652292950035,75,0.3837837837837838,18.206894100923954,10.593105899076047,56.13622838190002,5.133771618099985,13.95820895522388,10.941791044776119,5.436484245439471,-3.8364842454394705,13.23605780620706,-5.736057806207061,1.6989812840559113,0.001018715944088644,2.043402037431888,-1.7434020374318882,4,2,1,1,0.5714285714285714,1.3315508021390374,0.9917600000000003,4.489853391514726,,,,,,,,,,
